Genus	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90	All
Tyzzerella	0.02	0.01	0	0.01	0	0.01	0	0	0.03	0	0	0	0	0.01	0	0	0.01	0.01	0.01	0	0	0.01	0	0	0.01	0	0.01	0	0	0	0	0	0.02	0	0	0	0	0.02	0	0.01	0.04	0	0.01	0	0	0.01	0	0.1
Pseudescherichia	0.17	0.3	0.25	0.27	0.19	0.36	0.02	0.34	0.05	0.07	0.1	0.13	0.17	0.1	0.02	0.45	0.07	0.1	0.11	0.22	0.19	0.07	0.03	0.31	0.05	0.03	0.09	0.07	0.08	0.05	0.03	0.26	0.06	0.12	0.12	0.03	0.12	0.05	0.03	0.34	0.04	0.12	0.13	0.01	0.04	0.11	0	0.1
Defluviitalea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.29	0.24	0.13	0.06	0.1	0.71	0	0.02	0.08	0.04	0.1
Deinococcus	0	0	0	0.03	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.1
Desulfallas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0.1
Daejeonella	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.1
Corynebacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0.01	0.04	0.03	0.02	0	0.01	0	0.1
Cuneatibacter	0.2	0.28	0.11	0.32	0.16	0.11	0.24	0.2	0.28	0.17	0.14	0.17	0.08	0.28	0.12	0.11	0.17	0.1	0.16	0.11	0.11	0.11	0.12	0.09	0.52	0.24	0.09	0.1	0.07	0.24	0.24	0.06	0.16	0.14	0.12	0.09	0.08	0.21	0.36	0.64	1.67	0.53	0.32	1.66	1.42	0.54	0.82	0.1
Cupriavidus	0	0	0	0.07	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0.03	0	0	0	0.02	0	0.01	0	0.01	0	0	0	0.1
Desulfitobacterium	0.06	0.09	0.08	0.01	0.01	0	0.01	0.01	0.04	0.01	0.22	0.18	0.06	0.22	0.12	0.01	0.14	0.01	0	0.01	0.55	0	0	0.03	0	0.06	0.09	0.18	0.01	0	0	0	0.59	0	0.24	0.02	0.06	0.02	0.01	0.14	0.12	0	0.04	0.01	0.08	0.12	0.01	0.1
Extibacter	0	0	0	0.01	0	0	0	0.01	0.01	0	0	0.01	0.01	0	0	0	0.01	0	0	0	0.01	0.01	0	0.03	0	0	0	0	0	0.01	0.01	0	0.01	0.01	0	0.01	0.07	0.01	0.03	0.08	0.07	0.05	0.04	0.18	0.52	0.01	0.18	0.1
Faecalibacillus	0	0	0	0.01	0	0.03	0.01	0.01	0.01	0	0	0.01	0	0	0.01	0	0	0.01	0	0	0	0	0.02	0.01	0.01	0.01	0	0.01	0	0.01	0.01	0	0.01	0	0.01	0.03	0	0	0.01	0.02	0	0	0.01	0.02	0	0	0.01	0.1
Fastidiosipila	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.05	0	0	0.1
Ethanoligenens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.1
Desulfomicrobium	0.06	0.07	0.06	0.13	0.11	0.19	0.03	0.04	0.05	0.02	0.09	0.09	0.08	0.02	0.03	0.12	0.02	0.01	0.01	0.05	0.01	0.02	0.04	0.05	0.02	0.08	0.02	0.01	0.02	0.04	0.01	0.1	0.09	0.02	0.09	0	0	0	0	0	0	0.01	0	0	0	0.02	0	0.1
Enhydrobacter	0	0	0.01	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0.01	0	0	0	0.02	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.1
Erysipelothrix	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0.01	0	0	0	0.01	0.01	0	0	0.01	0.1
Anaerofustis	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0.05	0.01	0.01	0	0	0.1
Ancylobacter	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0.02	0	0	0.01	0	0	0	0	0	0	0.1
Aquincola	0.01	0.01	0	0	0	0	0	0	0.06	0.03	0	0	0	0	0	0	0.03	0.03	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0.01	0.02	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.1
Anaerobium	0	0	0	0	0.01	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.1
Agathobaculum	0	0	0	0	0.01	0	0	0	0	0	0	0	0.01	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0.02	0	0	0	0	0.01	0.01	0	0.03	0	0	0.01	0.01	0.01	0.1
Akkermansia	0.13	5.35	25.2	0.12	0.16	0.09	0.11	0.07	0.66	0.12	0.73	11.6	6.56	0.47	7.4	0.45	17.2	0.16	0.17	0.31	14.2	0.25	0.33	8.77	9.55	11.8	27.4	39.3	0.63	0.17	0.22	0.13	5.52	0.11	10.6	18.9	19.2	8.85	2.51	0.47	0.06	1.16	8.08	4.53	0.39	0.71	11.7	0.1
Altererythrobacter	0.01	0.01	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0.02	0	0	0	0	0.1
Bacilliculturomica	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.04	0	0	0.01	0.01	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0.01	0.05	0.13	0.28	0.02	0.07	0.06	0.08	0.21	0.03	0.05	0.02	0.14	0.1
Chelativorans	0.02	0.01	0.02	0.01	0.06	0.08	0	0.01	0	0	0.03	0	0	0.03	0	0.04	0	0	0.01	0	0.01	0.01	0.02	0.01	0	0	0	0.01	0.01	0.01	0.02	0.02	0	0	0.02	0	0	0.01	0.01	0.01	0	0	0.02	0	0.02	0	0	0.1
Clostridioides	0.04	0.11	0.04	0.06	0.09	0.04	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.1
Collinsella	0.01	0	0	0.03	0	0.03	0	0.01	0	0	0.01	0.02	0	0.01	0.01	0.01	0	0	0	0.02	0	0	0.02	0	0.01	0	0	0.03	0	0	0.01	0	0.01	0	0	0.02	0	0	0.01	0	0	0.01	0	0	0	0	0.01	0.1
Caldilinea	0.02	0	0	0	0.02	0.01	0.01	0.01	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0	0.01	0	0	0.1
Bilophila	0.9	0.3	0.13	0.77	0.92	0.19	0.32	0.58	0.6	0.53	0.23	0.26	0.22	0.44	0.28	0.63	0.31	0.19	0.47	0.11	0.51	0.07	0.19	0.45	0.46	0.66	0.25	0.18	0.07	1.02	1.56	1.82	0.89	0.92	0.68	0.08	0.05	0.05	0	0.02	0	0.02	0	0.07	0.02	0.09	0.05	0.1
Butyrivibrio	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.04	0.1
Caecibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0.01	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0.02	0	0.01	0.02	0.07	0.2	0.03	0	0.19	0.74	0.75	0.07	0.1
Leclercia	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.01	0.03	0.03	0.02	0.04	0.01	0.03	0.01	0.01	0.01	0.01	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.1
Litorilinea	0	0.01	0	0	0.02	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Longilinea	0	0.02	0.02	0	0.01	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Lacisediminimonas	0	0	0.02	0	0	0.02	0.01	0.01	0	0	0.01	0	0	0	0.04	0.02	0	0	0.01	0	0	0	0.04	0.03	0	0.01	0.01	0	0	0.01	0.02	0.01	0	0.03	0.02	0	0	0.01	0.07	0	0	0.01	0.01	0	0	0.01	0.04	0.1
Kofleria	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.02	0	0	0	0.1
Lachnotalea	0.07	0	0	0.2	0.02	0	0.28	0.05	0.01	0.08	0.28	0.08	0.03	0.01	0.02	0	0.01	0	0.04	0.21	0	0.28	0.11	0.07	0	0	0.07	0.01	0.01	0.23	0.05	0	0.13	0	0.03	0	0	0	0	0.01	0	0	0	0.01	0	0	0.01	0.1
Lacibacterium	0	0.01	0.02	0	0.01	0.02	0.01	0	0	0.01	0.01	0	0.02	0	0	0.01	0	0	0	0	0.01	0.03	0	0.01	0	0	0	0	0	0	0.03	0	0	0.01	0.01	0	0	0.01	0.01	0	0	0	0.02	0	0	0	0	0.1
Megasphaera	0.07	0	0.01	0.01	0	0	0	0	0.07	0	0.03	0	0	0	0.02	0	0.05	0	0	0.01	0	0	0	0.01	0.06	0	0.03	0.02	0	0	0	0	0.09	0	0.01	0	0.01	0	0	0	0.06	0	0.01	0	0	0	0	0.1
Paeniclostridium	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.01	0	0	0.1
Paludicola	0.01	0	0.02	0	0.04	0.02	0.01	0.02	0	0	0.01	0.03	0.01	0.01	0.01	0.06	0	0.03	0.02	0.01	0	0.01	0.04	0.04	0	0.01	0.02	0.02	0.04	0	0.02	0	0	0.02	0.01	0	0	0	0.07	0	0.05	0.01	0.07	0	0.02	0.01	0.01	0.1
Pantoea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.06	0.02	0.04	0.06	0.06	0.04	0.04	0	0.01	0.02	0	0.01	0.01	0	0	0	0.1
Muricomes	0	0.01	0.12	0	1.22	0.26	0.04	0.04	0.17	0	0.1	0.06	0.69	0.15	0.21	0	0.1	0.01	0	0	0.22	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.1
Merdimonas	0.32	0.01	0.03	0.12	0.03	0.15	0.5	0.37	0.12	0.34	0.16	0.94	0.1	0.55	0.32	0.99	0.13	0.06	0.35	0.54	0.12	0.5	0.72	0.46	1.62	0.29	0.44	1.48	0.24	1.13	1.35	1.05	0.7	0.32	0.4	0.14	0.03	0.12	0.23	0.25	0.83	0.43	0.43	0.28	0.48	0.33	0.14	0.1
Methylobacillus	0	0	0	0	0	0.03	0	0	0	0.01	0	0	0	0.05	0	0	0	0.03	0	0	0	0.07	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0.05	0	0	0	0.01	0	0	0	0.07	0	0.1
Mucispirillum	0.56	0.06	0.06	0.07	0.46	0.14	0.05	1.68	0.16	0.03	0.08	0	0.22	0.03	0.02	0.03	0.07	0.03	0.01	0.03	0.5	0	0	0	0.89	0.09	0.03	0.03	0.05	0.91	0.6	0.26	0.58	0	0.31	0.02	0.01	0.02	0.01	0.19	0.07	0	0	0	0.03	0.27	0.24	0.1
Geosporobacter	0	0	0.01	0.01	0	0.01	0	0	0.01	0	0.01	0.01	0.01	0.03	0	0	0	0	0	0	0.02	0.03	0.04	0	0.01	0	0.02	0	0	0.01	0.02	0.01	0.01	0	0	0.02	0.03	0.02	0	0.03	0	0	0	0	0	0	0.02	0.1
Geothrix	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.1
Gordonia	0	0	0.01	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0.1
Gemmatirosa	0.02	0.01	0.03	0.01	0.03	0.02	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0.01	0	0	0	0	0	0	0	0.02	0	0	0	0	0.01	0	0	0	0	0	0	0	0.01	0.02	0.02	0	0.1
Frisingicoccus	0.18	0.11	0.03	0.15	0.06	0.08	0.13	0.15	0.31	0.16	0.17	0.22	0.05	0.14	0.04	0.2	0.02	0.02	0.08	0.1	0.1	0.03	0.08	0.08	0.07	0.09	0.1	0.04	0.06	0.11	0.07	0.09	0.05	0.06	0.05	0.53	0.19	1.09	0.92	1.05	0.81	2.74	1.29	0.66	0.57	1.34	0.2	0.1
Fusicatenibacter	0.03	0.04	0.04	0.1	0.05	0.04	0.1	0	0.04	0.04	0.02	0.06	0.07	0.02	0.07	0	0	0.04	0.01	0.05	0.05	0	0.05	0	0.03	0.07	0	0.1	0.05	0	0.03	0.01	0.02	0.04	0.05	0.14	0.06	0.02	0.14	0.03	0.04	0.08	0.01	0.02	0.05	0.01	0.07	0.1
Gemella	0	0	0	0	0.02	0.01	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0	0.02	0.01	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.03	0	0.1
Gordonibacter	0	0	0.01	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0.03	0.02	0	0	0.01	0.01	0.03	0.01	0.01	0.02	0.1
Insolitispirillum	0.01	0	0.03	0.04	0	0.01	0	0	0	0	0	0.01	0	0.01	0	0.02	0	0.01	0.01	0.09	0	0.01	0.02	0	0	0	0	0.01	0	0	0	0	0.01	0	0	0.02	0.07	0	0.03	0	0	0.01	0.02	0.03	0	0.01	0.02	0.1
Intestinibacter	0	0.01	0.02	0.02	0	0.04	0.02	0.01	0	0.01	0.03	0.01	0	0.01	0	0	0	0	0.04	0.01	0.01	0	0.01	0.02	0	0.01	0.02	0.02	0	0.01	0.02	0	0	0.01	0.01	0.02	0	0	0.01	0.02	0	0.01	0.02	0	0	0.01	0.01	0.1
Janthinobacterium	0	0.01	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0.01	0.02	0	0	0	0	0	0	0.01	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0.1
Ileibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.01	0.02	0.03	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.1
Helicobacter	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.02	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.1
Holdemania	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0.03	0.02	0.03	0.03	0.05	0.03	0.04	0.01	0.01	0.03	0.01	0.1
Hyphomicrobium	0	0.01	0	0.01	0.02	0.02	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.01	0	0.01	0.01	0	0	0	0	0	0	0.01	0	0.1
