Genus	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90	All
Unassigned	33.7	20.3	11.1	29	10.2	28.8	17.4	17.5	28	26.6	12.1	23.3	7.74	10.6	11.6	16.5	11.2	15.8	24.8	18.4	6.5	14.3	10.6	18.1	16	11.5	16.1	8.45	20.5	23.8	23.7	22.9	13.1	16.8	8.57	13.9	18.4	29.8	23.2	26.1	17.2	22.4	29.5	18.3	15.1	19.7	16.6	21.9
Kineothrix	8.45	8.56	6.79	3.98	13.9	3.35	12.1	8	10.9	11.6	8.38	7.09	11.2	14.3	7.12	5.85	7.4	5.72	5.14	3.76	11.6	6.12	8.01	7.3	13.8	8.4	4.42	3.43	6.01	13.6	11.6	16.8	14.5	11.2	13	8.76	7.93	7.7	4.69	11.6	18.3	10.4	4.07	13.9	18.1	12.8	11.3	4.6
Lacrimispora	7.4	12	13.9	5.05	19.3	6.48	10.9	8.33	11.8	17.3	8.3	11.4	14.1	14.3	16.5	8.17	16.5	5.61	13.2	5.18	20.3	12.8	7.61	15	21.1	14.1	12.7	6.13	6.49	12.9	9.48	9.66	22.9	13.9	25.5	6.99	4.3	1.18	2.57	1.96	5.1	2.74	1.13	4.89	10.3	12.4	6.41	2.7
Roseburia	0.27	0.19	0.25	0.77	0.24	0.45	0.52	0.77	0.16	0.15	0.29	0.17	0.27	0.2	0.62	0.12	0.63	0.79	0.67	0.91	0.28	0.29	0.47	0.15	0.15	0.28	0.2	0.18	1.35	0.78	0.84	0.26	0.17	0.55	0.24	0.32	0.18	1.06	0.74	0.98	2.16	3.53	1.27	4.62	1.24	0.51	1.01	2.5
Flintibacter	2.44	1.17	1.47	3.7	4.86	3.68	4.81	5.4	2.26	1.72	4.45	2.47	2.52	2.98	2.01	0.96	2.89	0.99	1.83	2.58	2.97	2.08	1.33	2.89	1.91	1.88	1.45	1.16	1.73	2.52	3.87	4.6	3.56	3.76	2.03	0.25	0.23	0.29	0.19	1.12	1.42	0.08	0.34	0.23	1.23	0.46	0.31	2.5
Blautia	1.5	1.03	0.79	2.38	1.58	0.93	2.43	2.02	0.56	1.62	1.57	1.1	1.43	0.96	0.64	0.32	1.22	1.46	0.61	1.98	1.02	2.25	1.76	1	0.95	2.2	1.53	1	0.84	3.04	1.21	0.79	1.08	1.69	0.56	0.93	0.53	0.58	0.47	0.87	0.45	1.2	0.57	0.44	1.12	0.59	0.87	2.2
Enterocloster	8.42	3.37	0.82	5.27	3.07	2.69	4.53	2.17	3.01	4.12	3.78	3.3	1.37	1.05	1.67	2.83	1.66	3.82	1.98	3.22	1.08	2.2	2.88	4.19	6.27	5.47	2.23	1.51	3.08	3.14	3.99	6.54	5.91	4.18	2.7	0.76	0.46	0.78	0.78	3.39	5.4	1.64	0.86	1.19	1.92	7.79	0.55	2.2
Acetatifactor	4.67	1.16	0.71	3.43	1.37	1.75	5.59	5.92	2.09	2.38	1.52	1.49	1.3	3.32	2.97	2.84	2.53	2.83	3.94	2.39	1.77	2.6	3.57	1.85	1.45	1.01	1.47	1.15	3.7	3.17	4.2	6.07	2.22	4.65	0.66	0.96	0.77	1.36	1.15	1.8	2.68	2.07	1.34	1.65	3.5	2.79	1.86	2.1
Duncaniella	1.47	3.38	2.88	1.94	1.98	3.58	3.62	1.81	1.08	2.11	3.69	1.72	3.93	2.02	2.39	1.18	1.89	4.94	2.62	5.53	2.19	4.34	5.62	3.04	1.63	4.86	2.73	2.44	4.83	1.53	1.86	0.94	1.23	2.96	2.36	3.93	3.75	1.45	1.07	4.91	0.72	1.66	3.18	2.71	1.01	2.24	3.67	1.9
Clostridium_XlVa	1.58	0.68	0.26	1.23	0.79	0.93	0.62	1.77	0.63	0.25	0.68	0.4	0.5	0.8	0.43	1.12	1.31	1.31	3.46	1.7	0.32	1.6	0.57	0.55	0.33	0.67	0.77	1.73	2.42	1.22	1.02	3.89	1.08	0.71	0.76	1.28	1.15	2.15	4.59	1.73	7.09	2.94	2.04	7.7	14.5	2.86	2.5	1.9
Oscillibacter	1.52	0.35	0.64	1.52	1.24	1.36	1.39	1.64	0.53	0.73	1.2	0.62	0.7	1.27	0.73	0.38	0.89	0.55	1.17	0.65	1.01	0.5	0.59	1.15	0.28	0.58	1.05	0.82	1.07	1.45	1.73	1.63	1.33	2.15	0.65	0.1	0.02	0.08	0.07	0.97	1.09	0.11	0.1	0.19	0.72	0.42	0.08	1.9
Bacteroides	0.76	2.55	3.11	3.21	1.34	2.01	0.77	0.96	0.84	1.36	2.86	0.94	2.67	0.71	0.43	0.28	0.71	2.76	0.92	2.7	1.13	0.65	0.68	1.08	0.61	3.93	0.65	0.51	1.91	0.94	1.37	0.65	1	1.54	1.65	0.23	0.27	0.48	0.1	0.37	0.52	0.32	0.3	0.33	0.19	0.2	0.67	1.7
Paramuribaculum	0.37	1.11	1.45	0.91	1.22	1.65	1.88	0.94	0.66	0.89	1.89	1.68	1.05	1.17	1.14	1.31	0.62	2.14	1.57	3.05	1.04	2.83	2.87	2.31	1.03	1.83	1.17	1.07	2.4	0.97	0.84	0.47	0.45	1.41	0.8	0.64	0.73	0.8	0.6	1.09	0.48	0.77	1.18	0.56	0.28	0.83	0.77	1.6
Clostridium_IV	0.75	0.65	0.96	1.49	1.44	1.18	1.16	0.88	0.75	1.18	0.74	0.85	0.74	1.36	0.97	1.28	0.94	0.6	1.22	0.6	1.68	0.66	0.66	1.04	0.57	0.54	0.58	0.7	0.47	1.25	1.36	0.86	1.18	1.05	0.48	0.25	0.15	0.19	0.08	0.63	0.22	0.1	0.08	0.22	0.14	0.3	0.24	1.4
Lachnospiracea_incertae_sedis	1.26	4.11	0.84	2.23	1.4	1.89	1.5	1.22	1.37	1.14	2.01	0.99	1.02	1.76	6.99	0.62	0.85	0.91	0.8	1.19	3.07	1.23	1.63	3.66	1.1	2.7	0.97	2.78	4.49	2.19	2.34	0.83	1.3	0.62	1.9	1.01	1.23	5.53	3.33	3.35	2.18	3.78	4.15	5.89	3.06	0.58	4.27	1.4
Lawsonibacter	0.46	0.1	0.28	2.16	0.44	0.53	0.83	0.42	0.39	0.14	0.52	0.78	0.25	0.33	0.15	0.73	0.38	0.21	0.2	0.18	0.61	0.12	0.22	0.3	0.22	0.28	0.13	0.14	0.34	0.48	1.01	1.72	0.93	0.77	1.36	0.13	0.07	0.28	0.06	0.61	0.52	0.17	0.09	0.06	0.16	0.14	0.06	1.2
Mediterraneibacter	0.44	0.96	0.3	0.27	0.98	0.67	0.45	0.37	0.71	0.68	0.33	0.5	0.85	0.7	0.59	0.36	0.34	0.2	0.5	0.28	0.54	0.3	0.56	0.12	0.45	0.11	0.2	0.1	0.28	0.65	0.36	0.29	0.22	0.2	1.22	0.35	0.45	0.29	0.89	0.3	0.91	0.29	0.56	1.48	0.75	0.71	1.17	1.1
Veillonella	0	0.01	0.02	0.06	0	0.13	0	0.02	0.03	0.01	0.03	0.08	0.01	0.1	0.28	0.41	0.41	0.48	0.39	0.68	0.29	0.4	0.1	0.06	0.04	0.08	0.1	0.12	0.02	0.11	0.06	0.17	0.16	0.18	0.2	0.22	0.13	0.23	0.05	0.16	0.04	0.03	0.07	0.08	0.01	0.14	0.03	1.1
Eisenbergiella	5.59	2.23	0.94	8.56	2.96	2.57	2.94	5	1.17	4.17	1.13	3.54	1.6	1.14	2.4	6.57	1.83	2.3	2.14	2.2	2.21	3.4	2.54	3.72	2.28	2.04	2.17	1.48	1.6	5.03	6.65	2.69	3.91	6.51	2.15	1.46	0.66	0.92	1.35	1.68	7.22	5.28	1.82	4.41	5.26	2.77	2.6	1.1
Vallitalea	0	0.01	0	0.01	0.04	0.1	0.05	0.02	0	0	0.03	0	0.06	0.01	0.01	0.01	0	0	0	0.02	0.05	0	0	0	0	0	0	0.01	0.01	0	0	0.01	0.03	0.01	0.02	0.26	0.7	1.74	1.95	0.37	0.33	0.48	0.87	0.16	0.08	0.32	1.07	1.0
Eubacterium	0.45	0.13	1.26	0.99	0.73	3.3	2.09	2.18	0.24	0.42	4.64	1.56	2.85	9.52	6.61	11.3	12.1	1.36	1.75	7.42	1.12	1.34	9.32	0.11	0.32	0.11	0.16	2.81	0.26	0.52	0.79	0.44	0.59	0.4	0.92	0.11	0.16	2.48	0.36	0.09	0.06	0.12	0.21	0.56	0.24	0.03	1.53	0.9
Neglecta	0.25	0.17	0.22	0.06	0.08	0.06	0.15	0.17	0.16	0.14	0.11	0.17	0.04	0.31	0.09	0.37	0.06	0.16	0.13	0.06	0.07	0.11	0.11	0.17	0.14	0.09	0.08	0.11	0.14	0.06	0.04	0.1	0.09	0.1	0.06	0.01	0.1	0.24	0.12	0.42	0.32	0.71	0.51	0.24	0.51	0.1	0.23	0.9
Adlercreutzia	0.04	0.1	0.02	0.04	0.02	0.02	0.09	0.06	0.02	0.03	0.06	0.05	0.04	0.14	0.1	0.17	0.01	0.03	0.09	0.05	0.04	0.03	0.06	0.09	0.04	0.09	0.06	0.06	0.1	0.02	0.03	0.03	0.05	0.09	0.1	0.08	0.25	0.4	0.29	0.11	0.03	0.17	0.27	0.11	0.04	0.1	0.18	0.9
Alkaliphilus	0	0	0.02	0.03	0.06	0.04	0.01	0.01	0	0	0.01	0.08	0.02	0	0.04	0.01	0	0	0	0.11	0.08	0	0.02	0.02	0	0	0.01	0.05	0.06	0.02	0.15	0.04	0.05	0.07	0.1	18.5	21.6	4.97	11.9	4.73	0.27	0.24	3.48	2.83	0.15	2.17	8.39	0.9
Muribaculum	0.44	0.81	0.81	0.5	0.55	1.09	0.66	0.6	0.55	0.66	1.33	0.63	0.85	0.93	0.51	0.61	0.59	1.1	0.64	1.52	0.92	1.12	1.22	1.11	0.51	1.66	0.7	0.86	1.4	0.49	0.6	0.35	0.49	0.72	0.74	2.21	1.35	0.67	0.63	1.97	0.47	0.77	1.1	1.59	0.58	1.24	1.44	0.9
Christensenella	0.01	0.01	0.01	0.03	0	0.02	0.03	0.01	0.01	0.01	0	0.03	0.03	0.02	0.01	0.04	0.02	0	0	0	0	0	0.04	0.02	0	0	0	0.01	0	0.01	0.01	0	0.02	0.01	0	0.19	0.12	0.28	0.25	0.11	0.04	0.14	0.75	0.05	0.04	0.15	0.17	0.9
Alistipes	0.43	0.41	0.43	0.7	0.19	0.72	1.15	0.2	0.84	0.36	0.49	0.35	1.32	0.15	0.16	0.38	0.38	1.87	0.62	0.8	0.45	0.92	0.58	0.39	0.4	0.56	0.48	0.35	0.84	0.24	0.46	0.32	0.41	0.47	0.28	0.98	0.38	0.16	0.11	0.51	0.28	0.26	0.19	0.33	0.13	0.35	0.45	0.9
Harryflintia	0.24	0.18	0.15	0.2	0.48	0.28	0.26	0.38	0.29	0.26	0.28	0.1	0.23	0.18	0.09	0.11	0.22	0.09	0.07	0.16	0.11	0.08	0.16	0.23	0.21	0.31	0.15	0.05	0.07	0.08	0.09	0.11	0.18	0.14	0.4	0.02	0.01	0.05	0.05	0.12	0.04	0.07	0.01	0.03	0.08	0.06	0.03	0.9
Bifidobacterium	0.3	0.56	0.22	0.21	0.55	0.47	0.14	0.46	0.27	0.22	1.68	0.56	0.14	0.17	0.09	0.24	0.15	0.43	0.23	0.47	0.06	0.29	0.58	0.31	0.14	0.18	0.17	0.31	0.16	0.16	0.19	0.14	0.25	0.25	0.41	0.2	0.13	0.45	1.64	0.31	0.16	0.78	1.49	0.07	0.11	0.11	0.16	0.8
Streptococcus	0.27	0.5	0.53	0.27	0.49	0.69	0.24	0.13	0.22	0.15	0.18	0.21	0.37	0.21	0.23	0.19	0.16	0.29	0.26	0.29	0.22	0.26	0.75	0.39	0.3	0.47	0.5	0.3	0.49	0.5	0.24	0.17	0.11	0.25	0.3	0.21	0.48	0.55	0.66	0.43	0.31	0.31	0.38	0.25	0.12	0.36	0.3	0.8
Saccharibacteria_genera_incertae_sedis	0.01	0.04	0.01	0.02	0.03	0.05	0.06	0.07	0	0.02	0	0.01	0.01	0.02	0.09	0	0.05	0.01	0	0.05	0	0	0	0.01	0	0.02	0.18	0.02	0.01	0	0.01	0.02	0.01	0.13	0	0.3	0.2	0.25	0.89	0.19	0.36	0.48	0.48	0.12	0.09	0.17	0.26	0.8
Intestinimonas	0.95	0.29	0.37	0.59	1.39	0.9	1.24	1.12	0.52	0.27	0.75	0.46	0.58	0.63	0.38	0.45	0.59	0.24	0.68	0.19	0.74	0.46	0.5	0.85	0.32	0.85	0.23	0.16	0.23	0.2	0.86	0.43	0.45	0.79	0.12	0.4	0.21	0.2	0.1	0.37	0.27	0.2	0.14	0.2	0.06	0.21	0.62	0.8
Ruminococcus2	0.1	0.09	0.03	0.24	0.08	0.03	0.23	0.05	0.06	0.19	0.06	0.06	0.1	0.01	0.08	0.05	0.05	0.23	0.08	0.3	0.04	0.03	0.12	0	0.02	0.06	0.05	0.03	0.16	0.06	0.16	0.03	0.05	0.03	0.04	0.08	0.05	0.25	0.23	0.13	0.07	0.12	1.05	0.12	0.54	0.16	0.09	0.7
Anaerotignum	0.06	0.09	0.04	0.33	0.2	0.1	0.11	0.15	0.09	0.13	0.09	0.02	0.27	0.12	0.04	0	0.06	0.05	0.03	0.12	0.11	0.05	0.06	0.05	0.09	0.05	0.05	0.04	0.01	0.13	0.11	0.03	0.11	0.01	0.28	0.02	0.07	0.15	0.17	0.04	0.04	0.03	0.1	0.13	0.27	0.06	0.12	0.7
Ruminococcus	0.15	0.03	0.24	0.1	0.09	0.69	0.11	0.26	0.16	0.02	0.03	0.32	0.48	0.57	0.31	0.11	0.94	0.15	0.47	0.78	0.28	0.21	0.39	0.12	0.04	0.02	0.16	0.26	0.47	0.09	0.13	0.03	0.04	0.21	0.03	0.04	0.05	0.05	0.17	0.21	0.15	0.08	0.12	0.1	0.04	0.17	0.12	0.6
Enterobacter	0.01	0.04	0.12	0.1	0.02	0.09	0.01	0	0.01	0.03	0.11	0.05	0.08	0	0.14	0.19	0.2	0.25	0.19	0.22	0.07	0.16	0.02	0.02	0.02	0.02	0.04	0.04	0	0.04	0.07	0.13	0.12	0.13	0.13	0.14	0.19	0.15	0	0.01	0.04	0	0.05	0.04	0.02	0.05	0.01	0.6
Phocaeicola	0.05	0.18	0.11	0.38	0.07	0.18	0.04	0.04	0.01	0.13	0.08	0.01	0.24	0.05	0.04	0.01	0.08	0.14	0.05	0.24	0.1	0.07	0.06	0.03	0.02	0.21	0.05	0.03	0.04	0.06	0.13	0	0.1	0.11	0.15	0.02	0	0.02	0.04	0.03	0.08	0.01	0.01	0.01	0.01	0.04	0	0.6
Acetivibrio	0.32	0.04	0.29	0.12	0.06	0.37	0.54	0.75	0.37	0.02	1.46	0.68	0.03	0.14	0.11	2.68	0.03	0.34	0.2	0.56	0.04	0.35	0.75	0.22	0.01	0.09	0.34	0.41	0.17	0.09	0.13	0.21	0.02	0.03	0.07	0.03	0.13	0.18	0.12	0.25	0.08	0.18	0.42	0.32	0.08	0.28	0.11	0.5
Coprococcus	0.01	0.01	0.02	0.02	0.02	0.03	0.03	0	0.03	0.03	0.02	0.03	0.01	0.03	0.05	0.01	0.05	0.08	0.02	0.07	0.08	0.05	0.03	0.02	0	0.08	0.01	0.03	0.01	0.01	0.03	0.01	0	0.04	0.01	0.02	0	0.01	0.11	0.02	0.04	0.07	0	0.03	0.02	0.01	0.07	0.5
Clostridium_sensu_stricto	0.19	0.02	0.07	0.09	0.14	0.08	0.35	0.18	0.45	0.34	0.09	0.03	2.34	0.1	0.53	0.7	0.46	3.6	1.45	1.95	0.68	2.1	3.22	0.56	0.51	4.65	0.79	0.76	1.08	0.42	0.03	0.04	0.05	0.06	0.05	0.05	0.09	0.16	0.5	0.42	0.28	0.34	0.51	0.29	0.24	0.29	0.06	0.5
Butyricimonas	0.03	0.05	0.01	0.07	0.04	0.26	0.06	0.05	0.08	0.03	0.07	0.12	0.1	0.03	0.02	0.04	0.04	0.15	0.11	0.06	0.08	0.13	0.06	0.03	0.03	0.06	0.09	0.01	0.11	0.03	0.08	0.04	0.05	0.07	0.04	0	0	0	0	0.02	0	0	0	0	0	0	0.01	0.5
Anaerotruncus	0.68	0.58	0.17	0.45	0.55	0.25	0.36	0.8	0.52	0.28	0.43	0.23	0.62	0.33	0.2	0.2	0.28	0.2	0.14	0.2	0.55	0.3	0.13	0.4	0.27	0.7	0.15	0.17	0.16	0.08	0.08	0.15	0.73	0.4	0.36	0.02	0.01	0.01	0	0.09	0.04	0	0	0	0.02	0.02	0.03	0.5
Butyricicoccus	0.04	0.17	0.22	0.13	0.09	0.15	0.16	0.53	0.15	0.17	0.08	0.08	0.08	0.49	0.26	0.06	0.09	0.15	0.04	0.19	0.18	0.11	0.17	0.2	0.07	0.21	0.07	0.06	0.05	0.13	0.14	0.22	0.13	0.11	0.32	0.04	0.31	0.55	0.59	0.46	1.2	1.74	0.31	0.34	1.38	0.42	0.23	0.5
Phocea	0.17	0.15	0.09	0.3	0.14	0.13	0.19	0.12	0.23	0.18	0.16	0.07	0.11	0.09	0.09	0.17	0.09	0.08	0.12	0.07	0.11	0.14	0.05	0.11	0.06	0.24	0.08	0.03	0.04	0.14	0.12	0.19	0.23	0.29	0.24	0.02	0	0.01	0	0.1	0.07	0	0.01	0.05	0.04	0.06	0.04	0.4
Parabacteroides	0.03	0.08	0.04	0.09	0.03	0.07	0.03	0	0.05	0.05	0.08	0.04	0.07	0.01	0.02	0.03	0.04	0.12	0.05	0.12	0.04	0.04	0	0.01	0.13	0.18	0.08	0.03	0.12	0.04	0.03	0.01	0.07	0.03	0.12	0.03	0.01	0	0.01	0.04	0.01	0.04	0	0	0	0	0.02	0.4
Apilactobacillus	0	0	0.1	0.02	0	0	0	0	0	0.02	0.06	0.03	0	0.01	0	0	0.01	0.07	0.03	0.05	0	0	0.01	0.01	0.1	0.08	0.01	0.02	0	0	0	0	0.06	0.06	0.01	0.01	0	0.01	0.09	0	0.1	0.05	0.1	0.01	0	0.03	0.01	0.4
Stomatobaculum	0.25	0.42	3.83	0.12	0.16	0.35	0.61	0.52	0.11	0.06	0.23	0.34	0.09	0.4	0.29	0.22	0.24	0.09	0.21	0.21	0.2	0.11	0.14	0.2	0.14	0.3	0.07	0.11	1.98	0.55	0.64	0.42	0.26	0.45	0.13	0.04	0.06	0.07	0.2	0.26	0.34	0.39	0.18	0.21	0.67	0.21	0.19	0.4
Anaerobutyricum	0.18	0.41	0	0.25	0.07	0.11	0.18	0.41	0.32	0.08	0.03	0.04	0.05	0.03	0.05	0.04	0.03	0.53	0.24	0.67	0.04	0.51	0.65	0.03	0.01	0.06	0.01	0.08	0.24	0.55	0.56	0.05	0.27	0.35	0.05	0.04	0.04	0.04	0.03	0.02	0.05	0.04	0.01	0.02	0.03	0.03	0.03	0.4
Amedibacillus	0	0	0.01	0	0.02	0.01	0.01	0.02	0	0.03	0.01	0.03	0	0.16	0.04	0.48	0.11	0.04	0.03	0.04	0.02	0.08	0.01	0.17	0.01	0.04	0.03	0.01	0.02	0	0	0.02	0.01	0.02	0	0.05	0.05	0.24	0.23	0.31	0.05	0.29	0.3	0.02	0.04	0.03	0.11	0.4
Faecalibacterium	0.19	0.18	0.19	0.18	0.19	0.18	0.21	0.07	0.23	0.13	0.16	0.17	0.14	0.17	0.23	0.12	0.19	0.2	0.09	0.16	0.09	0.19	0.31	0.09	0.18	0.1	0.12	0.19	0.19	0.06	0.3	0.06	0.19	0.15	0.11	0.16	0.13	0.23	0.39	0.15	0.17	0.13	0.15	0.13	0.09	0.1	0.23	0.4
Bombella	0	0.03	0.18	0.02	0	0	0	0.01	0	0.03	0.26	0.05	0	0	0	0	0	0.01	0.17	0.02	0	0	0.01	0	0	0.03	0.32	0.03	0	0.01	0	0	0	0.01	0.19	0.03	0	0	0	0.01	0	0.02	0.24	0.03	0	0	0	0.4
Flavonifractor	0.75	0.76	0.83	1.28	0.76	0.29	0.8	1.55	0.52	0.75	2.12	0.65	0.41	1	0.36	0.22	0.58	0.33	0.45	1.77	0.65	0.27	0.35	1.1	0.77	0.25	0.42	0.44	1.03	0.53	0.44	0.73	1.47	0.57	0.93	0.05	0.01	0.04	0.06	0.09	0.24	0.05	0.08	0.05	0.33	0.08	0.03	0.4
Hungatella	0.03	0.03	0.29	0.05	0.81	0.03	0.07	0.06	0.08	0.1	0.09	0.03	0.72	0.26	0.16	0.02	0.22	0.05	0.07	0.04	0.67	0.02	0.05	0.01	0.06	0.08	0.14	0.05	0.04	0.04	0.12	0.04	0.08	0.08	0.1	0.12	0.14	0.09	0.47	0.39	0.49	0.37	0.4	0.29	0.81	0.63	0.14	0.4
Anaerocolumna	1.01	0.97	0.62	0.8	0.9	1.78	0.5	3.51	0.63	1.74	0.35	0.6	0.37	0.54	0.67	0.35	0.58	0.83	8.37	1.9	1.03	4.64	2.21	0.54	1.06	0.52	0.42	0.27	1.3	0.95	0.59	0.26	1.23	0.91	0.89	6.09	5.51	6.37	5.97	2.28	4.56	1.24	3.93	7.37	2.04	8.94	6.6	0.4
Faecalibaculum	0.67	12.7	5.5	0.21	8.3	2.58	0.53	2.99	9.61	2.92	10	4.82	5.93	4.25	4.58	6.28	0.27	16.4	2.53	3.61	2.44	9.1	6.53	5.92	2.08	0.8	2.43	6.43	10.2	0.93	1.24	1.22	0.41	2.83	5.29	0.58	0.72	0.62	2.31	0.1	0.06	0.5	0.78	0.61	0.26	0.91	0.58	0.4
Lachnospira	0.41	0.02	0.06	0.41	0.03	0.35	0.03	0.01	0.05	0.04	0.04	0.01	0	0.01	0.05	0.02	0.07	0.38	0.73	0.7	0	0.24	0.11	0.02	0.07	0.01	0.04	0.01	0.77	0.03	0.02	0.02	0.08	0.01	0.04	0.04	0.01	0.06	0.05	0.14	0.05	0.03	0.11	0.08	0.02	0.03	0.1	0.4
Barnesiella	0.18	0.31	0.53	0.43	0.5	1	0.4	0.36	0.33	0.44	0.55	0.37	0.75	0.1	0.26	0.14	0.47	1	0.38	0.6	0.18	0.64	0.65	0.22	0.22	0.53	0.37	0.27	0.47	0.1	0.28	0.15	0.18	0.59	0.46	0.14	0.21	0.29	0.19	0.17	0.03	0.09	0.14	0.1	0.05	0.06	0.17	0.4
Klebsiella	0.01	0.07	0.02	0.02	0.11	0.14	0.01	0	0.01	0.02	0.01	0.04	0.09	0.1	0.15	0.14	0.15	0.28	0.14	0.28	0.28	0.23	0	0	0.01	0.05	0	0.05	0.09	0.03	0.02	0.01	0.01	0.03	0.06	0.09	0.12	0.08	0	0.01	0	0.05	0	0.05	0.05	0.05	0	0.4
Acinetobacter	0.02	0.06	0.01	0.01	0	0.02	0	0	0.01	0.06	0.01	0	0.01	0	0.06	0.07	0.06	0.18	0.08	0.07	0.04	0.05	0.13	0.13	0.06	0.18	0.12	0.11	0.09	0.06	0	0	0	0.02	0.01	0.03	0.01	0	0.05	0.09	0.03	0.12	0.09	0.09	0.06	0.03	0	0.4
Syntrophococcus	0.2	0.21	0	0.15	0.02	0	0.03	0.01	0.05	0.16	0.07	0.13	0	0.02	0.11	0	0	0	0	0	0	0.02	0	0.01	0.21	0	0	0.01	0.01	0.01	0	0.01	0	0.03	0.15	0	0.1	0.09	0.02	0.03	0.01	0.07	0.04	0.24	0.16	0.1	0.03	0.4
Desulfovibrio	0.05	0.05	0.1	0.05	0.05	0.04	0.02	0.09	0.04	0.02	0.11	0.06	0.07	0.06	0.01	0.08	0.05	0.05	0.08	0.07	0.04	0.03	0.01	0.09	0.02	0.06	0.1	0.04	0.02	0.01	0.03	0.06	0.02	0.07	0.07	0.06	0.06	3.21	6.35	9.75	2.4	14.2	6.1	0.11	0.17	0.1	0.14	0.3
Gemmiger	0.06	0.09	0.02	0.04	0.05	0.02	0.11	0.05	0.11	0.06	0.05	0.07	0.06	0	0.12	0.03	0.09	0.09	0.05	0.07	0.02	0	0.09	0.02	0.06	0.1	0.08	0.07	0.08	0.01	0.09	0.05	0.08	0.02	0.02	0.05	0.04	0.01	0.17	0.01	0.03	0.05	0.04	0.04	0.03	0	0.15	0.3
Breznakia	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32	0.12	0.01	0	0.25	0.02	0.21	0.04	0.03	0	0.05	0.09	0.3
Acutalibacter	0.13	0	0.06	0.1	0.26	0	0.3	0.55	0.29	0.01	0.13	0.06	0.16	0.7	0.24	0.53	0.3	0.09	0.13	0.11	0.08	0.09	0.17	0.12	0	0.06	0.15	0.13	0.07	0.05	0.41	0.03	0.19	0.06	0.16	0.06	0.02	0.25	0.3	0.22	0.19	0.18	0.29	0.01	0.19	0.34	0.14	0.3
Melissococcus	0	0	0.26	0.13	0.03	0.05	0	0	0.02	0	0.18	0.2	0.07	0.08	0	0	0	0	0.17	0.15	0.02	0.03	0	0	0.01	0.01	0.15	0.12	0.03	0.03	0	0.01	0	0	0.19	0.2	0.02	0.05	0.03	0	0.01	0.01	0.29	0.1	0.03	0.17	0	0.3
Clostridium_XlVb	0.04	0	0	0	0	0.01	0	0	0.05	0.1	0	0	0	0	0.01	0.03	0	0.01	0	0.02	0	0	0.01	0	0	0	0	0	0.04	0.01	0	0	0	0	0	0	0.02	0.04	0.03	0.01	0.03	0.27	0.03	0.04	0.33	0.07	0.01	0.3
Turicimonas	0	0	0.01	0.01	0	0	0	0	0	0	0.01	0	0	0	0.01	0.02	0	0.01	0.01	0.02	0.01	0	0.01	0.04	0	0.01	0.02	0	0	0	0	0	0	0	0	0	0.01	0	0.1	0	0	0.02	0.01	0	0	0	0.02	0.3
Faecalimonas	0.12	0.21	0.08	0.14	0.35	0.22	0.22	0.29	0.38	0.22	0.24	0.27	0.19	0.25	0.24	0.05	0.14	0.06	0.07	0.21	0.23	0.15	0.19	0.07	0.2	0.7	0.12	0.06	0.09	0.18	0.24	0.1	0.17	0.12	0.1	1.31	0.27	0.68	0.6	0.87	1.12	0.97	0.36	0.81	1.32	1.19	0.86	0.3
Anaerostipes	0.03	0.16	0.04	0.01	0.12	0.2	0.08	0.02	0.1	0.08	0.04	0.01	0.09	0.15	0.06	0.01	0.12	0.15	0.02	0.04	0.05	0.12	0.07	0.01	0.08	0.09	0.01	0.02	0.08	0.05	0.07	0.04	0.05	0.15	0.02	0.03	0.06	0.13	0.07	0.06	0.05	0.09	0.04	0	0.05	0.12	0.06	0.3
Staphylococcus	0.01	0.03	0.02	0.01	0.04	0.08	0.2	0.12	0.19	0.15	0.24	0.14	0.33	0.32	0.03	0.04	0.02	0.03	0.03	0.04	0.04	0.03	0.04	0.02	0.08	0.03	0.07	0.05	0.04	0.01	0.01	0	0.01	0.01	0.03	0.03	0.02	0	0.18	0.14	0.14	0.2	0.19	0.13	0.13	0.29	0.19	0.3
Anaerotaenia	0.08	0.03	0.04	0.92	0.19	0.26	0.21	0.56	0.15	0.31	0.7	0.42	0.26	0.16	0.03	0.64	0.27	0.34	0.43	0.24	0.01	0.31	0.3	0.05	0.74	0.03	0.48	0.01	0.01	0.14	0.01	0.27	0.08	0.12	0.11	0.04	0.01	0	0.01	0	0	0	0.02	0.01	0	0.48	0	0.3
Filifactor	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.07	0.07	0.07	0.05	0	0	0.01	0.01	0.2
