Family	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90	All
Kofleriaceae	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.02	0	0	0	0.1
Hyphomicrobiaceae	0	0.01	0	0.01	0.02	0.02	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.01	0	0.01	0.01	0	0	0	0	0	0	0.01	0	0.1
Paraconexibacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.02	0.01	0	0	0	0	0	0	0	0	0.01	0	0	0.02	0	0	0	0.01	0	0	0	0	0	0	0	0.1
Nocardiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.03	0.15	0.02	0.01	0	0.03	0.06	0.01	0.01	0	0	0.1
Micrococcaceae	0.03	0.07	0.02	0.07	0.05	0.05	0.02	0	0.03	0	0.04	0.02	0	0.02	0.02	0.03	0.05	0.02	0.02	0.04	0.02	0.04	0.06	0.06	0.02	0.04	0.03	0	0.06	0	0	0.01	0	0.02	0.01	0.03	0.04	0.03	0.05	0.07	0.02	0.09	0.03	0.01	0.05	0.03	0.01	0.1
Gemmatimonadaceae	0.02	0.01	0.03	0.01	0.03	0.02	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0.01	0	0	0	0	0	0	0	0.02	0	0	0	0	0.01	0	0	0	0	0	0	0	0.01	0.02	0.02	0	0.1
Frankiaceae	0.01	0.02	0	0	0.01	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.1
Desulfomicrobiaceae	0.06	0.07	0.06	0.13	0.11	0.19	0.03	0.04	0.05	0.02	0.09	0.09	0.08	0.02	0.03	0.12	0.02	0.01	0.01	0.05	0.01	0.02	0.04	0.05	0.02	0.08	0.02	0.01	0.02	0.04	0.01	0.1	0.09	0.02	0.09	0	0	0	0	0	0	0.01	0	0	0	0.02	0	0.1
Holophagaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.1
Helicobacteraceae	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.02	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.1
Gordoniaceae	0	0	0.01	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0.1
