Family	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90	All
Streptococcaceae	0.27	0.5	0.53	0.27	0.49	0.69	0.24	0.13	0.22	0.15	0.18	0.21	0.37	0.21	0.23	0.19	0.16	0.29	0.26	0.29	0.22	0.26	0.75	0.39	0.3	0.47	0.5	0.3	0.49	0.5	0.24	0.17	0.11	0.25	0.3	0.21	0.48	0.55	0.66	0.43	0.31	0.31	0.38	0.25	0.12	0.36	0.3	0.8
Clostridiaceae_1	0.19	0.02	0.08	0.09	0.14	0.09	0.35	0.18	0.45	0.34	0.1	0.03	2.35	0.1	0.53	0.7	0.46	3.6	1.45	1.95	0.68	2.1	3.22	0.56	0.51	4.65	0.79	0.76	1.08	0.42	0.03	0.04	0.05	0.07	0.05	0.09	0.41	0.17	0.52	0.44	0.38	1.14	0.52	0.31	0.26	0.36	0.08	0.7
Sutterellaceae	0	0.05	0.09	0.05	0.01	0	0.01	0	0	0.06	0.07	0.05	0	0	0.01	0.04	0	0.03	0.07	0.09	0.01	0.02	0.02	0.12	0.01	0.04	0.02	0.02	0	0	0	0	0.03	0.01	0.02	0.52	0.69	0.11	2.84	0.06	0.02	0.32	0.38	0.1	0.1	0.47	0.21	0.6
Comamonadaceae	0.04	0.03	0.19	0.02	0	0	0	0.01	0.07	0.06	0.16	0	0	0.01	0	0	0.03	0.08	0.14	0	0	0	0.02	0.01	0.1	0	0.11	0	0	0	0	0.01	0.02	0.05	0.18	0.01	0	0	0	0.01	0.03	0.02	0.16	0	0	0	0	0.5
Odoribacteraceae	0.03	0.05	0.01	0.07	0.04	0.26	0.06	0.05	0.08	0.03	0.07	0.12	0.1	0.03	0.02	0.04	0.04	0.15	0.11	0.06	0.08	0.13	0.06	0.03	0.03	0.06	0.09	0.01	0.11	0.03	0.08	0.04	0.05	0.07	0.04	0	0	0	0	0.02	0	0	0	0	0	0	0.01	0.5
Acetobacteraceae	0.01	0.04	0.18	0.02	0	0.02	0.01	0.02	0	0.03	0.26	0.05	0	0	0	0	0	0.01	0.17	0.03	0	0	0.01	0	0	0.03	0.32	0.03	0	0.02	0	0	0	0.01	0.19	0.03	0	0	0	0.01	0	0.02	0.24	0.03	0	0	0.01	0.5
Enterococcaceae	0.14	0.25	0.55	0.28	0.29	0.49	0.56	0.42	0.49	0.33	0.78	0.56	0.64	0.43	0.1	0.09	0.03	0.06	0.25	0.22	0.08	0.1	0.44	0.38	0.27	0.35	0.47	0.44	0.43	0.22	0.35	0.18	0.19	0.24	0.4	0.52	0.37	0.4	0.29	0.17	0.16	0.11	0.49	0.22	0.16	0.34	0.13	0.5
Clostridiales_Incertae_Sedis_XIII	0.18	0.1	0.1	0.22	0.21	0.21	0.16	0.19	0.09	0.16	0.17	0.12	0.16	0.4	0.33	0.28	0.13	0.13	0.1	0.25	0.12	0.26	0.28	0.24	0.05	0.15	0.17	0.07	0.17	0.16	0.15	0.09	0.07	0.15	0.15	0.09	0.16	0.42	0.1	0.14	0.09	0.18	0.32	0.06	0.06	0.03	0.28	0.5
Porphyromonadaceae	0.03	0.08	0.04	0.09	0.03	0.07	0.03	0	0.05	0.05	0.08	0.04	0.07	0.01	0.02	0.03	0.04	0.12	0.05	0.12	0.04	0.04	0	0.01	0.13	0.18	0.08	0.03	0.12	0.04	0.03	0.01	0.07	0.03	0.12	0.03	0.01	0	0.01	0.04	0.01	0.04	0	0	0	0	0.02	0.4
Moraxellaceae	0.02	0.06	0.02	0.01	0	0.02	0	0	0.01	0.06	0.02	0	0.02	0	0.06	0.07	0.06	0.18	0.09	0.07	0.04	0.05	0.13	0.14	0.06	0.18	0.12	0.13	0.09	0.07	0	0	0	0.02	0.01	0.03	0.01	0	0.05	0.09	0.03	0.12	0.11	0.09	0.06	0.03	0	0.4
Barnesiellaceae	0.18	0.31	0.53	0.43	0.5	1	0.4	0.36	0.33	0.44	0.55	0.37	0.75	0.1	0.26	0.14	0.47	1	0.38	0.6	0.18	0.64	0.65	0.22	0.22	0.53	0.37	0.27	0.47	0.1	0.28	0.15	0.18	0.59	0.46	0.14	0.21	0.29	0.19	0.17	0.03	0.09	0.14	0.1	0.05	0.06	0.17	0.4
Desulfovibrionaceae	0.95	0.35	0.23	0.82	0.97	0.23	0.34	0.67	0.64	0.55	0.34	0.32	0.29	0.5	0.29	0.71	0.36	0.24	0.55	0.18	0.55	0.1	0.2	0.54	0.48	0.72	0.35	0.22	0.09	1.03	1.59	1.88	0.91	0.99	0.75	0.14	0.11	3.26	6.35	9.77	2.4	14.2	6.1	0.18	0.19	0.19	0.19	0.4
