OTU	Group
ASV_80	BMD
ASV_80	CLMAT
ASV_80	DHMAT
ASV_66	BMD
ASV_66	CLMAT
ASV_66	DHMAT
ASV_135	ANC
ASV_135	BMD
ASV_135	CLMAT
ASV_135	DHMAT
ASV_89	ANC
ASV_89	BMD
ASV_94	ANC
ASV_94	CLMAT
ASV_108	ANC
ASV_108	BMD
ASV_108	CLMAT
ASV_108	DHMAT
ASV_81	ANC
ASV_81	BMD
ASV_81	CLMAT
ASV_81	DHMAT
ASV_107	ANC
ASV_107	BMD
ASV_107	CLMAT
ASV_69	DHMAT
ASV_84	ANC
ASV_84	BMD
ASV_84	CLMAT
ASV_84	DHMAT
ASV_101	ANC
ASV_867	BMD
ASV_867	CLMAT
ASV_867	DHMAT
ASV_75	BMD
ASV_75	CLMAT
ASV_75	DHMAT
ASV_79	BMD
ASV_79	CLMAT
ASV_79	DHMAT
ASV_86	BMD
ASV_86	CLMAT
ASV_86	DHMAT
ASV_92	ANC
ASV_92	BMD
ASV_92	CLMAT
ASV_134	CLMAT
ASV_134	DHMAT
ASV_113	ANC
ASV_113	BMD
ASV_113	CLMAT
ASV_113	DHMAT
ASV_114	ANC
ASV_114	BMD
ASV_114	CLMAT
ASV_114	DHMAT
ASV_78	BMD
ASV_78	DHMAT
ASV_131	ANC
ASV_131	CLMAT
ASV_109	ANC
ASV_109	BMD
ASV_109	CLMAT
ASV_127	ANC
ASV_104	BMD
ASV_104	CLMAT
ASV_104	DHMAT
ASV_552	ANC
ASV_552	BMD
ASV_552	CLMAT
ASV_552	DHMAT
ASV_164	ANC
ASV_164	BMD
ASV_164	CLMAT
ASV_164	DHMAT
ASV_112	CLMAT
ASV_112	DHMAT
ASV_133	BMD
ASV_133	CLMAT
ASV_133	DHMAT
ASV_98	BMD
ASV_98	CLMAT
ASV_98	DHMAT
ASV_275	ANC
ASV_275	CLMAT
ASV_110	CLMAT
ASV_110	DHMAT
ASV_87	CLMAT
ASV_87	DHMAT
ASV_124	ANC
ASV_99	BMD
ASV_99	DHMAT
ASV_118	ANC
ASV_97	ANC
ASV_97	BMD
