OTU	Group
ASV_1	HMAT
ASV_1	LMAT
ASV_1	MD
ASV_1	NC
ASV_2	HMAT
ASV_2	LMAT
ASV_2	MD
ASV_2	NC
ASV_3	HMAT
ASV_3	LMAT
ASV_3	MD
ASV_3	NC
ASV_10	HMAT
ASV_10	LMAT
ASV_10	MD
ASV_10	NC
ASV_11	HMAT
ASV_11	LMAT
ASV_11	MD
ASV_11	NC
ASV_4	HMAT
ASV_4	LMAT
ASV_4	MD
ASV_6	NC
ASV_7	HMAT
ASV_7	LMAT
ASV_7	MD
ASV_7	NC
ASV_13	HMAT
ASV_13	LMAT
ASV_13	NC
ASV_8	HMAT
ASV_8	LMAT
ASV_8	NC
ASV_9	HMAT
ASV_9	LMAT
ASV_9	MD
ASV_9	NC
ASV_16	HMAT
ASV_16	LMAT
ASV_16	NC
ASV_17	HMAT
ASV_17	LMAT
ASV_17	MD
ASV_17	NC
ASV_22	HMAT
ASV_22	LMAT
ASV_22	MD
ASV_15	HMAT
ASV_15	LMAT
ASV_15	MD
ASV_15	NC
ASV_1385	HMAT
ASV_1385	LMAT
ASV_37	NC
ASV_19	HMAT
ASV_19	LMAT
ASV_19	MD
ASV_19	NC
ASV_20	HMAT
ASV_20	LMAT
ASV_20	MD
ASV_12	HMAT
ASV_12	LMAT
ASV_12	MD
ASV_21	HMAT
ASV_21	LMAT
ASV_21	MD
ASV_21	NC
ASV_29	HMAT
ASV_29	LMAT
ASV_29	MD
ASV_28	HMAT
ASV_28	LMAT
ASV_28	MD
ASV_14	HMAT
ASV_14	LMAT
ASV_14	MD
ASV_14	NC
ASV_39	HMAT
ASV_39	LMAT
ASV_39	NC
ASV_24	HMAT
ASV_24	LMAT
ASV_24	MD
ASV_24	NC
ASV_26	HMAT
ASV_26	LMAT
ASV_26	MD
ASV_26	NC
ASV_23	HMAT
ASV_23	LMAT
ASV_23	MD
ASV_23	NC
ASV_34	NC
ASV_31	HMAT
ASV_31	LMAT
ASV_31	MD
ASV_31	NC
ASV_25	HMAT
ASV_25	LMAT
ASV_25	MD
ASV_25	NC
ASV_32	HMAT
ASV_32	LMAT
ASV_32	MD
ASV_119	HMAT
ASV_119	LMAT
ASV_119	MD
ASV_157	HMAT
ASV_157	LMAT
ASV_157	MD
ASV_157	NC
ASV_33	HMAT
ASV_33	LMAT
ASV_33	MD
ASV_46	HMAT
ASV_46	LMAT
ASV_46	MD
ASV_46	NC
ASV_74	NC
ASV_41	HMAT
ASV_41	LMAT
ASV_38	HMAT
ASV_38	LMAT
ASV_38	MD
ASV_65	HMAT
ASV_65	LMAT
ASV_65	MD
ASV_60	HMAT
ASV_60	LMAT
ASV_60	MD
ASV_72	NC
ASV_48	HMAT
ASV_48	LMAT
ASV_48	MD
ASV_48	NC
ASV_47	HMAT
ASV_47	LMAT
ASV_47	MD
ASV_50	HMAT
ASV_50	LMAT
ASV_52	HMAT
ASV_52	LMAT
ASV_52	MD
ASV_52	NC
ASV_35	HMAT
ASV_35	LMAT
ASV_35	MD
ASV_35	NC
ASV_54	HMAT
ASV_54	LMAT
ASV_62	HMAT
ASV_62	LMAT
ASV_62	MD
ASV_62	NC
ASV_44	HMAT
ASV_44	LMAT
ASV_44	MD
ASV_44	NC
ASV_1214	HMAT
ASV_1214	LMAT
ASV_1214	MD
ASV_1214	NC
ASV_30	NC
ASV_49	HMAT
ASV_49	LMAT
ASV_49	MD
ASV_49	NC
ASV_42	HMAT
ASV_42	LMAT
ASV_42	MD
ASV_120	HMAT
ASV_120	LMAT
