SampleID	richness	chao1	ACE	shannon	simpson	invsimpson
H60	592	813.908045977012	825.839214712822	4.71662515470495	0.9708731	34.332524230179
H61	547	739.5	736.269443414873	4.47820759235354	0.96523974	28.7684844704844
H62	551	714.116279069767	708.344156928577	3.91604484851675	0.9108409	11.2159050506342
H63	618	772.011111111111	766.84830584347	4.88347501346158	0.97504136	40.0662856630009
H64	575	689.159574468085	699.692768881995	4.65915457865667	0.96470728	28.3344553777663
H66	649	809.342857142857	837.648449039754	4.93679596606919	0.97651822	42.5862093929847
H67	649	874.042857142857	818.684264181374	5.3290493637153	0.98971474	97.2265163933629
H68	599	721.823529411765	718.338357085193	5.19329384233945	0.9881881	84.6603848661096
H79	567	738.073170731707	727.464383246676	4.54911667471942	0.9668611	30.1760167054428
H94	568	735.113636363636	747.093053577102	4.63110144727739	0.96793466	31.1863214299303
H95	609	794.542168674699	780.210355119158	4.9050308221201	0.97910386	47.8557283785426
H96	586	827.898734177215	800.925792587301	4.63019162744918	0.96903682	32.2964243336763
L36	605	800.511363636364	793.570813536483	4.66444767192283	0.97261652	36.518368008741
L37	600	803.924050632911	782.66978044443	4.86856993051616	0.9790807	47.802746745828
L38	584	759.108695652174	770.785212211881	4.45131338576045	0.96143896	25.9329105231602
L39	533	706.723684210526	696.634167525589	4.47991993606043	0.9672015	30.489199201183
L70	571	775.947368421053	750.732751986517	4.41486109700102	0.9485633	19.4413716276511
L73	613	782.578947368421	786.91544605725	4.66839815408343	0.96223072	26.4765439002279
L76	592	746.153846153846	756.757265665168	4.78015187142755	0.9726623	36.5795220519649
L77	654	835.25	805.64218010773	5.13973611998783	0.98478302	65.7160619255595
L91	532	691.133333333333	670.623491682048	4.22582767875836	0.94028642	16.7466093977283
L92	592	735.45	721.780704022012	4.90743065711413	0.97804726	45.5524002926286
L93	613	761.348314606742	757.748728265347	4.9955637761753	0.97981822	49.5496432921179
M30	546	711.486486486486	698.816377595402	4.6068660915264	0.96668736	30.0186355689612
M31	501	676.576923076923	681.967019068775	4.34765948863339	0.96650262	29.8530810469356
M32	576	715.159090909091	712.228017498133	4.68737754471984	0.97089276	34.3557135612995
M33	591	736.570093457944	758.831091157876	3.95878358804595	0.9052633	10.5555713889126
M34	557	805.928571428571	785.958997217592	3.58275110760709	0.83628438	6.10815266130379
M35	591	696.424528301887	719.997972084828	4.8064923867192	0.97500768	40.0122917760336
M54	579	744.486486486486	726.33426273778	4.93983585678574	0.98016636	50.4193884733211
M55	615	833.649350649351	800.629149093312	4.94381961810656	0.97863404	46.8034200195077
M56	555	735.012987012987	726.462570550853	4.72773018562342	0.97602944	41.717840551076
M57	583	785.619047619048	777.741740525922	4.63918541554042	0.96871758	31.9668363253227
M58	602	763.241379310345	770.98135376545	5.01477955374425	0.9832119	59.5660021086365
M59	559	773.8	737.491040883561	4.27565825843598	0.95000112	20.0004480100354
N12	652	873.237288135593	900.583715834418	4.02748466870882	0.92248982	12.9015311279112
N13	611	845.744897959184	846.758952942013	3.8702513067219	0.90944746	11.0433125343585
N15	667	936.379310344828	886.193828404598	4.73839465345414	0.97281506	36.785072911693
N16	678	948.478723404255	911.655516089238	4.6815874617531	0.968646	31.893857243095
N17	760	951.162393162393	946.506616803288	5.10406368050605	0.98073196	51.8994147821989
N51	677	830.333333333333	840.364399255306	5.07532195375745	0.98527168	67.8964063790032
N52	673	878	877.106888077749	5.00854269896644	0.9808023	52.0895732301265
N53	680	868.100917431193	871.582128342404	4.93534470823465	0.98037388	50.9525061499675
N86	661	923.905263157895	885.513916237939	4.71582638835232	0.97644288	42.4500108672028
N87	652	794.899082568807	812.028546543513	4.95830180755288	0.9774507	44.3472746382371
N88	684	874.826086956522	893.524587791871	4.82362935749282	0.97403578	38.5145403944351
N90	717	908.834862385321	897.585941245388	4.78307988608135	0.96816278	31.4097776124925
