"","KO","Means","SD"
"num.edges(L)","713","713","0"
"num.pos.edges","481","0","0"
"num.neg.edges","232","0","0"
"num.vertices(n)","518","518","0"
"Connectance(edge_density)","0.00532475000560107","0.00532475000560107","0"
"average.degree(Average K)","2.75289575289575","2.75289575289575","0"
"average.path.length","6.57133045796793","6.05322362583894","0.107128983207096"
"diameter","17.1452227858299","14.18","1.19240017687779"
"edge.connectivity","0","0","0"
"mean.clustering.coefficient(Average.CC)","0.361455592337945","0.00541324641194756","0.00343071918862992"
"no.clusters","78","35.23","4.51228401928636"
"centralization.degree","0.0217545536694473","0.011986661986662","0.00170306432515885"
"centralization.betweenness","0.0811207411093898","0.055132172566044","0.00946971696308662"
"centralization.closeness","1.16162192928555","NaN",NA
"RM(relative.modularity)","0.436321602786847","-0.00225984318242426","0.0349729749800498"
"the.number.of.keystone.nodes","Not.calculated","0","0"
