"","KO","Means","SD"
"num.edges(L)","385","385","0"
"num.pos.edges","300","0","0"
"num.neg.edges","85","0","0"
"num.vertices(n)","375","375","0"
"Connectance(edge_density)","0.00549019607843137","0.00549019607843137","0"
"average.degree(Average K)","2.05333333333333","2.05333333333333","0"
"average.path.length","3.69606810413741","7.38160041312454","0.324739784992777"
"diameter","10.9770019666243","18.02","1.68162980107953"
"edge.connectivity","0","0","0"
"mean.clustering.coefficient(Average.CC)","0.477880658436214","0.00546687455943101","0.00534426028747118"
"no.clusters","103","57.47","5.15507987182046"
"centralization.degree","0.0185739750445633","0.0138948306595365","0.00235423597889607"
"centralization.betweenness","0.00662933013744767","0.092090947016294","0.0203060367993253"
"centralization.closeness","0.597555769898248","NaN",NA
"RM(relative.modularity)","0.352612879348627","0.00371501067113408","0.0432795152943752"
"the.number.of.keystone.nodes","Not.calculated","0","0"
