ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93
ASV_9	-1.492	15.973	0.149650326311546	0.196599448291639	NotSig	0.475	1.336	0.17	0.092	0.734	0.353	0.501	0.281	0.748	1.972	0.088	0.155	0.463	0.142	6.432	0.301	0.526	0.29	1.124	1.197	0.173	2.112	0.629	1.16	0.746
ASV_14	2.295	16.832	0.0265777220099927	0.0559397632856309	Enriched	3.112	0.634	1.032	0.806	1.477	3.502	1.177	5.353	1.723	0.679	6.605	11.67	2.356	0.957	0.079	0.032	0.044	0.04	0.736	1.035	2.831	1.132	0.086	0.945	0.015
ASV_15	-1.629	15.436	0.128739944854042	0.174254066772138	NotSig	0.388	1.2	0.177	0.121	0.346	0.116	0.172	1.902	0.302	0.098	0.133	0.181	0.951	0.157	0.203	3.651	1.92	1.811	0.332	0.053	0.027	0.055	4.434	0.67	0.049
ASV_13	-3.932	15.954	0.00103250117486834	0.00628887079237989	Depleted	0.188	2.865	0.113	0.215	0.109	0.083	0.066	0.013	0.053	0.187	0.231	0.262	0.741	0.18	4.851	2.045	3.733	6.346	0.651	1.194	2.142	1.347	0.96	5.38	2.865
ASV_21	-1.2	15.698	0.0735074467552509	0.114534858897717	NotSig	0.701	1.611	0.306	0.317	0.595	0.667	0.929	1.739	0.823	0.378	0.484	1.197	0.56	0.419	0.598	5.315	1.257	1.176	1.594	0.558	1.005	0.38	3.459	1.165	1.21
ASV_19	1.096	15.214	0.114396515543926	0.159678469613397	NotSig	1.443	0.675	0.051	0.031	3.608	0.24	2.471	3.802	0.499	1.895	2.227	0.379	2.024	0.087	0.685	1.511	0.028	0.091	2.385	0.24	0.74	0.311	0.023	0.987	0.422
ASV_12	-3.695	15.207	0.116615108745488	0.160198352589032	NotSig	0.051	0.656	0.018	0.151	0.005	0	0.017	0.002	0.014	0.016	0.258	0.022	0.002	0.102	0.04	0.018	0.014	0.026	0.015	3.783	1.735	0.895	0.13	0.473	0.091
ASV_17	0.9	13.591	0.381161761062728	0.436544239165859	NotSig	0.234	0.125	0.053	0.102	0.128	0.061	1.234	0.834	0.134	0.033	0.008	0.111	0.038	0.07	0.037	0.062	0.014	0.068	0.028	0.232	0.094	0.229	0.009	0.094	0.513
ASV_20	-3.145	13.489	0.000256019421991238	0.00285888354556883	Depleted	0.073	0.643	0.053	0.071	0.093	0.041	0.083	0.143	0.07	0.033	0.02	0.074	0.174	0.017	1.136	0.429	1.15	0.787	0.862	0.815	0.561	0.364	0.016	0.559	0.393
ASV_29	-2.35	13.26	9.20477404690891e-05	0.00246687944457159	Depleted	0.116	0.589	0.081	0.073	0.084	0.036	0.123	0.256	0.098	0.016	0.05	0.089	0.44	0.04	0.925	0.459	0.981	0.607	0.772	0.764	0.532	0.41	0.06	0.564	0.405
ASV_22	-3.911	14.351	0.0348324354332249	0.066679233543602	Depleted	0.035	0.523	0.074	0.061	0.074	0.03	0.036	0.013	0.008	0.037	0.013	0.013	0.027	0.03	0.024	0.032	0.03	1.31	0.04	2.089	0.658	0.771	0.023	0.428	0.351
ASV_23	-1.117	14.598	0.0516426128753905	0.0887193605807991	NotSig	0.44	0.955	0.154	0.14	0.43	0.394	0.521	0.426	0.641	0.394	0.547	0.621	0.517	0.496	0.385	2.481	1.319	1.567	0.556	0.332	0.619	0.319	1.981	0.241	0.7
ASV_16	0.361	16.333	0.738259066763171	0.760974730355884	NotSig	1.207	0.94	0.318	0.192	0.657	8.253	0.687	0.033	0.846	3.139	0.09	0.024	0.14	0.107	0.087	0.226	4.025	1.567	1.825	0.039	0.031	1.906	0.555	0.057	0.02
ASV_28	-2.617	13.137	0.000128363204546317	0.00248368373941577	Depleted	0.085	0.52	0.058	0.059	0.116	0.041	0.09	0.136	0.098	0.016	0.088	0.139	0.131	0.045	0.706	0.379	0.795	0.647	0.55	0.901	0.479	0.336	0.03	0.519	0.376
ASV_25	-3.449	15.415	0.00978735818647994	0.0279043829146449	Depleted	0.128	1.398	0.032	0.019	0.016	0.074	0.036	0.194	0.899	0.028	0.013	0.148	0.059	0.017	0.1	4.37	1.148	1.335	3.26	0.48	1.619	1.314	0.618	0.059	1.08
ASV_30	4.345	15.798	0.000542284915907396	0.00454163617072444	Enriched	2.45	0.121	3.585	5.699	2.688	0.364	1.841	1.521	0.137	0.472	4.228	3.287	2.424	3.159	0.034	0.112	0.016	0.009	0.106	0.006	0.67	0.063	0.032	0.123	0.155
ASV_26	-2.824	14.297	0.000233843479099843	0.00285888354556883	Depleted	0.149	1.052	0.083	0.019	0.098	0.121	0.139	0.187	0.375	0.142	0.281	0.163	0.077	0.097	0.322	2.013	1.027	1.745	0.649	0.391	1.277	1.151	1.037	0.569	1.394
ASV_24	-1.784	14.285	0.00220325224868715	0.00955773059239641	Depleted	0.291	1.002	0.353	0.608	0.223	0.121	0.405	0.082	0.196	0.415	0.238	0.048	0.145	0.658	0.878	0.479	0.691	0.246	0.638	1.771	0.952	1.997	0.484	1.317	1.566
ASV_27	0.978	15.979	0.443526407034804	0.499433096997174	NotSig	0.939	0.477	0.081	0.007	0.063	0.309	1.698	2.259	0.09	0.118	0.075	0.083	6.46	0.03	0.008	0.025	0.021	1.581	0.038	0.315	0.564	2.115	0.016	0.044	0.518
ASV_119	-3.243	14.054	0.0008548864553632	0.00628887079237989	Depleted	0.078	0.734	0.055	0.099	0.074	0.03	0.03	0.096	0.182	0.02	0.05	0.109	0.151	0.032	0.92	0.73	1.363	0.415	0.9	0.483	0.393	0.094	1.701	0.492	0.582
ASV_157	-1.108	13.615	0.00151760359533404	0.00788455216460591	Depleted	0.307	0.661	0.147	0.116	0.325	0.199	0.488	0.441	0.504	0.366	0.223	0.329	0.203	0.337	0.691	0.687	0.461	0.389	0.41	0.672	0.424	0.958	0.479	0.844	1.254
ASV_34	6.852	15.617	0.00021939881745101	0.00285888354556883	Enriched	2.417	0.021	0.47	0.558	5.025	2.779	2.577	1.699	2.692	3.599	4.542	2.413	0.104	2.548	0.037	0.037	0.028	0.007	0.008	0.014	0.01	0.017	0.032	0.032	0.01
ASV_32	-3.347	13.254	3.79710857197089e-05	0.00246687944457159	Depleted	0.055	0.559	0.046	0.012	0.06	0.019	0.09	0.178	0.011	0.016	0.043	0.1	0.063	0.02	0.554	0.977	0.83	0.333	0.719	0.162	0.467	0.463	0.775	0.33	0.538
ASV_31	0.304	14.114	0.784610306690401	0.796498341640255	NotSig	0.27	0.219	0.044	0.059	0.2	0.041	0.693	1.773	0.162	0.211	0.008	0.007	0.016	0.027	0.055	0.025	0.009	0.019	0.023	1.085	0.186	0.006	0.005	0.182	0.813
ASV_37	6.264	16.509	0.023507073608508	0.0508056107022591	Enriched	2.358	0.031	0.058	0.071	2.197	4.208	6.56	1.645	9.327	3.871	0.075	0.098	0.07	0.117	0.055	0.014	0.009	0.023	0.028	0.045	0.055	0.044	0.037	0.01	0.017
ASV_38	-4.334	14.01	0.010430898914632	0.0285253153991978	Depleted	0.03	0.601	0.025	0.035	0.046	0.017	0.066	0.018	0.045	0.033	0.018	0.004	0.02	0.03	1.329	0.399	0.139	0.084	0.216	1.534	0.463	1.65	0.518	0.111	0.164
ASV_39	3.895	16.292	0.0288669677457137	0.0595103642757791	Enriched	1.825	0.123	1.177	0.284	3.103	0.383	8.023	0.125	0.048	4.262	0.813	1.868	1.452	0.366	0.021	0.041	0.051	0.061	0.008	0.045	0.017	0.994	0.009	0.049	0.054
ASV_40	-6.318	15.965	0.180705316950018	0.230614404488594	NotSig	0.011	0.862	0.021	0.014	0.009	0.014	0	0.007	0.003	0	0.008	0.015	0.005	0.035	0.021	0.335	6.395	0.047	0.048	0.039	0.036	0.058	2.376	0.054	0.074
ASV_1214	-1.943	13.291	0.000957084640347623	0.00628887079237989	Depleted	0.128	0.492	0.115	0.08	0.102	0.033	0.153	0.111	0.218	0.061	0.158	0.244	0.199	0.06	0.345	0.408	0.721	0.199	0.52	0.184	0.836	0.256	1.002	0.448	0.491
ASV_57	5.045	15.572	0.00560163946933363	0.0174562718346676	Enriched	1.563	0.047	2.484	0.258	0.3	0.171	2.298	1.175	0.16	0.203	1.763	3.601	4.87	1.471	0.045	0.041	0.007	0.033	0.02	0.011	0.14	0.039	0.021	0.121	0.044
ASV_48	0.763	14.704	0.139816043815641	0.187353498712958	NotSig	0.809	0.476	1.018	0.88	0.262	0.345	2.67	0.165	0.798	1.049	0.79	0.157	0.843	0.728	0.258	0.31	0.311	0.251	0.264	0.516	0.282	0.722	0.435	0.657	1.235
ASV_46	-0.303	13.383	0.526399880639317	0.568851483916681	NotSig	0.314	0.388	0.152	0.038	0.123	0.196	0.322	0.787	0.415	0.407	0.364	0.506	0.305	0.157	0.05	0.436	0.262	1.068	0.101	0.064	0.402	0.452	0.137	0.485	0.808
ASV_42	-2.886	13.395	0.000201648281083127	0.00285888354556883	Depleted	0.063	0.469	0.025	0.017	0.039	0.05	0.073	0.216	0.042	0.028	0.023	0.126	0.099	0.022	0.237	1.077	0.329	0.426	0.641	0.346	0.47	0.229	0.597	0.478	0.331
ASV_35	-0.611	14.012	0.196159986102396	0.245658300352533	NotSig	0.372	0.568	0.339	0.669	0.722	0.251	0.332	0.136	0.661	0.435	0.248	0.157	0.108	0.404	0.422	0.308	0.248	0.117	0.747	0.644	0.214	1.652	0.356	0.867	0.67
ASV_45	6.45	16.379	0.0556994716695777	0.0932966150465427	NotSig	1.553	0.018	3.313	1.771	0.065	0.083	0.189	0.047	0.07	0.085	0.043	2.568	8.523	1.88	0.026	0.057	0.002	0.002	0	0.011	0	0.008	0.012	0.059	0.017
ASV_33	-5.998	14.663	0.00239951087737681	0.00974346841116646	Depleted	0.014	0.867	0.021	0.038	0.023	0.019	0.003	0.004	0.006	0.008	0.01	0.004	0.016	0.01	0.791	0.313	0.659	0.827	0.166	2.594	0.66	0.573	0.229	1.172	1.551
ASV_52	1.619	13.866	0.0111868313987249	0.0289741748634507	Enriched	0.674	0.219	0.085	0.092	0.678	1.481	0.425	1.023	1.493	1.244	0.476	0.562	0.253	0.274	0.166	0.329	0.074	0.169	0.226	0.148	0.164	0.358	0.285	0.091	0.405
ASV_36	7.631	15.904	0.0313005730224013	0.0630235263216565	Enriched	1.553	0.008	3.832	5.144	0.664	0.709	0.199	0.02	0.162	0.26	0.479	0.238	0.797	6.13	0.013	0.007	0.019	0	0	0	0	0.011	0.005	0.007	0.025
ASV_56	1.97	15.312	0.0513286014196744	0.0887193605807991	NotSig	1.109	0.283	0.101	0.026	0.825	0.449	0.123	1.964	3.106	1	4.068	1.085	0.355	0.207	0.111	0.03	0.392	0.052	0.46	0.6	0.472	0.54	0.019	0.194	0.245
ASV_47	-2.92	12.445	0.000369233826522465	0.00353409519671502	Depleted	0.038	0.29	0.071	0.04	0.046	0.008	0.013	0.013	0.014	0.008	0.053	0.033	0.106	0.052	0.264	0.397	0.255	0.558	0.329	0.165	0.429	0.085	0.465	0.074	0.164
ASV_120	-2.888	13.672	0.0112437096485033	0.0289741748634507	Depleted	0.052	0.384	0.037	0.017	0.033	0.019	0.073	0.134	0.028	0.028	0.013	0.205	0.011	0.025	0.335	0.762	0.264	0.068	0.266	0.173	0.272	1.305	0.4	0.185	0.191
ASV_60	-2.92	13.101	0.0514427434561173	0.0887193605807991	NotSig	0.025	0.186	0.03	0.009	0.026	0.008	0.043	0.042	0.014	0.012	0.028	0.039	0.009	0.035	0.071	0.144	0.053	0.091	0.312	0.159	0.029	0.162	0.079	0.071	0.879
ASV_54	-6.397	14.633	0.00345025301409018	0.0118547154843098	Depleted	0.012	1.029	0.002	0.021	0.007	0.006	0.01	0.002	0.008	0.012	0	0.022	0.038	0.017	2.162	0.1	0.137	0.387	0.085	2.541	1.067	1.203	0.379	1.357	1.898
ASV_50	-6.92	15.565	0.072127922019324	0.113707547653993	NotSig	0.008	0.967	0	0.054	0.007	0	0	0	0	0.008	0	0.022	0.005	0	4.848	1.303	0.496	0.026	0.84	0.036	0.002	0.028	3.022	0.03	0.002
ASV_68	3.207	14.968	0.0490385027539767	0.0884804959347115	Enriched	0.755	0.082	0.73	0.31	0.102	0.179	0.073	0.343	0.272	0.028	3.205	2.555	1.111	0.152	0.021	0.014	0.007	0.03	0.008	0.006	0.024	0.496	0.014	0.234	0.047
ASV_44	-1.458	13.06	0.0152259723125255	0.0366381386270369	Depleted	0.14	0.384	0.092	0.054	0.2	0.033	0.212	0.312	0.104	0.187	0.148	0.031	0.108	0.194	0.854	0.185	0.199	0.096	0.171	0.837	0.214	0.658	0.259	0.364	0.383
ASV_218	-1.053	12.692	0.0914024671466291	0.137617197726385	NotSig	0.113	0.234	0.069	0.05	0.067	0.019	0.156	0.054	0.028	0.028	0.05	0.148	0.662	0.02	0.535	0.148	0.376	0.173	0.362	0.226	0.284	0.091	0.023	0.244	0.108
ASV_41	-6.449	15.429	0.0109833963877743	0.0289741748634507	Depleted	0.013	1.113	0.005	0.014	0.012	0.022	0.017	0.016	0.014	0.004	0.008	0.004	0.016	0.022	0.957	0.447	0.967	1.035	0.219	4.41	0.718	0.65	0.349	0.707	1.787
ASV_43	-2.183	13.75	0.000956009485582222	0.00628887079237989	Depleted	0.143	0.647	0.136	0.012	0.184	0.146	0.255	0.143	0.157	0.159	0.181	0.107	0.097	0.135	0.293	0.374	0.575	1.377	0.287	0.65	1.038	0.672	0.201	0.68	0.972
ASV_1390	-1.294	11.928	1.35300119889038e-05	0.00181302160651311	Depleted	0.104	0.255	0.094	0.052	0.074	0.028	0.129	0.125	0.123	0.053	0.173	0.216	0.122	0.057	0.227	0.171	0.39	0.22	0.287	0.279	0.205	0.151	0.317	0.271	0.285
ASV_65	-3.108	13.999	0.0153114609187617	0.0366381386270369	Depleted	0.064	0.553	0.041	0.033	0.065	0.033	0.06	0.067	0.031	0.012	0.15	0.17	0.056	0.05	0.424	0.242	1.016	0.054	0.515	1.052	0.007	0.069	0.012	1.637	1.053
ASV_77	-1.807	12.663	0.0161650316283268	0.0380020041788736	Depleted	0.089	0.31	0.23	0.05	0.007	0.019	0.02	0.025	0.042	0.02	0.015	0.591	0.007	0.037	0.519	0.052	0.014	0.012	0.649	0.248	0.219	0.317	0.379	0.409	0.592
ASV_62	-0.962	12.396	0.0838669755142204	0.129174422056385	NotSig	0.115	0.224	0.028	0.035	0.074	0.055	0.159	0.129	0.375	0.179	0.1	0.094	0.086	0.067	0.169	0.062	0.355	0.539	0.058	0.404	0.164	0.061	0.053	0.414	0.191
ASV_55	-0.321	12.973	0.449625155347999	0.502081423471932	NotSig	0.248	0.31	0.046	0.052	0.232	0.187	0.478	0.319	0.804	0.191	0.093	0.216	0.237	0.122	0.116	0.63	0.32	0.602	0.279	0.112	0.265	0.245	0.169	0.305	0.366
ASV_51	-1.788	13.491	0.00508936403417535	0.01624911199223	Depleted	0.144	0.498	0.041	0.04	0.251	0.163	0.196	0.219	0.252	0.342	0.045	0.072	0.066	0.045	0.261	0.283	0.29	0.752	0.103	0.402	0.443	1.151	0.255	0.943	0.597
ASV_49	0.11	13.377	0.919497969145684	0.919497969145684	NotSig	0.168	0.156	0.032	0.026	0.142	0.028	0.461	1.064	0.095	0.122	0.005	0.009	0.016	0.022	0.024	0.014	0.007	0.016	0.008	0.695	0.113	0.011	0.005	0.13	0.695
ASV_61	-0.065	12.783	0.847917660630799	0.854292981387422	NotSig	0.345	0.361	0.643	0.705	0.279	0.218	0.58	0.036	0.19	0.423	0.263	0.111	0.165	0.531	0.554	0.292	0.26	0.164	0.191	0.307	0.318	0.683	0.208	0.5	0.498
ASV_85	-0.48	14.416	0.559353050260606	0.594867529642231	NotSig	0.448	0.625	0.009	0.012	0.007	1.045	0.053	2.127	0.014	0.033	0.562	0.401	0.077	1.04	2.185	0.096	0.023	0.047	1.209	0.073	1.691	0.438	0.023	0.835	0.255
ASV_965	-0.99	12.705	0.143226859620036	0.190023754347374	NotSig	0.101	0.201	0.118	0.05	0.049	0.019	0.027	0.132	0.171	0.024	0.206	0.148	0.136	0.135	0.066	0.023	0.093	0.668	0.033	0.109	0.301	0.388	0.014	0.212	0.302
ASV_53	-3.114	12.549	6.00597368110124e-05	0.00246687944457159	Depleted	0.037	0.32	0.016	0.012	0.009	0.011	0.023	0.169	0.048	0.012	0.035	0.015	0.075	0.017	0.322	0.308	0.332	0.105	0.339	0.223	0.482	0.085	0.599	0.367	0.354
ASV_67	1.872	13.945	0.0194295136839433	0.0448888764422139	Enriched	0.568	0.155	0.039	0.052	0.427	0.334	0.929	1.467	1.577	0.769	0.203	0.538	0.314	0.167	0.1	0.192	0.086	0.101	0.126	0.059	0.169	0.229	0.109	0.17	0.368
ASV_64	-1.774	12.755	0.00270260777224673	0.0103471268994589	Depleted	0.088	0.302	0.062	0.043	0.058	0.05	0.09	0.096	0.249	0.134	0.038	0.085	0.093	0.065	0.134	0.568	0.336	0.691	0.224	0.12	0.294	0.231	0.192	0.187	0.349
ASV_71	-2.061	13.897	0.00710056890796008	0.0211439163037034	Depleted	0.169	0.703	0.023	0.05	0.121	0.094	0.232	0.239	0.594	0.11	0.118	0.207	0.129	0.107	0.256	1.312	1.526	1.099	1.342	0.162	0.557	0.069	0.616	0.293	0.508
ASV_63	1.067	13.61	0.0974753081594272	0.143535069157838	NotSig	0.467	0.223	0.104	0.028	0.915	1.175	1.25	0.198	0.193	0.565	0.253	0.148	0.481	0.289	0.203	0.6	0.16	0.098	0.023	0.139	0.014	0.653	0.315	0.044	0.201
ASV_82	0.159	12.493	0.696083316674961	0.7287122221441	NotSig	0.224	0.201	0.168	0.118	0.123	0.097	0.153	0.192	0.468	0.122	0.326	0.294	0.219	0.411	0.037	0.331	0.026	0.576	0.259	0.209	0.2	0.162	0.104	0.219	0.086
ASV_100	3.644	14.776	0.00117660341373177	0.00685499380174162	Enriched	0.948	0.076	0.488	0.168	0.971	0.846	1.005	0.812	2.806	1.399	0.692	0.665	1.319	0.207	0.04	0.1	0.056	0.199	0.053	0.053	0.089	0.066	0.056	0.049	0.074
ASV_76	1.342	13.66	0.0134859786771986	0.0340966253348039	Enriched	0.557	0.22	0.265	0.206	0.177	0.43	0.491	0.994	0.95	0.146	0.958	1.295	0.479	0.289	0.082	0.466	0.248	0.272	0.332	0.081	0.27	0.121	0.224	0.064	0.255
ASV_148	2.57	14.008	0.00446966055044892	0.0149733628440039	Enriched	0.687	0.116	0.108	0.106	0.302	0.347	0.597	1.588	0.613	0.317	1.648	1.375	0.4	0.845	0.063	0.228	0.118	0.126	0.121	0.073	0.111	0.11	0.074	0.126	0.123
ASV_59	-2.829	12.383	0.00261640975631462	0.0103117325690047	Depleted	0.035	0.247	0.016	0.009	0.012	0.039	0.05	0.123	0.006	0.016	0.01	0.113	0.007	0.017	0.211	0.082	0.308	0.012	0.45	0.293	0.041	0.151	0.176	0.534	0.462
ASV_90	5.925	14.691	0.0018091068969829	0.00865786872127531	Enriched	1.032	0.017	0.104	0.201	0.295	0.604	0.491	2.241	1.092	0.459	2.646	2.029	0.811	1.411	0.029	0.016	0.009	0.009	0.025	0.003	0.017	0.03	0.016	0.012	0.02
ASV_73	0.274	13.069	0.558024509501063	0.594867529642231	NotSig	0.351	0.29	0.859	0.596	0.128	0.044	0.103	0.107	0.081	0.045	0.697	0.183	0.741	0.628	0.261	0.523	0.227	0.124	0.209	0.279	0.087	0.364	0.509	0.281	0.331
ASV_74	7.847	16.221	0.109275387040477	0.155775551738553	NotSig	1.118	0.005	0.041	0.035	7.64	0.438	0.113	0.06	1.535	2.765	0.206	0.512	0.027	0.045	0.005	0.023	0.002	0	0	0.006	0.005	0.003	0	0.01	0
ASV_91	-0.334	12.165	0.469148373461445	0.519552744163914	NotSig	0.134	0.169	0.092	0.052	0.088	0.074	0.166	0.459	0.16	0.024	0.07	0.185	0.108	0.125	0.05	0.201	0.23	0.068	0.048	0.056	0.429	0.229	0.167	0.182	0.196
ASV_88	-0.485	12.107	0.290243522767625	0.350384072530286	NotSig	0.139	0.194	0.037	0.04	0.081	0.03	0.441	0.372	0.081	0.008	0.123	0.207	0.136	0.11	0.113	0.21	0.104	0.119	0.256	0.126	0.092	0.099	0.375	0.298	0.346
ASV_1277	-1.228	12.291	0.0938943838833738	0.139798304893023	NotSig	0.062	0.145	0.078	0.061	0.03	0.041	0.023	0.076	0.073	0	0.133	0.076	0.097	0.052	0.042	0.025	0.06	0.501	0.025	0.167	0.157	0.289	0.009	0.14	0.177
ASV_83	2.208	14.749	0.0495226656350997	0.0884804959347115	Enriched	0.629	0.136	0.309	0.147	0.546	0.314	0.358	0.787	1.479	0.224	0.306	0.251	2.753	0.072	0.005	0.05	0.012	0.141	0.138	0.114	0.19	0.218	0.007	0.367	0.255
ASV_70	-1.988	11.889	0.00283749901295242	0.0105618018815451	Depleted	0.042	0.166	0.037	0.017	0.039	0.025	0.06	0.114	0.003	0.008	0.035	0.061	0.079	0.025	0.082	0.141	0.032	0.077	0.103	0.137	0.152	0.207	0.194	0.379	0.322
ASV_72	8.707	15.525	0.0229587252586358	0.0504339210599541	Enriched	1.169	0.003	0	0.002	1.145	2.115	2.919	0.836	4.717	2.208	0.025	0.028	0.02	0.01	0	0.002	0	0.005	0.003	0.014	0.002	0	0	0.002	0.002
ASV_80	-3.775	12.821	0.00101963615403174	0.00628887079237989	Depleted	0.021	0.292	0.014	0.012	0.021	0.017	0.023	0.027	0.064	0.012	0.008	0.037	0.007	0.015	0.15	0.571	0.329	0.724	0.304	0.064	0.279	0.22	0.139	0.15	0.282
ASV_66	-2.346	12.903	0.000360661057360027	0.00353409519671502	Depleted	0.068	0.345	0.088	0.066	0.058	0.022	0.199	0.076	0.042	0.037	0.07	0.031	0.063	0.062	0.264	0.52	0.383	0.766	0.314	0.232	0.439	0.231	0.13	0.273	0.241
ASV_135	-0.341	11.922	0.421763327434552	0.478951575222288	NotSig	0.147	0.186	0.115	0.073	0.067	0.116	0.146	0.201	0.104	0.069	0.083	0.388	0.258	0.14	0.011	0.032	0.063	0.272	0.324	0.232	0.299	0.253	0.002	0.261	0.295
ASV_89	5.097	14.996	0.04464663438172	0.0819540959883628	Enriched	0.783	0.023	0.544	0.078	0.056	0.16	0.561	3.269	3.165	0.691	0.075	0.619	0.117	0.067	0.005	0.009	0.155	0.021	0.028	0.008	0.002	0.008	0.007	0	0.007
ASV_94	1.433	13.743	0.00892521581358632	0.0259995417178384	Enriched	0.603	0.223	0.235	0.262	0.646	0.367	0.172	0.575	0.913	0.333	0.351	1.371	1.08	0.935	0.079	0.139	0.183	0.288	0.05	0.173	0.547	0.22	0.039	0.049	0.69
ASV_108	0.332	13.655	0.756380802298613	0.773702500061177	NotSig	0.236	0.188	0.041	0.033	0.023	0.036	0.172	0.894	0.078	0.037	0.038	0.769	0.632	0.08	0.013	0.025	0.021	0.042	0.023	0.603	0.007	0.014	0.009	1.29	0.017
ASV_81	-0.724	12.328	0.300403005366297	0.359410738563249	NotSig	0.117	0.193	0.018	0.021	0.044	0.028	0.514	0.502	0.053	0.037	0.045	0.085	0.052	0.005	0.179	0.507	0.183	0.126	0.422	0.028	0.347	0.061	0.088	0.062	0.123
ASV_107	-0.414	12.921	0.308785141163606	0.362957972946695	NotSig	0.239	0.318	0.037	0.066	0.049	0.51	0.385	0.254	0.311	0.403	0.236	0.272	0.278	0.065	0.029	0.005	0.362	0.298	0.367	0.374	0.289	0.408	0.261	0.332	0.776
ASV_69	-1.338	8.213	0.190819766737339	0.241224988139655	NotSig	0.003	0.008	0	0.005	0.002	0.006	0	0	0	0.012	0	0	0.009	0.005	0.029	0.03	0.014	0.002	0	0.003	0.005	0	0	0.002	0.005
ASV_84	-0.848	12.694	0.246424037139876	0.300189281606758	NotSig	0.116	0.208	0.021	0.017	0.081	0.138	0.298	0.227	0.011	0.362	0	0.013	0.217	0.005	0.011	0.014	0.146	0.023	0.023	0.497	0.663	0.297	0.023	0.293	0.304
ASV_101	3.199	14.053	0.000409895941279677	0.00366173707543178	Enriched	0.677	0.074	0.431	0.312	0.634	0.403	1.022	0.58	1.7	0.244	0.223	0.883	0.8	0.89	0.124	0.178	0.074	0.047	0.113	0.053	0.041	0.025	0.067	0.027	0.061
ASV_867	-1.07	12.551	0.111799687658934	0.15769640153997	NotSig	0.084	0.176	0.018	0.007	0.051	0.119	0.106	0.047	0.269	0.134	0.058	0.039	0.068	0.092	0.272	0.6	0.063	0.084	0.329	0.056	0.157	0.143	0.06	0.089	0.088
ASV_75	-2.71	12.153	9.13982194129625e-05	0.00246687944457159	Depleted	0.037	0.244	0.018	0.007	0.007	0.008	0.083	0.094	0.017	0.016	0.03	0.131	0.029	0.007	0.119	0.292	0.292	0.201	0.284	0.187	0.455	0.226	0.396	0.162	0.074
