ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93
ASV_1	0.555	17.574	0.47449086018283	0.521162092331961	NotSig	6.37	4.337	18.524	19.517	8.946	2.382	0.421	0.087	1.036	7.909	4.524	0.353	0.784	11.962	6.456	0.436	7.462	0.466	17.455	0.198	0.152	0.284	14.224	0.266	0.314
ASV_2	-4.674	17.478	0.00153691177153943	0.00788455216460591	Depleted	0.269	6.866	0.2	0.326	0.172	0.119	0.133	0.192	0.888	0.155	0.048	0.371	0.501	0.125	8.177	6.908	13.346	5.041	7.712	2.622	5.021	0.281	18.258	4.008	4.149
ASV_3	-3.796	17.313	0.00227874151545991	0.00955773059239641	Depleted	0.402	5.581	0.076	0.097	0.618	2.435	0.093	0.042	0.487	0.817	0.043	0.039	0.041	0.032	5.726	3.95	4.405	6.461	0.264	16.285	2.768	3.833	2.46	8.849	6.385
ASV_11	0.406	13.123	0.505651542645103	0.550872412312551	NotSig	0.285	0.215	0.272	0.213	0.281	0.097	0.892	0.742	0.162	0.077	0.028	0.366	0.097	0.187	0.124	0.107	0.042	0.11	0.07	0.385	0.193	0.388	0.005	0.16	0.778
ASV_8	1.63	16.355	0.00509300525129597	0.01624911199223	Enriched	4.647	1.502	5.714	5.283	5.733	5.744	2.073	4.399	0.846	3.761	6.864	0.506	8.385	6.462	0.042	0.087	0.107	0.08	0.108	0.628	7.479	1.845	0.062	4.345	1.736
ASV_10	-3.425	15.329	0.0320967748584047	0.0630795759711398	Depleted	0.102	1.092	0.219	0.206	0.214	0.058	0.103	0.062	0.048	0.11	0.04	0.024	0.075	0.062	0.066	0.084	0.083	2.68	0.073	4.117	1.559	1.55	0.049	0.918	0.832
ASV_1385	-6.256	16.832	0.089476117883811	0.13624772495944	NotSig	0.027	2.074	0.071	0.005	0.007	0.008	0.003	0.069	0.064	0.037	0.033	0.004	0.009	0.015	0.095	0.1	0.083	0.059	0.136	0.176	11.669	4.902	0.062	3.801	1.736
ASV_6	7.608	17.65	0.0210125579764851	0.0477234367601526	Enriched	5.682	0.029	18.114	20.565	2.439	11.584	0.398	0.127	0.081	2.326	2.708	0.098	1.827	7.913	0.05	0.007	0.042	0	0.005	0.003	0.005	0.102	0.053	0.01	0.044
ASV_4	-7.537	16.838	0.00158867842122656	0.00788455216460591	Depleted	0.028	5.132	0.035	0.021	0.049	0.041	0.046	0.027	0.006	0.028	0.02	0.007	0.007	0.045	2.52	4.27	6.138	11.713	10.318	1.325	1.638	6.868	1.145	1.297	9.221
ASV_7	-1.812	15.888	0.117159989206904	0.160198352589032	NotSig	0.357	1.253	0.548	0.128	0.116	0.287	0.09	0.361	0.395	0.089	0.687	0.558	0.513	0.511	0.285	0.043	0.413	6.063	0.048	0.893	1.482	1.864	0.025	1.263	1.404
