ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96
ASV_77	-2.785	13.451	3.079257536457e-06	0.000206310254942619	Depleted	0.089	0.61	0.23	0.05	0.007	0.019	0.02	0.025	0.042	0.02	0.015	0.591	0.007	0.037	0.673	0.514	0.488	0.875	0.708	0.395	0.712	1.12	0.317	0.65	0.466	0.409
ASV_62	-2.478	14.167	0.00546120213892112	0.0170186299212891	Depleted	0.115	0.642	0.028	0.035	0.074	0.055	0.159	0.129	0.375	0.179	0.1	0.094	0.086	0.067	0.387	1.061	0.051	0.136	0.027	0.416	0.307	0.794	0.915	0.751	1.018	1.839
ASV_55	-0.868	13.337	0.0311632932101016	0.0515540900018964	Depleted	0.248	0.453	0.046	0.052	0.232	0.187	0.478	0.319	0.804	0.191	0.093	0.216	0.237	0.122	0.448	0.492	0.217	0.335	0.321	0.223	0.543	0.536	0.449	0.256	0.579	1.035
ASV_51	-1.243	12.843	0.00871073759674807	0.0228870360385145	Depleted	0.144	0.341	0.041	0.04	0.251	0.163	0.196	0.219	0.252	0.342	0.045	0.072	0.066	0.045	0.13	0.243	0.332	0.338	0.262	0.382	0.627	0.236	0.094	0.153	0.735	0.565
ASV_49	-0.96	13.721	0.404790137917455	0.45581410488184	NotSig	0.168	0.328	0.032	0.026	0.142	0.028	0.461	1.064	0.095	0.122	0.005	0.009	0.016	0.022	0.007	0	0.012	0.003	0.002	0.034	1.214	0.022	0.028	0.025	1.35	1.236
ASV_61	0.167	12.783	0.631343818214424	0.671429140005816	NotSig	0.345	0.308	0.643	0.705	0.279	0.218	0.58	0.036	0.19	0.423	0.263	0.111	0.165	0.531	0.512	0.296	0.662	0.33	0.187	0.278	0.335	0.27	0.137	0.197	0.287	0.201
ASV_85	3.792	14.377	0.0515999230935359	0.0759823043355364	NotSig	0.448	0.032	0.009	0.012	0.007	1.045	0.053	2.127	0.014	0.033	0.562	0.401	0.077	1.04	0.026	0.003	0.01	0.01	0.01	0.204	0.056	0.014	0.025	0.007	0.012	0.011
ASV_965	-2.616	14.754	0.0588836583919875	0.0821917731721493	NotSig	0.101	0.619	0.118	0.05	0.049	0.019	0.027	0.132	0.171	0.024	0.206	0.148	0.136	0.135	1.91	0.228	0.049	2.762	0.052	0.339	0.294	0.205	0.261	0.879	0.075	0.377
ASV_53	-3.89	13.272	0.000139605733337041	0.00170065166065122	Depleted	0.037	0.547	0.016	0.012	0.009	0.011	0.023	0.169	0.048	0.012	0.035	0.015	0.075	0.017	0.791	0.236	0.085	0.509	0.989	0.824	0.929	0.777	0.471	0.148	0.526	0.282
ASV_67	1.223	13.945	0.0587718551087133	0.0821917731721493	NotSig	0.568	0.243	0.039	0.052	0.427	0.334	0.929	1.467	1.577	0.769	0.203	0.538	0.314	0.167	0.444	0.133	0.251	0.527	0.1	0.164	0.34	0.256	0.413	0.121	0.09	0.081
