ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96
ASV_1	0.799	17.901	0.37096714473872	0.42486835380332	NotSig	6.37	3.662	18.524	19.517	8.946	2.382	0.421	0.087	1.036	7.909	4.524	0.353	0.784	11.962	0.125	5.209	24.469	0.136	0.167	0.079	0.109	0.133	0.641	0.14	0.735	11.998
ASV_2	-4.293	17.151	0.00270225163820505	0.0106500505741023	Depleted	0.269	5.274	0.2	0.326	0.172	0.119	0.133	0.192	0.888	0.155	0.048	0.371	0.501	0.125	2.304	4.895	12.776	1.504	14.555	0.17	4.663	5.586	0.243	5.333	3.969	7.29
ASV_3	-3.636	16.944	0.00291197358560577	0.0108390127908659	Depleted	0.402	4.994	0.076	0.097	0.618	2.435	0.093	0.042	0.487	0.817	0.043	0.039	0.041	0.032	0.569	12.607	5.256	0.21	8.264	2.547	0.512	2.715	9.598	2.838	9.889	4.925
ASV_11	-3.093	16.15	0.0067961952829015	0.0185651403211962	Depleted	0.285	2.428	0.272	0.213	0.281	0.097	0.892	0.742	0.162	0.077	0.028	0.366	0.097	0.187	3.165	4.627	0.105	1.829	0.06	0.352	3.357	0.396	4.291	7.272	2.592	1.087
ASV_8	3.308	16.355	6.64676198878012e-05	0.00148444351082756	Enriched	4.647	0.469	5.714	5.283	5.733	5.744	2.073	4.399	0.846	3.761	6.864	0.506	8.385	6.462	0.017	0.013	0.061	0.059	0.015	1.579	0.113	3.516	0.061	0.015	0.111	0.072
ASV_10	-3.963	15.472	0.012974484812417	0.0275965232518076	Depleted	0.102	1.585	0.219	0.206	0.214	0.058	0.103	0.062	0.048	0.11	0.04	0.024	0.075	0.062	4.544	0.115	0.071	3.174	0.077	3.731	2.146	1.076	3.556	0.049	0.433	0.045
ASV_1385	-7.403	16.952	0.0176000996404753	0.0346825492915248	Depleted	0.027	4.594	0.071	0.005	0.007	0.008	0.003	0.069	0.064	0.037	0.033	0.004	0.009	0.015	12.579	7.346	0.168	10.363	0.1	0.167	0.092	0.082	11.245	12.679	0.164	0.138
ASV_6	8.637	17.65	0.0207483720818932	0.0391588994221647	Enriched	5.682	0.014	18.114	20.565	2.439	11.584	0.398	0.127	0.081	2.326	2.708	0.098	1.827	7.913	0	0	0.002	0.031	0.04	0.016	0.029	0	0.003	0.005	0.003	0.043
ASV_4	-4.191	13.824	0.0110481038714692	0.025524929634084	Depleted	0.028	0.505	0.035	0.021	0.049	0.041	0.046	0.027	0.006	0.028	0.02	0.007	0.007	0.045	0.352	0.008	1.011	0.88	0.03	0.021	0.229	0.685	0.046	0.027	1.317	1.45
ASV_7	-2.525	16.262	0.0231337129472276	0.0413322337990467	Depleted	0.357	2.055	0.548	0.128	0.116	0.287	0.09	0.361	0.395	0.089	0.687	0.558	0.513	0.511	4.412	0.622	0.083	7.857	0.045	2.003	1.726	1.725	0.735	2.68	0.355	2.417
ASV_9	-1.598	15.397	0.0211182380293907	0.0393033874435882	Depleted	0.475	1.437	0.17	0.092	0.734	0.353	0.501	0.281	0.748	1.972	0.088	0.155	0.463	0.142	0.104	2.132	2.402	0.294	0.897	0.753	0.7	1.301	4.316	1.249	2.347	0.752
ASV_14	3.436	16.832	0.0129687248778458	0.0275965232518076	Enriched	3.112	0.288	1.032	0.806	1.477	3.502	1.177	5.353	1.723	0.679	6.605	11.67	2.356	0.957	0.755	0.143	0.032	0.164	0.067	0.318	0.036	1.24	0.056	0.012	0.349	0.278
ASV_15	-1.231	14.407	0.0496212379144364	0.0755596122788009	Depleted	0.388	0.911	0.177	0.121	0.346	0.116	0.172	1.902	0.302	0.098	0.133	0.181	0.951	0.157	0.564	0.161	0.271	0.468	0.294	1.264	1.757	2.172	0.53	1.685	1.302	0.463
ASV_13	-2.7	15.677	0.0607466904293151	0.0839181084281261	NotSig	0.188	1.22	0.113	0.215	0.109	0.083	0.066	0.013	0.053	0.187	0.231	0.262	0.741	0.18	0.061	0.186	0.151	0.069	1.146	5.239	2.428	0.668	0.367	0.229	3.796	0.296
ASV_21	-0.463	14.692	0.432970195419533	0.481927496813817	NotSig	0.701	0.967	0.306	0.317	0.595	0.667	0.929	1.739	0.823	0.378	0.484	1.197	0.56	0.419	0.238	0.083	2.004	0.256	2.29	0.252	2.573	2.647	0.408	0.451	0.161	0.235
ASV_19	0.061	15.214	0.896073963269663	0.916594741054464	NotSig	1.443	1.383	0.051	0.031	3.608	0.24	2.471	3.802	0.499	1.895	2.227	0.379	2.024	0.087	2.273	0.339	1.465	0.775	1.079	0.999	1.204	1.704	2.263	1.798	0.451	2.243
ASV_12	-4.739	15.993	0.0668947232362723	0.0897977854424187	NotSig	0.051	1.353	0.018	0.151	0.005	0	0.017	0.002	0.014	0.016	0.258	0.022	0.002	0.102	0.024	2.132	5.243	0.57	0.032	0.037	0.022	0.048	0.973	0.539	0.099	6.52
ASV_17	-2.34	14.74	0.00594942821921058	0.0179989554197242	Depleted	0.234	1.184	0.053	0.102	0.128	0.061	1.234	0.834	0.134	0.033	0.008	0.111	0.038	0.07	1.671	2.199	0.044	0.893	0.025	0.175	1.861	0.287	2.038	2.737	1.613	0.662
ASV_20	-3.618	14.644	0.0110346139358208	0.025524929634084	Depleted	0.073	0.892	0.053	0.071	0.093	0.041	0.083	0.143	0.07	0.033	0.02	0.074	0.174	0.017	0.626	1.883	0.037	0.258	2.56	0.053	0.948	0.186	1.751	2.111	0.194	0.097
ASV_29	-3.039	14.486	0.00920062828928269	0.0237093113608438	Depleted	0.116	0.95	0.081	0.073	0.084	0.036	0.123	0.256	0.098	0.016	0.05	0.089	0.44	0.04	0.864	2.109	0.032	0.412	2.295	0.098	1.033	0.162	1.959	2.099	0.248	0.09
ASV_22	-4.242	14.083	0.0109791478380861	0.025524929634084	Depleted	0.035	0.658	0.074	0.061	0.074	0.03	0.036	0.013	0.008	0.037	0.013	0.013	0.027	0.03	1.735	0.043	0.032	1.166	0.017	1.669	1.028	0.538	1.473	0.017	0.155	0.025
ASV_23	-0.813	13.731	0.0115385727346793	0.0261585580320223	Depleted	0.44	0.773	0.154	0.14	0.43	0.394	0.521	0.426	0.641	0.394	0.547	0.621	0.517	0.496	0.64	1.299	0.376	0.223	0.648	0.323	0.606	0.849	0.996	1.025	0.932	1.36
ASV_16	0.196	16.749	0.894093408037319	0.916594741054464	NotSig	1.207	1.054	0.318	0.192	0.657	8.253	0.687	0.033	0.846	3.139	0.09	0.024	0.14	0.107	0.017	0.033	0.029	0.033	0.312	11.011	0.097	1.014	0.003	0.01	0.033	0.054
ASV_28	-3.158	14.104	0.00667421708638661	0.0185651403211962	Depleted	0.085	0.757	0.058	0.059	0.116	0.041	0.09	0.136	0.098	0.016	0.088	0.139	0.131	0.045	0.699	1.608	0.037	0.376	1.685	0.146	0.883	0.2	1.488	1.761	0.137	0.061
ASV_25	-3.005	15.575	0.0367377042384065	0.0579159102111349	Depleted	0.128	1.028	0.032	0.019	0.016	0.074	0.036	0.194	0.899	0.028	0.013	0.148	0.059	0.017	0.897	0.04	0.193	0.951	0.399	0.443	0.886	0.603	4.881	0.929	0.314	1.801
ASV_30	6.376	15.798	0.000411442923940071	0.00324313834164527	Enriched	2.45	0.03	3.585	5.699	2.688	0.364	1.841	1.521	0.137	0.472	4.228	3.287	2.424	3.159	0.042	0.008	0.01	0.036	0.022	0.019	0.051	0.043	0.025	0.005	0.03	0.063
ASV_26	-2.861	14.391	1.03069291035128e-05	0.000460376166623574	Depleted	0.149	1.08	0.083	0.019	0.098	0.121	0.139	0.187	0.375	0.142	0.281	0.163	0.077	0.097	1.211	0.923	0.781	0.918	0.8	0.771	1.414	1.207	0.831	0.522	1.434	2.148
ASV_24	-1.316	13.793	0.00517696791539179	0.016733909206222	Depleted	0.291	0.724	0.353	0.608	0.223	0.121	0.405	0.082	0.196	0.415	0.238	0.048	0.145	0.658	0.198	1.058	0.63	0.335	0.64	1.079	1.419	0.678	0.403	0.485	1.404	0.361
ASV_27	-0.135	15.979	0.904673890530916	0.918381070690475	NotSig	0.939	1.032	0.081	0.007	0.063	0.309	1.698	2.259	0.09	0.118	0.075	0.083	6.46	0.03	5.734	0.068	0.059	3.65	0.067	1.852	0.007	0.724	0.182	0.005	0.012	0.02
ASV_119	-3.155	14.153	0.00112107609107475	0.00583822762420382	Depleted	0.078	0.691	0.055	0.099	0.074	0.03	0.03	0.096	0.182	0.02	0.05	0.109	0.151	0.032	0.458	0.923	0.771	0.299	1.822	0.106	0.76	0.584	0.071	1.195	0.475	0.822
ASV_157	-1.433	14.099	0.000590317337902801	0.00395512616394877	Depleted	0.307	0.828	0.147	0.116	0.325	0.199	0.488	0.441	0.504	0.366	0.223	0.329	0.203	0.337	0.746	0.808	0.254	1.754	1.121	0.525	0.804	0.927	0.408	0.889	1.012	0.685
ASV_34	7.439	15.617	0.000214215522353747	0.00205034857110015	Enriched	2.417	0.014	0.47	0.558	5.025	2.779	2.577	1.699	2.692	3.599	4.542	2.413	0.104	2.548	0	0.013	0.002	0.015	0.022	0.042	0.012	0.005	0.01	0.007	0.006	0.032
ASV_32	-4.002	14.131	0.000127608627413794	0.00170065166065122	Depleted	0.055	0.88	0.046	0.012	0.06	0.019	0.09	0.178	0.011	0.016	0.043	0.1	0.063	0.02	0.406	0.303	0.586	1.437	1.401	1.794	0.748	0.62	0.542	0.458	1.425	0.84
ASV_31	-1.114	14.744	0.358090744796602	0.413656550023661	NotSig	0.27	0.585	0.044	0.059	0.2	0.041	0.693	1.773	0.162	0.211	0.008	0.007	0.016	0.027	0.012	0.003	0.022	0	0.007	0.048	2.078	0.048	0.025	0.037	2.745	1.99
ASV_37	6.101	16.509	0.0236818521695609	0.0417548446147521	Enriched	2.358	0.034	0.058	0.071	2.197	4.208	6.56	1.645	9.327	3.871	0.075	0.098	0.07	0.117	0.017	0.043	0.081	0.026	0.032	0.024	0.022	0.039	0.015	0.034	0.063	0.018
ASV_38	-4.709	14.078	0.000983020000495798	0.00548852833610154	Depleted	0.03	0.779	0.025	0.035	0.046	0.017	0.066	0.018	0.045	0.033	0.018	0.004	0.02	0.03	0.314	1.475	1.457	1.729	0.404	0.737	0.249	0.451	0.134	0.631	1.475	0.296
ASV_39	3.681	16.292	0.0306365665839048	0.0515540900018964	Enriched	1.825	0.142	1.177	0.284	3.103	0.383	8.023	0.125	0.048	4.262	0.813	1.868	1.452	0.366	0.009	0.003	0.032	0.018	0.017	1.285	0.058	0.249	0.003	0	0.03	0.005
ASV_40	-4.03	14.281	0.336597449154729	0.395649633216962	NotSig	0.011	0.177	0.021	0.014	0.009	0.014	0	0.007	0.003	0	0.008	0.015	0.005	0.035	0.007	1.991	0.022	0	0.022	0.019	0.019	0.014	0	0.01	0.003	0.011
ASV_1214	-2.367	14.053	0.00113279043454701	0.00583822762420382	Depleted	0.128	0.66	0.115	0.08	0.102	0.033	0.153	0.111	0.218	0.061	0.158	0.244	0.199	0.06	0.954	1.001	0.561	0.683	0.892	0.212	0.396	0.316	0.525	1.7	0.251	0.429
