ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96
ASV_1	0.244	17.901	0.816205871220044	0.906972472121503	NotSig	4.337	3.662	6.456	0.436	7.462	0.466	17.455	0.198	0.152	0.284	14.224	0.266	0.314	0.125	5.209	24.469	0.136	0.167	0.079	0.109	0.133	0.641	0.14	0.735	11.998
ASV_2	0.381	17.478	0.437386374312956	0.636307922153328	NotSig	6.866	5.274	8.177	6.908	13.346	5.041	7.712	2.622	5.021	0.281	18.258	4.008	4.149	2.304	4.895	12.776	1.504	14.555	0.17	4.663	5.586	0.243	5.333	3.969	7.29
ASV_3	0.16	17.313	0.741971876736578	0.848965988598239	NotSig	5.581	4.994	5.726	3.95	4.405	6.461	0.264	16.285	2.768	3.833	2.46	8.849	6.385	0.569	12.607	5.256	0.21	8.264	2.547	0.512	2.715	9.598	2.838	9.889	4.925
ASV_11	-3.499	16.15	0.00559568664645733	0.113778961811299	Depleted	0.215	2.428	0.124	0.107	0.042	0.11	0.07	0.385	0.193	0.388	0.005	0.16	0.778	3.165	4.627	0.105	1.829	0.06	0.352	3.357	0.396	4.291	7.272	2.592	1.087
ASV_8	1.678	16.191	0.208069915797214	0.485934614079293	NotSig	1.502	0.469	0.042	0.087	0.107	0.08	0.108	0.628	7.479	1.845	0.062	4.345	1.736	0.017	0.013	0.061	0.059	0.015	1.579	0.113	3.516	0.061	0.015	0.111	0.072
ASV_10	-0.537	15.472	0.449987345007946	0.646482229227849	NotSig	1.092	1.585	0.066	0.084	0.083	2.68	0.073	4.117	1.559	1.55	0.049	0.918	0.832	4.544	0.115	0.071	3.174	0.077	3.731	2.146	1.076	3.556	0.049	0.433	0.045
ASV_1385	-1.147	16.952	0.215627314595778	0.485934614079293	NotSig	2.074	4.594	0.095	0.1	0.083	0.059	0.136	0.176	11.669	4.902	0.062	3.801	1.736	12.579	7.346	0.168	10.363	0.1	0.167	0.092	0.082	11.245	12.679	0.164	0.138
ASV_6	1.03	9.993	0.189436947649848	0.469502615319678	NotSig	0.029	0.014	0.05	0.007	0.042	0	0.005	0.003	0.005	0.102	0.053	0.01	0.044	0	0	0.002	0.031	0.04	0.016	0.029	0	0.003	0.005	0.003	0.043
ASV_4	3.346	16.838	0.00299273172754126	0.100642801360232	Enriched	5.132	0.505	2.52	4.27	6.138	11.713	10.318	1.325	1.638	6.868	1.145	1.297	9.221	0.352	0.008	1.011	0.88	0.03	0.021	0.229	0.685	0.046	0.027	1.317	1.45
ASV_7	-0.714	16.262	0.343502736521295	0.553017394709784	NotSig	1.253	2.055	0.285	0.043	0.413	6.063	0.048	0.893	1.482	1.864	0.025	1.263	1.404	4.412	0.622	0.083	7.857	0.045	2.003	1.726	1.725	0.735	2.68	0.355	2.417
