ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96
ASV_9	-0.106	15.973	0.87496496342037	0.928761556687688	NotSig	1.336	1.437	6.432	0.301	0.526	0.29	1.124	1.197	0.173	2.112	0.629	1.16	0.746	0.104	2.132	2.402	0.294	0.897	0.753	0.7	1.301	4.316	1.249	2.347	0.752
ASV_14	1.141	14.789	0.237437374342595	0.485934614079293	NotSig	0.634	0.288	0.079	0.032	0.044	0.04	0.736	1.035	2.831	1.132	0.086	0.945	0.015	0.755	0.143	0.032	0.164	0.067	0.318	0.036	1.24	0.056	0.012	0.349	0.278
ASV_15	0.398	15.436	0.582498833013158	0.73414109119427	NotSig	1.2	0.911	0.203	3.651	1.92	1.811	0.332	0.053	0.027	0.055	4.434	0.67	0.049	0.564	0.161	0.271	0.468	0.294	1.264	1.757	2.172	0.53	1.685	1.302	0.463
ASV_13	1.232	15.954	0.044308833211039	0.229054137785879	NotSig	2.865	1.22	4.851	2.045	3.733	6.346	0.651	1.194	2.142	1.347	0.96	5.38	2.865	0.061	0.186	0.151	0.069	1.146	5.239	2.428	0.668	0.367	0.229	3.796	0.296
ASV_21	0.737	15.698	0.248596111696622	0.485934614079293	NotSig	1.611	0.967	0.598	5.315	1.257	1.176	1.594	0.558	1.005	0.38	3.459	1.165	1.21	0.238	0.083	2.004	0.256	2.29	0.252	2.573	2.647	0.408	0.451	0.161	0.235
ASV_19	-1.035	14.542	0.0263314950496775	0.206429818100269	NotSig	0.675	1.383	0.685	1.511	0.028	0.091	2.385	0.24	0.74	0.311	0.023	0.987	0.422	2.273	0.339	1.465	0.775	1.079	0.999	1.204	1.704	2.263	1.798	0.451	2.243
ASV_12	-1.044	15.993	0.353568498257075	0.553017394709784	NotSig	0.656	1.353	0.04	0.018	0.014	0.026	0.015	3.783	1.735	0.895	0.13	0.473	0.091	0.024	2.132	5.243	0.57	0.032	0.037	0.022	0.048	0.973	0.539	0.099	6.52
ASV_17	-3.24	14.74	0.00259731937283919	0.100642801360232	Depleted	0.125	1.184	0.037	0.062	0.014	0.068	0.028	0.232	0.094	0.229	0.009	0.094	0.513	1.671	2.199	0.044	0.893	0.025	0.175	1.861	0.287	2.038	2.737	1.613	0.662
ASV_20	-0.473	14.644	0.401356816045518	0.606009053930114	NotSig	0.643	0.892	1.136	0.429	1.15	0.787	0.862	0.815	0.561	0.364	0.016	0.559	0.393	0.626	1.883	0.037	0.258	2.56	0.053	0.948	0.186	1.751	2.111	0.194	0.097
ASV_29	-0.69	14.486	0.213543649048542	0.485934614079293	NotSig	0.589	0.95	0.925	0.459	0.981	0.607	0.772	0.764	0.532	0.41	0.06	0.564	0.405	0.864	2.109	0.032	0.412	2.295	0.098	1.033	0.162	1.959	2.099	0.248	0.09
ASV_22	-0.331	14.351	0.641851047064532	0.776843529185247	NotSig	0.523	0.658	0.024	0.032	0.03	1.31	0.04	2.089	0.658	0.771	0.023	0.428	0.351	1.735	0.043	0.032	1.166	0.017	1.669	1.028	0.538	1.473	0.017	0.155	0.025
ASV_23	0.304	14.598	0.486400593036733	0.660734088827385	NotSig	0.955	0.773	0.385	2.481	1.319	1.567	0.556	0.332	0.619	0.319	1.981	0.241	0.7	0.64	1.299	0.376	0.223	0.648	0.323	0.606	0.849	0.996	1.025	0.932	1.36
ASV_16	-0.165	16.749	0.909752477666869	0.937413870568902	NotSig	0.94	1.054	0.087	0.226	4.025	1.567	1.825	0.039	0.031	1.906	0.555	0.057	0.02	0.017	0.033	0.029	0.033	0.312	11.011	0.097	1.014	0.003	0.01	0.033	0.054
ASV_28	-0.541	14.104	0.288360643971398	0.505459749490095	NotSig	0.52	0.757	0.706	0.379	0.795	0.647	0.55	0.901	0.479	0.336	0.03	0.519	0.376	0.699	1.608	0.037	0.376	1.685	0.146	0.883	0.2	1.488	1.761	0.137	0.061
ASV_25	0.444	15.575	0.505974719326989	0.670966475629268	NotSig	1.398	1.028	0.1	4.37	1.148	1.335	3.26	0.48	1.619	1.314	0.618	0.059	1.08	0.897	0.04	0.193	0.951	0.399	0.443	0.886	0.603	4.881	0.929	0.314	1.801
ASV_30	2.031	12.71	0.142622524911107	0.406092539116364	NotSig	0.121	0.03	0.034	0.112	0.016	0.009	0.106	0.006	0.67	0.063	0.032	0.123	0.155	0.042	0.008	0.01	0.036	0.022	0.019	0.051	0.043	0.025	0.005	0.03	0.063
ASV_26	-0.038	14.391	0.894010477749519	0.935444084529686	NotSig	1.052	1.08	0.322	2.013	1.027	1.745	0.649	0.391	1.277	1.151	1.037	0.569	1.394	1.211	0.923	0.781	0.918	0.8	0.771	1.414	1.207	0.831	0.522	1.434	2.148
ASV_24	0.468	14.285	0.207644669350835	0.485934614079293	NotSig	1.002	0.724	0.878	0.479	0.691	0.246	0.638	1.771	0.952	1.997	0.484	1.317	1.566	0.198	1.058	0.63	0.335	0.64	1.079	1.419	0.678	0.403	0.485	1.404	0.361
ASV_27	-1.113	15.807	0.350274932257201	0.553017394709784	NotSig	0.477	1.032	0.008	0.025	0.021	1.581	0.038	0.315	0.564	2.115	0.016	0.044	0.518	5.734	0.068	0.059	3.65	0.067	1.852	0.007	0.724	0.182	0.005	0.012	0.02
ASV_119	0.088	14.153	0.82952209920068	0.908299973822439	NotSig	0.734	0.691	0.92	0.73	1.363	0.415	0.9	0.483	0.393	0.094	1.701	0.492	0.582	0.458	0.923	0.771	0.299	1.822	0.106	0.76	0.584	0.071	1.195	0.475	0.822
ASV_157	-0.325	14.099	0.240576688405377	0.485934614079293	NotSig	0.661	0.828	0.691	0.687	0.461	0.389	0.41	0.672	0.424	0.958	0.479	0.844	1.254	0.746	0.808	0.254	1.754	1.121	0.525	0.804	0.927	0.408	0.889	1.012	0.685
ASV_34	0.587	8.728	0.190435237369503	0.469502615319678	NotSig	0.021	0.014	0.037	0.037	0.028	0.007	0.008	0.014	0.01	0.017	0.032	0.032	0.01	0	0.013	0.002	0.015	0.022	0.042	0.012	0.005	0.01	0.007	0.006	0.032
ASV_32	-0.655	14.131	0.0641120422787819	0.288231909952049	NotSig	0.559	0.88	0.554	0.977	0.83	0.333	0.719	0.162	0.467	0.463	0.775	0.33	0.538	0.406	0.303	0.586	1.437	1.401	1.794	0.748	0.62	0.542	0.458	1.425	0.84
ASV_31	-1.418	14.744	0.269780405044745	0.492712715800283	NotSig	0.219	0.585	0.055	0.025	0.009	0.019	0.023	1.085	0.186	0.006	0.005	0.182	0.813	0.012	0.003	0.022	0	0.007	0.048	2.078	0.048	0.025	0.037	2.745	1.99
ASV_37	-0.163	9.654	0.641745244014438	0.776843529185247	NotSig	0.031	0.034	0.055	0.014	0.009	0.023	0.028	0.045	0.055	0.044	0.037	0.01	0.017	0.017	0.043	0.081	0.026	0.032	0.024	0.022	0.039	0.015	0.034	0.063	0.018
ASV_38	-0.376	14.078	0.47903219543826	0.660734088827385	NotSig	0.601	0.779	1.329	0.399	0.139	0.084	0.216	1.534	0.463	1.65	0.518	0.111	0.164	0.314	1.475	1.457	1.729	0.404	0.737	0.249	0.451	0.134	0.631	1.475	0.296
ASV_39	-0.214	13.65	0.887757742198494	0.935444084529686	NotSig	0.123	0.142	0.021	0.041	0.051	0.061	0.008	0.045	0.017	0.994	0.009	0.049	0.054	0.009	0.003	0.032	0.018	0.017	1.285	0.058	0.249	0.003	0	0.03	0.005
ASV_40	2.287	15.965	0.287025813016296	0.505459749490095	NotSig	0.862	0.177	0.021	0.335	6.395	0.047	0.048	0.039	0.036	0.058	2.376	0.054	0.074	0.007	1.991	0.022	0	0.022	0.019	0.019	0.014	0	0.01	0.003	0.011
ASV_1214	-0.424	14.053	0.264493024035641	0.492408517640133	NotSig	0.492	0.66	0.345	0.408	0.721	0.199	0.52	0.184	0.836	0.256	1.002	0.448	0.491	0.954	1.001	0.561	0.683	0.892	0.212	0.396	0.316	0.525	1.7	0.251	0.429
ASV_57	-0.487	10.449	0.285253490554579	0.505459749490095	NotSig	0.047	0.066	0.045	0.041	0.007	0.033	0.02	0.011	0.14	0.039	0.021	0.121	0.044	0.137	0.055	0.068	0.107	0.022	0.037	0.036	0.022	0.094	0.121	0.063	0.034
ASV_48	1.788	13.592	0.00390920084207428	0.100642801360232	Enriched	0.476	0.138	0.258	0.31	0.311	0.251	0.264	0.516	0.282	0.722	0.435	0.657	1.235	0.035	0.176	0.195	0.077	0.097	0.093	0.14	0.138	0.106	0.217	0.137	0.244
ASV_46	0.566	13.383	0.321097578858793	0.542519633100731	NotSig	0.388	0.262	0.05	0.436	0.262	1.068	0.101	0.064	0.402	0.452	0.137	0.485	0.808	0.295	0.018	0.015	0.092	0.057	0.204	0.507	0.297	0.137	0.333	0.227	0.962
ASV_42	-0.574	13.926	0.183158813983507	0.469502615319678	NotSig	0.469	0.698	0.237	1.077	0.329	0.426	0.641	0.346	0.47	0.229	0.597	0.478	0.331	1.376	0.281	0.293	0.233	0.7	0.212	1.557	1.467	0.806	0.426	0.791	0.239
ASV_35	0.55	14.012	0.254224901115841	0.485934614079293	NotSig	0.568	0.388	0.422	0.308	0.248	0.117	0.747	0.644	0.214	1.652	0.356	0.867	0.67	0.222	0.188	0.688	0.98	0.09	0.215	0.524	0.147	0.284	0.234	0.415	0.666
ASV_45	0.346	9.535	0.673226235551902	0.792795373912472	NotSig	0.018	0.014	0.026	0.057	0.002	0.002	0	0.011	0	0.008	0.012	0.059	0.017	0.005	0.005	0	0.015	0.027	0.074	0.005	0.002	0.003	0.022	0	0.009
ASV_33	0.599	14.663	0.254916518861268	0.485934614079293	NotSig	0.867	0.572	0.791	0.313	0.659	0.827	0.166	2.594	0.66	0.573	0.229	1.172	1.551	0.283	0.334	0.249	0.343	0.695	1.826	0.304	0.372	1.059	0.584	0.57	0.246
ASV_52	-1.305	13.632	0.00461966957063359	0.100642801360232	Depleted	0.219	0.542	0.166	0.329	0.074	0.169	0.226	0.148	0.164	0.358	0.285	0.091	0.405	0.592	0.356	0.183	0.558	0.725	0.347	0.878	1.269	0.276	0.318	0.326	0.678
ASV_36	1.16	7.94	0.1501100266291	0.416214164744323	NotSig	0.008	0.004	0.013	0.007	0.019	0	0	0	0	0.011	0.005	0.007	0.025	0	0	0	0.003	0.01	0.005	0.014	0	0	0	0.003	0.007
ASV_56	2.038	12.55	0.011166425223134	0.159944037366638	Enriched	0.283	0.069	0.111	0.03	0.392	0.052	0.46	0.6	0.472	0.54	0.019	0.194	0.245	0.024	0.01	0.017	0.184	0.012	0.098	0.007	0.417	0.01	0.005	0.024	0.018
ASV_47	-0.788	13.172	0.0394338017296704	0.211005430307885	NotSig	0.29	0.5	0.264	0.397	0.255	0.558	0.329	0.165	0.429	0.085	0.465	0.074	0.164	0.923	0.278	0.178	0.803	0.91	0.196	0.405	0.611	0.674	0.542	0.2	0.28
ASV_120	-0.803	14.368	0.129947541561696	0.402066841522308	NotSig	0.384	0.67	0.335	0.762	0.264	0.068	0.266	0.173	0.272	1.305	0.4	0.185	0.191	0.444	0.838	0.327	0.801	0.449	0.111	0.611	0.695	0.461	0.798	2.115	0.386
ASV_60	-1.14	13.2	0.0491009551431988	0.245504775715994	NotSig	0.186	0.411	0.071	0.144	0.053	0.091	0.312	0.159	0.029	0.162	0.079	0.071	0.879	0.545	0.509	0.088	0.21	0.371	0.132	0.362	0.053	0.365	0.941	0.6	0.752
ASV_54	2.84	14.633	0.00785080435365795	0.14085266634504	Enriched	1.029	0.144	2.162	0.1	0.137	0.387	0.085	2.541	1.067	1.203	0.379	1.357	1.898	0.125	0.028	0.02	0.046	0.147	0.101	0.319	0.174	0.39	0.239	0.122	0.014
ASV_50	0.892	15.565	0.468557010689677	0.658570913642173	NotSig	0.967	0.521	4.848	1.303	0.496	0.026	0.84	0.036	0.002	0.028	3.022	0.03	0.002	0.033	0.028	1.152	0.013	4.444	0.029	0.048	0.022	0.018	0.399	0.048	0.016
ASV_68	-2.219	14.721	0.246383137391862	0.485934614079293	NotSig	0.082	0.381	0.021	0.014	0.007	0.03	0.008	0.006	0.024	0.496	0.014	0.234	0.047	0.12	0.013	0.002	0.143	0.017	1.436	0.034	2.7	0.02	0.027	0.024	0.032
ASV_44	-0.452	13.525	0.24262403046428	0.485934614079293	NotSig	0.384	0.525	0.854	0.185	0.199	0.096	0.171	0.837	0.214	0.658	0.259	0.364	0.383	0.236	0.74	1.179	0.458	0.591	0.821	0.27	0.268	0.261	0.374	0.705	0.398
ASV_218	-0.532	13.421	0.328985412449898	0.544777736237776	NotSig	0.234	0.338	0.535	0.148	0.376	0.173	0.362	0.226	0.284	0.091	0.023	0.244	0.108	0.269	0.607	0.022	0.171	1.097	0.056	0.34	0.278	0.264	0.744	0.137	0.07
ASV_41	1.948	15.429	0.0435451635589949	0.228987498025749	NotSig	1.113	0.289	0.957	0.447	0.967	1.035	0.219	4.41	0.718	0.65	0.349	0.707	1.787	0.151	0.07	0.188	0.143	0.429	1.033	0.176	0.198	0.393	0.33	0.266	0.086
ASV_43	1.101	13.75	0.0153701688878394	0.188105566974216	Enriched	0.647	0.302	0.293	0.374	0.575	1.377	0.287	0.65	1.038	0.672	0.201	0.68	0.972	0.156	0.063	0.225	0.159	0.162	0.424	0.5	0.43	0.119	0.047	0.684	0.653
ASV_1390	-0.653	12.908	0.0251258351591992	0.206429818100269	NotSig	0.255	0.4	0.227	0.171	0.39	0.22	0.287	0.279	0.205	0.151	0.317	0.271	0.285	0.578	0.489	0.146	0.45	0.578	0.278	0.43	0.389	0.276	0.769	0.128	0.294
ASV_65	1.662	13.999	0.0661617393556232	0.29245406526761	NotSig	0.553	0.175	0.424	0.242	1.016	0.054	0.515	1.052	0.007	0.069	0.012	1.637	1.053	0.172	0.025	0	0.051	0.002	0.04	0.012	0.111	1.105	0.495	0.012	0.07
ASV_77	-0.978	13.451	0.00457345429688108	0.100642801360232	Depleted	0.31	0.61	0.519	0.052	0.014	0.012	0.649	0.248	0.219	0.317	0.379	0.409	0.592	0.673	0.514	0.488	0.875	0.708	0.395	0.712	1.12	0.317	0.65	0.466	0.409
ASV_62	-1.516	14.167	0.021927339438509	0.206429818100269	NotSig	0.224	0.642	0.169	0.062	0.355	0.539	0.058	0.404	0.164	0.061	0.053	0.414	0.191	0.387	1.061	0.051	0.136	0.027	0.416	0.307	0.794	0.915	0.751	1.018	1.839
ASV_55	-0.547	13.337	0.0990446675219113	0.377607794927287	NotSig	0.31	0.453	0.116	0.63	0.32	0.602	0.279	0.112	0.265	0.245	0.169	0.305	0.366	0.448	0.492	0.217	0.335	0.321	0.223	0.543	0.536	0.449	0.256	0.579	1.035
ASV_51	0.545	13.491	0.190879751802099	0.469502615319678	NotSig	0.498	0.341	0.261	0.283	0.29	0.752	0.103	0.402	0.443	1.151	0.255	0.943	0.597	0.13	0.243	0.332	0.338	0.262	0.382	0.627	0.236	0.094	0.153	0.735	0.565
ASV_49	-1.07	13.721	0.36174069234596	0.562912812068968	NotSig	0.156	0.328	0.024	0.014	0.007	0.016	0.008	0.695	0.113	0.011	0.005	0.13	0.695	0.007	0	0.012	0.003	0.002	0.034	1.214	0.022	0.028	0.025	1.35	1.236
ASV_61	0.232	12.738	0.43029341761968	0.634007209536244	NotSig	0.361	0.308	0.554	0.292	0.26	0.164	0.191	0.307	0.318	0.683	0.208	0.5	0.498	0.512	0.296	0.662	0.33	0.187	0.278	0.335	0.27	0.137	0.197	0.287	0.201
ASV_85	4.271	14.416	0.027186618255551	0.206429818100269	NotSig	0.625	0.032	2.185	0.096	0.023	0.047	1.209	0.073	1.691	0.438	0.023	0.835	0.255	0.026	0.003	0.01	0.01	0.01	0.204	0.056	0.014	0.025	0.007	0.012	0.011
ASV_965	-1.626	14.754	0.123203821890374	0.402066841522308	NotSig	0.201	0.619	0.066	0.023	0.093	0.668	0.033	0.109	0.301	0.388	0.014	0.212	0.302	1.91	0.228	0.049	2.762	0.052	0.339	0.294	0.205	0.261	0.879	0.075	0.377
ASV_53	-0.776	13.272	0.0381884604289494	0.211005430307885	NotSig	0.32	0.547	0.322	0.308	0.332	0.105	0.339	0.223	0.482	0.085	0.599	0.367	0.354	0.791	0.236	0.085	0.509	0.989	0.824	0.929	0.777	0.471	0.148	0.526	0.282
ASV_67	-0.649	12.363	0.10620042438799	0.387009366398227	NotSig	0.155	0.243	0.1	0.192	0.086	0.101	0.126	0.059	0.169	0.229	0.109	0.17	0.368	0.444	0.133	0.251	0.527	0.1	0.164	0.34	0.256	0.413	0.121	0.09	0.081
ASV_64	-0.579	13.443	0.134461697820575	0.402066841522308	NotSig	0.302	0.452	0.134	0.568	0.336	0.691	0.224	0.12	0.294	0.231	0.192	0.187	0.349	0.33	0.534	0.188	0.307	0.274	0.223	0.697	0.598	0.378	0.18	0.597	1.114
ASV_71	1.599	13.897	0.0154184890962472	0.188105566974216	Enriched	0.703	0.232	0.256	1.312	1.526	1.099	1.342	0.162	0.557	0.069	0.616	0.293	0.508	0.142	0.038	0.176	0.156	0.187	0.034	0.688	0.565	0.117	0.273	0.081	0.332
ASV_63	-1.029	13.922	0.14013770008902	0.406092539116364	NotSig	0.223	0.455	0.203	0.6	0.16	0.098	0.023	0.139	0.014	0.653	0.315	0.044	0.201	0.406	1.552	0.076	0.038	0.446	0.212	0.034	0.386	1.049	0.82	0.284	0.154
ASV_82	-1.419	14.418	0.107129836042707	0.387009366398227	NotSig	0.201	0.537	0.037	0.331	0.026	0.576	0.259	0.209	0.2	0.162	0.104	0.219	0.086	1.185	0.91	0.112	0.059	0.117	0.342	0.06	0.391	2.19	0.158	0.869	0.052
ASV_100	-0.835	11.471	0.033189072253068	0.206429818100269	NotSig	0.076	0.135	0.04	0.1	0.056	0.199	0.053	0.053	0.089	0.066	0.056	0.049	0.074	0.146	0.11	0.024	0.092	0.042	0.085	0.118	0.169	0.284	0.126	0.182	0.244
ASV_76	0.311	12.185	0.352544553381094	0.553017394709784	NotSig	0.22	0.177	0.082	0.466	0.248	0.272	0.332	0.081	0.27	0.121	0.224	0.064	0.255	0.347	0.098	0.117	0.105	0.092	0.103	0.292	0.145	0.243	0.18	0.161	0.239
ASV_148	-0.717	11.349	0.00395693602450962	0.100642801360232	Depleted	0.116	0.19	0.063	0.228	0.118	0.126	0.121	0.073	0.111	0.11	0.074	0.126	0.123	0.248	0.261	0.076	0.253	0.12	0.106	0.232	0.169	0.22	0.192	0.155	0.251
ASV_59	-1.067	14.318	0.137488713997367	0.406092539116364	NotSig	0.247	0.518	0.211	0.082	0.308	0.012	0.45	0.293	0.041	0.151	0.176	0.534	0.462	0.994	0.033	0.19	0.043	0.137	0.753	2.042	0.524	0.388	0.227	0.633	0.255
ASV_90	-0.441	9.015	0.199409781376796	0.482698280316847	NotSig	0.017	0.023	0.029	0.016	0.009	0.009	0.025	0.003	0.017	0.03	0.016	0.012	0.02	0.021	0.02	0.015	0.038	0.01	0.016	0.039	0.022	0.015	0.052	0.009	0.02
ASV_73	0.365	12.351	0.231069088434353	0.485934614079293	NotSig	0.29	0.225	0.261	0.523	0.227	0.124	0.209	0.279	0.087	0.364	0.509	0.281	0.331	0.276	0.313	0.31	0.217	0.097	0.453	0.212	0.154	0.129	0.172	0.308	0.061
ASV_74	-0.449	9.12	0.72650694102991	0.845742813031002	NotSig	0.005	0.007	0.005	0.023	0.002	0	0	0.006	0.005	0.003	0	0.01	0	0	0.008	0.002	0.003	0	0.056	0.002	0	0	0	0.009	0
ASV_91	-0.115	13.093	0.864624954079159	0.922065073406096	NotSig	0.169	0.183	0.05	0.201	0.23	0.068	0.048	0.056	0.429	0.229	0.167	0.182	0.196	0.054	0.038	0.015	0.102	0.047	0.04	0.874	0.495	0.16	0.113	0.051	0.203
ASV_88	-0.446	12.169	0.130000479581923	0.402066841522308	NotSig	0.194	0.265	0.113	0.21	0.104	0.119	0.256	0.126	0.092	0.099	0.375	0.298	0.346	0.319	0.331	0.149	0.215	0.224	0.156	0.316	0.077	0.286	0.461	0.269	0.375
ASV_1277	-1.496	14.005	0.110189912290141	0.387009366398227	NotSig	0.145	0.409	0.042	0.025	0.06	0.501	0.025	0.167	0.157	0.289	0.009	0.14	0.177	1.235	0.155	0.022	1.645	0.027	0.405	0.302	0.241	0.155	0.498	0.048	0.172
ASV_83	1.454	11.994	0.0860427387943351	0.34990713776363	NotSig	0.136	0.05	0.005	0.05	0.012	0.141	0.138	0.114	0.19	0.218	0.007	0.367	0.255	0.017	0.008	0.01	0.013	0.005	0.048	0.408	0.041	0.033	0.01	0.003	0.002
ASV_70	-0.626	12.6	0.143741313388395	0.406092539116364	NotSig	0.166	0.256	0.082	0.141	0.032	0.077	0.103	0.137	0.152	0.207	0.194	0.379	0.322	0.621	0.158	0.063	0.519	0.364	0.159	0.265	0.212	0.17	0.057	0.311	0.176
ASV_72	0.046	7.124	0.959602820552976	0.975596200895525	NotSig	0.003	0.003	0	0.002	0	0.005	0.003	0.014	0.002	0	0	0.002	0.002	0	0.008	0.002	0	0	0	0	0.007	0	0.012	0.003	0
ASV_80	-0.388	13.617	0.42838282333929	0.634007209536244	NotSig	0.292	0.382	0.15	0.571	0.329	0.724	0.304	0.064	0.279	0.22	0.139	0.15	0.282	0.399	0.554	0.217	0.358	0.294	0.13	0.282	0.08	0.16	0.177	0.681	1.256
ASV_66	0.137	12.903	0.597522372193353	0.747869996146279	NotSig	0.345	0.314	0.264	0.52	0.383	0.766	0.314	0.232	0.439	0.231	0.13	0.273	0.241	0.267	0.258	0.3	0.371	0.336	0.366	0.446	0.302	0.195	0.202	0.334	0.384
ASV_135	-0.772	12.756	0.0737191342021172	0.308004601803366	NotSig	0.186	0.317	0.011	0.032	0.063	0.272	0.324	0.232	0.299	0.253	0.002	0.261	0.295	0.692	0.206	0.496	0.138	0.297	0.056	0.348	0.116	0.132	0.308	0.49	0.529
ASV_89	-1.347	11.278	0.239596093553989	0.485934614079293	NotSig	0.023	0.058	0.005	0.009	0.155	0.021	0.028	0.008	0.002	0.008	0.007	0	0.007	0.009	0.248	0.002	0.005	0.002	0.005	0.022	0.005	0.228	0.094	0.012	0.066
ASV_94	1.782	12.752	0.0358714110141451	0.206429818100269	NotSig	0.223	0.065	0.079	0.139	0.183	0.288	0.05	0.173	0.547	0.22	0.039	0.049	0.69	0.137	0.005	0.085	0.238	0.022	0.034	0.053	0.041	0.079	0.012	0.021	0.052
ASV_108	-0.287	14.543	0.860531979198008	0.920920188264535	NotSig	0.188	0.229	0.013	0.025	0.021	0.042	0.023	0.603	0.007	0.014	0.009	1.29	0.017	0.014	0.045	0	0.003	0.005	0.016	0.145	2.387	0.041	0.057	0.024	0.011
ASV_81	-0.753	12.774	0.0920040590274039	0.361766027601231	NotSig	0.193	0.326	0.179	0.507	0.183	0.126	0.422	0.028	0.347	0.061	0.088	0.062	0.123	0.347	0.108	0.146	0.598	0.7	0.31	0.244	0.466	0.185	0.108	0.493	0.201
ASV_107	5.739	12.921	0.000458902862276909	0.100642801360232	Enriched	0.318	0.006	0.029	0.005	0.362	0.298	0.367	0.374	0.289	0.408	0.261	0.332	0.776	0.012	0.005	0.002	0	0.027	0.003	0	0	0.003	0.01	0.003	0.007
ASV_69	-6.773	15.023	0.0357872811404847	0.206429818100269	NotSig	0.008	0.894	0.029	0.03	0.014	0.002	0	0.003	0.005	0	0	0.002	0.005	0.009	0.008	0.012	0.013	0.703	3.22	1.779	1.607	0.018	0.015	3.33	0.014
ASV_84	0.991	12.694	0.223757381543864	0.485934614079293	NotSig	0.208	0.105	0.011	0.014	0.146	0.023	0.023	0.497	0.663	0.297	0.023	0.293	0.304	0.012	0.118	0.005	0.038	0.072	0.162	0.603	0.089	0.005	0.025	0.06	0.07
ASV_101	0.104	10.798	0.771389720534518	0.868169242668	NotSig	0.074	0.069	0.124	0.178	0.074	0.047	0.113	0.053	0.041	0.025	0.067	0.027	0.061	0.045	0.005	0.034	0.102	0.097	0.053	0.109	0.111	0.073	0.103	0.042	0.047
ASV_867	-1.087	13.091	0.0387641872440875	0.211005430307885	NotSig	0.176	0.375	0.272	0.6	0.063	0.084	0.329	0.056	0.157	0.143	0.06	0.089	0.088	0.458	0.873	0.332	0.235	0.239	0.477	0.364	0.133	0.264	0.185	0.851	0.088
ASV_75	0.164	12.153	0.55459376131949	0.707745176579265	NotSig	0.244	0.218	0.119	0.292	0.292	0.201	0.284	0.187	0.455	0.226	0.396	0.162	0.074	0.29	0.13	0.225	0.215	0.137	0.387	0.222	0.164	0.134	0.106	0.37	0.237
ASV_79	-0.348	13.349	0.487426786839874	0.660734088827385	NotSig	0.258	0.328	0.111	0.555	0.311	0.665	0.266	0.047	0.246	0.138	0.155	0.165	0.174	0.297	0.461	0.173	0.246	0.229	0.127	0.258	0.06	0.188	0.163	0.687	1.044
