ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	H64	H66	H67	H68	H95	H96	M30	M31	M32	M33	M34	M35
ASV_103	8.073	11.487	1.3125775696319e-13	2.36263962533743e-11	Enriched	0.536	0.001	0.498	0.379	0.082	0.362	1.496	0.398	0.005	0	0	0.002	0	0
ASV_107	-6.753	12.073	1.2241367907219e-12	1.10172311164971e-10	Depleted	0.007	0.568	0.027	0.003	0	0	0.003	0.007	0.494	0.507	0.568	0.558	0.651	0.631
ASV_40	-6.839	13.208	3.80895212605541e-09	2.28537127563325e-07	Depleted	0.015	1.356	0.022	0.019	0.019	0.014	0.003	0.011	2.268	0.032	0.706	0.034	1.774	3.322
ASV_69	8.034	13.159	6.35032974530671e-09	2.85764838538802e-07	Enriched	1.775	0.004	0.703	3.22	1.779	1.607	3.33	0.014	0.01	0	0	0.014	0	0.002
ASV_48	-2.7	12.5	4.89770394841494e-07	1.76317342142938e-05	Depleted	0.141	0.701	0.097	0.093	0.14	0.138	0.137	0.244	0.863	0.521	0.701	0.471	0.565	1.085
ASV_16	7.709	13.516	1.81853465237242e-06	5.45560395711725e-05	Enriched	2.087	0.007	0.312	11.011	0.097	1.014	0.033	0.054	0.005	0.007	0.002	0.01	0.016	0
ASV_109	-2.674	11.322	3.17722553774303e-06	8.08452434691846e-05	Depleted	0.062	0.304	0.045	0.042	0.056	0.024	0.078	0.127	0.396	0.206	0.269	0.232	0.261	0.458
ASV_63	3.306	10.601	3.59312193196376e-06	8.08452434691846e-05	Enriched	0.253	0.019	0.446	0.212	0.034	0.386	0.284	0.154	0.044	0.014	0.02	0.019	0.007	0.012
ASV_13	3.194	13.676	3.33545675587293e-05	0.000667091351174587	Enriched	2.262	0.173	1.146	5.239	2.428	0.668	3.796	0.296	0.159	0.072	0.123	0.099	0.297	0.288
ASV_99	2.884	11.866	0.000579876342653321	0.0104377741677598	Enriched	0.632	0.057	0.027	0.122	0.893	1.264	0.774	0.712	0.051	0.076	0.007	0.053	0.098	0.058
ASV_145	3.315	10.042	0.00146854510778096	0.0194224576170409	Enriched	0.17	0.01	0.147	0.019	0.27	0.041	0.257	0.287	0	0.005	0.007	0.012	0.039	0
ASV_134	4.488	11.246	0.00147106015193749	0.0194224576170409	Enriched	0.399	0.013	2.223	0.042	0.024	0.036	0.027	0.043	0.015	0.002	0	0.041	0.002	0.019
ASV_9	-1.952	14.796	0.00148069995427804	0.0194224576170409	Depleted	1.125	2.963	0.897	0.753	0.7	1.301	2.348	0.752	1.792	3.319	3.913	5.38	1.982	1.394
ASV_129	1.885	10.516	0.00170225342040073	0.0194224576170409	Enriched	0.214	0.041	0.169	0.284	0.331	0.14	0.266	0.093	0.032	0.016	0.091	0.053	0.014	0.041
ASV_50	5.766	12.136	0.00172347094503157	0.0194224576170409	Enriched	0.768	0.012	4.444	0.029	0.048	0.022	0.048	0.016	0	0	0.002	0.014	0	0.053
ASV_135	3.117	10.882	0.0017264406770703	0.0194224576170409	Enriched	0.306	0.022	0.297	0.056	0.348	0.116	0.49	0.529	0.005	0.002	0.007	0.019	0.094	0.002
ASV_110	2.71	11.022	0.00204575713194299	0.0216609578676316	Enriched	0.321	0.04	0.017	0.334	0.106	0.456	0.361	0.648	0.029	0.014	0.012	0.027	0.007	0.151
