ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59
ASV_1	-0.578	18.58	0.452214647908582	0.480926689045634	NotSig	6.37	9.508	18.524	19.517	8.946	2.382	0.421	0.087	1.036	7.909	4.524	0.353	0.784	11.962	8.936	10.032	11.891	27.208	39.184	0.605	0.165	0.194	0.147	5.228	0.177	10.323
ASV_2	-4.587	16.862	6.05819959643706e-05	0.00135299790987094	Depleted	0.269	6.467	0.2	0.326	0.172	0.119	0.133	0.192	0.888	0.155	0.048	0.371	0.501	0.125	11.909	9.564	6.721	9.773	3.643	2.465	5.036	3.75	0.5	9.015	6.872	8.354
ASV_3	-3.043	16.663	0.00700858162627371	0.0223174245293503	Depleted	0.402	3.311	0.076	0.097	0.618	2.435	0.093	0.042	0.487	0.817	0.043	0.039	0.041	0.032	5.766	2.154	0.795	2.485	6.294	10.375	0.969	1.252	1.078	0.367	2.785	5.413
ASV_11	-3.88	17.223	0.0164835824987817	0.0401600009970317	Depleted	0.285	4.191	0.272	0.213	0.281	0.097	0.892	0.742	0.162	0.077	0.028	0.366	0.097	0.187	0.57	5.573	0.173	0.43	0.114	0.218	5.213	2.465	5.757	10.831	3.648	15.296
ASV_8	4.743	16.355	4.88214166886854e-05	0.00135299790987094	Enriched	4.647	0.174	5.714	5.283	5.733	5.744	2.073	4.399	0.846	3.761	6.864	0.506	8.385	6.462	0.042	0.021	0.015	0.053	0.08	1.234	0.224	0.09	0.068	0.065	0.078	0.114
ASV_10	-5.247	16.575	0.00326235344641376	0.01319346504624	Depleted	0.102	3.86	0.219	0.206	0.214	0.058	0.103	0.062	0.048	0.11	0.04	0.024	0.075	0.062	2.992	0.123	0.809	2.4	2.34	3.29	8.319	9.713	9.766	2.427	3.949	0.197
ASV_1385	-0.43	9.612	0.418599793993862	0.452357841896593	NotSig	0.027	0.037	0.071	0.005	0.007	0.008	0.003	0.069	0.064	0.037	0.033	0.004	0.009	0.015	0.01	0.058	0.057	0.041	0.078	0.01	0.019	0.005	0	0.061	0.078	0.023
ASV_6	7.153	17.65	0.0212065603160028	0.0474579803329189	Enriched	5.682	0.04	18.114	20.565	2.439	11.584	0.398	0.127	0.081	2.326	2.708	0.098	1.827	7.913	0	0	0	0.005	0.055	0.038	0.012	0.109	0.046	0.065	0.056	0.093
ASV_4	-4.131	14.743	0.0552468246246276	0.0841854528801097	NotSig	0.028	0.484	0.035	0.021	0.049	0.041	0.046	0.027	0.006	0.028	0.02	0.007	0.007	0.045	0.088	0.123	0.052	0.123	2.743	0.058	0.248	0.585	0.401	0.507	0.346	0.536
ASV_7	-2.097	15.623	0.0226278834806572	0.0474579803329189	Depleted	0.357	1.527	0.548	0.128	0.116	0.287	0.09	0.361	0.395	0.089	0.687	0.558	0.513	0.511	2.075	0.044	0.042	1.108	0.576	0.305	3.003	5.048	1.983	1.399	2.679	0.06
ASV_9	-1.852	15.715	0.0299275712639215	0.0553055415157436	Depleted	0.475	1.714	0.17	0.092	0.734	0.353	0.501	0.281	0.748	1.972	0.088	0.155	0.463	0.142	1.792	3.319	3.913	5.38	1.982	1.394	0.302	0.16	0.218	0.341	0.54	1.231
ASV_14	2.425	16.832	0.0240354664325777	0.0480709328651553	Enriched	3.112	0.579	1.032	0.806	1.477	3.502	1.177	5.353	1.723	0.679	6.605	11.67	2.356	0.957	0.061	0.051	0.027	0.039	1.204	1.442	0.028	0.546	3.042	0.421	0.05	0.041
ASV_15	-2.138	15.745	0.0134996348609781	0.0361453098546662	Depleted	0.388	1.707	0.177	0.121	0.346	0.116	0.172	1.902	0.302	0.098	0.133	0.181	0.951	0.157	0.78	0.322	0.101	1.084	0.725	2.035	2.326	2.845	2.725	1.61	5.494	0.443
ASV_13	0.65	12.855	0.286149132271795	0.330551583831211	NotSig	0.188	0.12	0.113	0.215	0.109	0.083	0.066	0.013	0.053	0.187	0.231	0.262	0.741	0.18	0.159	0.072	0.123	0.099	0.297	0.288	0.127	0.024	0.036	0.03	0.169	0.01
ASV_21	-0.185	14.441	0.681369714790115	0.696973601388362	NotSig	0.701	0.797	0.306	0.317	0.595	0.667	0.929	1.739	0.823	0.378	0.484	1.197	0.56	0.419	0.64	0.137	0.343	0.565	0.215	1.279	2.224	1.172	1.627	0.252	1.043	0.07
ASV_19	1.448	15.214	0.0544244105511948	0.0841854528801097	NotSig	1.443	0.529	0.051	0.031	3.608	0.24	2.471	3.802	0.499	1.895	2.227	0.379	2.024	0.087	0.97	0.046	0.039	1.661	0.059	0.612	1.439	0.17	0.51	0.285	0.52	0.034
ASV_12	-5.102	16.313	0.062395683987809	0.0939440635322068	NotSig	0.051	1.74	0.018	0.151	0.005	0	0.017	0.002	0.014	0.016	0.258	0.022	0.002	0.102	4.363	0.98	0.072	6.052	0.082	8.141	0.111	0.012	0.01	0.007	1.012	0.041
ASV_17	-3.128	15.943	0.0138116530535733	0.0361453098546662	Depleted	0.234	2.044	0.053	0.102	0.128	0.061	1.234	0.834	0.134	0.033	0.008	0.111	0.038	0.07	0.318	2.898	0.052	0.225	0.048	0.12	2.83	1.271	3.112	5.345	2.005	6.302
ASV_20	-4.546	15.699	0.00334759560874746	0.01319346504624	Depleted	0.073	1.698	0.053	0.071	0.093	0.041	0.083	0.143	0.07	0.033	0.02	0.074	0.174	0.017	1.501	5.32	4.172	0.609	0.891	0.132	0.837	1.572	1.649	1.259	1.464	0.967
