ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59
ASV_29	-3.716	15.485	0.00332102828464882	0.01319346504624	Depleted	0.116	1.519	0.081	0.073	0.084	0.036	0.123	0.256	0.098	0.016	0.05	0.089	0.44	0.04	1.203	4.586	3.684	0.529	0.738	0.134	0.705	1.337	1.349	1.472	1.459	1.026
ASV_22	-5.67	15.444	0.00253257423615999	0.0112921600099163	Depleted	0.035	1.771	0.074	0.061	0.074	0.03	0.036	0.013	0.008	0.037	0.013	0.013	0.027	0.03	1.599	0.03	0.395	1.304	1.072	1.457	3.8	4.163	4.459	1.021	1.896	0.057
ASV_23	-0.925	14.015	0.0302407569170658	0.0553055415157436	Depleted	0.44	0.836	0.154	0.14	0.43	0.394	0.521	0.426	0.641	0.394	0.547	0.621	0.517	0.496	1.049	1.496	1.656	0.394	0.551	0.202	0.361	0.526	0.394	1.476	0.505	1.42
ASV_16	7.127	16.333	0.108819699887871	0.142959213578184	NotSig	1.207	0.009	0.318	0.192	0.657	8.253	0.687	0.033	0.846	3.139	0.09	0.024	0.14	0.107	0.005	0.007	0.002	0.01	0.016	0	0.012	0.024	0.007	0.002	0.005	0.013
ASV_28	-4.092	15.112	0.000587628636767034	0.00446981047005341	Depleted	0.085	1.445	0.058	0.059	0.116	0.041	0.09	0.136	0.098	0.016	0.088	0.139	0.131	0.045	1.459	3.542	2.81	0.495	0.795	0.106	0.934	2.079	1.809	1.149	1.444	0.723
ASV_25	-1.164	13.542	0.212092818546583	0.256039979146326	NotSig	0.128	0.287	0.032	0.019	0.016	0.074	0.036	0.194	0.899	0.028	0.013	0.148	0.059	0.017	0.068	0.076	0.555	0.022	1.193	0.055	0.028	0.432	0.539	0.238	0.101	0.135
ASV_30	6.143	15.798	0.000418266950081489	0.00383723929107888	Enriched	2.45	0.035	3.585	5.699	2.688	0.364	1.841	1.521	0.137	0.472	4.228	3.287	2.424	3.159	0.002	0.009	0.015	0.007	0.009	0.077	0.014	0.082	0.056	0.047	0.04	0.057
ASV_26	-1.396	13.083	0.00128092557208898	0.00686576106639693	Depleted	0.149	0.391	0.083	0.019	0.098	0.121	0.139	0.187	0.375	0.142	0.281	0.163	0.077	0.097	0.43	0.334	0.052	0.357	0.37	0.478	0.868	0.357	0.382	0.199	0.356	0.51
ASV_24	-1.113	13.694	0.00640213228313331	0.0209240420960942	Depleted	0.291	0.629	0.353	0.608	0.223	0.121	0.405	0.082	0.196	0.415	0.238	0.048	0.145	0.658	0.677	0.283	1.325	0.778	0.75	1.027	0.351	0.606	0.271	0.264	0.702	0.518
ASV_27	3.606	15.979	0.143089328163372	0.17919598106441	NotSig	0.939	0.077	0.081	0.007	0.063	0.309	1.698	2.259	0.09	0.118	0.075	0.083	6.46	0.03	0.024	0.032	0.01	0.014	0.03	0.554	0.021	0.015	0.019	0.089	0.109	0.008
ASV_119	-3.649	14.126	5.73405195388925e-05	0.00135299790987094	Depleted	0.078	0.972	0.055	0.099	0.074	0.03	0.03	0.096	0.182	0.02	0.05	0.109	0.151	0.032	1.229	1.788	1.014	0.848	0.405	0.396	0.969	0.825	0.128	1.617	1.207	1.244
ASV_157	-1.236	13.854	0.00127932127110086	0.00686576106639693	Depleted	0.307	0.722	0.147	0.116	0.325	0.199	0.488	0.441	0.504	0.366	0.223	0.329	0.203	0.337	0.882	0.591	1.48	0.642	0.521	0.624	1.047	0.602	0.377	0.542	0.298	1.06
ASV_34	6.697	15.617	0.00022119543396556	0.00269456255921682	Enriched	2.417	0.023	0.47	0.558	5.025	2.779	2.577	1.699	2.692	3.599	4.542	2.413	0.104	2.548	0.017	0.002	0.012	0.017	0.03	0.05	0.028	0.036	0.022	0.023	0.018	0.023
ASV_32	-3.592	13.532	2.61909431311436e-05	0.00116986212652441	Depleted	0.055	0.662	0.046	0.012	0.06	0.019	0.09	0.178	0.011	0.016	0.043	0.1	0.063	0.02	0.56	0.635	0.466	0.249	0.293	0.346	0.943	1.024	0.948	1.184	0.778	0.521
ASV_31	-1.972	15.009	0.019821771921149	0.0457951282316201	Depleted	0.27	1.059	0.044	0.059	0.2	0.041	0.693	1.773	0.162	0.211	0.008	0.007	0.016	0.027	1.383	0.03	1.283	0.884	0.107	1.836	0.3	0.885	3.298	1.357	1.315	0.034
ASV_37	6.443	16.509	0.0233382593578437	0.0474579803329189	Enriched	2.358	0.027	0.058	0.071	2.197	4.208	6.56	1.645	9.327	3.871	0.075	0.098	0.07	0.117	0.034	0.014	0.037	0.06	0.034	0.043	0.002	0.01	0.015	0.012	0.025	0.039
ASV_38	-4.41	14.423	0.00525536738546717	0.0176500940826297	Depleted	0.03	0.633	0.025	0.035	0.046	0.017	0.066	0.018	0.045	0.033	0.018	0.004	0.02	0.03	0.328	0.322	2.196	0.237	0.213	1.435	0.333	0.759	0.244	0.334	0.462	0.738
ASV_39	5.703	16.292	0.0225498694140938	0.0474579803329189	Enriched	1.825	0.035	1.177	0.284	3.103	0.383	8.023	0.125	0.048	4.262	0.813	1.868	1.452	0.366	0.095	0.002	0	0.022	0.018	0.014	0.038	0.058	0.087	0.016	0.03	0.039
ASV_40	-6.189	15.02	0.0357095610427287	0.0621439114250084	Depleted	0.011	0.789	0.021	0.014	0.009	0.014	0	0.007	0.003	0	0.008	0.015	0.005	0.035	2.268	0.032	0.706	0.034	1.774	3.322	0.031	1.259	0.01	0.002	0.02	0.005
ASV_1214	-2.159	13.453	0.000418992979101443	0.00383723929107888	Depleted	0.128	0.571	0.115	0.08	0.102	0.033	0.153	0.111	0.218	0.061	0.158	0.244	0.199	0.06	0.521	0.998	0.543	0.326	0.247	0.204	0.609	0.512	0.167	1.121	0.765	0.842
ASV_57	5.607	15.572	0.00526868480078499	0.0176500940826297	Enriched	1.563	0.032	2.484	0.258	0.3	0.171	2.298	1.175	0.16	0.203	1.763	3.601	4.87	1.471	0.017	0.025	0.022	0.041	0.021	0.007	0.045	0.036	0.06	0.033	0.038	0.039
ASV_48	0.932	14.704	0.0941375817544916	0.127611543410375	NotSig	0.809	0.424	1.018	0.88	0.262	0.345	2.67	0.165	0.798	1.049	0.79	0.157	0.843	0.728	0.863	0.521	0.701	0.471	0.565	1.085	0.125	0.107	0.051	0.065	0.346	0.187
ASV_46	-1.285	14.022	0.00940477812390088	0.02739652757832	Depleted	0.314	0.766	0.152	0.038	0.123	0.196	0.322	0.787	0.415	0.407	0.364	0.506	0.305	0.157	0.413	1.663	0.296	0.415	1.298	0.211	1.109	1.247	1.045	0.689	0.364	0.438
ASV_42	-3.01	13.268	2.37324011697389e-05	0.00116986212652441	Depleted	0.063	0.511	0.025	0.017	0.039	0.05	0.073	0.216	0.042	0.028	0.023	0.126	0.099	0.022	0.345	0.507	0.239	0.34	0.24	0.622	0.495	0.619	0.986	0.766	0.664	0.311
ASV_35	-0.308	13.821	0.560990839503942	0.582734670492467	NotSig	0.372	0.46	0.339	0.669	0.722	0.251	0.332	0.136	0.661	0.435	0.248	0.157	0.108	0.404	0.428	0.227	0.943	1.188	0.423	1.447	0.229	0.209	0.077	0.096	0.217	0.041
ASV_45	6.723	16.379	0.0552859690555945	0.0841854528801097	NotSig	1.553	0.015	3.313	1.771	0.065	0.083	0.189	0.047	0.07	0.085	0.043	2.568	8.523	1.88	0.002	0	0.01	0.002	0.018	0.026	0.038	0.022	0.01	0.007	0.025	0.016
ASV_33	-4.712	13.33	0.00229088624940871	0.011082555703955	Depleted	0.014	0.356	0.021	0.038	0.023	0.019	0.003	0.004	0.006	0.008	0.01	0.004	0.016	0.01	0.384	0.123	0.355	0.261	0.224	0.881	0.382	0.192	0.121	0.061	1.03	0.254
ASV_52	1.165	13.866	0.0310540900550281	0.0554833075649836	Enriched	0.674	0.301	0.085	0.092	0.678	1.481	0.425	1.023	1.493	1.244	0.476	0.562	0.253	0.274	0.164	0.22	0.2	0.089	0.505	0.379	0.394	0.558	0.259	0.285	0.179	0.376
ASV_36	7.211	15.904	0.0315362497458432	0.0556033877097761	Enriched	1.553	0.01	3.832	5.144	0.664	0.709	0.199	0.02	0.162	0.26	0.479	0.238	0.797	6.13	0	0	0	0	0.009	0.017	0.007	0.032	0.015	0.021	0.01	0.016
ASV_56	2.804	15.312	0.0294355785981631	0.0553055415157436	Enriched	1.109	0.159	0.101	0.026	0.825	0.449	0.123	1.964	3.106	1	4.068	1.085	0.355	0.207	0.022	0.014	0.015	0.017	0.023	1.123	0.189	0.082	0.065	0.014	0.321	0.021
ASV_47	-4.215	14.203	0.00118854116686095	0.00686576106639693	Depleted	0.038	0.711	0.071	0.04	0.046	0.008	0.013	0.013	0.014	0.008	0.053	0.033	0.106	0.052	0.354	0.454	0.543	0.171	0.135	0.094	1.071	1.322	1.886	0.937	0.856	0.705
ASV_120	-3.071	13.497	0.000600422301947474	0.00446981047005341	Depleted	0.052	0.436	0.037	0.017	0.033	0.019	0.073	0.134	0.028	0.028	0.013	0.205	0.011	0.025	0.623	0.72	0.126	0.283	0.359	0.362	0.314	0.26	0.493	1.156	0.29	0.241
ASV_60	-5.062	14.803	0.00416182239017059	0.0157835784754751	Depleted	0.025	0.823	0.03	0.009	0.026	0.008	0.043	0.042	0.014	0.012	0.028	0.039	0.009	0.035	0.618	2.858	0.259	0.229	0.672	0.372	1.078	0.087	0.955	1.533	0.3	0.915
ASV_54	-4.981	15.225	0.26135468239123	0.304535021221086	NotSig	0.012	0.386	0.002	0.021	0.007	0.006	0.01	0.002	0.008	0.012	0	0.022	0.038	0.017	0.012	0.019	3.829	0.314	0.011	0.372	0.017	0.012	0.005	0.007	0.018	0.01
ASV_50	0.088	9.087	0.94195216232187	0.949034509406997	NotSig	0.008	0.008	0	0.054	0.007	0	0	0	0	0.008	0	0.022	0.005	0	0	0	0.002	0.014	0	0.053	0	0.005	0	0	0	0.016
ASV_68	2.163	14.968	0.0993806184470099	0.131851513583162	NotSig	0.755	0.169	0.73	0.31	0.102	0.179	0.073	0.343	0.272	0.028	3.205	2.555	1.111	0.152	0.017	0.023	0.015	0.012	0.048	1.747	0.021	0.041	0.041	0.016	0.03	0.01
ASV_44	-1.589	13.243	0.00260766685455154	0.0112921600099163	Depleted	0.14	0.42	0.092	0.054	0.2	0.033	0.212	0.312	0.104	0.187	0.148	0.031	0.108	0.194	0.53	0.183	0.97	0.273	0.151	0.312	0.323	0.371	0.271	0.336	0.826	0.498
ASV_218	-2.64	13.814	0.000824365800956421	0.00552325086640802	Depleted	0.113	0.702	0.069	0.05	0.067	0.019	0.156	0.054	0.028	0.028	0.05	0.148	0.662	0.02	0.692	1.441	1.15	0.321	0.187	0.134	0.46	0.572	0.329	1.149	0.702	1.285
ASV_41	-2.992	11.316	0.00204350103501134	0.0105318899496738	Depleted	0.013	0.101	0.005	0.014	0.012	0.022	0.017	0.016	0.014	0.004	0.008	0.004	0.016	0.022	0.086	0.053	0.143	0.142	0.075	0.233	0.066	0.039	0.022	0.037	0.255	0.065
ASV_43	-1.249	13.448	0.0678635696566712	0.0988447644999342	NotSig	0.143	0.339	0.136	0.012	0.184	0.146	0.255	0.143	0.157	0.159	0.181	0.107	0.097	0.135	0.34	0.009	0.691	0.36	1.118	0.658	0.113	0.189	0.167	0.061	0.331	0.029
ASV_1390	-2.534	13.649	0.000429541711687934	0.00383723929107888	Depleted	0.104	0.602	0.094	0.052	0.074	0.028	0.129	0.125	0.123	0.053	0.173	0.216	0.122	0.057	0.526	0.804	0.432	0.299	0.183	0.197	0.981	0.754	0.222	1.285	0.717	0.821
ASV_65	-3.201	14.976	0.0720925021042658	0.103875218085716	NotSig	0.064	0.589	0.041	0.033	0.065	0.033	0.06	0.067	0.031	0.012	0.15	0.17	0.056	0.05	0.614	0.03	0.017	0.724	0.016	0.017	0.991	0.376	3.223	0.079	0.967	0.018
ASV_77	-1.975	13.664	0.040509946576483	0.0678541605156091	Depleted	0.089	0.348	0.23	0.05	0.007	0.019	0.02	0.025	0.042	0.02	0.015	0.591	0.007	0.037	0.064	0.496	1.298	0.635	0.277	0.11	0.484	0.18	0.164	0.016	0.447	0.008
ASV_62	-1.657	13.348	0.00839347872311474	0.0255619579294858	Depleted	0.115	0.363	0.028	0.035	0.074	0.055	0.159	0.129	0.375	0.179	0.1	0.094	0.086	0.067	0.303	1.042	0.057	0.517	0.208	0.166	0.375	0.381	0.382	0.449	0.439	0.041
ASV_55	-0.42	13.196	0.347055928496403	0.384342929078661	NotSig	0.248	0.332	0.046	0.052	0.232	0.187	0.478	0.319	0.804	0.191	0.093	0.216	0.237	0.122	0.249	0.938	0.476	0.058	0.277	0.18	0.321	0.313	0.218	0.308	0.353	0.293
ASV_51	-1.352	13.124	0.0162161069227687	0.0401600009970317	Depleted	0.144	0.368	0.041	0.04	0.251	0.163	0.196	0.219	0.252	0.342	0.045	0.072	0.066	0.045	0.787	0.271	0.577	0.299	0.427	0.893	0.288	0.199	0.118	0.121	0.384	0.052
ASV_49	-1.943	14.3	0.0221561341622878	0.0474579803329189	Depleted	0.168	0.648	0.032	0.026	0.142	0.028	0.461	1.064	0.095	0.122	0.005	0.009	0.016	0.022	0.731	0.014	0.797	0.461	0.062	1.116	0.196	0.475	2.016	0.876	1.012	0.016
ASV_61	0.359	12.783	0.308335704301387	0.353136618601588	NotSig	0.345	0.269	0.643	0.705	0.279	0.218	0.58	0.036	0.19	0.423	0.263	0.111	0.165	0.531	0.352	0.176	0.513	0.174	0.222	0.415	0.21	0.308	0.109	0.264	0.293	0.194
ASV_85	1.347	14.377	0.222498053396231	0.263847249160132	NotSig	0.448	0.176	0.009	0.012	0.007	1.045	0.053	2.127	0.014	0.033	0.562	0.401	0.077	1.04	0.007	0.009	0.007	0.326	0.009	1.147	0.052	0.022	0.005	0.012	0.505	0.013
ASV_965	-1.629	13.28	0.0421193414403161	0.0696789105308932	Depleted	0.101	0.313	0.118	0.05	0.049	0.019	0.027	0.132	0.171	0.024	0.206	0.148	0.136	0.135	0.254	0.016	0.027	0.169	0.105	0.058	0.696	0.995	0.377	0.399	0.619	0.036
ASV_53	-3.117	12.906	0.00523471379613978	0.0176500940826297	Depleted	0.037	0.32	0.016	0.012	0.009	0.011	0.023	0.169	0.048	0.012	0.035	0.015	0.075	0.017	0.633	0.246	0.767	0.087	0.034	0.082	0.064	0.725	0.196	0.397	0.563	0.052
ASV_67	1.052	13.945	0.0924229511457121	0.127611543410375	NotSig	0.568	0.274	0.039	0.052	0.427	0.334	0.929	1.467	1.577	0.769	0.203	0.538	0.314	0.167	0.188	0.076	0.03	0.068	0.288	0.247	0.561	0.235	0.237	0.586	0.071	0.7
ASV_64	-2.02	13.279	0.00261236537542839	0.0112921600099163	Depleted	0.088	0.359	0.062	0.043	0.058	0.05	0.09	0.096	0.249	0.134	0.038	0.085	0.093	0.065	0.164	0.994	0.622	0.101	0.309	0.226	0.241	0.303	0.201	0.367	0.348	0.43
ASV_71	0.491	12.536	0.416293912424992	0.452357841896593	NotSig	0.169	0.12	0.023	0.05	0.121	0.094	0.232	0.239	0.594	0.11	0.118	0.207	0.129	0.107	0.372	0.079	0.035	0.437	0.078	0.094	0.083	0.032	0.034	0.054	0.134	0.01
ASV_63	2.17	13.61	0.014026538152557	0.0361453098546662	Enriched	0.467	0.104	0.104	0.028	0.915	1.175	1.25	0.198	0.193	0.565	0.253	0.148	0.481	0.289	0.044	0.014	0.02	0.019	0.007	0.012	0.29	0.068	0.077	0.334	0.023	0.337
ASV_82	-0.026	12.518	0.949189342305587	0.949189342305587	NotSig	0.224	0.228	0.168	0.118	0.123	0.097	0.153	0.192	0.468	0.122	0.326	0.294	0.219	0.411	0.093	0.067	0.121	0.116	0.037	0.418	0.382	0.289	0.053	0.586	0.169	0.409
ASV_100	3.662	14.776	0.0011721314405416	0.00686576106639693	Enriched	0.948	0.075	0.488	0.168	0.971	0.846	1.005	0.812	2.806	1.399	0.692	0.665	1.319	0.207	0.066	0.1	0.081	0.097	0.073	0.077	0.085	0.08	0.082	0.054	0.063	0.041
ASV_76	1.463	13.66	0.00971162236400658	0.027688455250572	Enriched	0.557	0.202	0.265	0.206	0.177	0.43	0.491	0.994	0.95	0.146	0.958	1.295	0.479	0.289	0.237	0.234	0.178	0.08	0.149	0.079	0.269	0.172	0.222	0.463	0.24	0.101
ASV_148	2.122	14.008	0.00716156160270197	0.0223174245293503	Enriched	0.687	0.158	0.108	0.106	0.302	0.347	0.597	1.588	0.613	0.317	1.648	1.375	0.4	0.845	0.132	0.34	0.153	0.058	0.101	0.103	0.226	0.221	0.099	0.175	0.167	0.119
ASV_59	-3.373	13.528	0.0233748261341242	0.0474579803329189	Depleted	0.035	0.361	0.016	0.009	0.012	0.039	0.05	0.123	0.006	0.016	0.01	0.113	0.007	0.017	0.416	1.065	0.007	0.017	0.03	0.007	0.79	0.315	0.031	0.093	1.182	0.373
ASV_90	4.284	14.691	0.0023157579082891	0.011082555703955	Enriched	1.032	0.053	0.104	0.201	0.295	0.604	0.491	2.241	1.092	0.459	2.646	2.029	0.811	1.411	0.015	0.086	0.091	0.01	0.041	0.034	0.087	0.063	0.036	0.044	0.035	0.093
ASV_73	0.645	13.069	0.211177538627943	0.256039979146326	NotSig	0.351	0.224	0.859	0.596	0.128	0.044	0.103	0.107	0.081	0.045	0.697	0.183	0.741	0.628	0.154	0.088	0.247	0.092	0.375	0.283	0.17	0.257	0.157	0.231	0.336	0.303
ASV_74	6.492	16.221	0.111435969549626	0.144974950676213	NotSig	1.118	0.012	0.041	0.035	7.64	0.438	0.113	0.06	1.535	2.765	0.206	0.512	0.027	0.045	0	0	0	0.007	0	0	0.024	0.017	0.017	0.026	0.038	0.021
ASV_91	-2.109	14.494	0.0494219536069207	0.0779122562744397	Depleted	0.134	0.577	0.092	0.052	0.088	0.074	0.166	0.459	0.16	0.024	0.07	0.185	0.108	0.125	0.066	0.104	0.035	0.159	0.066	0.487	1.024	2.307	0.754	0.084	1.32	0.516
ASV_88	-1.689	13.315	0.00112018694725243	0.00686576106639693	Depleted	0.139	0.448	0.037	0.04	0.081	0.03	0.441	0.372	0.081	0.008	0.123	0.207	0.136	0.11	0.518	1.019	0.289	0.292	0.304	0.221	0.561	0.218	0.549	0.717	0.316	0.368
ASV_1277	-2.748	13.931	0.0270929833005399	0.0523278515524047	Depleted	0.062	0.415	0.078	0.061	0.03	0.041	0.023	0.076	0.073	0	0.133	0.076	0.097	0.052	0.296	0.023	0.017	0.152	0.087	0.096	1.007	1.562	0.646	0.432	0.649	0.018
ASV_83	1.582	14.749	0.0910029984043108	0.127025018606017	NotSig	0.629	0.21	0.309	0.147	0.546	0.314	0.358	0.787	1.479	0.224	0.306	0.251	2.753	0.072	0.328	0.005	0.609	0.155	0.014	0.343	0.16	0.065	0.215	0.192	0.432	0.003
ASV_70	-3.69	13.563	0.00435815226561625	0.0157835784754751	Depleted	0.042	0.54	0.037	0.017	0.039	0.025	0.06	0.114	0.003	0.008	0.035	0.061	0.079	0.025	0.061	0.405	0.03	0.019	0.053	0.31	1.017	1.031	1.134	1.21	0.278	0.935
ASV_72	7.565	15.525	0.0232744680677166	0.0474579803329189	Enriched	1.169	0.006	0	0.002	1.145	2.115	2.919	0.836	4.717	2.208	0.025	0.028	0.02	0.01	0.024	0	0.005	0	0	0	0	0.015	0.007	0	0.018	0.005
ASV_80	-3.837	13.716	0.0193614785800739	0.0455164584163141	Depleted	0.021	0.305	0.014	0.012	0.021	0.017	0.023	0.027	0.064	0.012	0.008	0.037	0.007	0.015	0.049	1.346	0.02	0.01	0.149	0.101	0.267	0.359	0.242	0.421	0.288	0.409
ASV_66	-1.915	12.291	0.0001444431663201	0.00193553842868934	Depleted	0.068	0.256	0.088	0.066	0.058	0.022	0.199	0.076	0.042	0.037	0.07	0.031	0.063	0.062	0.501	0.183	0.271	0.263	0.359	0.307	0.139	0.223	0.22	0.124	0.381	0.096
ASV_135	-1.103	13.571	0.209489381920715	0.256039979146326	NotSig	0.147	0.315	0.115	0.073	0.067	0.116	0.146	0.201	0.104	0.069	0.083	0.388	0.258	0.14	0.005	0.002	0.007	0.019	0.094	0.002	0.34	0.398	0.638	1.217	0.033	1.024
ASV_89	2.97	14.996	0.0672306643454469	0.0988447644999342	NotSig	0.783	0.1	0.544	0.078	0.056	0.16	0.561	3.269	3.165	0.691	0.075	0.619	0.117	0.067	0.137	0.266	0.012	0.065	0.064	0.002	0.007	0.015	0.002	0.357	0.023	0.249
ASV_94	3.386	13.743	0.000479834014656254	0.00401860987274613	Enriched	0.603	0.058	0.235	0.262	0.646	0.367	0.172	0.575	0.913	0.333	0.351	1.371	1.08	0.935	0.039	0.009	0.054	0.041	0.041	0.031	0.042	0.085	0.135	0.047	0.154	0.013
ASV_108	-0.255	14.538	0.835013850420494	0.847665575426865	NotSig	0.236	0.282	0.041	0.033	0.023	0.036	0.172	0.894	0.078	0.037	0.038	0.769	0.632	0.08	0.015	0.021	0.02	0.017	0.009	0.42	0.038	0.158	0.169	0.072	2.378	0.065
ASV_81	-1.151	12.328	0.0366956335413225	0.0622432265131294	Depleted	0.117	0.26	0.018	0.021	0.044	0.028	0.514	0.502	0.053	0.037	0.045	0.085	0.052	0.005	0.269	0.12	0.067	0.403	0.258	0.23	0.127	0.25	0.368	0.325	0.48	0.22
ASV_107	-0.471	12.669	0.318643330161417	0.361849205437542	NotSig	0.239	0.331	0.037	0.066	0.049	0.51	0.385	0.254	0.311	0.403	0.236	0.272	0.278	0.065	0.494	0.507	0.568	0.558	0.651	0.631	0.387	0.029	0.036	0.023	0.033	0.054
ASV_69	-0.325	7.179	0.670288159336798	0.690912410393315	NotSig	0.003	0.004	0	0.005	0.002	0.006	0	0	0	0.012	0	0	0.009	0.005	0.01	0	0	0.014	0	0.002	0.007	0	0.01	0	0	0.005
ASV_84	-1.953	14.188	0.126358046600582	0.159735643815831	NotSig	0.116	0.449	0.021	0.017	0.081	0.138	0.298	0.227	0.011	0.362	0	0.013	0.217	0.005	0.034	0.007	0.163	0.01	0.034	1.766	0.132	0.427	1.867	0.014	0.894	0.036
