	FBG	Weight	OGTT	Acetic.acid	Propionic.acid	Butyric.acid	Valeric.acid	Isovaleric.acid
Acetatifactor	-0.218487421651433	0.0865265998169391	0.193516746662954	-0.0182941953898671	0.175932795091722	0.0128553805442309	0.000988142292490119	0.0721343873517787
Adlercreutzia	0.233879077211062	-0.104138059307114	-0.0274319127655691	0.260345148267786	0.236560385305051	0.144248651528275	0.301726684607012	0.0209117504183077
Alistipes	-0.211918892185954	0.107346033459199	-0.0307006920062687	-0.134800894551299	-0.176514220474367	-0.180064314189624	-0.161641146787372	-0.0316361877504337
Alkaliphilus	0.168897168666213	0.236514528659538	0.184992132100082	-0.0074230750336868	0.0841718680920234	-0.174058311134725	-0.0680370369987113	-0.193368420943706
Bacteroides	0.0529048223830737	0.165183007342455	-0.319802332886798	-0.31182001835155	-0.328225407810183	0.0398120721289449	-0.422535224166917	0.0830244650994644
Bifidobacterium	0.205838718913889	-0.36649345343897	-0.0366608969198684	0.0123731753355493	-0.131832833721138	0.18064835989902	-0.131552982256022	0.0296736050201553
Blautia	-0.385071722774811	0.342645335275079	-0.181143553142305	-0.0771322832653857	-0.0662218947817156	0.15574787967049	-0.344861660079051	0.382411067193676
Christensenella	-0.143732228154373	-0.264297790155205	-0.118860168796346	0.397851166243295	0.329506995944095	0.141214181599834	0.405721674392647	0.336315199276421
Clostridium_IV	0.0465231506576403	0.0908415952898736	0.355054553008869	-0.156930712299128	0.0445324315040626	-0.202227747552661	-0.241899764505852	-0.225080557975793
Clostridium_XlVa	0.0309099901088032	-0.0259708145465804	0.257489674891286	0.0440267141837269	0.067737950154029	0.0831066065490574	0.090954039782497	0.0484429124928517
Duncaniella	0.331191340512353	0.0558714615960807	0.0257362425229504	0.0959209163684925	-0.011860637871352	-0.122126115170194	-0.205533596837945	-0.0662055335968379
Eisenbergiella	-0.353435535024377	0.160197819089647	0.0915616320528042	-0.0855377243904598	0.0177909568070281	-0.0830655358242615	-0.0711462450592885	0.171936758893281
Enterocloster	-0.417202225958845	0.162175569942606	-0.310319693497882	-0.189864081884026	-0.112676059777844	0.240296728634471	-0.234189723320158	0.363636363636364
Eubacterium	0.24369750876506	-0.0435105187650894	0.208859506628559	0.355995153532549	0.501606143309264	0.0375772662062135	0.33102766798419	0.0256916996047431
Flintibacter	-0.266930334144285	0.271940742281809	-0.0687949559748097	-0.140420310560061	-0.138374108499107	0.143386936839499	-0.377470355731225	0.172924901185771
Harryflintia	-0.326237783667221	0.117603399610383	-0.376951684438723	-0.254023343158427	-0.352140828823419	0.289428156093763	-0.36417655164939	0.325086948958762
Kineothrix	-0.25512979766043	0.25766570905814	-0.368564762901271	-0.0529179095378523	-0.100840336134454	0.322947616151566	-0.0795651123869867	0.246108235830555
Lachnospiracea_incertae_sedis	0.227879414889843	0.032632889073817	0.0277159534862543	0.248207732046305	-0.0123548311159917	0.333251018723525	-0.238142292490119	0.109683794466403
Lacrimispora	0.0217552540640677	0.142680531791312	0.0549505556508276	0.018298716382248	-0.0583292140385566	-0.084569743280119	0.0331109473908578	-0.127996050361674
Lawsonibacter	-0.346020803520369	0.0711990307065099	-0.0712695946789395	-0.149320189398375	0.0573264163782016	0.106304108346525	-0.174901185770751	0.16403162055336
Mediterraneibacter	0.0966864490603363	-0.0719762574576658	-0.0386234512336929	0.141479104006133	-0.169839312977438	0.0727182807304252	0.099357402153706	-0.0430054427232459
Muribaculum	0.395993086562622	-0.0878278080158337	-0.0175829704891077	-0.0168233547748639	-0.120919896093504	-0.23156853043048	-0.259579799450817	-0.302595880502667
Neglecta	0.0382422081557692	-0.373574733541142	-0.259573507403347	-0.221064835672617	-0.0377362258443075	0.00521613657205052	0.11268430089529	-0.0610580132604433
Oscillibacter	-0.258654797230465	0.257482075647526	-0.0896262137602361	-0.162503096734318	-0.133498149938597	0.0999258007316048	-0.404350024685231	0.192288703670605
Paramuribaculum	0.385071722774811	-0.177008701339795	0.271220401972631	-0.0365883907797342	0.145787007168702	-0.285784998252519	-0.150197628458498	-0.300395256916996
Roseburia	0.0479841716384439	0.227610094012865	0.189697963305021	0.00222662048490846	0.0880316625956795	0.0254824344383968	-0.152286815677813	0.0949320409420132
Saccharibacteria_genera_incertae_sedis	0.0403922965704831	0.155548810650825	-0.2350710454607	-0.0454525745408254	-0.0600686892039473	0.0681788618112382	-0.0211954758591307	0.2664574108005
Streptococcus	0.44469203048819	-0.174009922312755	0.154608542273227	0.215099036258584	0.0472538578737553	0.0173267347964337	0.0281969050650993	-0.0123670636250435
Vallitalea	0.0765326702963258	0.356808315858831	-0.114811329600438	-0.0799250627523781	-0.146283919690595	0.0373675618063067	-0.245302123914319	0.0658633609664239
Veillonella	0.368865783829364	-0.0354575641137368	0.530156774588147	0.132407966690458	0.320695119813822	-0.271758673207381	0.207136693560906	-0.405353625198137
