""	"FBG"	"Weight"	"OGTT"	"Acetic.acid"	"Propionic.acid"	"Butyric.acid"	"Valeric.acid"	"Isovaleric.acid"
"Acetatifactor"	"0.162855074319632"	"0.116672959028202"	"0.302136592139248"	"0.589151430821165"	"0.347767531081582"	"0.555161027165931"	"0.67992797731296"	"0.369908812318349"
"Adlercreutzia"	"0.111727039460716"	"0.36385780316422"	"0.799152230754218"	"0.331985370941863"	"0.427224305240003"	"0.50739341940555"	"0.685971601585237"	"0.557140487650386"
"Alistipes"	"0.670538980596744"	"0.801533960291213"	"0.748800811269737"	"0.649188818505994"	"0.473189753615784"	"0.74900799008367"	"0.787485030334088"	"0.938637368315867"
"Alkaliphilus"	"0.74042477397772"	"0.129177649352144"	"0.107248815126787"	"0.983480372155207"	"0.193806163278135"	"0.65487768598909"	"0.934266315035063"	"0.710244072547336"
"Bacteroides"	"0.548327952805229"	"0.734981525126221"	"0.690614208218377"	"0.607823058999923"	"0.794232124492394"	"0.846323992023635"	"0.524081749902738"	"0.728796309745744"
"Bifidobacterium"	"0.654254945411075"	"0.114865025159851"	"0.961068362619024"	"0.551772347128381"	"0.389603060153956"	"0.456585267561597"	"0.90743723816431"	"0.64134684779429"
"Blautia"	"0.321889452828298"	"0.377161776239012"	"0.419407427575212"	"0.588205034457101"	"0.907910264696922"	"0.509342615992215"	"0.729237591216208"	"0.451719255648462"
"Christensenella"	"0.414660442531186"	"0.427295374694934"	"0.387244448532981"	"0.395136854955244"	"0.496143704523181"	"0.279905288310395"	"0.0382488450664635"	"0.0672358248134847"
"Clostridium_IV"	"0.386232033948448"	"0.291300732357239"	"0.565300343471398"	"0.447850994999893"	"0.763967943450315"	"0.992250693981713"	"0.735408041526553"	"0.884925980936323"
"Clostridium_XlVa"	"0.622669914757398"	"0.38289641664188"	"0.0889951187825879"	"0.847094224538436"	"0.336954564529695"	"0.727689624296599"	"0.531475127178297"	"0.795418576285836"
"Duncaniella"	"0.0815653856071095"	"0.549683001462898"	"0.923076876081341"	"0.757974359513969"	"0.824928100285246"	"0.884925980936323"	"0.447048427428663"	"0.977067327280457"
"Eisenbergiella"	"0.159482519544894"	"0.317507921408858"	"0.809019406515056"	"0.961594081505207"	"0.589153562216419"	"0.984593662537174"	"0.862919858072339"	"0.538191607851716"
"Enterocloster"	"0.389481209590167"	"0.342336947956532"	"0.449392191886095"	"0.908064249796678"	"0.556509936967633"	"0.809336626565354"	"0.494758598922843"	"0.380416951798225"
"Eubacterium"	"0.562702377319901"	"0.976951013670349"	"0.85428772373441"	"0.692602465302954"	"0.938637717249548"	"0.461208052819528"	"0.253025489816696"	"0.551037333152129"
"Flintibacter"	"0.133857742938866"	"0.0941118289013586"	"1"	"0.404640212355358"	"0.885121526017689"	"0.621482797306796"	"0.623845963232725"	"0.570244901295648"
"Harryflintia"	"0.632361408522455"	"0.611284183751228"	"0.0813152506055745"	"0.653141014188534"	"0.169286250620799"	"0.589839416361181"	"0.294571089944311"	"0.53940036462045"
"Kineothrix"	"0.377162467493628"	"0.233732239150798"	"0.613730772509255"	"0.628658624828108"	"0.504187830949769"	"0.566958358199769"	"0.946341238034727"	"0.693095651592737"
"Lachnospiracea_incertae_sedis"	"0.171759791230614"	"0.706918072487532"	"0.580877721001628"	"0.46831857226248"	"0.714345313571631"	"0.656456593911338"	"0.603808028438093"	"0.984697572860831"
"Lacrimispora"	"0.816987515110734"	"0.946160143175417"	"0.899850461892886"	"0.371877335772694"	"0.847094656430322"	"0.771564291247805"	"0.93874091428895"	"0.524787911744604"
"Lawsonibacter"	"0.190649002693883"	"0.193681449219713"	"0.515271229175315"	"0.677877124921791"	"0.226789111078604"	"0.641931878706014"	"1"	"0.524787911744604"
"Mediterraneibacter"	"0.408177803632053"	"0.560036589877914"	"0.755575397217004"	"0.922818217606693"	"0.261009519524964"	"0.592396540027799"	"0.62207174469221"	"0.854531661070243"
"Muribaculum"	"0.0524778268797596"	"0.301317690471376"	"0.891917325637175"	"0.84658202796125"	"0.607822541324832"	"0.527269005590567"	"0.317504415451723"	"0.582166069834469"
"Neglecta"	"0.819309537847306"	"0.126648983364856"	"0.350582358385948"	"0.216234698228056"	"0.357926263331513"	"0.535619576748839"	"0.889811413009687"	"0.551649547448698"
"Oscillibacter"	"0.312346000177252"	"0.0841399549464408"	"0.620888569839022"	"0.720881668225911"	"0.372287240741465"	"0.801367234540181"	"0.729237591216208"	"0.616734749784387"
"Paramuribaculum"	"0.126464366729068"	"0.327140736450075"	"0.677353955700115"	"0.750444035743995"	"1"	"0.757177163793592"	"0.603808028438093"	"0.75876640728841"
"Roseburia"	"0.741442943715596"	"0.150002400844213"	"0.262361260002757"	"1"	"0.435790636455442"	"0.60536455243671"	"0.734972349808048"	"0.635265025600193"
"Saccharibacteria_genera_incertae_sedis"	"0.727977061264982"	"0.465277358820698"	"0.371444005979376"	"0.974777227052208"	"0.899433629074468"	"0.832581947760224"	"0.658896027931047"	"0.363726314633683"
"Streptococcus"	"0.0113804844464057"	"0.0970345225031654"	"0.604122950955214"	"0.163806267303123"	"0.96898242686072"	"0.696076060080395"	"0.546937396339565"	"0.534006942541186"
"Vallitalea"	"0.718405747636696"	"0.133181555781601"	"0.954922146886329"	"0.455183117155194"	"0.910361495079352"	"0.351107487778124"	"0.573890433812383"	"0.319814821763694"
"Veillonella"	"0.674205275587174"	"0.852676464276675"	"0.029616787043227"	"0.63848209799096"	"0.216921145939935"	"0.391385611585142"	"0.331902229107233"	"0.135009182381208"
