Var1	Var2	cor	pvalue
Acetatifactor	FBG	-0.218487421651433	0.316554427190985
Adlercreutzia	FBG	0.233879077211062	0.282787001081527
Alistipes	FBG	-0.211918892185954	0.331679769784576
Alkaliphilus	FBG	0.168897168666213	0.441067988632536
Bacteroides	FBG	0.0529048223830737	0.810531111977687
Bifidobacterium	FBG	0.205838718913889	0.346059124493151
Blautia	FBG	-0.385071722774811	0.0696074897212985
Christensenella	FBG	-0.143732228154373	0.512927833232478
Clostridium_IV	FBG	0.0465231506576403	0.833052390954189
Clostridium_XlVa	FBG	0.0309099901088032	0.888655800274463
Duncaniella	FBG	0.331191340512353	0.122660196758171
Eisenbergiella	FBG	-0.353435535024377	0.0980490015463605
Enterocloster	FBG	-0.417202225958845	0.0476324277674506
Eubacterium	FBG	0.24369750876506	0.262477520292319
Flintibacter	FBG	-0.266930334144285	0.21822752008923
Harryflintia	FBG	-0.326237783667221	0.128700078078224
Kineothrix	FBG	-0.25512979766043	0.240036819554996
Lachnospiracea_incertae_sedis	FBG	0.227879414889843	0.295669571925233
Lacrimispora	FBG	0.0217552540640677	0.921513485791263
Lawsonibacter	FBG	-0.346020803520369	0.105806975174702
Mediterraneibacter	FBG	0.0966864490603363	0.660759960353074
Muribaculum	FBG	0.395993086562622	0.0614132350329453
Neglecta	FBG	0.0382422081557692	0.862464120140945
Oscillibacter	FBG	-0.258654797230465	0.233378496899687
Paramuribaculum	FBG	0.385071722774811	0.0696074897212985
Roseburia	FBG	0.0479841716384439	0.827884487388547
Saccharibacteria_genera_incertae_sedis	FBG	0.0403922965704831	0.854808974273731
Streptococcus	FBG	0.44469203048819	0.0334958684231784
Vallitalea	FBG	0.0765326702963258	0.728531944253395
Veillonella	FBG	0.368865783829364	0.0832649174782063
Acetatifactor	Weight	0.0865265998169391	0.694641983468514
Adlercreutzia	Weight	-0.104138059307114	0.63630845030732
Alistipes	Weight	0.107346033459199	0.625892054025194
Alkaliphilus	Weight	0.236514528659538	0.277241355597237
Bacteroides	Weight	0.165183007342455	0.451324119692594
Bifidobacterium	Weight	-0.36649345343897	0.0854217436445371
Blautia	Weight	0.342645335275079	0.109484264235621
Christensenella	Weight	-0.264297790155205	0.22297432610096
Clostridium_IV	Weight	0.0908415952898736	0.680178293215582
Clostridium_XlVa	Weight	-0.0259708145465804	0.906364600604077
Duncaniella	Weight	0.0558714615960807	0.800109837086097
Eisenbergiella	Weight	0.160197819089647	0.465284099910944
Enterocloster	Weight	0.162175569942606	0.459719393634022
Eubacterium	Weight	-0.0435105187650894	0.843729533970015
Flintibacter	Weight	0.271940742281809	0.209380133278941
Harryflintia	Weight	0.117603399610383	0.593055159433087
Kineothrix	Weight	0.25766570905814	0.235234395047068
Lachnospiracea_incertae_sedis	Weight	0.032632889073817	0.882490226379796
Lacrimispora	Weight	0.142680531791312	0.516048732919329
Lawsonibacter	Weight	0.0711990307065099	0.74682657169454
Mediterraneibacter	Weight	-0.0719762574576658	0.744152144248182
Muribaculum	Weight	-0.0878278080158337	0.690269255040647
Neglecta	Weight	-0.373574733541142	0.0791050886880708
Oscillibacter	Weight	0.257482075647526	0.235580021756585
Paramuribaculum	Weight	-0.177008701339795	0.419105779808394
Roseburia	Weight	0.227610094012865	0.296256259064634
Saccharibacteria_genera_incertae_sedis	Weight	0.155548810650825	0.4785001908134
Streptococcus	Weight	-0.174009922312755	0.427154685841323
Vallitalea	Weight	0.356808315858831	0.0946628378111813
Veillonella	Weight	-0.0354575641137368	0.872396247476612
Acetatifactor	OGTT	0.193516746662954	0.376305682343632
Adlercreutzia	OGTT	-0.0274319127655691	0.901121145165459
Alistipes	OGTT	-0.0307006920062687	0.889405227814142
Alkaliphilus	OGTT	0.184992132100082	0.398085819658421
Bacteroides	OGTT	-0.319802332886798	0.136862653867385
Bifidobacterium	OGTT	-0.0366608969198684	0.868101885776902
Blautia	OGTT	-0.181143553142305	0.408144437732545
Christensenella	OGTT	-0.118860168796346	0.589082730101097
Clostridium_IV	OGTT	0.355054553008869	0.0964125537003752
Clostridium_XlVa	OGTT	0.257489674891286	0.235565712196113
Duncaniella	OGTT	0.0257362425229504	0.907206769224493
Eisenbergiella	OGTT	0.0915616320528042	0.677775174663637
Enterocloster	OGTT	-0.310319693497882	0.14955435093431
Eubacterium	OGTT	0.208859506628559	0.338869740473368
Flintibacter	OGTT	-0.0687949559748097	0.755116738396732
Harryflintia	OGTT	-0.376951684438723	0.0762197154258511
Kineothrix	OGTT	-0.368564762901271	0.0835363069491283
Lachnospiracea_incertae_sedis	OGTT	0.0277159534862543	0.900102263055649
Lacrimispora	OGTT	0.0549505556508276	0.80334137482047
Lawsonibacter	OGTT	-0.0712695946789395	0.746583644821297
Mediterraneibacter	OGTT	-0.0386234512336929	0.861105854373461
Muribaculum	OGTT	-0.0175829704891077	0.936532896132856
Neglecta	OGTT	-0.259573507403347	0.231663292342778
Oscillibacter	OGTT	-0.0896262137602361	0.684241447154237
Paramuribaculum	OGTT	0.271220401972631	0.210637061892121
Roseburia	OGTT	0.189697963305021	0.385976923133466
Saccharibacteria_genera_incertae_sedis	OGTT	-0.2350710454607	0.280270240076022
Streptococcus	OGTT	0.154608542273227	0.481196052386454
Vallitalea	OGTT	-0.114811329600438	0.601920811682189
Veillonella	OGTT	0.530156774588147	0.00926381026772131
Acetatifactor	Acetic.acid	-0.0182941953898671	0.933971006595746
Adlercreutzia	Acetic.acid	0.260345148267786	0.230229085310407
Alistipes	Acetic.acid	-0.134800894551299	0.539717818668119
Alkaliphilus	Acetic.acid	-0.0074230750336868	0.973184273981611
Bacteroides	Acetic.acid	-0.31182001835155	0.147492880163066
Bifidobacterium	Acetic.acid	0.0123731753355493	0.955315990393683
Blautia	Acetic.acid	-0.0771322832653857	0.726483969074576
Christensenella	Acetic.acid	0.397851166243295	0.0600960948283685
Clostridium_IV	Acetic.acid	-0.156930712299128	0.474552034725978
Clostridium_XlVa	Acetic.acid	0.0440267141837269	0.84189812977232
Duncaniella	Acetic.acid	0.0959209163684925	0.663291601920538
Eisenbergiella	Acetic.acid	-0.0855377243904598	0.697971429469995
Enterocloster	Acetic.acid	-0.189864081884026	0.385553319718896
