Var1	Var2	cor	pvalue
Acetatifactor	FBG	-0.343095500513312	0.108988514798238
Adlercreutzia	FBG	0.2776064879564	0.199669300270048
Alistipes	FBG	-0.27920050500694	0.196993107655074
Alkaliphilus	FBG	0.134907230332528	0.539395088095645
Bacteroides	FBG	0.188678514048642	0.388582285225832
Bifidobacterium	FBG	0.141008192081654	0.521030100410667
Blautia	FBG	-0.363896130278377	0.0878307907191643
Christensenella	FBG	-0.152221742062177	0.488073538869293
Clostridium_IV	FBG	0.0824650780688768	0.708350904466531
Clostridium_XlVa	FBG	0.0349005304416626	0.874385334219583
Duncaniella	FBG	0.235277809618165	0.27983511078804
Eisenbergiella	FBG	-0.290897329798488	0.178098532631991
Enterocloster	FBG	-0.494760856076647	0.0163903322374646
Eubacterium	FBG	0.287347479058607	0.183695329215115
Flintibacter	FBG	-0.244416311133009	0.261028348680643
Harryflintia	FBG	-0.240426669076552	0.269136717382251
Kineothrix	FBG	-0.252676282540441	0.244743700868187
Lachnospiracea_incertae_sedis	FBG	0.31466088709691	0.143644744566724
Lacrimispora	FBG	-0.0169860962350306	0.938683356397321
Lawsonibacter	FBG	-0.194510716870384	0.37381134095279
Mediterraneibacter	FBG	0.100221074402645	0.649117782648853
Muribaculum	FBG	0.388155013698595	0.0672144182010243
Neglecta	FBG	0.0929652937522676	0.673099201943203
Oscillibacter	FBG	-0.226544471013384	0.298584676943047
Paramuribaculum	FBG	0.291888126803825	0.176557634863919
Roseburia	FBG	0.0681035624215697	0.757505818042662
Saccharibacteria_genera_incertae_sedis	FBG	0.0686813277799152	0.755509227202917
Streptococcus	FBG	0.474415987068915	0.0221825135152392
Vallitalea	FBG	-0.00589888998755059	0.97868899511992
Veillonella	FBG	0.253615622671979	0.242934612985696
Acetatifactor	Weight	0.327927508146869	0.126616231902432
Adlercreutzia	Weight	-0.123063848028684	0.575879123756996
Alistipes	Weight	0.176500834615276	0.420463078763171
Alkaliphilus	Weight	0.166177620319797	0.448565454596466
Bacteroides	Weight	-0.265016299822683	0.221672029702705
Bifidobacterium	Weight	-0.139558135519182	0.525367838329846
Blautia	Weight	0.275852232514547	0.202642826418384
Christensenella	Weight	-0.0148823999087146	0.946265907469661
Clostridium_IV	Weight	0.199808085287796	0.360678431834643
Clostridium_XlVa	Weight	0.0928886973342898	0.673354065182739
Duncaniella	Weight	-0.107263852720113	0.626158046915057
Eisenbergiella	Weight	0.189599907897269	0.386227088562269
Enterocloster	Weight	0.0830083269353946	0.706512078883598
Eubacterium	Weight	0.165221620498666	0.451216856369058
Flintibacter	Weight	0.293771531880974	0.173653971004969
Harryflintia	Weight	0.0814802119340165	0.711688559689277
Kineothrix	Weight	0.184642817035535	0.398993031582078
Lachnospiracea_incertae_sedis	Weight	-0.240984767041922	0.267992939737516
Lacrimispora	Weight	0.0671719890931544	0.760728221872484
Lawsonibacter	Weight	0.187121628424902	0.392580231783758
Mediterraneibacter	Weight	-0.334081460890216	0.119232473194424
Muribaculum	Weight	-0.0656990168217947	0.765831216659609
Neglecta	Weight	-0.127325598967197	0.562626978382563
Oscillibacter	Weight	0.269796162998433	0.213137086797619
Paramuribaculum	Weight	0.00556810552617015	0.979883783302189
Roseburia	Weight	0.226741119393107	0.298154145163466
Saccharibacteria_genera_incertae_sedis	Weight	-0.0837399719548214	0.704038064879515
Streptococcus	Weight	-0.526994778782941	0.00977197987232915
Vallitalea	Weight	-0.00363781793533377	0.986856705315573
Veillonella	Weight	0.230058761153679	0.290948629111493
Acetatifactor	OGTT	-0.132921707827249	0.545435904128616
Adlercreutzia	OGTT	-0.0578401899984741	0.793212087328544
Alistipes	OGTT	-0.0473115405581342	0.830262864648515
Alkaliphilus	OGTT	0.210893878556062	0.334078440526949
Bacteroides	OGTT	-0.13926811522425	0.526237461791208
Bifidobacterium	OGTT	-0.0893751593581834	0.685081810401823
Blautia	OGTT	-0.158709604597569	0.469494172207627
Christensenella	OGTT	-0.0639763351928664	0.771811261712042
Clostridium_IV	OGTT	0.287203134048711	0.183925430521403
Clostridium_XlVa	OGTT	0.256507839230336	0.237419252567963
Duncaniella	OGTT	0.0474718955170337	0.829695728914969
Eisenbergiella	OGTT	-0.0250233673300173	0.909766748146531
Enterocloster	OGTT	-0.528926864061242	0.00945881344259669
Eubacterium	OGTT	0.258129365143003	0.234363202216049
Flintibacter	OGTT	-0.0588080175320782	0.789826605410684
Harryflintia	OGTT	-0.219843069454319	0.313485868023531
Kineothrix	OGTT	-0.275140620595234	0.203857508613012
Lachnospiracea_incertae_sedis	OGTT	-0.0761663629006246	0.729783950394641
Lacrimispora	OGTT	0.117531161807409	0.593283835746873
Lawsonibacter	OGTT	0.0586808292919751	0.790271304325635
Mediterraneibacter	OGTT	-0.183502583104635	0.401962362958899
Muribaculum	OGTT	0.144964281345823	0.509283353846951
Neglecta	OGTT	-0.227695890715628	0.29606928172106
Oscillibacter	OGTT	-0.0991787663513019	0.652542788717146
Paramuribaculum	OGTT	0.31704256528907	0.140474010742582
Roseburia	OGTT	0.23170429681159	0.287415341809412
Saccharibacteria_genera_incertae_sedis	OGTT	-0.170902746447615	0.435581779957446
Streptococcus	OGTT	0.0394388637617929	0.858202042475875
Vallitalea	OGTT	-0.0646087883952789	0.769614311140955
Veillonella	OGTT	0.432445173204836	0.0393136823511926
Acetatifactor	Acetic.acid	-0.118209316437679	0.591138541612545
Adlercreutzia	Acetic.acid	0.169427742667838	0.439613060116552
Alistipes	Acetic.acid	-0.157737741829769	0.472254007234476
Alkaliphilus	Acetic.acid	-0.148022221159464	0.500292441828952
Bacteroides	Acetic.acid	-0.0789455128580137	0.720301954176833
Bifidobacterium	Acetic.acid	0.0471797066981746	0.83072918971293
Blautia	Acetic.acid	-0.0635366462383456	0.773339608422108
Christensenella	Acetic.acid	0.391638924653459	0.0645864287566155
Clostridium_IV	Acetic.acid	-0.283935864089453	0.189186768987116
Clostridium_XlVa	Acetic.acid	-0.0287773076183323	0.896296443047755
Duncaniella	Acetic.acid	0.199730364560457	0.360869149766245
Eisenbergiella	Acetic.acid	-0.0906778060844919	0.680725360162864
