jaccard_binary	HD1	HD10	HD9	HD7	HD4	MD2	MD3	MD4	HD11	HD12	HD13	HD14	HD15	MD5	HD8	MD9	MD10	MD7	MD14	HD3	MD1	MD11	HD6	HD2	HD5	MD8	MD12	MD6	NC1	NC3	NC10	NC4	NC7	NC9	NC2	NC5	NC6	NC11	NC15	NC12	NC13	NC8	NC14	MD13	MD15
HD13	0.487	0.465	0.448	0.446	0.465	0.455	0.465	0.462	0.396	0.449	0	0.452	0.446	0.513	0.424	0.451	0.507	0.499	0.484	0.483	0.504	0.514	0.482	0.539	0.534	0.490	0.510	0.529	0.596	0.593	0.566	0.576	0.602	0.604	0.615	0.579	0.602	0.570	0.569	0.524	0.576	0.638	0.524	0.692	0.699
HD14	0.495	0.427	0.404	0.445	0.460	0.403	0.427	0.439	0.402	0.402	0.452	0	0.398	0.465	0.436	0.448	0.478	0.441	0.432	0.461	0.491	0.452	0.471	0.483	0.514	0.441	0.463	0.495	0.574	0.569	0.535	0.560	0.568	0.543	0.587	0.571	0.570	0.545	0.557	0.544	0.571	0.617	0.570	0.646	0.662
HD15	0.493	0.429	0.405	0.461	0.442	0.435	0.456	0.459	0.409	0.442	0.446	0.398	0	0.486	0.442	0.454	0.488	0.474	0.447	0.476	0.504	0.478	0.479	0.512	0.530	0.482	0.471	0.515	0.593	0.593	0.554	0.566	0.576	0.572	0.609	0.577	0.583	0.578	0.588	0.568	0.573	0.632	0.572	0.677	0.701
MD5	0.472	0.410	0.441	0.461	0.461	0.410	0.441	0.449	0.495	0.483	0.513	0.465	0.486	0	0.483	0.466	0.434	0.460	0.477	0.473	0.472	0.490	0.455	0.432	0.449	0.464	0.504	0.499	0.542	0.531	0.520	0.528	0.535	0.525	0.549	0.538	0.555	0.525	0.546	0.521	0.577	0.568	0.552	0.685	0.664
HD8	0.475	0.431	0.425	0.426	0.444	0.420	0.438	0.433	0.436	0.434	0.424	0.436	0.442	0.483	0	0.405	0.481	0.482	0.467	0.459	0.468	0.471	0.449	0.497	0.527	0.439	0.498	0.503	0.578	0.583	0.562	0.562	0.578	0.577	0.600	0.564	0.563	0.559	0.565	0.540	0.593	0.624	0.547	0.690	0.673
MD9	0.483	0.431	0.418	0.423	0.468	0.428	0.433	0.431	0.443	0.454	0.451	0.448	0.454	0.466	0.405	0	0.410	0.423	0.412	0.451	0.467	0.451	0.438	0.505	0.505	0.436	0.468	0.474	0.556	0.553	0.546	0.552	0.559	0.555	0.585	0.541	0.553	0.555	0.556	0.537	0.575	0.603	0.548	0.697	0.687
MD10	0.492	0.445	0.462	0.458	0.463	0.438	0.443	0.436	0.487	0.480	0.507	0.478	0.488	0.434	0.481	0.410	0	0.409	0.446	0.471	0.469	0.470	0.461	0.493	0.491	0.452	0.499	0.484	0.563	0.545	0.538	0.548	0.551	0.556	0.561	0.548	0.556	0.545	0.536	0.530	0.567	0.583	0.555	0.692	0.702
MD7	0.476	0.451	0.453	0.448	0.466	0.438	0.437	0.436	0.464	0.475	0.499	0.441	0.474	0.460	0.482	0.423	0.409	0	0.467	0.470	0.470	0.463	0.466	0.492	0.487	0.436	0.487	0.475	0.533	0.532	0.531	0.530	0.552	0.526	0.551	0.532	0.556	0.540	0.530	0.520	0.539	0.578	0.540	0.672	0.668
MD14	0.501	0.461	0.445	0.458	0.482	0.430	0.440	0.441	0.453	0.453	0.484	0.432	0.447	0.477	0.467	0.412	0.446	0.467	0	0.494	0.494	0.426	0.484	0.516	0.527	0.466	0.444	0.510	0.585	0.564	0.553	0.535	0.563	0.566	0.591	0.557	0.578	0.546	0.558	0.543	0.574	0.604	0.555	0.661	0.694
HD3	0.452	0.457	0.447	0.454	0.418	0.444	0.430	0.438	0.473	0.491	0.483	0.461	0.476	0.473	0.459	0.451	0.471	0.470	0.494	0	0.425	0.493	0.455	0.473	0.478	0.478	0.512	0.486	0.539	0.509	0.519	0.527	0.533	0.516	0.545	0.524	0.525	0.540	0.528	0.501	0.546	0.553	0.541	0.671	0.672
MD1	0.458	0.485	0.475	0.456	0.457	0.454	0.443	0.446	0.471	0.491	0.504	0.491	0.504	0.472	0.468	0.467	0.469	0.470	0.494	0.425	0	0.506	0.458	0.508	0.490	0.470	0.530	0.475	0.563	0.542	0.549	0.532	0.541	0.552	0.556	0.545	0.559	0.531	0.535	0.525	0.551	0.573	0.535	0.684	0.665
MD11	0.497	0.466	0.484	0.470	0.468	0.457	0.469	0.460	0.454	0.467	0.514	0.452	0.478	0.490	0.471	0.451	0.470	0.463	0.426	0.493	0.506	0	0.486	0.495	0.498	0.469	0.453	0.479	0.579	0.565	0.566	0.555	0.577	0.561	0.574	0.572	0.570	0.551	0.556	0.538	0.585	0.595	0.550	0.662	0.686
HD6	0.452	0.432	0.447	0.431	0.465	0.439	0.438	0.448	0.454	0.460	0.482	0.471	0.479	0.455	0.449	0.438	0.461	0.466	0.484	0.455	0.458	0.486	0	0.470	0.498	0.443	0.532	0.485	0.564	0.536	0.521	0.522	0.538	0.530	0.551	0.524	0.541	0.540	0.538	0.556	0.554	0.569	0.555	0.669	0.670
HD2	0.476	0.444	0.474	0.478	0.458	0.455	0.446	0.460	0.506	0.505	0.539	0.483	0.512	0.432	0.497	0.505	0.493	0.492	0.516	0.473	0.508	0.495	0.470	0	0.418	0.494	0.521	0.499	0.565	0.572	0.555	0.533	0.560	0.547	0.579	0.568	0.561	0.559	0.561	0.546	0.587	0.588	0.574	0.681	0.647
HD5	0.481	0.475	0.480	0.491	0.457	0.456	0.466	0.471	0.514	0.532	0.534	0.514	0.530	0.449	0.527	0.505	0.491	0.487	0.527	0.478	0.490	0.498	0.498	0.418	0	0.511	0.552	0.521	0.572	0.568	0.566	0.567	0.583	0.558	0.577	0.566	0.582	0.553	0.565	0.555	0.588	0.584	0.571	0.696	0.646
MD8	0.497	0.453	0.453	0.472	0.475	0.433	0.451	0.444	0.466	0.466	0.490	0.441	0.482	0.464	0.439	0.436	0.452	0.436	0.466	0.478	0.470	0.469	0.443	0.494	0.511	0	0.505	0.484	0.579	0.562	0.542	0.533	0.585	0.565	0.592	0.569	0.560	0.542	0.565	0.553	0.560	0.609	0.551	0.668	0.682
MD12	0.521	0.493	0.504	0.492	0.501	0.475	0.489	0.486	0.467	0.465	0.510	0.463	0.471	0.504	0.498	0.468	0.499	0.487	0.444	0.512	0.530	0.453	0.532	0.521	0.552	0.505	0	0.539	0.566	0.585	0.566	0.561	0.584	0.564	0.597	0.591	0.592	0.567	0.570	0.545	0.586	0.636	0.582	0.639	0.661
MD6	0.503	0.485	0.509	0.518	0.502	0.476	0.486	0.494	0.523	0.512	0.529	0.495	0.515	0.499	0.503	0.474	0.484	0.475	0.510	0.486	0.475	0.479	0.485	0.499	0.521	0.484	0.539	0	0.593	0.591	0.572	0.567	0.566	0.570	0.585	0.573	0.572	0.578	0.593	0.566	0.584	0.569	0.565	0.689	0.673
NC1	0.530	0.543	0.575	0.558	0.527	0.538	0.539	0.541	0.572	0.550	0.596	0.574	0.593	0.542	0.578	0.556	0.563	0.533	0.585	0.539	0.563	0.579	0.564	0.565	0.572	0.579	0.566	0.593	0	0.406	0.436	0.419	0.436	0.438	0.411	0.424	0.450	0.490	0.465	0.465	0.470	0.475	0.512	0.738	0.699
NC3	0.524	0.546	0.537	0.547	0.522	0.529	0.520	0.533	0.549	0.562	0.593	0.569	0.593	0.531	0.583	0.553	0.545	0.532	0.564	0.509	0.542	0.565	0.536	0.572	0.568	0.562	0.585	0.591	0.406	0	0.435	0.424	0.441	0.437	0.420	0.415	0.460	0.489	0.439	0.474	0.459	0.461	0.505	0.726	0.687
NC10	0.540	0.527	0.521	0.531	0.521	0.506	0.514	0.509	0.533	0.525	0.566	0.535	0.554	0.520	0.562	0.546	0.538	0.531	0.553	0.519	0.549	0.566	0.521	0.555	0.566	0.542	0.566	0.572	0.436	0.435	0	0.409	0.409	0.419	0.461	0.431	0.426	0.466	0.449	0.468	0.472	0.480	0.505	0.714	0.688
