jaccard	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
NC10	0.867	0.866	0.864	0.855	0.864	0.866	0.859	0.859	0.832	0.827	0.880	0.856	0.846	0.810	0.869	0.849	0.809	0.850	0.802	0.957	0.828	0.960	0.790	0.780	0.808	0.862	0.873	0.826	0.883	0.813	0.737	0	0.769	0.727	0.787	0.798	0.681	0.792	0.721	0.623	0.728	0.597	0.534	0.742	0.579
NC11	0.879	0.862	0.845	0.839	0.870	0.856	0.867	0.881	0.850	0.845	0.898	0.863	0.863	0.851	0.872	0.870	0.844	0.825	0.852	0.949	0.827	0.952	0.849	0.835	0.832	0.867	0.877	0.839	0.894	0.857	0.787	0.769	0	0.612	0.582	0.728	0.623	0.821	0.785	0.782	0.785	0.760	0.772	0.727	0.774
NC12	0.875	0.870	0.848	0.819	0.866	0.849	0.866	0.884	0.820	0.830	0.899	0.842	0.866	0.839	0.885	0.848	0.821	0.810	0.806	0.951	0.817	0.954	0.839	0.825	0.837	0.867	0.867	0.803	0.885	0.846	0.742	0.727	0.612	0	0.651	0.683	0.536	0.802	0.714	0.748	0.740	0.750	0.755	0.788	0.752
NC13	0.885	0.876	0.854	0.846	0.881	0.859	0.878	0.896	0.879	0.855	0.913	0.867	0.881	0.872	0.879	0.872	0.880	0.852	0.877	0.953	0.856	0.958	0.888	0.868	0.871	0.882	0.889	0.869	0.894	0.886	0.807	0.787	0.582	0.651	0	0.728	0.678	0.808	0.806	0.784	0.788	0.753	0.761	0.763	0.760
NC14	0.878	0.841	0.856	0.873	0.865	0.844	0.880	0.859	0.882	0.850	0.891	0.855	0.860	0.857	0.855	0.887	0.858	0.847	0.847	0.961	0.839	0.960	0.877	0.863	0.847	0.833	0.879	0.866	0.885	0.858	0.842	0.798	0.728	0.683	0.728	0	0.736	0.860	0.841	0.813	0.850	0.830	0.816	0.853	0.801
NC15	0.876	0.852	0.860	0.846	0.875	0.861	0.867	0.869	0.826	0.822	0.884	0.850	0.856	0.839	0.871	0.859	0.758	0.816	0.791	0.953	0.808	0.954	0.778	0.764	0.826	0.847	0.859	0.796	0.889	0.802	0.698	0.681	0.623	0.536	0.678	0.736	0	0.792	0.700	0.723	0.722	0.736	0.732	0.785	0.753
NC2	0.862	0.843	0.881	0.870	0.906	0.881	0.896	0.834	0.780	0.791	0.849	0.826	0.839	0.873	0.867	0.826	0.794	0.850	0.882	0.947	0.862	0.955	0.826	0.821	0.815	0.836	0.828	0.819	0.888	0.862	0.554	0.792	0.821	0.802	0.808	0.860	0.792	0	0.595	0.677	0.538	0.786	0.736	0.716	0.773
NC3	0.868	0.841	0.878	0.851	0.890	0.869	0.885	0.852	0.702	0.769	0.841	0.800	0.827	0.836	0.864	0.796	0.716	0.827	0.825	0.952	0.811	0.955	0.767	0.759	0.792	0.830	0.806	0.754	0.893	0.808	0.467	0.721	0.785	0.714	0.806	0.841	0.700	0.595	0	0.638	0.608	0.772	0.733	0.764	0.743
NC4	0.836	0.837	0.855	0.829	0.843	0.842	0.842	0.817	0.785	0.791	0.830	0.823	0.815	0.795	0.846	0.814	0.794	0.831	0.812	0.950	0.798	0.956	0.775	0.758	0.784	0.830	0.839	0.791	0.858	0.803	0.596	0.623	0.782	0.748	0.784	0.813	0.723	0.677	0.638	0	0.558	0.733	0.690	0.800	0.673
NC5	0.841	0.821	0.858	0.839	0.865	0.855	0.860	0.812	0.767	0.778	0.835	0.810	0.800	0.814	0.845	0.806	0.774	0.820	0.836	0.945	0.806	0.954	0.779	0.760	0.773	0.817	0.832	0.782	0.874	0.811	0.540	0.728	0.785	0.740	0.788	0.850	0.722	0.538	0.608	0.558	0	0.758	0.707	0.728	0.741
NC6	0.871	0.877	0.871	0.865	0.885	0.876	0.884	0.880	0.861	0.835	0.896	0.852	0.879	0.874	0.883	0.850	0.871	0.868	0.892	0.960	0.877	0.959	0.867	0.853	0.851	0.880	0.871	0.868	0.882	0.882	0.801	0.597	0.760	0.750	0.753	0.830	0.736	0.786	0.772	0.733	0.758	0	0.484	0.640	0.556
NC7	0.865	0.847	0.871	0.858	0.893	0.867	0.874	0.856	0.819	0.799	0.873	0.830	0.840	0.865	0.855	0.830	0.833	0.852	0.877	0.947	0.854	0.956	0.838	0.817	0.815	0.838	0.839	0.837	0.877	0.864	0.732	0.534	0.772	0.755	0.761	0.816	0.732	0.736	0.733	0.690	0.707	0.484	0	0.646	0.551
NC8	0.883	0.887	0.902	0.897	0.928	0.907	0.917	0.878	0.848	0.842	0.887	0.864	0.890	0.909	0.897	0.832	0.869	0.877	0.917	0.950	0.899	0.957	0.890	0.871	0.871	0.880	0.870	0.870	0.908	0.904	0.761	0.742	0.727	0.788	0.763	0.853	0.785	0.716	0.764	0.800	0.728	0.640	0.646	0	0.652
NC9	0.863	0.849	0.872	0.857	0.888	0.863	0.871	0.850	0.826	0.810	0.860	0.830	0.854	0.862	0.863	0.819	0.853	0.851	0.878	0.954	0.865	0.958	0.840	0.829	0.818	0.848	0.854	0.847	0.877	0.868	0.751	0.579	0.774	0.752	0.760	0.801	0.753	0.773	0.743	0.673	0.741	0.556	0.551	0.652	0
