ANC	CLMAT	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerosporobacter	0.0128333333333333	0.01325	0.0117	0.165166666666667
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales_Incertae_Sedis_XIII|Bacilliculturomica	0.0115833333333333	0.0123333333333333	0.0105666666666667	0.1495
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Clostridium_IV	0.0105	0.0108333333333333	0.00973333333333333	0.103
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Phocea	0.0105	0.00966666666666667	0.00896666666666667	0.131666666666667
Bacteria|Proteobacteria|Deltaproteobacteria|Bdellovibrionales|Bdellovibrionaceae|Vampirovibrio	0.0101666666666667	0.0104166666666667	0.00896666666666667	0.140666666666667
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfomicrobiaceae|Desulfomicrobium	0.00875	0.0104166666666667	0.0086	0.114
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Sutterellaceae|Parasutterella	0.00841666666666667	0.0105	0.00856666666666667	0.134
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Romboutsia	0.011	0.008	0.00826666666666667	0.1385
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Turicibacter	0.00841666666666667	0.0105	0.0081047619047619	0.1475
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Flavonifractor	0.00866666666666667	0.00816666666666667	0.00763333333333333	0.105166666666667
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerobutyricum	0.00983333333333333	0.00808333333333333	0.00753333333333333	0.132166666666667
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcus	0.00766666666666667	0.00958333333333333	0.00746666666666667	0.108833333333333
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerotignum	0.00836666666666667	0.00766666666666667	0.00736666666666667	0.116333333333333
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae_2|Alkaliphilus	0.0075	0.00866666666666667	0.00716666666666667	0.122666666666667
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Bilophila	0.00866666666666667	0.00683333333333333	0.00703809523809524	0.119166666666667
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Extibacter	0.00875	0.00825	0.00683333333333333	0.112833333333333
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae_1|Unassigned	0.00633333333333333	0.0085	0.00663333333333333	0.107833333333333
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Desulfovibrio	0.00683333333333333	0.00733333333333333	0.00656666666666667	0.115666666666667
Bacteria|Candidatus_Saccharibacteria|Unassigned|Unassigned|Unassigned|Saccharibacteria_genera_incertae_sedis	0.00683333333333333	0.00675	0.0058	0.112
Bacteria|Firmicutes|Clostridia|Clostridiales|Vallitaleaceae|Vallitalea	0.00575	0.00733333333333333	0.0057	0.120166666666667
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Phocaeicola	0.00658333333333333	0.00636666666666667	0.00553333333333333	0.0833333333333333
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Intestinimonas	0.00658333333333333	0.00533333333333333	0.00526666666666667	0.096
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides	0.007	0.00558333333333333	0.0052	0.0656666666666667
Bacteria|Firmicutes|Clostridia|Clostridiales|Christensenellaceae|Christensenella	0.00658333333333333	0.00533333333333333	0.0052	0.0903333333333333
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Flintibacter	0.00508333333333333	0.00616666666666667	0.00516666666666667	0.160666666666667
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Frisingicoccus	0.00683333333333333	0.00483333333333333	0.0051	0.0853333333333333
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Anaerotruncus	0.00591666666666667	0.00566666666666667	0.00503333333333333	0.0815
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Faecalicatena	0.00516666666666667	0.00458333333333333	0.00463333333333333	0.138833333333333
Bacteria|Firmicutes|Clostridia|Clostridiales|Defluviitaleaceae|Defluviitalea	0.00616666666666667	0.00458333333333333	0.0045	0.0948333333333333
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales_Incertae_Sedis_XIII|Aminipila	0.00408333333333333	0.006	0.00413333333333333	0.0601666666666667
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Ruminococcus2	0.0045	0.004	0.00383333333333333	0.092
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Butyricicoccus	0.0045	0.00366666666666667	0.00356666666666667	0.098
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Colidextribacter	0.00356666666666667	0.00433333333333333	0.00337142857142857	0.0865
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Faecalimonas	0.00286666666666667	0.00416666666666667	0.00315238095238095	0.0666666666666667
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lacrimispora	0.00403333333333333	0.00341666666666667	0.00315238095238095	0.0748333333333333
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Oribacterium	0.004	0.0025	0.00303333333333333	0.0513333333333333
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Clostridium_XlVb	0.00316666666666667	0.00316666666666667	0.0028	0.064
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerotaenia	0.003	0.00358333333333333	0.00263333333333333	0.097
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Unassigned	0.00266666666666667	0.00316666666666667	0.00246666666666667	0.0813333333333333
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Schaedlerella	0.00266666666666667	0.00308333333333333	0.00236666666666667	0.0411666666666667
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Lawsonibacter	0.00183333333333333	0.00316666666666667	0.00223333333333333	0.0381666666666667
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales_Incertae_Sedis_XIII|Ihubacter	0.00183333333333333	0.00183333333333333	0.0018	0.0586666666666667
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia	0.0015	0.002	0.00166666666666667	0.0276666666666667
