OTU	Group
ASV_13	MD9
ASV_13	NC1
ASV_13	NC10
ASV_13	NC11
ASV_13	NC12
ASV_13	NC13
ASV_13	NC14
ASV_13	NC15
ASV_13	NC2
ASV_13	NC3
ASV_13	NC4
ASV_13	NC5
ASV_13	NC6
ASV_13	NC7
ASV_13	NC8
ASV_13	NC9
ASV_26	HD10
ASV_26	HD11
ASV_26	HD12
ASV_26	HD13
ASV_26	HD14
ASV_26	HD15
ASV_26	HD2
ASV_26	HD3
ASV_26	HD4
ASV_26	HD5
ASV_26	HD6
ASV_26	HD7
ASV_26	HD8
ASV_26	HD9
ASV_26	MD1
ASV_26	MD10
ASV_26	MD11
ASV_26	MD12
ASV_26	MD14
ASV_26	MD2
ASV_26	MD3
ASV_26	MD4
ASV_26	MD5
ASV_26	MD7
ASV_26	MD9
ASV_26	NC1
ASV_26	NC10
ASV_26	NC11
ASV_26	NC12
ASV_26	NC13
ASV_26	NC14
ASV_26	NC15
ASV_26	NC2
ASV_26	NC3
ASV_26	NC4
ASV_26	NC5
ASV_26	NC6
ASV_26	NC7
ASV_26	NC8
ASV_26	NC9
ASV_11	HD10
ASV_11	HD2
ASV_11	HD3
ASV_11	HD4
ASV_11	HD5
ASV_11	HD6
ASV_11	HD7
ASV_11	HD8
ASV_11	HD9
ASV_11	MD1
ASV_11	MD10
ASV_11	MD11
ASV_11	MD12
ASV_11	MD14
ASV_11	MD15
ASV_11	MD2
ASV_11	MD3
ASV_11	MD4
ASV_11	MD5
ASV_11	MD6
ASV_11	MD7
ASV_11	MD8
ASV_11	MD9
ASV_11	NC1
ASV_11	NC10
ASV_11	NC11
ASV_11	NC12
ASV_11	NC13
ASV_11	NC14
ASV_11	NC15
ASV_11	NC2
ASV_11	NC3
ASV_11	NC4
ASV_11	NC5
ASV_11	NC6
ASV_11	NC7
ASV_11	NC8
ASV_11	NC9
ASV_14	HD10
ASV_14	HD11
ASV_14	HD12
ASV_14	HD13
ASV_14	HD14
ASV_14	HD15
ASV_14	HD2
ASV_14	HD3
ASV_14	HD4
ASV_14	HD5
ASV_14	HD6
ASV_14	HD7
ASV_14	HD8
ASV_14	HD9
ASV_14	MD1
ASV_14	MD10
ASV_14	MD2
ASV_14	MD3
ASV_14	MD4
ASV_14	MD5
ASV_14	MD6
ASV_14	MD7
ASV_14	MD8
ASV_14	NC1
ASV_14	NC10
ASV_14	NC2
ASV_14	NC3
ASV_14	NC4
