SampleID	richness	chao1	ACE	shannon	simpson	invsimpson
HD1	670	935.263157894737	921.84141995614	4.68156427380682	0.94934966	19.7432040930031
HD10	684	843.065420560748	849.674122815655	5.17556868376859	0.98432032	63.7768117716688
HD11	656	872.129032258065	862.190927790369	5.01649208782169	0.9801394	50.3509460942771
HD12	662	868.379310344828	842.306487095121	5.20581474928898	0.98790298	82.6649869141326
HD13	590	801.985915492958	764.153050349329	5.03614809270317	0.98587688	70.8058842522049
HD14	653	852.395604395604	841.858017462261	5.16634793196339	0.98728038	78.6187008731393
HD15	614	862.75	838.712721222358	5.01434454640138	0.98390922	62.147391238958
HD2	612	867	839.750400240003	4.48218517816317	0.95129014	20.5297243720265
HD3	663	898.875	897.615766517689	4.6769282847982	0.96804668	31.2956525331327
HD4	699	926.043010752688	908.483241151316	5.39724222724627	0.99122572	113.969465300857
HD5	606	906.031914893617	923.365369406776	4.0822590978058	0.92520416	13.3697275142575
HD6	644	895.273684210526	901.626346001171	5.02275476753522	0.98476554	65.6406593998081
HD7	636	863.278481012658	822.651999838777	4.94345486140743	0.97020832	33.5664185437008
HD8	628	861.181818181818	831.588065188964	5.17457051532649	0.98819776	84.7296784339244
HD9	659	854.163043478261	843.868528595676	5.07832035217179	0.97876422	47.0903352737691
MD1	619	867.10989010989	869.533601920717	4.46531704812889	0.95435662	21.9089822007047
MD10	621	808.423529411765	787.336938917409	4.91277771365453	0.97967122	49.1913435041355
MD11	669	912.6	881.402393225002	5.24420971664318	0.98894888	90.4885658648173
MD12	626	827.223404255319	830.36757778529	4.80380977313322	0.9768018	43.1067927684044
MD13	459	748.596774193548	748.341714744761	3.95846986341641	0.94282274	17.489470464307
MD14	667	904.538461538462	852.791067885028	5.22228815991406	0.98768784	81.2205169523463
MD15	512	878.272727272727	925.594437557801	3.35230707708237	0.87186352	7.80417879436051
MD2	652	899.024096385542	882.106300115188	4.98866003743769	0.9758439	41.3974110059157
MD3	698	932.744897959184	925.868497307237	5.20794934886243	0.98519908	67.5633676825495
MD4	691	878.352941176471	880.881946211548	5.31512986768077	0.98977426	97.7924336038272
MD5	652	855.009708737864	875.303028223073	4.93511836317092	0.9780138	45.4830757475143
MD6	607	869.536585365854	869.714547857498	4.96385606584045	0.98212724	55.9510674344645
MD7	671	901.387755102041	906.546068408201	5.15823242256502	0.9879281	82.8370016318889
MD8	591	778	793.707693647076	4.54186048770369	0.95665302	23.0696579092707
MD9	632	774.395348837209	762.980350462254	5.07745361566125	0.98300754	58.8496309539643
NC1	756	1061.14705882353	1008.70656032605	5.07741380055818	0.98331908	59.9487318445266
NC10	742	966.0625	994.735386021831	4.91386931357212	0.97581946	41.3555693958861
NC11	777	1032.3025210084	1033.49267756204	5.06997308245293	0.97782402	45.0938357628389
NC12	784	1012.1679389313	1031.29437545237	5.20479147430399	0.9849848	66.5991794981086
NC13	740	991.242718446602	958.057154725963	5.01397284950174	0.97506198	40.0994144683499
NC14	713	924.661016949153	933.799813207823	4.88988630466209	0.97823874	45.9532214586839
NC15	787	1014.29508196721	1009.00151686071	5.20150106751119	0.98366502	61.2183179899822
NC2	766	1009.00833333333	997.68346193542	4.96524056118944	0.97715828	43.7795402447802
NC3	779	1018.68421052632	1040.77041993314	5.11554027091777	0.9839944	62.4781326535713
NC4	773	993.204724409449	1015.32915423586	5.35158087857661	0.98949798	95.2197767667554
NC5	766	1001.41666666667	972.443783335216	5.34101818293408	0.98807606	83.86489700552
NC6	741	919.0546875	933.615745547162	4.80493598621585	0.95764322	23.6089712201919
NC7	760	1011	1035.66892589714	4.91307254474856	0.96684748	30.163619537821
NC8	697	948.237288135593	962.735612007978	4.66365546118203	0.96964034	32.9384452922068
NC9	754	1003.02459016393	1016.37743365672	5.07130825508927	0.97915558	47.9744699060948
