Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
HD1	0.209	0.0108	672.9	0.949	0.719	39.5	107.9	10000.0	670.0	0.335	0.0507	4.68	6.75	2.03
HD10	0.0858	0.0177	685.5	0.984	0.793	99.4	176.9	10000.0	684.0	0.270	0.0157	5.18	7.47	2.25
HD11	0.0943	0.0151	658.4	0.980	0.773	79.9	150.9	10000.0	656.0	0.306	0.0199	5.02	7.24	2.18
HD12	0.0495	0.0182	664.4	0.988	0.801	113.8	182.3	10000.0	662.0	0.287	0.0121	5.21	7.51	2.26
HD13	0.0431	0.0154	593.1	0.986	0.789	96.0	153.9	10000.0	590.0	0.294	0.0141	5.04	7.27	2.19
HD14	0.0471	0.0175	655.3	0.987	0.797	108.5	175.3	10000.0	653.0	0.292	0.0127	5.17	7.45	2.24
HD15	0.0663	0.0151	617.2	0.984	0.781	89.3	150.6	10000.0	614.0	0.325	0.0161	5.01	7.23	2.18
HD2	0.185	0.00884	615.2	0.951	0.699	36.0	88.4	10000.0	612.0	0.334	0.0487	4.48	6.47	1.95
HD3	0.128	0.0107	665.3	0.968	0.720	50.5	107.4	10000.0	663.0	0.334	0.032	4.68	6.75	2.03
HD4	0.0357	0.0221	701.5	0.991	0.824	149.3	220.8	10000.0	699.0	0.294	0.00877	5.40	7.79	2.34
HD5	0.231	0.00593	609.3	0.925	0.637	22.3	59.3	10000.0	606.0	0.392	0.0748	4.08	5.89	1.77
HD6	0.0617	0.0152	646.7	0.985	0.777	91.7	151.8	10000.0	644.0	0.340	0.0152	5.02	7.25	2.18
HD7	0.151	0.014	639.0	0.970	0.766	63.5	140.3	10000.0	636.0	0.298	0.0298	4.94	7.13	2.15
HD8	0.0385	0.0177	631.1	0.988	0.803	113.7	176.7	10000.0	628.0	0.302	0.0118	5.17	7.47	2.25
HD9	0.115	0.0161	661.2	0.979	0.782	81.2	160.5	10000.0	659.0	0.288	0.0212	5.08	7.33	2.21
MD1	0.158	0.00869	621.8	0.954	0.695	36.6	86.9	10000.0	619.0	0.344	0.0456	4.47	6.44	1.94
MD10	0.086	0.0136	623.3	0.980	0.764	73.8	136.0	10000.0	621.0	0.288	0.0203	4.91	7.09	2.13
MD11	0.0361	0.0189	671.9	0.989	0.806	121.7	189.5	10000.0	669.0	0.304	0.0111	5.24	7.57	2.28
MD12	0.0799	0.0122	628.2	0.977	0.746	64.2	122.0	10000.0	626.0	0.311	0.0232	4.80	6.93	2.09
MD13	0.185	0.00524	463.9	0.943	0.646	26.0	52.4	10000.0	459.0	0.413	0.0572	3.96	5.71	1.72
MD14	0.0467	0.0185	670.1	0.988	0.803	113.8	185.4	10000.0	667.0	0.289	0.0123	5.22	7.53	2.27
MD15	0.305	0.00286	516.9	0.872	0.537	11.6	28.6	10000.0	512.0	0.464	0.128	3.35	4.84	1.46
MD2	0.117	0.0147	655.1	0.976	0.770	71.3	146.7	10000.0	652.0	0.311	0.0242	4.99	7.20	2.17
MD3	0.0784	0.0183	700.5	0.985	0.795	103.9	182.7	10000.0	698.0	0.308	0.0148	5.21	7.51	2.26
MD4	0.0422	0.0203	692.9	0.990	0.813	131.7	203.4	10000.0	691.0	0.283	0.0102	5.32	7.67	2.31
MD5	0.0899	0.0139	654.0	0.978	0.762	72.1	139.1	10000.0	652.0	0.314	0.022	4.94	7.12	2.14
MD6	0.0743	0.0143	610.3	0.982	0.775	82.9	143.1	10000.0	607.0	0.342	0.0179	4.96	7.16	2.16
MD7	0.0409	0.0174	673.4	0.988	0.793	110.4	173.9	10000.0	671.0	0.317	0.0121	5.16	7.44	2.24
MD8	0.175	0.00939	593.0	0.957	0.712	40.5	93.9	10000.0	591.0	0.318	0.0433	4.54	6.55	1.97
MD9	0.0774	0.016	633.7	0.983	0.787	89.5	160.4	10000.0	632.0	0.248	0.017	5.08	7.33	2.21
NC1	0.0555	0.016	759.1	0.983	0.766	87.2	160.4	10000.0	756.0	0.330	0.0167	5.08	7.33	2.21
