z	module	p	roles	label	role_7
ASV_1277	-0.502168646602117	1	0.4576	Peripherals		peripheral
ASV_1211	-0.864955065257594	1	0.556213017751479	Peripherals		peripheral
ASV_200	-1.19750928235845	1	0	Peripherals		ultra peripheral
ASV_297	-0.925419468366841	1	0.429752066115702	Peripherals		peripheral
ASV_233	-0.864955065257594	1	0.260355029585799	Peripherals		peripheral
ASV_994	-0.985883871476087	1	0.345679012345679	Peripherals		peripheral
ASV_326	-0.592865251265986	1	0.56198347107438	Peripherals		peripheral
ASV_418	-1.16727708080383	1	0.345804988662131	Peripherals		peripheral
ASV_14	-0.653329654375232	1	0.444444444444444	Peripherals		peripheral
ASV_30	1.2210668420114	1	0.277777777777778	Peripherals		peripheral
ASV_39	0.162939787599592	1	0.569444444444444	Peripherals		peripheral
ASV_57	0.374565198481954	1	0.535	Peripherals		peripheral
ASV_45	0.495494004700447	1	0.513888888888889	Peripherals		peripheral
ASV_68	-0.713794057484479	1	0.392325996430696	Peripherals		peripheral
ASV_100	0.223404190708838	1	0.506427915518825	Peripherals		peripheral
ASV_74	0.888512624910547	1	0.488003621548212	Peripherals		peripheral
ASV_94	0.223404190708838	1	0.33594118201527	Peripherals		peripheral
ASV_124	1.49315665600301	1	0.466640243096842	Peripherals		peripheral
ASV_154	1.00944143112904	1	0.324417009602195	Peripherals		peripheral
ASV_201	-0.895187266812217	1	0.418704474505723	Peripherals		peripheral
ASV_176	1.82571087310386	1	0.285374554102259	Peripherals		peripheral
ASV_216	1.31176344667527	1	0.405047706986765	Peripherals		peripheral
ASV_1356	0.707119415582809	1	0.290123456790123	Peripherals		peripheral
ASV_234	0.162939787599592	1	0.260355029585799	Peripherals		peripheral
ASV_428	0.858280423355924	1	0.408599242833964	Peripherals		peripheral
ASV_272	0.102475384490346	1	0.528946272386506	Peripherals		peripheral
ASV_335	1.88617527621311	1	0.370561396548304	Peripherals		peripheral
ASV_332	-0.411472041938247	1	0.498958767180341	Peripherals		peripheral
ASV_349	1.55362105911226	1	0.464009518143962	Peripherals		peripheral
ASV_466	0.586190609364316	1	0.525951557093426	Peripherals		peripheral
ASV_415	3.79080397415437	1	0.523366743146963	Module hubs	ASV_415	connector hub
ASV_445	1.37222784978452	1	0.312177777777778	Peripherals		peripheral
ASV_395	-0.0184534217281466	1	0.396694214876033	Peripherals		peripheral
ASV_422	1.06990583423829	1	0.5	Peripherals		peripheral
ASV_401	-0.864955065257594	1	0.277777777777778	Peripherals		peripheral
ASV_416	2.73267691974256	1	0.439638600538255	Module hubs	ASV_416	connector hub
ASV_1434	1.88617527621311	1	0.452097505668934	Peripherals		peripheral
ASV_531	1.55362105911226	1	0.309757785467128	Peripherals		peripheral
ASV_6	1.00944143112904	1	0.310650887573965	Peripherals		peripheral
ASV_9	-1.07658047613996	1	0.426215277777778	Peripherals		peripheral
ASV_26	0.737351617137432	1	0.599763313609467	Peripherals		peripheral
ASV_24	0.223404190708838	1	0.119511090991399	Peripherals		peripheral
ASV_33	1.10013803579291	1	0.22734693877551	Peripherals		peripheral
ASV_41	1.31176344667527	1	0.473877551020408	Peripherals		peripheral
ASV_51	-0.290543235719755	1	0.0849382716049383	Peripherals		peripheral
ASV_76	-0.683561855929856	1	0.252341311134235	Peripherals		peripheral
ASV_90	1.37222784978452	1	0.396694214876033	Peripherals		peripheral
ASV_101	0.948977028019794	1	0.477255917159763	Peripherals		peripheral
ASV_118	1.10013803579291	1	0.400510204081633	Peripherals		peripheral
ASV_105	0.52572620625507	1	0.507933884297521	Peripherals		peripheral
ASV_104	0.918744826465171	1	0.346133044889129	Peripherals		peripheral
ASV_132	-0.109150026392016	1	0.526177519234378	Peripherals		peripheral
ASV_139	1.34199564822989	1	0.303907954770879	Peripherals		peripheral
ASV_130	-0.411472041938247	1	0.496765177785829	Peripherals		peripheral
ASV_150	0.132707586044969	1	0.347128027681661	Peripherals		peripheral
ASV_195	0.918744826465171	1	0.479130535322003	Peripherals		peripheral
ASV_183	0.948977028019794	1	0.309594195108842	Peripherals		peripheral
ASV_238	0.314100795372708	1	0.504141417763276	Peripherals		peripheral
ASV_240	-0.44170424349287	1	0.490230084402821	Peripherals		peripheral
ASV_295	-0.774258460593725	1	0.451843043995244	Peripherals		peripheral
ASV_350	1.46292445444839	1	0.322427126710292	Peripherals		peripheral
ASV_322	0.223404190708838	1	0.496205093607691	Peripherals		peripheral
ASV_423	1.19083464045678	1	0.508291328804149	Peripherals		peripheral
