KO	Means	SD
num.edges(L)	6903	6903	0
num.pos.edges	4452	0	0
num.neg.edges	2451	0	0
num.vertices(n)	464	464	0
Connectance(edge_density)	0.0642641692112907	0.0642641692112907	0
average.degree(Average K)	29.7543103448276	29.7543103448276	0
average.path.length	1.81428572568336	2.07364554628733	0.00122546743245885
diameter	6.87551867198791	3	0
edge.connectivity	0	15.06	1.55582970167241
mean.clustering.coefficient(Average.CC)	0.494278908222631	0.063991415538756	0.000984713466734986
no.clusters	6	1	0
centralization.degree	0.296426975497133	0.035800625605124	0.00408479727130577
centralization.betweenness	0.0602915537921318	0.00327230735286394	0.000487776177889847
centralization.closeness	1.29287613545984	0.0675443703720902	0.00603521822931639
RM(relative.modularity)	1.08647279133487	-0.00263157229120059	0.0473656111821802
the.number.of.keystone.nodes	Not.calculated	0	0
