Weeks	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	MD	MD	MD	MD	MD	MD	MD	MD	MD	MD	MD	MD	LMAT	LMAT	LMAT	LMAT	LMAT	LMAT	LMAT	LMAT	LMAT	LMAT	LMAT	LMAT	HMAT	HMAT	HMAT	HMAT	HMAT	HMAT	HMAT	HMAT	HMAT	HMAT	HMAT	HMAT
1	24.1	23.7	22.2	23.2	24.8	23	23.2	24.3	24.5	23	23.7	23.6	23.1	23.9	23.7	24.9	23.8	24.4	23.7	24.6	24.4	23.7	23.9	22.2	23.9	23.7	22.8	22.4	23.4	24.5	22.2	23.5	24.5	24.1	23.9	22.5	23.1	22.8	21.6	23.6	23.5	22	23.1	22.8	22.9	22.5	24.1	23.7
2	25.1	24.4	23.7	23.6	25.3	23.4	23.8	25.3	25.6	23.7	25.1	25.6	24.6	24.7	24.9	25.8	24.4	26.2	24.3	25.8	26	25.4	25.2	24.2	24.7	24.2	24.1	23.3	24.3	25	23.1	22.6	24.4	26.5	25.1	24.1	23.9	23.8	22.9	24.8	25	23.9	24.2	23.1	24.2	23.3	24.3	24.7
3	24.44	25.13	24.59	24.03	25.62	23.96	23.78	25.85	25.46	23.35	26.02	26.06	25.61	26.35	26.19	27.11	24.93	26.71	24.77	27.21	26.93	26.48	25.73	24.28	25.64	24.67	25.16	23.83	24.85	25.58	23.81	25.48	27.88	25.52	24.48	23.52	24.06	24.85	23.6	25.31	26.14	23.78	24.56	23.66	24.97	23.69	24.79	25.8
4	24.2	26	24.9	24.3	25.7	24	23.9	25.9	25.8	24	26.9	26.2	27.8	28.2	27	29.2	25.8	28.5	25.6	28.3	28.3	27.6	27.5	24.9	27.4	25.8	26.6	25	26.4	27.3	25.2	26.7	28.9	26.8	25.7	25.24	24.4	25.4	24.3	26.1	27.7	23.7	25.3	24.7	26.5	24.6	25.2	26.7
5	25.14	27.11	26.18	24.99	26.59	24.76	24.92	26.7	26.6	24.81	27.17	26.59	26.71	29.44	28.86	28.59	29.16	25.58	29.28	29.47	28.78	30.61	26.84	29.73	28.3	26.88	26.86	25.76	27.02	28.32	26.38	27.8	30.24	28.13	27.28	25.67	25.12	26.51	25.59	27.22	29.04	24.69	26.25	25.56	27.87	25.4	25.53	26.67
6	25.52	26.94	27.08	25.12	26.92	24.96	25.5	27.71	27.83	24.66	27.83	28.08	30.08	30.51	30.15	31.31	27.82	29.9	26.89	30.69	29.24	28.01	29.7	26.05	29.82	27.99	27.82	26.49	27.43	29.37	26.5	28.49	30.69	29.14	27.32	27.12	27.59	26.25	26.21	27.03	29.51	25.8	26.22	28.2	25.65	25.78	27.17	26.34
7	26.1	27.77	27.66	26.19	28.22	25.7	25.44	28.4	28.04	25.72	28.69	27.63	26.34	27.82	26.69	28.63	26	27.67	25.96	28.53	28.39	27.6	27.64	24.6	28.7	25.85	26.04	25.45	25.94	27.21	24.46	26.49	27.97	26.35	25.47	24.42	26.79	26.02	23.89	25.8	27.05	23.39	25.67	25.98	24.74	25.93	25.51	24.9
8	27.1	29	27.9	27.6	28.7	26.2	25.8	29.5	28.6	25.9	29.4	27.7	25.1	25.3	26.2	27.5	25.8	27.1	26.6	28.4	28.8	27.2	27.2	24.3	27.5	24.6	26.1	25.5	26	26.6	26.7	25.2	25.3	24.3	27.5	23.3	23.7	25.3	27	22.8	26.5	26.2	25.3	26.7	25.2	26.2	26.1	26.3
9	28.9	26.3	26.8	29	27.8	27.7	29.3	29.5	28.4	26.1	29.1	25.9	26.6	25.3	24.6	25.7	23.4	24	28.6	26.1	28.4	26.7	26.8	23.5	26.4	25.6	25.4	27.9	27.2	25.6	25.4	23.6	27.3	23.2	26.7		23		26.2	26.3	26.4	26.8	25.1	26.5	25.8	26.2	25.9	24.3
