NC	MD	LMAT	HMAT
951	3136.5	3565.5	3378
1153	3559.5	3417	3552
1105.5	3313.5	2626.5	2649
1041	3690	3436.5	2053.5
943	3451.5	3408	3214.5
1017	3501	3282	2191.5
967	3232.5	3630	3022.5
1009.5	3613.5	3589.5	3187.5
871.5	3237	3003	3334.5
948	3114	3255	3288
973.5	3765	3432	3027
1222.5	3724		3294
