NC	MD	LMAT	HMAT
0.211	0.163	0.1149	0.086
0.244	0.127	0.145	0.137
0.192	0.141	0.149	0.118
0.177	0.16	0.1375	0.0705
0.179	0.155	0.129	0.0828
0.18	0.118	0.0892	0.0549
0.237	0.114	0.109	0.0766
0.168	0.067	0.131	0.0476
0.192	0.139	0.124	0.0907
0.218	0.109	0.0741	0.0762
0.192	0.112	0.0828	0.0932
0.163	0.149		0.1126
