NC	MD	LMAT	HMAT
0.205	0.209	0.242	0.17
0.229	0.131	0.224	0.307
0.428	0.158	0.217	0.283
0.313	0.241	0.208	0.227
0.658	0.204	0.335	0.203
0.44	0.185	0.176	0.209
0.574	0.17	0.164	0.146
0.1188	0.191	0.269	0.133
0.229	0.146	0.228	0.332
0.459	0.145	0.186	0.372
0.31	0.199	0.162	0.372
0.238	0.269		0.199
