H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
ASV_1	53	2077	10024	53	67	30	45	55	253	57	246	5311	2449	191	3218	199	6944	71	63	103	6147	108	128	3656	4331	4819	11267	17144	252	70	80	61	2238	70	3984	8040	8253	3851	864	127	39	370	1945	1804	162	347	4798
ASV_2	976	1952	5234	588	5840	64	1932	2315	96	2165	1329	3227	3102	3027	5756	2152	3068	940	2084	102	7890	1628	1690	4872	4129	2724	4047	1594	1027	2135	1546	207	3859	2722	3224	87	138	74	43	40	86	317	38	19	170	222	50
ASV_3	241	5027	2153	82	3316	961	212	1125	3787	1152	3311	2180	2172	1731	1900	2758	105	5838	1149	1392	1063	3594	2601	2359	930	322	1029	2754	4323	411	516	446	157	1103	2089	33	41	266	883	28	19	174	201	17	18	18	13
ASV_11	1341	1845	43	715	24	133	1391	164	1693	2952	868	481	47	47	18	47	28	138	80	141	2	65	317	233	2406	70	178	50	91	2210	1016	2381	4636	1445	5903	118	90	121	35	269	333	58	19	11	168	43	75
ASV_8	7	5	25	23	6	596	47	1457	24	6	37	32	16	38	46	34	43	225	3104	670	27	1765	707	17	9	6	22	35	514	95	37	28	28	31	44	2480	2234	2468	2083	625	1973	302	925	2737	232	3712	2592
ASV_1385	5329	2929	69	4052	40	63	38	34	4437	5147	55	61	36	44	36	25	54	63	4843	1780	27	1544	707	4	25	23	17	34	4	8	2	0	26	31	9	31	2	3	3	1	31	23	9	13	2	4	6
ASV_10	1925	46	29	1241	31	1408	889	446	1403	20	145	20	25	37	36	1144	29	1476	647	563	21	373	339	1224	53	328	994	1024	1371	3527	4004	4039	1039	1564	76	95	87	92	21	31	28	17	27	16	11	33	25
ASV_6	0	0	1	12	16	6	12	0	1	2	1	19	19	3	18	0	2	1	2	37	23	4	18	0	0	0	2	24	16	5	45	19	28	22	36	7862	8696	1050	4201	120	57	29	572	1080	45	809	3174
ASV_4	149	3	414	344	12	8	95	284	18	11	441	642	956	1871	2647	5000	4105	475	680	2494	495	527	3756	36	53	21	51	1200	24	105	241	166	217	137	207	15	9	21	15	14	12	2	7	8	3	3	18
ASV_7	1869	248	34	3072	18	756	715	715	290	1088	119	1070	108	19	178	2588	19	320	615	677	11	513	572	849	19	17	459	252	127	1273	2081	820	599	1061	23	238	54	50	104	27	162	141	22	274	256	227	205
ASV_9	44	850	984	115	360	284	290	539	1703	507	786	333	2440	132	227	124	447	429	72	767	272	471	304	733	1433	1586	2228	867	581	128	66	90	146	214	475	74	39	316	128	151	126	267	485	35	71	205	57
ASV_14	320	57	13	64	27	120	15	514	22	5	117	123	30	14	19	17	293	371	1175	411	37	384	6	25	22	11	16	527	601	12	225	1258	180	20	16	448	341	636	1270	355	2401	615	167	2634	5354	1043	384
ASV_13	26	74	62	27	460	1977	1006	277	145	93	1271	131	1840	896	1610	2709	259	428	889	489	415	2185	1167	65	31	50	41	130	120	54	10	15	13	67	4	49	91	47	30	20	6	19	46	92	120	328	72
ASV_15	239	64	111	183	118	477	728	900	209	684	436	205	77	1600	828	773	132	19	11	20	1916	272	20	319	139	41	449	317	848	986	1173	1127	689	2176	171	77	51	149	42	52	853	108	24	53	83	421	63
ASV_19	963	135	600	303	433	377	499	706	893	730	151	993	260	662	12	39	949	86	307	113	10	401	172	397	20	16	688	26	255	610	70	211	122	206	13	22	13	1553	87	745	1705	178	466	888	174	896	35
ASV_21	101	33	821	100	919	95	1066	1097	161	183	54	104	227	2329	542	502	634	200	417	138	1495	473	493	262	59	139	234	94	533	943	483	673	108	413	27	133	134	256	242	280	780	294	93	193	549	248	168
ASV_12	10	850	2148	223	13	14	9	20	384	219	33	2886	15	8	6	11	6	1356	720	325	56	192	37	1785	423	29	2506	36	3392	47	5	4	3	401	16	8	64	2	0	5	1	5	4	103	10	1	41
ASV_17	708	877	18	349	10	66	771	119	804	1111	540	293	14	27	6	29	11	83	39	83	4	38	209	130	1251	21	93	21	50	1200	524	1287	2288	794	2432	23	43	55	22	372	374	48	8	3	51	17	28
ASV_20	265	751	15	101	1027	20	393	77	691	857	65	43	431	188	496	336	343	292	233	132	7	227	160	614	2297	1691	252	390	55	355	648	682	539	580	373	23	30	40	15	25	64	25	8	8	34	77	7
ASV_16	7	13	12	13	125	4155	40	420	1	4	11	24	33	99	1736	669	726	14	13	692	240	23	8	2	3	1	4	7	0	5	10	3	1	2	5	138	81	283	2993	207	15	302	772	36	11	62	43
ASV_29	366	841	13	161	921	37	428	67	773	852	83	40	351	201	423	259	307	274	221	149	26	229	165	492	1980	1493	219	323	56	299	551	558	630	578	396	35	31	36	13	37	115	35	4	20	41	195	16
ASV_22	735	17	13	456	7	630	426	223	581	7	52	11	9	14	13	559	16	749	273	280	10	174	143	654	13	160	540	469	607	1611	1716	1844	437	751	22	32	26	32	11	11	6	3	9	5	6	12	12
ASV_23	271	518	154	87	260	122	251	352	393	416	312	602	146	1087	569	669	221	119	257	116	856	98	285	429	646	671	163	241	84	153	217	163	632	200	548	67	59	185	143	157	191	229	97	218	285	229	199
ASV_28	296	641	15	147	676	55	366	83	587	715	46	27	268	166	343	276	219	323	199	122	13	211	153	597	1529	1139	205	348	44	396	857	748	492	572	279	25	25	50	15	27	61	35	4	35	64	58	18
ASV_25	380	16	79	372	160	167	367	250	1926	377	105	797	38	1915	495	570	1297	172	672	477	267	24	440	28	33	225	9	522	23	12	178	223	102	40	52	14	8	7	27	11	87	321	7	5	68	26	7
ASV_30	18	3	4	14	9	7	21	18	10	2	10	28	13	49	7	4	42	2	278	23	14	50	63	1	4	6	3	4	32	6	34	23	20	16	22	1556	2410	1157	132	555	682	49	116	1686	1508	1073	1267
ASV_26	513	368	320	359	321	291	586	500	328	212	480	951	122	882	443	745	258	140	530	418	448	231	568	176	144	21	148	162	199	368	147	158	85	141	197	36	8	42	44	42	84	134	35	112	75	34	39
ASV_24	84	422	258	131	257	407	588	281	159	197	470	160	333	210	298	105	254	635	395	725	209	535	638	277	122	537	322	328	428	149	250	112	113	278	200	153	257	96	44	122	37	70	102	95	22	64	264
ASV_27	2429	27	24	1427	27	699	3	300	72	2	4	9	3	11	9	675	15	113	234	768	7	18	211	10	14	4	6	13	231	9	6	8	38	43	3	35	3	27	112	512	1013	32	29	30	38	2860	12
ASV_34	0	5	1	6	9	16	5	2	4	3	2	14	14	16	12	3	3	5	4	6	14	13	4	7	1	5	7	13	21	12	15	9	10	7	9	204	236	2163	1008	777	762	961	885	1811	1107	46	1022
ASV_157	316	322	104	686	450	198	333	384	161	361	339	303	262	301	199	166	163	241	176	348	207	343	511	361	255	600	266	228	260	444	248	156	232	118	409	64	49	140	72	147	198	180	90	89	151	90	135
ASV_37	7	17	33	10	13	9	9	16	6	14	21	8	21	6	4	10	11	16	23	16	16	4	7	14	6	15	25	15	18	1	4	6	5	10	15	25	30	946	1526	1978	738	3330	952	30	45	31	47
ASV_119	194	368	316	117	731	40	315	242	28	485	159	364	349	320	588	177	358	173	163	34	735	200	237	503	772	411	351	177	165	411	340	53	692	478	480	24	42	32	11	9	43	65	5	20	50	67	13
ASV_39	4	1	13	7	7	485	24	103	1	0	10	2	8	18	22	26	3	16	7	361	4	20	22	39	1	0	9	8	6	16	24	36	7	12	15	511	120	1336	139	2419	56	17	1048	324	857	643	147
ASV_31	5	1	9	0	3	18	861	20	10	15	919	881	21	11	4	8	9	389	77	2	2	74	331	566	13	520	366	47	765	127	365	1364	581	521	13	19	25	86	15	209	795	58	52	3	3	7	11
ASV_32	172	121	240	562	562	677	310	257	214	186	477	372	210	428	358	142	286	58	194	168	335	134	219	229	274	189	103	128	144	400	422	392	507	308	201	20	5	26	7	27	80	4	4	17	46	28	8
ASV_38	133	588	597	676	162	278	103	187	53	256	494	131	504	175	60	36	86	550	192	599	224	45	67	134	139	890	98	93	598	141	313	101	143	183	285	11	15	20	6	20	8	16	8	7	2	9	12
ASV_1214	404	399	230	267	358	80	164	131	207	690	84	190	131	179	311	85	207	66	347	93	433	182	200	213	431	220	135	108	85	258	211	69	480	303	325	50	34	44	12	46	50	78	15	63	112	88	24
ASV_48	15	70	80	30	39	35	58	57	42	88	46	108	98	136	134	107	105	185	117	262	188	267	503	353	225	284	195	247	452	53	44	21	28	137	72	442	372	113	125	805	74	285	258	315	72	373	292
ASV_40	3	794	9	0	9	7	8	6	0	4	1	5	8	147	2758	20	19	14	15	21	1027	22	30	928	14	286	14	776	1384	13	519	4	1	8	2	9	6	4	5	0	3	1	0	3	7	2	14
ASV_35	94	75	282	383	36	81	217	61	112	95	139	295	160	135	107	50	297	231	89	600	154	352	273	175	98	382	492	185	603	97	86	32	41	86	16	147	283	311	91	100	61	236	107	99	72	48	162
ASV_33	120	133	102	134	279	689	126	154	418	237	191	109	300	137	284	353	66	930	274	208	99	476	632	157	53	144	108	98	367	162	79	50	26	408	98	9	16	10	7	1	2	2	2	4	2	7	4
ASV_52	251	142	75	218	291	131	364	526	109	129	109	300	63	144	32	72	90	53	68	130	123	37	165	67	95	81	37	221	158	167	230	107	122	71	145	37	39	292	537	128	459	533	306	190	258	112	110
ASV_57	58	22	28	42	9	14	15	9	37	49	21	15	17	18	3	14	8	4	58	14	9	49	18	7	11	9	17	9	3	19	15	25	14	15	15	1078	109	129	62	693	527	57	50	703	1652	2156	590
ASV_42	583	112	120	91	281	80	645	608	318	173	265	106	90	472	142	182	255	124	195	83	258	194	135	141	219	97	141	105	259	210	255	408	328	263	120	11	7	17	18	22	97	15	7	9	58	44	9
