"","KO","Means","SD"
"num.edges(L)","3051","3051","0"
"num.pos.edges","1634","0","0"
"num.neg.edges","1417","0","0"
"num.vertices(n)","487","487","0"
"Connectance(edge_density)","0.025781428245494","0.025781428245494","0"
"average.degree(Average K)","12.5297741273101","12.5297741273101","0"
"average.path.length","1","2.71493370852029","0.00230023422432651"
"diameter","1","4.12","0.32659863237109"
"edge.connectivity","0","3.41","0.817670996541921"
"mean.clustering.coefficient(Average.CC)","1","0.0256944897928668","0.00138907943602206"
"no.clusters","53","1","0"
"centralization.degree","0.025658900972613","0.0239510820425719","0.00320443345568677"
"centralization.betweenness","0","0.00850330023532463","0.00148312866852505"
"centralization.closeness","0","0.0787134403478856","0.00914802519825309"
"RM(relative.modularity)","3.36176614673438","-0.00246687923855845","0.0443962092260139"
"the.number.of.keystone.nodes","Not.calculated","0","0"
