"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_135",20,1,0,20
"ASV_84",20,1,0,20
"ASV_239",20,1,0,20
"ASV_594",20,1,0,20
"ASV_379",20,1,0,20
"ASV_398",20,1,0,20
"ASV_254",20,1,0,20
"ASV_180",20,1,0,20
"ASV_314",20,1,0,20
"ASV_334",20,1,0,20
"ASV_551",20,1,0,20
"ASV_380",20,1,0,20
"ASV_435",20,1,0,20
"ASV_894",20,1,0,20
"ASV_564",20,1,0,20
"ASV_74",7,1,0,7
"ASV_187",7,1,0,7
"ASV_162",7,1,0,7
"ASV_360",7,1,0,7
"ASV_458",7,1,0,7
"ASV_524",7,1,0,7
"ASV_726",7,1,0,7
"ASV_138",5,1,0,5
"ASV_656",5,1,0,5
"ASV_125",5,1,0,5
"ASV_1479",5,1,0,5
"ASV_330",5,1,0,5
"ASV_95",14,1,0,14
"ASV_137",14,1,0,14
"ASV_1364",14,1,0,14
"ASV_139",14,1,0,14
"ASV_328",14,1,0,14
"ASV_198",14,1,0,14
"ASV_967",14,1,0,14
"ASV_530",14,1,0,14
"ASV_372",14,1,0,14
"ASV_386",14,1,0,14
"ASV_637",14,1,0,14
"ASV_299",14,1,0,14
"ASV_720",14,1,0,14
"ASV_384",14,1,0,14
"ASV_106",27,1,0,27
"ASV_103",27,1,0,27
"ASV_78",27,1,0,27
"ASV_151",27,1,0,27
"ASV_140",27,1,0,27
"ASV_219",27,1,0,27
"ASV_211",27,1,0,27
"ASV_490",27,1,0,27
"ASV_4",27,1,0,27
"ASV_938",27,1,0,27
"ASV_306",27,1,0,27
"ASV_536",27,1,0,27
"ASV_404",27,1,0,27
"ASV_529",27,1,0,27
"ASV_378",27,1,0,27
"ASV_184",27,1,0,27
"ASV_1627",27,1,0,27
"ASV_498",27,1,0,27
"ASV_469",27,1,0,27
"ASV_419",27,1,0,27
"ASV_885",27,1,0,27
"ASV_933",27,1,0,27
"ASV_842",27,1,0,27
"ASV_1368",27,1,0,27
"ASV_128",27,1,0,27
"ASV_1005",27,1,0,27
"ASV_543",27,1,0,27
"ASV_124",16,1,0,16
"ASV_176",16,1,0,16
"ASV_237",16,1,0,16
"ASV_460",16,1,0,16
"ASV_117",16,1,0,16
"ASV_256",16,1,0,16
"ASV_430",16,1,0,16
"ASV_293",16,1,0,16
"ASV_303",16,1,0,16
"ASV_200",16,1,0,16
"ASV_873",16,1,0,16
"ASV_270",16,1,0,16
"ASV_590",16,1,0,16
"ASV_533",16,1,0,16
"ASV_427",16,1,0,16
"ASV_408",16,1,0,16
"ASV_417",7,1,0,7
"ASV_129",7,1,0,7
"ASV_141",7,1,0,7
"ASV_88",7,1,0,7
"ASV_225",7,1,0,7
"ASV_1542",7,1,0,7
"ASV_247",7,1,0,7
"ASV_85",9,1,0,9
"ASV_50",9,1,0,9
"ASV_234",9,1,0,9
"ASV_770",9,1,0,9
"ASV_428",9,1,0,9
"ASV_574",9,1,0,9
"ASV_352",9,1,0,9
"ASV_1528",9,1,0,9
"ASV_472",9,1,0,9
"ASV_155",7,1,0,7
"ASV_261",7,1,0,7
"ASV_438",7,1,0,7
"ASV_362",7,1,0,7
"ASV_336",7,1,0,7
"ASV_452",7,1,0,7
"ASV_666",7,1,0,7
"ASV_257",5,1,0,5
"ASV_1439",5,1,0,5
"ASV_393",5,1,0,5
"ASV_464",5,1,0,5
"ASV_857",5,1,0,5
"ASV_82",10,1,0,10
"ASV_1658",10,1,0,10
"ASV_229",10,1,0,10
"ASV_409",10,1,0,10
"ASV_521",10,1,0,10
"ASV_690",10,1,0,10
"ASV_565",10,1,0,10
"ASV_518",10,1,0,10
"ASV_1335",10,1,0,10
"ASV_593",10,1,0,10
"ASV_298",5,1,0,5
"ASV_461",5,1,0,5
"ASV_616",5,1,0,5
"ASV_774",5,1,0,5
"ASV_719",5,1,0,5
"ASV_169",12,1,0,12
"ASV_619",12,1,0,12
"ASV_133",12,1,0,12
"ASV_175",12,1,0,12
"ASV_143",12,1,0,12
"ASV_743",12,1,0,12
"ASV_1448",12,1,0,12
"ASV_348",12,1,0,12
"ASV_112",12,1,0,12
"ASV_353",12,1,0,12
"ASV_416",12,1,0,12
"ASV_537",12,1,0,12
"ASV_867",9,1,0,9
"ASV_375",9,1,0,9
"ASV_1605",9,1,0,9
"ASV_218",9,1,0,9
"ASV_108",9,1,0,9
"ASV_238",9,1,0,9
"ASV_944",9,1,0,9
"ASV_499",9,1,0,9
"ASV_414",9,1,0,9
"ASV_226",6,1,0,6
"ASV_207",6,1,0,6
"ASV_479",6,1,0,6
"ASV_1552",6,1,0,6
"ASV_506",6,1,0,6
"ASV_540",6,1,0,6
"ASV_331",5,1,0,5
"ASV_1610",5,1,0,5
"ASV_1031",5,1,0,5
"ASV_316",5,1,0,5
"ASV_1540",5,1,0,5
"ASV_287",2,1,0,2
"ASV_598",2,1,0,2
"ASV_193",5,1,0,5
"ASV_183",5,1,0,5
"ASV_411",5,1,0,5
"ASV_43",5,1,0,5
"ASV_121",5,1,0,5
"ASV_192",2,1,0,2
"ASV_429",2,1,0,2
"ASV_94",11,1,0,11
"ASV_673",11,1,0,11
"ASV_265",11,1,0,11
"ASV_197",11,1,0,11
"ASV_262",11,1,0,11
"ASV_1246",11,1,0,11
"ASV_323",11,1,0,11
"ASV_766",11,1,0,11
"ASV_374",11,1,0,11
"ASV_763",11,1,0,11
"ASV_471",11,1,0,11
"ASV_503",5,1,0,5
"ASV_525",5,1,0,5
"ASV_387",5,1,0,5
"ASV_527",5,1,0,5
"ASV_636",5,1,0,5
"ASV_285",5,1,0,5
"ASV_482",5,1,0,5
"ASV_425",5,1,0,5
"ASV_481",5,1,0,5
"ASV_243",5,1,0,5
"ASV_202",4,1,0,4
"ASV_488",4,1,0,4
"ASV_437",4,1,0,4
"ASV_388",4,1,0,4
"ASV_286",3,1,0,3
"ASV_271",3,1,0,3
"ASV_213",3,1,0,3
"ASV_669",5,1,0,5
"ASV_204",5,1,0,5
"ASV_172",5,1,0,5
"ASV_242",5,1,0,5
"ASV_576",5,1,0,5
