"","KO","Means","SD"
"num.edges(L)","2751","2751","0"
"num.pos.edges","1515","0","0"
"num.neg.edges","1236","0","0"
"num.vertices(n)","489","489","0"
"Connectance(edge_density)","0.0230564216031379","0.0230564216031379","0"
"average.degree(Average K)","11.2515337423313","11.2515337423313","0"
"average.path.length","1","2.80926405511415","0.00262129866284545"
"diameter","1","4.85","0.358870281282637"
"edge.connectivity","0","2.63","0.786951668968895"
"mean.clustering.coefficient(Average.CC)","1","0.0230174023503683","0.00155608466437591"
"no.clusters","54","1","0"
"centralization.degree","0.0322714472493211","0.0226607915116162","0.00302256291021261"
"centralization.betweenness","0","0.00965421565901484","0.0016022879730869"
"centralization.closeness","0","0.0800321207158063","0.0085763937119901"
"RM(relative.modularity)","3.18646378128595","0.00167069628978238","0.0407505594041873"
"the.number.of.keystone.nodes","Not.calculated","0","0"
