"","KO","Means","SD"
"num.edges(L)","2615","2615","0"
"num.pos.edges","1433","0","0"
"num.neg.edges","1182","0","0"
"num.vertices(n)","495","495","0"
"Connectance(edge_density)","0.0213879687563898","0.0213879687563898","0"
"average.degree(Average K)","10.5656565656566","10.5656565656566","0"
"average.path.length","1","2.87646998485068","0.00295106633026391"
"diameter","1","4.99","0.1"
"edge.connectivity","0","2.31","0.787464926267202"
"mean.clustering.coefficient(Average.CC)","1","0.0214837670944421","0.00168373214966879"
"no.clusters","61","1.02","0.14070529413629"
"centralization.degree","0.0271950271950272","0.022377213429845","0.00278628518532058"
"centralization.betweenness","0","0.0104843771358678","0.00166428190121381"
"centralization.closeness","0","NaN",NA
"RM(relative.modularity)","2.76832753136854","0.00297000787243844","0.0465389248001575"
"the.number.of.keystone.nodes","Not.calculated","0","0"
