"","KO","Means","SD"
"num.edges(L)","2544","2544","0"
"num.pos.edges","1351","0","0"
"num.neg.edges","1193","0","0"
"num.vertices(n)","490","490","0"
"Connectance(edge_density)","0.0212345060723676","0.0212345060723676","0"
"average.degree(Average K)","10.3836734693878","10.3836734693878","0"
"average.path.length","1","2.8903771788309","0.00317817515362902"
"diameter","1","5.01","0.1"
"edge.connectivity","0","2.26","0.824131008512554"
"mean.clustering.coefficient(Average.CC)","1","0.0212243044959969","0.00159374049803455"
"no.clusters","60","1.02","0.14070529413629"
"centralization.degree","0.0503401360544218","0.0223033262384708","0.00365697625132997"
"centralization.betweenness","0","0.0106620787080669","0.00228219011594394"
"centralization.closeness","0","NaN",NA
"RM(relative.modularity)","2.94051553117905","-0.00418323331830899","0.0452231510223185"
"the.number.of.keystone.nodes","Not.calculated","0","0"
