"","KO","Means","SD"
"num.edges(L)","2644","2644","0"
"num.pos.edges","1680","0","0"
"num.neg.edges","964","0","0"
"num.vertices(n)","485","485","0"
"Connectance(edge_density)","0.0225270512055892","0.0225270512055892","0"
"average.degree(Average K)","10.9030927835052","10.9030927835052","0"
"average.path.length","1","2.83615259435972","0.00282247773186337"
"diameter","1","4.98","0.14070529413629"
"edge.connectivity","0","2.65","0.657128740672771"
"mean.clustering.coefficient(Average.CC)","1","0.0227725557982444","0.00175386451502371"
"no.clusters","56","1","0"
"centralization.degree","0.0249936099514356","0.0235886512737497","0.00393861452642438"
"centralization.betweenness","0","0.0105592674584168","0.0023191688162577"
"centralization.closeness","0","0.0843372435250191","0.00973936646056601"
"RM(relative.modularity)","3.11544724882495","0.0066475997654596","0.0439933823284572"
"the.number.of.keystone.nodes","Not.calculated","0","0"
