"","HMAT","LMAT","MD","NC"
"num.edges(L)","913","1114","1203","2420"
"num.pos.edges","906","1088","1171","2375"
"num.neg.edges","7","26","32","45"
"num.vertices(n)","375","383","374","440"
"Connectance(edge_density)","0.0130196078431373","0.0152283570051809","0.0172470645582142","0.0250569476082005"
"average.degree(Average K)","4.86933333333333","5.81723237597911","6.4331550802139","11"
"average.path.length","7.00259960369222","5.93725895937396","7.32855859925796","4.73162701239264"
"diameter","17.6536443988337","15.2573346016263","20.1369172172021","12.7032671158611"
"edge.connectivity","0","0","0","0"
"mean.clustering.coefficient(Average.CC)","0.56667435180694","0.542321857519931","0.577445968514505","0.600783119243851"
"no.clusters","39","25","27","13"
"centralization.degree","0.0377825311942959","0.0449810670785887","0.055138994423019","0.0683371298405467"
"centralization.betweenness","0.0738615981792654","0.196052722024024","0.147201584532315","0.177026048640402"
"centralization.closeness","1.29600354616251","1.41375828510653","1.37496030489422","1.52899816002926"
"RM(relative.modularity)","1.28000406228187","1.38070080953669","1.60901997212147","2.21729785607295"
"the.number.of.keystone.nodes","Not.calculated","Not.calculated","Not.calculated","Not.calculated"
