"","KO","Means","SD"
"num.edges(L)","358","358","0"
"num.pos.edges","212","0","0"
"num.neg.edges","146","0","0"
"num.vertices(n)","145","145","0"
"Connectance(edge_density)","0.0342911877394636","0.0342911877394636","0"
"average.degree(Average K)","4.93793103448276","4.93793103448276","0"
"average.path.length","3.90543493774516","3.26507087951036","0.0293902916131311"
"diameter","10.8335781715274","6.64","0.627967701672175"
"edge.connectivity","0","0.42","0.516006420757171"
"mean.clustering.coefficient(Average.CC)","0.444219896015836","0.0333580371030754","0.00908536276151309"
"no.clusters","10","1.85","0.857233039988826"
"centralization.degree","0.083764367816092","0.0447365900383142","0.00769511751179858"
"centralization.betweenness","0.11044876911372","0.0524205842727433","0.00964476481861634"
"centralization.closeness","1.35227288453618","NaN",NA
"RM(relative.modularity)","0.553725859439765","0.00174470087825562","0.0658960863945372"
"the.number.of.keystone.nodes","Not.calculated","0","0"
