"","KO","Means","SD"
"num.edges(L)","146","146","0"
"num.pos.edges","113","0","0"
"num.neg.edges","33","0","0"
"num.vertices(n)","144","144","0"
"Connectance(edge_density)","0.0141802641802642","0.0141802641802642","0"
"average.degree(Average K)","2.02777777777778","2.02777777777778","0"
"average.path.length","2.28037490552727","6.04066143063603","0.406623415582095"
"diameter","6.65055843841036","14.47","1.90403611713474"
"edge.connectivity","0","0","0"
"mean.clustering.coefficient(Average.CC)","0.514852607709751","0.0123097709557501","0.0130354294314047"
"no.clusters","32","22.9","3.1446603773522"
"centralization.degree","0.0347707847707848","0.0317637917637918","0.00581732528836879"
"centralization.betweenness","0.00997328289754174","0.146844501421961","0.0330170875627657"
"centralization.closeness","0.760790928120302","NaN",NA
"RM(relative.modularity)","0.454478027072131","0.00453269418731924","0.0532125851248039"
"the.number.of.keystone.nodes","Not.calculated","0","0"
