OTU	Group
ASV_1	HDC
ASV_1	MDC
ASV_1	NCC
ASV_15	HDC
ASV_15	MDC
ASV_2	HDC
ASV_2	MDC
ASV_12	HDC
ASV_12	MDC
ASV_20	MDC
ASV_20	NCC
ASV_9	MDC
ASV_9	NCC
ASV_22	NCC
ASV_58	MDC
ASV_58	NCC
ASV_27	HDC
ASV_27	MDC
ASV_24	NCC
ASV_10	HDC
ASV_10	MDC
ASV_10	NCC
ASV_21	HDC
ASV_42	MDC
ASV_39	HDC
ASV_39	MDC
ASV_25	HDC
ASV_25	MDC
ASV_13	HDC
ASV_13	MDC
ASV_13	NCC
ASV_29	HDC
ASV_29	MDC
ASV_76	HDC
ASV_76	NCC
ASV_16	HDC
ASV_16	MDC
ASV_26	HDC
ASV_26	NCC
ASV_89	MDC
ASV_89	NCC
ASV_48	MDC
ASV_201	HDC
ASV_201	MDC
ASV_34	NCC
ASV_60	NCC
ASV_126	MDC
ASV_417	MDC
ASV_417	NCC
ASV_28	HDC
ASV_28	MDC
ASV_38	HDC
ASV_38	MDC
ASV_117	HDC
ASV_117	MDC
ASV_37	HDC
ASV_37	MDC
ASV_35	HDC
ASV_35	MDC
ASV_46	HDC
ASV_46	MDC
ASV_97	HDC
ASV_97	MDC
ASV_52	HDC
ASV_52	MDC
ASV_59	HDC
ASV_59	MDC
ASV_84	HDC
ASV_55	HDC
ASV_55	MDC
ASV_392	NCC
ASV_136	MDC
ASV_136	NCC
ASV_8	HDC
ASV_4	NCC
ASV_32	NCC
ASV_1253	HDC
ASV_1253	MDC
ASV_1365	HDC
ASV_1365	MDC
ASV_23	NCC
ASV_31	NCC
ASV_73	NCC
ASV_122	NCC
ASV_85	HDC
ASV_61	NCC
ASV_74	MDC
ASV_102	HDC
ASV_102	MDC
ASV_63	NCC
ASV_19	MDC
ASV_220	NCC
ASV_3	NCC
ASV_120	NCC
ASV_96	HDC
ASV_87	HDC
ASV_130	MDC
ASV_5	HDC
ASV_49	HDC
ASV_300	HDC
ASV_41	HDC
ASV_206	HDC
ASV_56	NCC
ASV_135	MDC
ASV_94	NCC
ASV_198	HDC
ASV_51	HDC
ASV_121	NCC
ASV_71	HDC
ASV_347	MDC
ASV_64	HDC
ASV_248	MDC
ASV_114	MDC
ASV_99	MDC
ASV_7	MDC
ASV_203	HDC
ASV_1314	MDC
ASV_356	MDC
ASV_86	MDC
ASV_17	NCC
ASV_213	NCC
ASV_112	HDC
ASV_1412	HDC
ASV_185	MDC
ASV_249	HDC
ASV_128	NCC
ASV_1027	MDC
ASV_222	NCC
ASV_342	NCC
ASV_43	MDC
