Class	HMAT	HMAT	HMAT	HMAT	HMAT	HMAT	HMAT	HMAT	HMAT	HMAT	HMAT	HMAT	LMAT	LMAT	LMAT	LMAT	LMAT	LMAT	LMAT	LMAT	LMAT	LMAT	LMAT	MD	MD	MD	MD	MD	MD	MD	MD	MD	MD	MD	MD	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
k__Bacteria	52.309689602266	59.868586046045	63.3256847141532	46.4398976982097	46.808722741433	45.0683697265211	41.0450102570291	39.5704633204633	59.8717558799676	55.9280699593546	44.6196577367619	55.2299837339599	47.218853798703	46.4914082289313	63.1700983120015	58.4426536731634	57.8513435386974	52.0209768752266	54.3671541816254	48.2444303692892	59.9560337845655	46.9557082009996	48.7958757824966	59.4436704064921	58.9465638246126	50.4194630872483	69.3938662158899	73.1012730555619	52.2008352133634	47.8382904450787	49.6749466330293	49.9431804444015	53.7203597710548	47.6937059759146	60.2586028192371	64.0946478354031	65.4046256444213	44.9627169039931	49.0363140044669	41.7896587177871	36.9186176142698	31.8740722068174	42.538223812622	44.8690941919952	35.1838531790144	48.4199588895665	48.9815761262497
k__Bacteria|p__Bacteroidetes	0.873362445414847	5.02833926869639	5.37274813259776	3.41432225063939	2.12834890965732	2.875238499046	3.03125377096657	2.71476833976834	5.24381589618816	2.81561768690725	5.77905205626736	2.32016988975239	9.3188168924975	1.79822459551357	1.91522908551289	0.988568215892054	2.98871377221426	5.66264051995872	2.08418668529986	8.13207391292375	2.42276987157237	4.11157889553635	4.38198109733644	4.08692038815966	4.6719014198689	9.07767469403869	8.05361023907269	3.93115900623957	6.38890222243556	1.33971743283723	1.84116048903551	0.860755820982132	1.10033874547366	2.26716150369865	2.71558872305141	1.90539824436099	2.28444402402686	1.98843178703338	1.08638707364822	3.97333421777056	0.682274247491639	2.44797355964485	3.90370852309694	1.38178352893971	0.520935504261209	1.57891170292065	1.96205529655207
k__Bacteria|p__Firmicutes	51.2947008143515	49.5887044189196	33.4033100620026	42.8644501278772	44.4809968847352	42.0897816408734	37.8834318812598	36.6843629343629	53.9715125709651	52.9375538859465	38.043186094436	40.8932767034159	31.3887277903728	44.2436274845394	53.7840845854201	56.9644865067466	37.3802880627404	46.1156517615554	52.0757535599836	39.7846501252995	43.272012032859	42.5683826969003	44.0824843500675	46.386057539537	44.2290320339101	29.4142321358073	34.0714803187636	29.9522318469591	45.163922622762	46.3311083331368	47.6300213467883	48.9204284436277	47.3799789744189	45.2245701734454	47.1807628524046	43.6075847291662	43.5321382963629	31.8311691328486	41.3599139713789	30.8347981824815	34.5039018952062	19.0628238523373	26.854261548471	38.888052964189	34.211730857255	45.9872151069549	34.9405400014958
k__Bacteria|p__Proteobacteria	0.0165230732916322	0.0426342980388223	0.0805546062588488	0.0255754475703325	0.032398753894081	0.0238499046003816	0.0217207674671172	0.0386100386100386	0.0152068126520681	0.0344870057888903	0.0627183944091031	0.0180733779143322	0.0553593082722623	0.0136920654480728	0.00927471712112781	0.0234257871064468	0.0276500012568182	0.0446316494183938	0.0554176806495916	0.0440613554374466	0.0370241814184889	0.00984809316296132	0.0171842395973978	0.0342206252597101	0.0138975748731846	0.037011448874852	0.0603718908476213	0.0342833634265079	0.0432006912110594	0.00235865745217822	0.00970308558121483	0.0145071205783505	0.0116808784020558	0.0252467873463102	0.0388681592039801	0.0575997050895099	0.0709454665846852	2.19749587679156	4.20768191468828	6.56031309077642	1.64548494983278	9.32694731535165	3.8711776187378	0.0752332229912729	0.0980840907604786	0.0700232657947641	0.117174839819501
k__Bacteria|p__Verrucomicrobia	0.125103269208073	5.20890806039023	24.469071913294	0.135549872122762	0.166978193146417	0.079499682001272	0.108603837335586	0.132722007722008	0.641220600162206	0.14041138071191	0.734701191649494	11.9984637628773	6.4559498075605	0.435864083430319	7.46150992394732	0.466173163418291	17.454691702486	0.198052944294123	0.15179625569236	0.283644975628563	14.2242276987157	0.265898515399956	0.314226095495274	8.93647185353572	10.0317327959604	11.8905448085274	27.208403767206	39.1835988389368	0.604809676954831	0.165106021652475	0.194061711624297	0.14748905921323	5.22836117276019	0.176727511424171	10.3233830845771	18.5240651567864	19.5170978574469	8.94562010731957	2.38233104475143	0.421213226758648	0.0869565217391304	1.03632747948352	7.9090761223162	4.52402447587521	0.353102726737723	0.78380881389623	11.9618059883822
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.873362445414847	5.02833926869639	5.37274813259776	3.41432225063939	2.12834890965732	2.875238499046	3.03125377096657	2.71476833976834	5.24381589618816	2.81561768690725	5.77905205626736	2.32016988975239	9.3188168924975	1.79822459551357	1.91522908551289	0.988568215892054	2.98871377221426	5.66264051995872	2.08418668529986	8.13207391292375	2.42276987157237	4.11157889553635	4.38198109733644	4.08692038815966	4.6719014198689	9.07767469403869	8.05361023907269	3.93115900623957	6.38890222243556	1.33971743283723	1.84116048903551	0.860755820982132	1.10033874547366	2.26716150369865	2.71558872305141	1.90539824436099	2.28444402402686	1.98843178703338	1.08638707364822	3.97333421777056	0.682274247491639	2.44797355964485	3.90370852309694	1.38178352893971	0.520935504261209	1.57891170292065	1.96205529655207
k__Bacteria|p__Firmicutes|c__Clostridia	50.6644635902278	36.7959071073883	27.9963872479617	42.5856777493606	35.0704049844237	34.3041127835489	34.9438880173766	33.3011583011583	44.0059813463098	49.8706737282917	24.3586297524117	35.6723296584132	20.8124637528339	38.2487848291915	45.6455203116305	44.1576086956522	36.4653243847875	28.6367820580769	47.1652651615546	34.6046870266847	39.851903274326	28.3403500997119	34.8324536639254	40.4610007088558	42.0031037917217	28.496348203711	31.4875633904854	23.3606838388225	34.5005520088321	45.2343326178739	46.3540655928585	47.8057980125245	46.982829108749	42.2706960539271	41.7573590381426	43.4186576964726	43.2199782433902	31.1040906873563	38.842473874321	30.6755994826042	34.4481605351171	18.5222530319581	25.8498698763826	38.6147055873207	33.9109396455895	45.2056651080843	34.7286280571414
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.630237224123687	12.7927973115313	5.40692281404091	0.278772378516624	9.41059190031153	7.78566885732457	2.93954386388319	3.38320463320463	9.96553122465531	3.06688015765488	13.6845563420243	5.22094704500271	10.5762640375389	5.99484265534789	8.13856427378965	12.8068778110945	0.914963677952894	17.4788697034785	4.91048839842903	5.17996309861482	3.42010875853292	14.2280325971884	9.25003068614214	5.92505683068124	2.2259282421884	0.917883932096328	2.58391692827819	6.59154800813659	10.6633706139298	1.09677571526287	1.27595575392975	1.11463043110327	0.397149865669898	2.95387411951829	5.42340381426202	0.188927032693593	0.312160052972615	0.727078445492346	2.51744009705793	0.159198699877284	0.0557413600891862	0.54057082037924	1.00439167208848	0.273347376868292	0.300791211665468	0.781549998870593	0.211911944354416
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.0165230732916322	0.0426342980388223	0.0805546062588488	0.0255754475703325	0.032398753894081	0.0238499046003816	0.0217207674671172	0.0386100386100386	0.0152068126520681	0.0344870057888903	0.0627183944091031	0.0180733779143322	0.0553593082722623	0.0136920654480728	0.00927471712112781	0.0234257871064468	0.0276500012568182	0.0446316494183938	0.0554176806495916	0.0440613554374466	0.0370241814184889	0.00984809316296132	0.0171842395973978	0.0342206252597101	0.0138975748731846	0.037011448874852	0.0603718908476213	0.0342833634265079	0.0432006912110594	0.00235865745217822	0.00970308558121483	0.0145071205783505	0.0116808784020558	0.0252467873463102	0.0388681592039801	0.0575997050895099	0.0709454665846852	2.19749587679156	4.20768191468828	6.56031309077642	1.64548494983278	9.32694731535165	3.8711776187378	0.0752332229912729	0.0980840907604786	0.0700232657947641	0.117174839819501
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.125103269208073	5.20890806039023	24.469071913294	0.135549872122762	0.166978193146417	0.079499682001272	0.108603837335586	0.132722007722008	0.641220600162206	0.14041138071191	0.734701191649494	11.9984637628773	6.4559498075605	0.435864083430319	7.46150992394732	0.466173163418291	17.454691702486	0.198052944294123	0.15179625569236	0.283644975628563	14.2242276987157	0.265898515399956	0.314226095495274	8.93647185353572	10.0317327959604	11.8905448085274	27.208403767206	39.1835988389368	0.604809676954831	0.165106021652475	0.194061711624297	0.14748905921323	5.22836117276019	0.176727511424171	10.3233830845771	18.5240651567864	19.5170978574469	8.94562010731957	2.38233104475143	0.421213226758648	0.0869565217391304	1.03632747948352	7.9090761223162	4.52402447587521	0.353102726737723	0.78380881389623	11.9618059883822
