PathwayL2	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
 sorting and degradation	1322184.3200000005	1007138.7799999998	977741.4600000001	1174929.1000000003	1174594.9300000006	1036301.9900000003	1233638.4600000007	1198375.8500000003	1112951.0400000007	1204003.7900000003	845290.6900000004	1172861.5800000005	1017507.6399999997	1249917.0900000003	1194298.0000000002	1153200.4800000002	1042131.1100000006	823941.21	1194197.5299999998	936480.41	1204002.4400000002	1067291.5000000002	1032327.6000000003	1096574.3799999997	1216158.6700000002	1078656.78	978780.2900000003	885406.4700000003	1044097.0500000002	1287947.7300000007	1271730.0700000003	1288269.9600000007	1299016.8400000008	1156363.5100000002	1022618.75	1135069.3900000004	1104114.9800000002	1145324.57	1039820.7199999997	864971.0299999997	1402134.97	1051711.6499999997	658918.8300000003	1176036.1100000006	1469533.9000000001	1323209.77	1088076.490000001
Aging	252745.2700000001	190619.68000000005	194658.68000000002	221506.27000000005	218885.41000000003	187072.45000000004	229482.04999999996	222185.82000000007	216141.30000000008	232178.93000000002	157773.62000000005	215093.06000000008	205747.53999999992	226382.73000000007	216402.0	210667.31	197508.87000000005	160161.94999999995	235520.77000000005	175235.19999999998	232410.49000000005	210347.43	192411.88	207860.32	242989.66000000003	218312.91000000003	202243.55000000005	185081.05000000005	189755.92	241710.51	237698.57	246366.29000000012	246892.52000000008	217712.19	201659.48000000007	202627.46	185609.84000000003	198855.99000000002	169209.69999999998	156299.67999999996	253402.63999999996	183767.71	116738.5	213651.38	273034.50000000006	249261.07999999996	192311.9500000001
Amino acid metabolism	6382749.549999998	4816708.310000012	4730842.689999997	5658107.629999995	5741175.599999999	4841577.099999998	5977295.050000005	5800936.079999998	5348534.600000002	5743184.759999994	4128059.189999992	5659577.650000009	4780799.120000003	6011584.389999996	5655372.600000019	5401245.470000003	4990146.949999998	3970771.0899999985	5817895.099999991	4424060.209999998	5878268.599999997	5138801.349999984	4891785.780000006	5355295.170000007	5826036.710000016	5180118.780000011	4658710.279999998	4208309.240000003	5011921.610000007	6172521.449999987	6122357.449999995	6305702.800000004	6320867.120000009	5641016.489999994	4928977.2600000035	5269558.83	5017860.39	5259594.029999998	4737020.769999998	4114788.039999993	6744577.539999988	4928149.860000012	3033937.159999999	5528357.510000001	7051250.550000027	6280335.879999998	5064683.429999994
Biosynthesis of other secondary metabolites	1453423.250000001	1126456.1099999994	1145786.810000001	1269782.6900000009	1351212.5300000005	1060512.9000000004	1360015.4099999997	1314125.3800000001	1232163.9300000009	1348095.6500000004	915583.7600000004	1292976.12	1155003.6099999992	1389442.0300000005	1322684.8600000003	1212423.9199999997	1162560.7400000002	923235.9700000001	1354267.9400000009	998748.6200000003	1428574.9100000006	1216764.2200000004	1126821.4199999997	1257420.1099999999	1384748.0899999996	1236109.21	1125852.23	975434.9000000003	1164031.5699999996	1440820.6200000006	1407388.1800000002	1436080.5100000005	1468780.2900000003	1309020.0900000003	1156520.6500000001	1209775.4299999995	1132539.9700000007	1212126.11	1043621.26	960072.0299999998	1546447.9200000002	1124374.1599999997	698191.2300000001	1272074.43	1630916.9200000004	1462926.0	1150170.7599999995
Cancer: overview	503372.3500000002	372373.58	334311.16	439115.94999999995	415701.1600000001	363971.4	442447.3	427036.4700000002	419958.1300000002	454536.27999999985	297542.47000000003	402627.4200000001	351427.3699999998	436753.56000000006	407294.7900000002	394362.92000000016	360124.77	301431.4799999999	434026.4600000001	335210.23999999993	414321.61000000016	375086.4800000001	364486.2600000001	386479.87	441277.32999999996	389971.39	336446.73000000004	322147.16000000015	375147.71	473634.34000000014	470715.59	490898.66000000003	476654.75	424265.6399999999	379102.11000000016	386555.3	362483.6800000001	375873.35000000003	323510.67	286241.5399999999	489480.61000000004	339577.08	210006.64000000004	409461.79	541131.03	478619.85	365845.3600000001
Cancer: specific types	42766.20000000002	34146.03999999999	33036.18000000001	40391.72000000001	37894.24000000001	35008.38	39442.56	39293.610000000015	36690.49000000001	38139.18	29690.210000000003	37237.41000000002	33419.53999999999	39721.32000000002	37960.09000000001	39865.659999999996	32925.220000000016	29623.019999999993	39129.22	32645.469999999998	37176.09000000001	35496.340000000004	34024.94	36138.16	38641.49999999999	36189.63000000001	32149.520000000008	29721.61000000001	33916.9	40237.750000000015	40602.32000000002	42495.140000000014	40698.07	36995.270000000004	34001.84	36284.409999999996	34817.33	35133.68	34101.24	27341.79999999999	41396.15	31468.639999999985	20728.54	35803.23	44070.28000000001	40711.52	34077.58000000001
Carbohydrate metabolism	9715637.549999995	7538030.6200000215	7452736.100000005	8376497.039999977	9165041.440000007	6987734.690000003	9106794.85999999	8820892.829999998	8245196.32999999	8980083.339999992	6215906.420000011	8459324.120000005	7642426.170000008	9398839.710000005	8770048.070000025	8129836.500000006	7610360.679999984	6128242.239999993	9056809.909999995	6528882.449999987	9643501.189999975	8162322.439999988	7450960.83	8396515.029999988	9127476.550000021	8092842.700000029	7238856.979999983	6224097.270000004	7730400.009999984	9621905.770000027	9396419.169999992	9689437.640000021	9906409.589999989	8797100.12999999	7734797.799999987	7696794.149999991	7167297.900000005	7742441.329999995	6637172.120000006	6271182.02999997	10098868.269999992	7178449.130000023	4460698.58	8153842.799999991	10740820.589999968	9522494.559999993	7354817.660000004
Cardiovascular disease	134204.38000000006	103775.73999999999	103110.57000000002	123664.30000000003	123655.70000000004	113697.23000000003	133143.08000000002	127380.81000000006	111684.85000000002	119810.47999999998	94387.51000000001	127282.84000000005	105558.54999999996	133835.59	128124.32000000005	124995.29000000002	109822.20000000004	89878.35999999997	125856.31000000003	100784.77	125790.84000000005	114042.42000000003	112486.11000000002	116454.41999999998	122272.67000000001	114206.61000000003	99938.20000000006	90626.22000000003	111538.57	132347.67000000007	130111.19000000005	132548.33000000005	133022.65000000005	120049.4	104179.30000000002	122045.20000000001	120689.60000000003	123099.54000000002	114525.89	92512.54999999996	149690.53	113765.53999999998	71780.12000000001	124384.45	150840.26000000007	135618.34	118161.36000000004
Cell growth and death	747955.6600000001	561033.0	519337.7000000002	659944.7499999999	642079.9700000003	546883.1300000001	678019.36	651827.8700000002	637438.9800000002	682737.58	462382.41000000015	624400.8500000002	570099.5599999998	669907.5200000003	621501.9800000001	621916.7400000002	547841.7799999999	465019.7299999999	656612.22	518225.94000000006	636509.4000000001	590582.2700000003	565686.6500000003	597801.9199999999	684499.5900000003	609505.9700000001	530827.1700000003	457740.34000000014	578057.45	726409.0000000001	717792.7899999999	737404.2800000004	723050.5900000002	650108.1800000002	569122.8200000001	594618.3599999999	568187.1500000004	594805.8400000001	517464.69	460336.87999999995	760320.13	551749.7999999999	338723.17999999993	631877.86	804898.3500000003	733140.1899999998	570279.0800000003
Cell motility	2063576.1999999993	1286486.0600000008	863118.5500000007	1706437.7200000018	1595085.65	1252740.5100000012	1578412.6900000002	1619299.910000001	1605348.8299999998	1849500.2999999993	876488.6500000007	1177858.070000001	1100432.8600000003	1491620.540000002	1415187.0300000005	1258324.3799999992	1153725.1699999995	908132.2599999998	1700917.8999999994	1071788.7400000005	1498710.7700000014	1283858.1500000004	1112758.9799999997	1305186.7600000002	1731011.1199999999	1173505.65	938463.0000000005	838191.2599999997	1237812.8900000006	1888960.5899999999	1905606.430000001	2014083.100000001	1839535.4699999997	1679657.2600000005	1409608.0300000003	1332260.7300000004	1234614.01	1334590.2000000011	1186838.2099999995	1064505.0899999999	1875252.0400000005	1291106.5000000002	725909.6099999995	1690402.8800000006	2328404.960000002	1952460.209999999	1325060.5799999998
