PathwayL2	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
Cellular community - eukaryotes	14.0	16.0	33.0	8.0	32.0	16.0	6.0	0.0	2.0	3.0	13.0	0.0	4.0	1.0	8.0	2.0	3.0	3.0	10.0	8.0	6.0	7.0	4.0	0.0	1.0	2.0	5.0	7.0	6.0	3.0	6.0	2.0	2.0	1.0	6.0	2.0	4.0	4.0	2.0	0.0	1.0	2.0	7.0	2.0	6.0	6.0	2.0
Cellular community - prokaryotes	2276080.6800000006	1683413.6599999997	1640491.2099999995	1917721.8600000045	2117741.9300000006	1617246.7200000016	2095158.630000002	2080426.3000000021	1870453.8099999973	2030696.9499999974	1412480.42	1929196.0800000008	1653694.4599999993	2166619.770000003	2047910.629999999	1887678.3399999996	1724153.290000001	1301723.8200000012	2084043.7900000021	1448138.640000003	2219844.4100000034	1840216.7800000017	1652865.669999997	1909996.6600000006	2100871.8199999966	1740920.4799999993	1575781.7100000011	1334856.7400000005	1706249.3200000026	2240573.4700000025	2196104.8500000015	2251152.6000000015	2321192.879999999	2016104.8499999999	1781322.0100000023	1736034.930000002	1614264.3099999987	1801084.7900000007	1579803.969999998	1468332.27	2406234.3499999996	1750094.4499999995	1047599.0700000009	1912046.5500000026	2533207.6499999976	2215053.9900000007	1695909.059999997
Circulatory system	277.65999999999997	355.8	822.1	389.06000000000006	247.3	504.7	246.86	291.0	179.1	188.5	452.6	226.7	161.8	254.86	252.45999999999998	399.5	219.24000000000004	294.3	429.06000000000006	377.36	122.4	225.54000000000002	279.1	300.65999999999997	226.25999999999996	223.3	544.54	265.0	106.4	151.06	184.7	204.5	147.34	189.0	463.9	293.9	227.1	275.65999999999997	265.76	236.5	122.66	188.0	368.2	172.86	78.5	167.56	306.6
Development and regeneration	2692.49	3889.04	3328.409999999999	3086.49	4432.16	5127.16	3804.91	3475.73	3456.2799999999993	2734.56	4529.24	2895.38	6058.32	4074.32	4467.1399999999985	6792.24	2421.3299999999995	5976.84	4093.62	4332.6100000000015	3546.1899999999987	6311.209999999999	5724.27	3367.660000000001	2115.87	5170.06	2476.0599999999995	2616.53	4010.63	2860.05	2852.9999999999995	2350.4899999999993	2779.5	2899.15	2747.2599999999993	2595.330000000001	2507.13	3607.369999999999	4838.62	3839.35	2457.24	5079.24	3062.0399999999995	1705.13	1533.7299999999998	2427.73	2704.76
Digestive system	81247.07000000004	64734.780000000006	50826.4	72912.0	67038.03000000003	65060.07	75430.31999999999	73105.52000000002	79463.28000000001	72652.7	62639.320000000014	66412.54000000002	68404.81	69483.40000000002	63639.649999999994	70977.04000000001	55619.900000000016	59961.31	69384.20000000001	63816.05000000001	58288.600000000006	67301.53	66178.99	65517.24999999999	71658.36000000002	73640.56	57231.70000000001	46004.32	68519.89000000001	72552.58000000002	76584.39000000001	82498.63000000002	75539.44000000002	70140.86	59340.759999999995	59997.69	59448.63000000001	63049.920000000006	60381.56	48592.39	78174.49999999999	58807.09	38516.24	63152.41000000002	81852.85	74660.63	58531.0
Drug resistance: antimicrobial	990534.3800000004	771295.1499999998	822068.6700000007	863138.7999999996	958531.5600000006	705817.8600000005	932757.8100000005	904582.2400000008	828950.760000001	931523.490000001	624140.32	875149.17	812201.7600000005	972768.7400000007	933583.3699999996	814127.6900000011	823405.3100000005	622960.0099999998	958964.14	673655.0700000002	1050969.099999999	854067.7600000005	759214.6300000013	875504.8099999994	965448.1000000004	831354.5099999999	799918.3900000004	707610.5600000008	786541.5799999993	982681.8599999992	952519.3100000004	972296.2600000006	1019640.4500000008	898628.8199999996	817162.7999999997	840517.3500000002	781481.4400000003	791944.529999999	678889.9799999997	633255.9700000001	1012140.5899999993	694129.6400000006	457394.0000000004	835400.5199999999	1103340.2300000002	980136.9899999991	772019.5300000006
Drug resistance: antineoplastic	231012.69000000018	170175.21	154643.47000000006	202704.90000000005	192055.5400000001	167752.82000000004	208705.1	198028.7300000001	195537.72000000003	210158.49	142738.65000000002	191336.0000000001	166033.52999999994	203153.0600000001	193170.7200000001	186997.40000000002	169245.22000000003	136206.42999999996	205850.05000000005	155586.87000000002	191578.30000000005	178674.03000000003	169805.78000000006	182588.95999999996	204753.56000000006	175641.31000000006	159706.27000000008	145431.71000000008	175558.52000000002	215147.31000000006	215813.5300000001	227018.9000000001	215856.73	196994.09000000003	168142.49000000005	172008.09000000003	157077.88000000006	172444.02000000002	148235.94000000003	134924.95999999996	227614.01000000004	157413.1	97696.82999999999	191728.18000000005	252036.90000000008	222149.53999999998	166887.62000000002
Endocrine and metabolic disease	196450.30000000013	151672.38	140281.22000000006	176776.53000000003	172539.9400000001	155429.33000000002	181647.28000000003	178128.64000000007	169324.81000000006	177904.45	128513.04000000004	170941.94000000012	151183.63999999993	183238.3800000001	173447.06000000008	172497.34000000008	150393.82	128188.38999999994	176515.04000000004	141508.80000000005	171998.71000000008	159556.67000000004	155215.80000000005	160339.06999999998	177492.93	160824.96999999997	141526.79000000007	132308.35000000003	156482.52000000005	187229.59000000005	187254.35000000006	189889.44000000006	188311.50000000006	170312.56000000006	149679.58000000005	165161.88000000003	161058.48000000004	162841.53000000003	146155.49000000002	119521.03999999995	197996.97	142639.83	91769.28000000001	170301.84000000005	213174.05000000008	192276.05	158173.84000000005
Endocrine system	727151.1000000006	544187.7000000001	513589.7	637370.45	631641.52	537963.69	666921.0800000001	640775.2600000005	614059.6600000001	661313.1199999999	453727.96	616807.2800000001	540281.4499999998	660010.8000000004	614305.3400000003	599798.7100000001	549851.7700000003	445783.26999999984	630596.2000000001	492761.04000000015	635407.3799999999	562310.4499999998	543643.9500000002	588745.3499999999	662094.5699999998	579007.9500000001	521847.2900000001	470271.26000000024	569556.41	709257.4400000002	701670.9800000002	727345.9600000003	714238.8200000002	638739.0900000001	559725.2300000001	614719.6599999999	607751.2100000002	589607.1000000001	515792.52999999997	438774.86	736116.4200000003	504859.26999999984	328496.9	622319.0100000001	776909.92	705198.4899999999	579809.02
Energy metabolism	3443005.520000006	2706121.38	2736567.509999997	3077304.500000005	3200563.1799999992	2691208.37	3301254.780000002	3216601.09	2957420.5399999972	3135231.1499999953	2323255.719999999	3161718.510000001	2774882.810000001	3387633.849999998	3217290.230000005	3033636.360000004	2813418.770000001	2219303.260000002	3206494.4400000046	2486915.4400000013	3359935.270000003	2906343.789999996	2754757.0500000007	3005864.6000000015	3240932.639999997	2950657.1900000004	2694026.609999997	2372530.8800000027	2803310.559999999	3370875.2700000065	3323592.7500000005	3379422.180000005	3461575.0299999965	3094843.4700000035	2720536.2900000005	2995368.630000005	2883703.8100000015	3014571.2300000037	2748414.889999997	2358105.3299999987	3678500.5300000054	2848395.270000002	1768272.5100000019	3019492.4600000014	3820732.9199999976	3412638.06	2854369.539999998
Environmental adaptation	227549.22000000006	166115.46000000002	139563.78000000006	199549.81000000003	191363.0100000001	163286.31	200613.81000000003	195228.74000000008	192499.40000000008	208751.62999999998	133733.23000000004	167913.79000000004	162245.69999999998	191478.12000000002	175311.76000000004	172364.54000000007	154949.54000000004	137408.3	191430.76000000004	150128.55000000005	184382.57000000007	169315.58000000005	158901.35000000003	171940.09	204569.69000000003	171793.28000000006	146257.9500000001	121362.20000000004	172413.11	221915.41000000003	218283.67000000007	229066.44	218356.73999999993	202264.63	174171.47000000003	170221.33	164111.83000000007	172070.05000000008	154295.41999999998	136748.57	222182.65000000002	160899.95999999996	98360.33000000002	188978.72	240034.16000000006	214949.27000000002	164754.06000000003
Excretory system	6624.41	6623.53	12484.07	7576.140000000001	7311.27	11206.850000000002	8747.95	8534.4	5591.67	5035.23	7422.360000000001	9578.59	8118.029999999999	7231.48	8886.599999999999	7324.719999999999	10912.32	7077.700000000001	6205.280000000001	8336.95	10295.0	6457.1900000000005	7354.74	8551.210000000001	7176.39	11075.689999999999	11750.28	15708.630000000001	6270.590000000001	5365.94	6660.169999999999	6390.79	8792.01	6877.12	8302.01	19653.42	22693.61	11466.08	13580.8	6462.77	6078.24	5402.45	6940.74	6216.07	4642.38	5594.060000000001	13517.39
Folding	1322184.3200000005	1007138.7799999998	977741.4600000001	1174929.1000000003	1174594.9300000006	1036301.9900000003	1233638.4600000007	1198375.8500000003	1112951.0400000007	1204003.7900000003	845290.6900000004	1172861.5800000005	1017507.6399999997	1249917.0900000003	1194298.0000000002	1153200.4800000002	1042131.1100000006	823941.21	1194197.5299999998	936480.41	1204002.4400000002	1067291.5000000002	1032327.6000000003	1096574.3799999997	1216158.6700000002	1078656.78	978780.2900000003	885406.4700000003	1044097.0500000002	1287947.7300000007	1271730.0700000003	1288269.9600000007	1299016.8400000008	1156363.5100000002	1022618.75	1135069.3900000004	1104114.9800000002	1145324.57	1039820.7199999997	864971.0299999997	1402134.97	1051711.6499999997	658918.8300000003	1176036.1100000006	1469533.9000000001	1323209.77	1088076.490000001
Glycan biosynthesis and metabolism	1836533.7799999996	1469047.95	1567059.84	1621161.7500000019	1641935.120000001	1323967.89	1672114.6500000006	1590146.24	1604918.6099999999	1738787.57	1136018.7000000002	1606886.7500000007	1545500.91	1653005.830000001	1619180.3899999992	1462021.3000000003	1528029.3399999994	1195785.1999999995	1675910.57	1302571.0300000007	1805510.46	1509380.209999999	1399252.5800000005	1594785.0900000015	1811836.8300000008	1660027.9499999988	1606208.8500000008	1502147.9900000007	1476992.3399999996	1784186.1900000002	1761982.5300000003	1815570.2100000002	1841809.2300000002	1633105.8300000005	1512964.1700000006	1562240.710000001	1432343.540000001	1445286.14	1192367.33	1136006.6799999992	1794210.6899999992	1287720.7000000002	837592.8999999998	1517351.3700000008	1991144.9700000004	1793066.0999999992	1408814.1799999995
Immune disease	40817.770000000026	32269.730000000003	29187.270000000004	36446.36	39032.68000000002	26741.09	38780.1	35319.70000000001	34357.23000000002	39436.39000000001	25989.270000000004	35720.080000000016	33281.49	38183.79000000001	35685.00000000001	33304.95000000001	28185.46	26765.10999999999	38964.18000000001	27460.959999999995	39567.44000000001	36981.57	32795.58000000001	35485.94	37450.6	32932.74000000001	29335.560000000012	21434.490000000005	33297.49000000001	41999.24000000001	40196.84000000002	39167.80000000001	40702.76	36654.030000000006	31055.84000000001	32747.95	30284.56000000001	32770.270000000004	27638.97	27012.81	44816.15000000001	28524.91	19209.82	36836.390000000014	45182.320000000014	42229.189999999995	32055.33000000001
Immune system	292503.79000000004	210892.04	180254.63000000003	260562.70000000007	244708.1200000001	220951.47000000003	262820.63	254767.80000000008	241937.21000000002	264323.11999999994	174234.81	230969.49000000008	204849.75999999995	255528.1400000001	241188.02000000008	234766.07	206709.9100000001	169131.27999999994	252977.74000000002	193930.08999999997	241009.8300000001	220672.11000000004	209539.95000000004	220359.32999999996	259761.00999999998	216700.1700000001	186865.8000000001	170521.23000000004	216336.04999999996	280726.67000000004	276887.93000000005	286552.55000000005	277524.38000000006	252155.50000000006	218774.64000000004	230401.55000000005	224022.57	233141.84999999998	209332.62	176197.89999999997	300558.27999999997	220482.99999999994	131614.77000000002	257684.36	327483.01	285532.09	225985.16000000012
Infectious disease: bacterial	713399.4800000003	517509.3100000003	435155.47000000026	631735.9199999998	593141.8200000005	525471.92	623745.1700000003	615351.5100000004	595404.6000000001	650891.2599999998	411887.6100000002	539169.7500000003	498393.39	608645.1700000003	568156.7700000004	553112.4700000003	489273.2500000003	411982.2199999998	612850.8300000001	469684.98000000004	580020.6100000003	528969.6599999996	497966.0800000001	528388.0999999995	633456.01	526118.7200000006	453056.58000000013	412412.0800000002	519475.54000000015	679066.6000000002	671233.1900000004	696604.5599999998	670955.1399999999	614166.17	536162.6300000007	542199.6499999998	517537.5000000001	558148.4100000001	498055.54000000004	431308.9799999999	711189.0399999997	533498.6600000005	318084.0399999999	613597.0399999998	785643.42	687809.1099999998	529822.2900000002
Infectious disease: parasitic	15439.580000000002	12634.130000000001	17810.849999999995	15140.890000000003	20690.7	14853.009999999998	21794.089999999993	19431.34	12339.379999999997	14193.920000000004	17528.420000000002	23265.260000000006	17355.210000000003	23308.04	19292.520000000004	24147.079999999998	17069.260000000002	14276.650000000001	19573.920000000002	14139.06	20852.129999999997	19101.609999999997	20489.3	18667.39	15396.909999999998	18924.62	15194.48	10344.730000000001	16566.539999999997	17917.27999999999	17277.16	18773.6	20330.6	18395.829999999998	13678.939999999999	9818.76	7434.499999999999	18187.659999999996	13922.7	15860.119999999997	25062.62	18834.18	10978.369999999999	15583.260000000002	17099.690000000002	16285.330000000002	13529.41
Infectious disease: viral	47062.02000000002	35902.05	35047.88000000001	44063.179999999986	41326.87000000001	36609.320000000014	41989.08	41567.580000000016	39644.87000000002	40582.49	30361.449999999997	38104.69000000002	35419.66	41190.68000000002	39078.340000000026	41332.970000000016	34268.48	32432.909999999993	40803.62000000002	32842.64	38134.95000000002	36823.79000000001	36598.000000000015	36977.869999999995	40549.13	41094.53999999999	33002.90000000001	29969.66	34128.46	43676.14000000002	44267.14	47743.320000000014	43409.65	39923.52	35914.350000000006	37810.08000000001	34937.23	37662.01	32613.85	28440.97	42003.71	32025.0	22131.31	36396.01	43914.7	41261.91	35161.4
Lipid metabolism	1774133.1500000001	1348120.779999999	1308456.0499999998	1562165.9600000014	1599178.8800000006	1312744.470000001	1678179.5000000016	1587457.210000001	1495407.5000000002	1621141.8499999999	1159172.16	1565678.900000001	1382315.3199999998	1680874.0300000007	1562885.8100000008	1514791.6400000008	1365701.2000000014	1126413.44	1632068.0099999993	1232506.010000001	1635096.5	1477105.8100000008	1401457.9799999997	1489150.8999999997	1634831.4699999993	1482624.9499999995	1297758.5200000012	1136080.9100000004	1418101.2600000012	1744147.1900000004	1708136.9500000011	1764687.4200000004	1767549.460000001	1572916.7799999998	1374097.9100000008	1401522.7699999996	1311986.5400000003	1431229.43	1200701.1899999988	1126775.8999999994	1876324.8800000022	1310358.0799999994	815196.6900000002	1543554.2400000014	1949224.7100000018	1755854.5800000008	1378142.7399999995
Membrane transport	4309090.639999999	3220232.5800000024	3350480.1399999973	3473273.7100000037	4376442.700000004	2766841.630000001	3944094.9499999974	3942512.3499999987	3517626.8099999987	4040141.539999994	2490835.8200000008	3617894.310000004	3326283.7999999984	4358548.2	4079927.170000008	3551759.889999996	3407168.7200000025	2490637.9099999988	4315495.820000006	2581880.810000006	4768639.47	3769085.209999994	3163933.549999997	3784352.3700000034	4102813.0699999966	3287251.9099999997	3095401.1299999994	2413892.379999998	3214714.9500000044	4314202.0400000075	4147256.1600000006	4202951.660000012	4471385.049999995	3928373.610000008	3423363.270000007	2907467.1099999985	2432904.9199999967	3099014.690000004	2581317.8299999996	2760343.6499999906	4445042.570000006	3049091.0400000038	1817639.6499999978	3474167.629999995	4955168.130000004	4233968.009999998	2865102.0199999977
Metabolism of cofactors and vitamins	3378549.5199999977	2652033.860000002	2752971.0799999973	3086800.9200000037	3181367.970000002	2633270.949999997	3278163.919999999	3174515.1399999983	2829305.1	3052659.2599999974	2281640.589999998	3228134.589999997	2758326.8199999984	3342334.9399999985	3232061.2500000023	3015449.950000001	2824915.000000004	2210401.65	3142662.3400000017	2488028.979999999	3334126.2300000037	2863478.1199999982	2743469.979999998	3014900.4600000046	3255540.4999999977	2982242.1799999997	2733996.1599999997	2432181.100000003	2819066.8000000007	3392410.300000002	3332033.469999999	3322770.280000002	3437795.439999999	3050843.100000003	2721744.2700000014	3078314.7599999993	3017723.0200000023	3147820.04	2751683.4500000007	2382874.319999998	3754704.160000005	2907944.9200000023	1818253.8400000008	3145389.1599999983	3765086.8599999985	3426695.2399999993	2963772.9799999986
Metabolism of other amino acids	1046520.1900000004	817905.4799999992	803342.2600000007	937469.8899999998	971407.0900000005	809437.3400000007	1000112.2400000001	959251.1300000004	895131.8700000003	961125.77	701016.8200000001	933405.0300000004	849248.8099999997	1006492.6500000007	951951.11	915285.5000000001	821639.4200000003	692589.1599999998	979086.1499999999	760203.7300000004	990716.7400000002	896677.2300000006	841824.8300000005	903933.9100000001	974898.65	897714.05	789004.6600000007	690166.4500000005	853343.6600000001	1022454.3500000002	1012474.7400000006	1031453.7000000003	1043354.5100000005	940428.2100000002	820544.5900000004	848349.7899999999	793067.4900000003	874416.0500000002	757439.5999999997	693699.2200000001	1104436.1799999997	812012.3799999998	507704.29999999993	912979.1000000003	1154907.2600000005	1035892.1699999993	824019.9700000004
Metabolism of terpenoids and polyketides	908058.7200000002	693499.4199999996	630519.4000000005	792046.4099999996	781150.7000000005	671734.2500000005	825361.0300000001	789371.3700000003	781416.4800000006	827426.6700000007	573549.7600000005	770243.5600000004	677544.5699999995	817070.3100000004	778697.3399999999	751060.8500000002	672821.6899999997	561744.8899999997	805823.7600000004	620158.0100000001	781188.3399999997	719784.2199999999	683874.2000000001	733765.3800000004	825018.8000000004	722652.92	643009.0200000007	592521.55	708685.6699999996	864737.0600000004	858655.7700000004	900001.6100000001	875690.6500000005	777833.8199999998	689655.8599999996	754460.9399999997	724751.4400000009	738114.5599999999	649304.6500000001	562318.9199999998	931694.9699999997	672141.1499999994	417507.94000000006	786144.6500000004	1005817.5600000008	899894.6799999991	714096.520000001
Nervous system	213543.2800000001	159354.26000000004	150618.46000000002	183158.52000000002	183213.88000000012	152129.6	188867.99999999994	182144.88	178690.42000000004	193951.94999999995	125389.88	176192.71	151852.24999999997	190998.29000000007	174873.3700000001	169060.96999999997	160431.10999999993	134565.38999999998	186919.39000000013	144938.56999999998	182328.93999999997	163954.01000000007	160010.38999999998	169510.76000000004	189001.49000000005	170239.82000000004	144991.18	135145.11	164466.36000000004	202940.68000000008	202320.19	209378.72	206819.57	182352.74	160976.60000000006	161697.84999999998	149908.70999999996	159317.5199999999	133756.96	126303.38	216402.27000000002	150099.95999999996	88176.97000000003	174956.98999999996	236319.58000000002	207953.23000000004	154994.53999999998
Neurodegenerative disease	215297.52000000002	157413.31000000006	146605.06999999995	190335.78000000003	173155.99000000008	162523.84999999995	192317.6199999999	183453.95000000004	186901.93999999992	192294.24999999994	137789.20999999996	176239.25000000006	161703.37000000008	187376.17999999996	168675.47000000015	179117.21000000002	157940.0	136162.0199999999	191595.82000000004	151660.18999999997	165772.42000000016	166339.84	164137.3599999999	160996.77999999997	190684.57999999996	170136.9100000001	154760.85	133557.96	162859.61000000007	202090.84000000008	193972.61999999997	214318.83000000007	195016.3800000001	177073.51000000007	158571.9500000001	157608.89000000004	143827.59999999995	175412.4999999999	144286.49999999997	134067.14	221592.4699999999	165014.23999999996	102187.58000000002	190057.20999999996	233221.89	207989.25999999995	161662.54999999996
Not included in regular maps	37878.100000000035	26343.360000000008	21550.780000000006	32983.05000000002	32429.320000000014	29346.59	34889.87	33319.390000000014	30155.410000000003	33535.8	23118.989999999998	30655.65000000001	25153.93999999999	34681.020000000004	32351.760000000013	33264.77	26317.70000000001	21850.83	33752.98000000002	24856.380000000012	30641.990000000016	29724.549999999996	28331.710000000003	28909.409999999993	31736.20000000001	26031.180000000004	21232.63000000001	18746.83000000001	28198.77000000001	36095.31000000002	36218.460000000014	37244.44000000002	35656.42	32575.720000000016	26734.000000000007	29459.219999999998	28622.67000000001	29295.440000000013	28214.360000000004	23282.079999999994	39179.09000000002	28394.250000000015	16576.06	32573.060000000005	42198.20000000002	37337.009999999995	28891.900000000016
