PathwayL1	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
Brite Hierarchies	41750081.039999865	30680554.149999827	28430124.569999915	35985163.09000046	36905334.400000244	30040134.090000164	37799894.73999992	36756856.530000016	34700775.82999982	38165358.41000098	25066595.279999897	34287642.8900002	30436215.78999993	38154393.98999992	35850492.16999993	33992945.30000019	30884054.10000005	24603563.29999992	37762202.10999997	27408239.210000068	37503766.85000057	32991010.62000023	30600223.769999895	33441524.99000016	37779433.22999939	31826986.469999835	28444845.580000184	24907388.309999704	31479103.45000021	40296087.98999994	39740362.06000018	41054822.09999987	40684731.93000043	36434177.22000004	31610455.400000203	31845966.069999836	29749876.98999947	32111824.92000013	28267416.29999976	25336466.06000016	42332542.07000035	29802167.44999988	18237090.009999957	34991741.889999725	46223607.940000005	40741094.360000096	30736659.539999794
Cellular Processes	5242372.78	3680241.1300000027	3230986.9899999984	4431910.5699999975	4517077.970000005	3534555.640000002	4509446.349999992	4498574.889999994	4255070.649999995	4716842.739999999	2866439.600000003	3902866.8099999954	3501007.7800000063	4484027.219999999	4244413.160000005	3895861.689999998	3598220.180000007	2802631.739999998	4591292.930000005	3169004.749999998	4561581.890000003	3862777.73999999	3469230.0299999965	3986154.8000000017	4706012.019999996	3724954.480000005	3257111.8800000004	2837535.1300000055	3673783.9300000034	5022804.5699999975	4978884.929999991	5160487.780000007	5061561.579999994	4502750.470000009	3922645.860000006	3830461.8100000024	3572226.2399999937	3877283.870000005	3385861.8600000045	3106423.560000002	5197010.250000005	3704681.76	2200436.2500000014	4371592.169999999	5817830.370000005	5052040.089999998	3735719.6899999883
Environmental Information Processing	7045031.129999997	5186495.150000013	5158497.060000017	5782195.069999994	6778825.809999994	4615472.01	6354328.679999982	6319522.089999993	5760033.780000004	6531833.099999978	4047385.8099999875	5749259.189999989	5200734.780000001	6784187.089999978	6348117.290000033	5589127.509999992	5381594.0599999875	4010616.07999999	6788798.859999989	4273532.160000003	7244700.829999964	5833188.849999992	5039739.540000002	5929744.739999997	6572436.910000036	5296076.420000015	4880838.20999999	4010865.500000004	5199105.419999991	6922576.499999987	6729836.149999985	6924623.119999996	7146954.5300000245	6305735.149999987	5500847.059999996	4940325.339999988	4300489.980000008	5154050.360000006	4407271.799999998	4437745.029999983	7199121.5999999875	5022998.580000018	2990914.999999994	5753573.039999992	8027326.4900000375	6880451.370000001	4833787.7700000005
Genetic Information Processing	7620651.000000009	5775881.619999997	5426684.780000008	6762064.520000005	6707165.530000004	5952015.179999997	7085881.1599999955	6854437.900000006	6488972.000000006	6948236.530000009	4894081.550000001	6597432.089999996	5861165.17	7107264.4100000085	6768467.810000007	6607672.34	5851733.279999997	4722176.68999999	6868544.020000003	5353338.389999999	6760702.09000001	6175861.69	5887966.83	6215487.239999992	6946887.77000001	6089026.510000001	5507676.960000005	5001743.059999997	5971803.220000003	7328673.230000008	7275705.520000004	7429161.05999999	7388521.199999996	6632426.65999999	5814250.540000003	6364131.080000006	6146213.160000003	6347006.610000004	5731348.589999999	4784446.179999996	7862608.939999999	5769854.750000009	3624975.029999996	6615723.169999995	8406386.060000012	7558710.760000009	6069275.190000001
Human Diseases	3130508.1699999985	2359357.6099999994	2251488.8999999953	2763662.3500000075	2767980.210000008	2308115.190000002	2856881.8999999943	2769644.750000002	2630851.809999999	2869551.1999999983	1940700.4599999965	2617143.259999999	2366136.989999999	2868292.49999999	2704534.9600000074	2563961.0000000014	2372738.5200000047	1930029.6300000004	2844277.100000006	2135273.550000001	2836330.190000002	2505293.170000003	2347343.1699999943	2538126.310000005	2867543.5299999965	2497765.9399999967	2255171.8700000015	2035647.6300000018	2405641.150000003	3016127.920000006	2964061.2799999937	3071833.5300000026	3044665.3100000042	2733570.4700000044	2427729.4400000037	2502854.370000009	2351738.789999997	2483700.0199999968	2162104.1099999957	1930578.3300000005	3163037.870000001	2257032.2099999967	1422033.5500000033	2659608.929999997	3429751.249999996	3045201.1200000015	2387637.3199999956
Metabolism	33043339.30999989	25584299.429999836	25536697.329999942	29136684.000000253	30565680.609999962	24739537.130000077	31200435.729999937	30158939.14000003	28042529.219999947	30256827.750000425	21541640.419999912	29457801.920000054	26125885.389999926	31751005.520000044	30007887.18999964	28194553.169999957	26267511.62000015	21040762.500000034	30581908.47000017	23062077.339999963	31899622.250000153	27572993.610000156	25782372.39999987	28463758.490000095	30998576.419999916	27835268.44999993	25168476.420000166	22169880.800000023	26513626.97000015	32472682.45000004	31936860.189999968	32712791.609999966	33266159.24000028	29627132.75999998	26133873.520000152	27371777.039999854	25906967.909999754	27476320.129999977	24029172.7599999	21691456.920000117	34800374.15000004	25499369.009999886	15882905.820000019	28518686.87999996	36507341.38000015	32648140.730000056	26163259.469999906
Not Included in Pathway or Brite	7873526.229999984	5853638.000000009	5638581.240000017	6808914.71999996	7146993.1299999915	5749486.22	7311986.209999986	7100052.619999978	6538001.739999984	7183513.32999998	4905003.679999996	6678285.519999997	5909855.739999995	7456454.149999974	6947352.340000053	6597372.14999999	5994084.54999999	4771270.969999995	7286523.08999999	5280941.469999986	7367535.879999994	6432707.799999983	5977741.349999993	6488646.449999964	7187431.46000002	6251341.910000042	5496126.479999976	4742994.530000008	6039732.950000004	7678168.350000001	7528770.949999969	7758887.739999967	7837247.48000002	6963544.549999972	6059596.219999993	5932506.530000001	5475993.200000023	6129869.72999999	5366549.540000014	4974907.229999976	8159698.739999951	5854261.870000022	3527265.4799999953	6554064.539999986	8722498.88000001	7673671.210000005	5777492.520000012
Organismal Systems	1804334.2900000007	1346772.2900000003	1246146.2300000004	1586111.4400000002	1548840.700000001	1343302.3000000003	1636935.6099999999	1580509.1500000004	1532018.3200000015	1641129.7400000002	1119903.0199999998	1486089.54	1347719.6600000006	1605442.1400000001	1499326.3399999994	1472151.1000000008	1338623.9900000002	1120360.34	1577557.0200000003	1233856.4200000004	1547791.3999999994	1406895.0500000012	1344044.6200000008	1436152.63	1639593.2999999998	1446163.74	1274208.3499999999	1146975.3299999998	1391435.36	1737480.3400000003	1723143.6000000006	1790154.3700000003	1751090.3200000005	1573330.2799999996	1386161.3500000003	1462208.190000001	1416280.6300000008	1431391.5399999998	1261453.97	1093455.4000000006	1815494.9000000004	1289586.68	812274.69	1528836.93	1941888.6300000001	1745744.1399999997	1392914.480000001
