BHD	CMD	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Desulfovibrio	-0.000333333333333333	0.000116666666666667	1.19047619047618e-05	0.0661307858807859
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Muribaculum	-0.00075	0.000633333333333333	2.38095238095234e-06	0.0439893939393939
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Rikenella	0	0	0	0.0295222222222222
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Limosilactobacillus	-0.001	0.000333333333333333	0	0.0154611111111111
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas	-1.11022302462516e-19	-0.000283333333333333	-7.14285714285717e-06	0.0757022366522367
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Faecalimonas	0	-5e-04	-8.33333333333333e-06	0.0473203463203463
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Ileibacterium	0.000333333333333333	-0.000333333333333333	-1.66666666666667e-05	0.0314404761904762
Bacteria|Unassigned|Unassigned|Unassigned|Unassigned|Unassigned	-5e-04	0.000166666666666667	-3.33333333333333e-05	0.0279444444444444
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Eisenbergiella	0	-0.000166666666666667	-6.66666666666667e-05	0.0482979797979798
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcus	-0.000166666666666667	8.33333333333333e-05	-7.61904761904761e-05	0.0358908369408369
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Intestinimonas	0.000166666666666667	-0.000383333333333333	-8.33333333333333e-05	0.057625468975469
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Unassigned	0	-0.000333333333333333	-0.000142857142857143	0.0217565157065157
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus	0	-2e-04	-0.000142857142857143	0.0128186868686869
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Flintibacter	5e-04	0	-0.00015	0.0840448995448995
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Unassigned|Unassigned	-0.000916666666666667	0.00025	-0.000238095238095238	0.0469777777777778
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Ligilactobacillus	-0.001	0.000333333333333333	-0.00025	0.0361604617604618
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Adlercreutzia	-0.001	-6.66666666666667e-05	-0.000269444444444444	0.0432410533910534
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Phocaeicola	-0.00116666666666667	0.000666666666666667	-0.000276190476190476	0.0601362914862915
Bacteria|Firmicutes|Clostridia|Clostridiales|Unassigned|Unassigned	0.000166666666666667	-0.000916666666666667	-0.000292857142857143	0.045450777000777
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium	-0.001	0	-3e-04	0.00643461538461538
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Acutalibacter	-0.000533333333333333	0.000333333333333333	-0.000309523809523809	0.0717588522588523
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Pseudescherichia	-0.000666666666666667	-0.00025	-0.000366666666666667	0.0314316738816739
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Sporomusaceae|Unassigned	-0.000833333333333333	0	-4e-04	0.0232020202020202
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium	2e-04	-0.000166666666666667	-0.000426190476190476	0.0904098124098124
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Duncaniella	-0.000583333333333333	0	-0.00045	0.0133606060606061
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Unassigned	-5e-04	-0.000583333333333333	-5e-04	0.0358087301587302
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Acetivibrio	-8.33333333333333e-05	-0.000833333333333333	-0.000507142857142857	0.0197285714285714
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia	-0.00075	-0.000533333333333333	-0.000514285714285714	0.0364873015873016
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales_Incertae_Sedis_XI|Unassigned	0.00025	-0.000916666666666667	-0.000519047619047619	0.0348914141414141
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Clostridium_XlVa	-0.000966666666666667	-5e-04	-0.000583333333333333	0.0412373737373737
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Neglecta	5e-04	-0.00133333333333333	-0.000614285714285714	0.0725469696969697
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Schaedlerella	-7e-04	-0.000583333333333333	-0.000616666666666667	0.0392585858585859
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerocolumna	-0.000833333333333333	-0.001	-0.00065	0.113002364302364
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Paramuribaculum	-5e-04	-0.000916666666666667	-7e-04	0.0348206349206349
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Clostridioides	-0.00075	-5e-04	-7e-04	0.00788080808080808
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella	-0.001	-0.000916666666666667	-0.000733333333333333	0.0318334054834055
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella	-0.00133333333333333	-2e-04	-0.000752380952380952	0.0254982683982684
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae_2|Alkaliphilus	-0.00116666666666667	-0.00045	-0.000817857142857143	0.0827357864357865
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Unassigned	-0.000833333333333333	-0.000833333333333333	-0.000866666666666667	0.0293469696969697
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Sutterellaceae|Turicimonas	-0.00095	-0.001	-0.000869047619047619	0.0256471084471084
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptococcaceae_1|Unassigned	-0.00133333333333333	-0.000666666666666667	-0.000935714285714286	0.0492971361971362
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Enterocloster	-0.00125	-0.000416666666666667	-0.000952380952380952	0.0307978521478521
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellamassilia	-0.001	-0.000783333333333333	-0.000961904761904762	0.04273778998779
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Phocea	-0.00141666666666667	0.000133333333333333	-0.000985714285714286	0.05048663003663
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Unassigned	-0.001	-0.00141666666666667	-0.00101904761904762	0.015268253968254
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales_Incertae_Sedis_XIII|Aminipila	-0.00186666666666667	8.33333333333334e-05	-0.00105952380952381	0.0208237373737374
Bacteria|Actinobacteria|Unassigned|Unassigned|Unassigned|Unassigned	-5e-04	-0.00266666666666667	-0.0011	0.0208144522144522
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Mediterraneibacter	-0.00025	-0.0025	-0.00115833333333333	0.045947619047619
Bacteria|Firmicutes|Clostridia|Clostridiales|Heliobacteriaceae|Hydrogenispora	-0.003	-0.00111666666666667	-0.0014	0.0396613830613831
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Anaerotruncus	-0.0015	-0.00241666666666667	-0.0014	0.051565873015873
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Clostridium_IV	-0.0025	-0.00125	-0.00164285714285714	0.028396336996337
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales|Akkermansiaceae|Akkermansia	-0.00216666666666667	-0.00241666666666667	-0.00173809523809524	0.0358668831168831
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Blautia	-0.00158333333333333	-0.00253333333333333	-0.00181666666666667	0.0932823953823954
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Allobaculum	-0.0026	-0.00245	-0.00189880952380952	0.0587932900432901
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Stomatobaculum	-0.00133333333333333	-0.00236666666666667	-0.00198571428571429	0.0710746031746032
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lacrimispora	-0.00203333333333333	-0.00216666666666667	-0.00201904761904762	0.0174536796536797
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae_1|Clostridium_sensu_stricto	-0.0055	-0.00166666666666667	-0.00233571428571429	0.0310595238095238
Bacteria|Firmicutes|Clostridia|Clostridiales|Vallitaleaceae|Vallitalea	-0.00466666666666667	-0.00198333333333333	-0.00278095238095238	0.0546330447330447
