ANC	DHMAT	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerocolumna	0.015	0.0178333333333333	0.0141	0.230833333333333
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Bilophila	0.01275	0.0126666666666667	0.0118380952380952	0.174083333333333
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Extibacter	0.0149166666666667	0.01075	0.011	0.168111111111111
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Faecalicatena	0.00975	0.0134166666666667	0.0106666666666667	0.142166666666667
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Flavonifractor	0.0131666666666667	0.00941666666666667	0.0103071428571429	0.125
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales_Incertae_Sedis_XIII|Ihubacter	0.0111666666666667	0.0132833333333333	0.0102	0.158666666666667
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerobutyricum	0.0110833333333333	0.0106666666666667	0.0098	0.1685
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Clostridium_IV	0.0108333333333333	0.0108333333333333	0.00976666666666667	0.1308
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Butyricicoccus	0.0106666666666667	0.009	0.00926666666666667	0.1445
Bacteria|Proteobacteria|Deltaproteobacteria|Bdellovibrionales|Bdellovibrionaceae|Vampirovibrio	0.00983333333333333	0.00983333333333333	0.0087	0.118833333333333
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Flintibacter	0.00916666666666667	0.00933333333333333	0.00868333333333333	0.15202380952381
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Amedibacillus	0.00875	0.0105	0.00866666666666667	0.132666666666667
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfomicrobiaceae|Desulfomicrobium	0.00795	0.0103333333333333	0.00836666666666667	0.116333333333333
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Unassigned	0.00908333333333333	0.0100833333333333	0.00833333333333333	0.139
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Phocaeicola	0.00916666666666667	0.00975	0.00823333333333333	0.1215
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides	0.00825	0.00933333333333333	0.00815238095238096	0.107333333333333
Bacteria|Firmicutes|Clostridia|Clostridiales|Vallitaleaceae|Vallitalea	0.00983333333333333	0.00825	0.00803333333333334	0.107166666666667
Bacteria|Firmicutes|Clostridia|Clostridiales|Defluviitaleaceae|Defluviitalea	0.0115	0.00633333333333333	0.00786666666666667	0.100333333333333
Bacteria|Candidatus_Saccharibacteria|Unassigned|Unassigned|Unassigned|Saccharibacteria_genera_incertae_sedis	0.0075	0.00933333333333333	0.00775238095238095	0.122666666666667
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Romboutsia	0.0065	0.0111666666666667	0.00773333333333333	0.118333333333333
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales_Incertae_Sedis_XIII|Bacilliculturomica	0.0116666666666667	0.00558333333333333	0.00740238095238095	0.152333333333333
Bacteria|Firmicutes|Clostridia|Clostridiales|Christensenellaceae|Christensenella	0.00891666666666667	0.00816666666666667	0.00733333333333333	0.133880952380952
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae_2|Alkaliphilus	0.0101666666666667	0.007	0.00726666666666667	0.120833333333333
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Harryflintia	0.00725	0.00741666666666667	0.0065	0.0975
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Muricomes	0.00775	0.00683333333333333	0.00648571428571429	0.1115
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Lawsonibacter	0.00833333333333333	0.0055	0.00626666666666667	0.12025
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Anaerotruncus	0.00575	0.00825	0.0061	0.126333333333333
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Clostridium_XlVb	0.00816666666666667	0.00533333333333333	0.00591904761904762	0.116333333333333
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerotaenia	0.006	0.00566666666666667	0.00553333333333333	0.0945
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Phocea	0.0055	0.00483333333333333	0.00476666666666667	0.078
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Sutterellaceae|Parasutterella	0.00383333333333333	0.00416666666666667	0.00323333333333333	0.0868333333333333
