X1	X2	elements	Kingdom	Phylum	Class	Order	Family	Genus	Species	mean
ASV_1	5.19250734677105	22.2713295367247	ASV_1	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unassigned	Unassigned	1337.04444444444
ASV_100	-21.044769573949	-6.62248991276418	ASV_100	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Acetatifactor	Unassigned	117.4
ASV_1000	-5.8791321413799	-3.84611291535367	ASV_1000	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unassigned	Unassigned	5.68888888888889
ASV_1003	7.07613412983289	13.0892135212795	ASV_1003	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Unassigned	6.93333333333333
ASV_1005	7.72319085489894	-11.1190609282515	ASV_1005	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Unassigned	8.22222222222222
ASV_101	12.2897647178444	-12.762381439096	ASV_101	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Unassigned	Unassigned	119.822222222222
ASV_1016	1.46012300275429	-2.4320773407427	ASV_1016	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium_XlVa	Unassigned	3.93333333333333
ASV_1018	-7.20402097775062	23.3136940326346	ASV_1018	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Kineothrix	Unassigned	6.73333333333333
ASV_102	-1.92427339044107	-12.9264016101774	ASV_102	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Sellimonas	Unassigned	135.822222222222
ASV_1022	6.14518561741449	22.182457975371	ASV_1022	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unassigned	Unassigned	18.5777777777778
ASV_1027	-24.9260420872351	0.614430450932448	ASV_1027	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Kineothrix	Unassigned	58.9333333333333
ASV_103	12.4610702376192	-13.3197044083651	ASV_103	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Paramuribaculum	Unassigned	116.155555555556
ASV_1031	-12.0810139277335	12.1052078867805	ASV_1031	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Clostridium_IV	Unassigned	14.7111111111111
ASV_1034	15.4020761010004	1.71312124246963	ASV_1034	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Unassigned	22
ASV_1035	-23.650251350483	-0.316538881800916	ASV_1035	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	Unassigned	59.8444444444444
ASV_104	3.13732493350515	-4.51368406245272	ASV_104	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Unassigned	Unassigned	114.133333333333
ASV_1041	-3.52150948611885	-22.2737247680428	ASV_1041	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Kineothrix	Unassigned	7.2
ASV_1046	-2.86030592713202	-16.6831740884192	ASV_1046	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lacrimispora	Unassigned	90.8
ASV_105	1.86363607668706	4.10602037367981	ASV_105	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Unassigned	91.3555555555556
ASV_1054	6.46292253817098	-9.40754807614569	ASV_1054	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Unassigned	55.2444444444444
ASV_1055	16.1563382287472	2.31553034037333	ASV_1055	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Unassigned	9.62222222222222
ASV_106	11.9249463906786	-13.125525083437	ASV_106	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Unassigned	111.177777777778
ASV_1063	0.202126347703566	-4.38183894275963	ASV_1063	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Duncaniella	Unassigned	8.77777777777778
ASV_107	12.7536960222775	16.9797126469317	ASV_107	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Kineothrix	Unassigned	115.977777777778
ASV_1071	4.58418352581876	-5.05128907472817	ASV_1071	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Unassigned	13.9111111111111
ASV_1077	8.52338061446964	-17.6730349600638	ASV_1077	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Kineothrix	Unassigned	19.6444444444444
ASV_108	16.1348500093405	3.3981540376993	ASV_108	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Unassigned	92.6666666666667
ASV_109	-12.6346484752053	-2.22821389189052	ASV_109	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Kineothrix	Unassigned	231.6
ASV_1090	15.9210349728329	3.11548464081499	ASV_1090	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Unassigned	16.9111111111111
ASV_1091	16.3476943720587	2.55520686406021	ASV_1091	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Unassigned	10.4
ASV_11	7.26542376036299	-10.9238653258259	ASV_11	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Unassigned	560.6
ASV_110	13.2641119999105	-16.3603181735147	ASV_110	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia	Unassigned	96.2222222222222
ASV_1105	-1.4343828597673	-1.59474143046336	ASV_1105	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Mediterraneibacter	Unassigned	10.1333333333333
ASV_111	-18.1445039456638	-13.3025950057106	ASV_111	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unassigned	Unassigned	115.088888888889
ASV_1111	14.7122295157973	-9.49825672101188	ASV_1111	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Duncaniella	Unassigned	9.28888888888889
ASV_1117	16.620517226812	2.92035522228922	ASV_1117	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Unassigned	12.3555555555556
ASV_1118	16.6075005523414	2.06163845277218	ASV_1118	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Unassigned	3.82222222222222
ASV_112	8.52789339859719	-16.9980949513282	ASV_112	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Kineothrix	Unassigned	110.111111111111
ASV_1128	16.2802228302261	1.76867458658263	ASV_1128	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Unassigned	4.33333333333333
ASV_113	1.1061213751819	17.0308533385747	ASV_113	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Unassigned	Unassigned	100.755555555556
ASV_1135	-10.196617509832	4.28303180874651	ASV_1135	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Faecalicatena	Unassigned	4.06666666666667
ASV_114	16.1327697565054	-7.09160987767829	ASV_114	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Paramuribaculum	Unassigned	103.488888888889
ASV_1141	-20.7546939809073	-6.95890922250542	ASV_1141	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unassigned	Unassigned	26.6666666666667
ASV_1147	7.75895967857042	20.1303597772247	ASV_1147	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unassigned	Unassigned	23.2444444444444
