ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	MD1	MD2	MD3	MD4	MD5	MD11	MD12	MD13	MD14	MD15
ASV_80	5.518	12.779	0.000678976652075109	0.00531309160636885	Enriched	1.174	0.01	5.514	0.016	0.026	0.014	0.302	0.01	0.014	0.009	0.005	0.014
ASV_14	3.366	12.594	0.000688734097121887	0.00531309160636885	Enriched	1.236	0.042	1.607	0.36	0.793	2.052	1.367	0.074	0.015	0.074	0.038	0.009
ASV_176	3.002	10.625	0.000894559317557545	0.00666292457215275	Enriched	0.336	0.031	0.018	0.279	0.671	0.381	0.33	0.06	0.045	0	0.048	0.002
ASV_51	4.043	11.888	0.00122539196286214	0.00882282213260743	Enriched	0.81	0.018	0.062	0.065	0.064	0.09	3.77	0.024	0.017	0.018	0.018	0.012
ASV_117	-3.514	11.348	0.00131800422673719	0.00918351332178174	Depleted	0.052	0.385	0.014	0.102	0.04	0.088	0.015	0.018	1.739	0.02	0.126	0.023
ASV_191	-2.73	9.475	0.00145062071055995	0.00979168979627964	Depleted	0.02	0.075	0.02	0.011	0.035	0.012	0.022	0.018	0.026	0.018	0.282	0.032
ASV_1505	2.145	10.454	0.00211352095704519	0.0138339553552049	Enriched	0.259	0.035	0.169	0.284	0.372	0.199	0.27	0.058	0.075	0.002	0.026	0.014
ASV_183	-2.473	8.686	0.00253411057891839	0.0160990554425404	Depleted	0.014	0.053	0.004	0.032	0.013	0.016	0.007	0.195	0.009	0.009	0.044	0.011
ASV_507	2.334	10.926	0.00262276462093689	0.016186204517782	Enriched	0.339	0.054	0.596	0.245	0.262	0.234	0.356	0.098	0.026	0.002	0.135	0.009
ASV_25	-2.78	11.411	0.00278234156102737	0.0165097836788432	Depleted	0.087	0.381	0.014	0.019	0.031	0.344	0.024	1.127	0.237	0.113	0.404	0.027
ASV_149	2.431	10.786	0.00282806479683889	0.0165097836788432	Enriched	0.346	0.045	0.087	0.182	0.744	0.262	0.453	0.042	0.108	0.002	0.069	0.004
ASV_101	1.981	11.134	0.00302982724603623	0.0172221759248375	Enriched	0.414	0.068	0.215	0.309	0.385	0.524	0.639	0.175	0.096	0.009	0.04	0.018
ASV_56	-2.68	10.707	0.00316639153188808	0.0175369377150724	Depleted	0.053	0.087	0.023	0.025	0.031	0.114	0.073	0.094	0.033	0.083	0.079	0.149
ASV_720	-2.518	9.597	0.00352132582976234	0.0190151594807166	Depleted	0.025	0.115	0.02	0.007	0.026	0.019	0.052	0.237	0.108	0	0.214	0.016
ASV_226	1.901	10.191	0.0040221443126091	0.0211898334517943	Enriched	0.207	0.026	0.149	0.198	0.251	0.325	0.112	0.038	0.027	0.014	0.04	0.012
ASV_216	3.027	9.252	0.00513839250043782	0.0258100309014315	Enriched	0.126	0.004	0.007	0.236	0.071	0.253	0.063	0.004	0.003	0.005	0	0.007
