ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	MD1	MD2	MD3	MD4	MD5	MD11	MD12	MD13	MD14	MD15
ASV_300	0.49	11.289	0.463914848946889	0.634212704889418	NotSig	0.344	0.18	0.173	0.243	0.328	0.571	0.403	0.359	0.331	0.016	0.183	0.012
ASV_37	-0.619	12.109	0.47068392345738	0.634681465310208	NotSig	0.406	0.522	0.315	0.582	0.495	0.406	0.235	1.314	1.019	0.022	0.251	0.005
ASV_22	0.606	11.817	0.471680529926983	0.634681465310208	NotSig	0.498	0.108	0.183	0.215	0.255	0.341	1.497	0.158	0.11	0.067	0.069	0.136
ASV_137	0.804	10.295	0.474244221498619	0.634681465310208	NotSig	0.193	0.091	0.016	0.069	0.387	0.483	0.009	0.193	0.012	0	0.249	0.002
ASV_197	-0.481	10.318	0.476011098982656	0.634681465310208	NotSig	0.116	0.085	0.153	0.132	0.152	0.105	0.035	0.08	0.122	0.022	0.155	0.046
ASV_154	0.48	10.59	0.492809723683974	0.653048468194714	NotSig	0.212	0.089	0.032	0.243	0.161	0.172	0.451	0.106	0.173	0.014	0.126	0.025
ASV_93	-0.483	11.227	0.497399168404457	0.653340513317706	NotSig	0.217	0.126	0.267	0.148	0.361	0.134	0.175	0.197	0.187	0.054	0.075	0.119
ASV_156	-0.712	7.068	0.501723177426112	0.653340513317706	NotSig	0.008	0.005	0.018	0.002	0.005	0.009	0.004	0.012	0.002	0	0.002	0.011
ASV_256	0.605	10.102	0.502104283383052	0.653340513317706	NotSig	0.157	0.071	0.002	0.229	0.112	0.063	0.377	0.08	0.142	0.005	0.124	0.005
ASV_20	-0.601	12.579	0.508508133711832	0.657711119052429	NotSig	0.498	0.741	1.117	0.249	0.52	0.432	0.17	2.409	0.328	0.014	0.894	0.058
ASV_182	0.385	9.309	0.529930180513378	0.6813388035172	NotSig	0.076	0.034	0.077	0.049	0.071	0.081	0.101	0.062	0.048	0.013	0.038	0.009
ASV_143	0.559	10.137	0.535207243581888	0.684051861619455	NotSig	0.157	0.08	0.028	0.099	0.324	0.216	0.119	0.09	0.226	0.002	0.084	0
ASV_133	0.377	10.172	0.554225593793044	0.704192519172338	NotSig	0.138	0.061	0.214	0.145	0.137	0.13	0.063	0.098	0.084	0.023	0.08	0.019
ASV_46	-0.526	12.524	0.564249359486997	0.712736033036206	NotSig	0.579	0.61	0.406	0.288	0.35	1.825	0.026	1.053	1.058	0.067	0.839	0.032
ASV_123	-0.444	9.68	0.574468984704376	0.721426166838053	NotSig	0.082	0.082	0.021	0.101	0.066	0.141	0.082	0.108	0.182	0.005	0.113	0
ASV_127	-0.412	10.958	0.588803033867226	0.735152920897808	NotSig	0.192	0.223	0.183	0.212	0.183	0.174	0.209	0.52	0.197	0.004	0.386	0.007
ASV_155	0.391	9.134	0.607451713288042	0.754077988909293	NotSig	0.067	0.022	0.039	0.032	0.125	0.044	0.097	0.02	0.033	0.004	0.027	0.025
ASV_50	-0.375	10.623	0.614292285422776	0.758212192293255	NotSig	0.151	0.08	0.185	0.258	0.191	0.028	0.091	0.096	0.077	0.045	0.117	0.066
ASV_5	0.34	9.88	0.621791127610588	0.759405271986492	NotSig	0.115	0.053	0.094	0.065	0.126	0.111	0.177	0.094	0.079	0.031	0.06	0.002
ASV_32	-0.429	12.593	0.624231802122546	0.759405271986492	NotSig	0.528	0.284	1.281	0.27	0.434	0.267	0.388	0.578	0.177	0.257	0.165	0.243
ASV_223	0.331	9.72	0.625806196359239	0.759405271986492	NotSig	0.096	0.051	0.171	0.069	0.077	0.084	0.078	0.09	0.062	0.004	0.082	0.019
ASV_1450	-0.499	11.487	0.63747020555144	0.765880969130844	NotSig	0.282	0.267	0.085	0.268	0.839	0.206	0.013	0.004	1.013	0.018	0.278	0.021
ASV_102	-0.408	11.592	0.63823414094237	0.765880969130844	NotSig	0.321	0.331	0.011	0.259	0.225	0.432	0.679	0.56	0.304	0.016	0.763	0.012
ASV_1610	-0.429	10.678	0.662470304185513	0.788078692081269	NotSig	0.164	0.158	0.077	0.273	0.357	0.097	0.019	0.088	0.573	0.013	0.115	0
ASV_1046	-0.409	10.614	0.664029268327736	0.788078692081269	NotSig	0.155	0.146	0.009	0.085	0.055	0.067	0.561	0.106	0.448	0.009	0.159	0.011
ASV_98	0.365	8.533	0.677513383954444	0.797838998396613	NotSig	0.038	0.012	0.085	0.025	0.031	0.032	0.017	0.024	0.002	0.011	0.011	0.012
ASV_1446	0.48	9.82	0.679640628263781	0.797838998396613	NotSig	0.089	0.068	0.384	0.016	0.027	0.019	0	0.229	0.072	0.007	0.026	0.004
ASV_74	0.359	12.366	0.689803580102044	0.805392288119144	NotSig	0.719	0.425	0.208	0.951	1.682	0.631	0.121	0.383	0.693	0.014	1.02	0.014
ASV_96	0.33	11.44	0.698885114857916	0.807728195977669	NotSig	0.373	0.255	0.089	0.42	0.456	0.478	0.421	0.756	0.074	0.009	0.433	0.002
ASV_1253	-0.368	11.624	0.69928320670289	0.807728195977669	NotSig	0.308	0.33	0.146	0.076	0.044	0.109	1.167	0.624	0.412	0.031	0.58	0.004
ASV_158	0.364	10.215	0.704885542876965	0.809868496071407	NotSig	0.133	0.103	0.272	0.06	0.033	0.06	0.24	0.285	0.026	0.005	0.197	0
ASV_333	0.272	11.253	0.715503325431008	0.817718086206866	NotSig	0.299	0.105	0.327	0.293	0.414	0.394	0.069	0.116	0.062	0.025	0.214	0.106
ASV_59	0.306	11.998	0.721247692115479	0.819944744720755	NotSig	0.526	0.34	0.52	0.706	0.473	0.905	0.026	0.885	0.497	0.032	0.272	0.011
ASV_210	-0.232	10.348	0.737026409391579	0.833495834704613	NotSig	0.133	0.115	0.135	0.12	0.257	0.114	0.039	0.179	0.185	0.011	0.188	0.012
ASV_314	-0.23	9.802	0.757099364221511	0.851736784749199	NotSig	0.097	0.066	0.021	0.122	0.152	0.105	0.082	0.02	0.199	0.011	0.088	0.012
ASV_619	0.194	9.675	0.76387676218862	0.854908707941668	NotSig	0.089	0.049	0.158	0.078	0.077	0.07	0.062	0.094	0.058	0.018	0.066	0.011
ASV_138	-0.251	11.235	0.770545814715198	0.857927298858159	NotSig	0.259	0.246	0.16	0.238	0.214	0.494	0.188	0.271	0.376	0.009	0.574	0
ASV_2	0.318	14.08	0.787910781711713	0.872762712049898	NotSig	2.172	1.513	0.838	0.231	0.048	0.696	9.048	3.049	1.969	0.072	2.461	0.014
ASV_1497	0.195	10.203	0.807260787388841	0.884379380340597	NotSig	0.142	0.099	0.119	0.189	0.271	0.107	0.024	0.191	0.06	0.002	0.234	0.009
ASV_179	0.192	10.313	0.811056637648096	0.884379380340597	NotSig	0.164	0.095	0.011	0.138	0.198	0.327	0.149	0.062	0.223	0.011	0.174	0.005
ASV_9	0.287	14.089	0.813446474046231	0.884379380340597	NotSig	2.458	1.438	0.139	6.761	4.188	1.186	0.017	1.214	4.054	0.056	1.858	0.007
ASV_203	0.221	10.571	0.817703950149906	0.884379380340597	NotSig	0.205	0.085	0.091	0.871	0.018	0.032	0.015	0.08	0.211	0.031	0.08	0.025
ASV_144	0.201	10.41	0.818869796611663	0.884379380340597	NotSig	0.162	0.103	0.052	0.063	0.066	0.028	0.602	0.164	0.177	0.004	0.154	0.018
ASV_29	-0.226	12.991	0.828021806367945	0.889814478484956	NotSig	0.926	0.746	0.027	1.122	1.083	1.07	1.327	0.104	2.697	0.045	0.867	0.016
ASV_1	0.21	14.983	0.862713080677649	0.922505076368179	NotSig	4.46	2.736	0.253	12.107	7.558	2.349	0.034	2.076	7.587	0.101	3.88	0.035
ASV_87	0.159	10.476	0.874236942661102	0.930222559678808	NotSig	0.178	0.08	0.043	0.018	0.392	0.42	0.019	0.118	0.005	0.007	0.214	0.055
ASV_27	-0.15	13.348	0.879475372093441	0.931209217510702	NotSig	1.232	0.945	0.053	2.002	1.662	1.188	1.257	0.59	3.296	0.058	0.753	0.027
ASV_180	-0.11	8.729	0.890427962104454	0.938207023485668	NotSig	0.047	0.032	0	0.072	0.055	0.046	0.06	0.068	0.036	0.002	0.049	0.007
ASV_55	-0.094	12.305	0.905884807444156	0.949859798096785	NotSig	0.588	0.488	0.23	0.85	0.449	0.617	0.794	0.734	0.501	0.034	1.161	0.011
ASV_201	-0.063	12.463	0.942172706398619	0.978901443783136	NotSig	0.672	0.449	0.066	0.741	0.707	0.719	1.128	0.227	1.48	0.081	0.435	0.021
ASV_135	-0.069	12.118	0.944757444613466	0.978901443783136	NotSig	0.553	0.41	0.027	1.386	0.854	0.455	0.043	0.247	0.782	0.009	0.991	0.019
ASV_208	-0.057	10.188	0.947177785882757	0.978901443783136	NotSig	0.122	0.123	0.187	0.138	0.147	0.084	0.052	0.507	0.045	0.004	0.055	0.004
ASV_417	0.059	12.615	0.955227289098593	0.982199182437103	NotSig	0.812	0.542	0.087	2.101	1.391	0.471	0.011	0.459	1.488	0.032	0.717	0.014
ASV_35	-0.055	12.67	0.959463090251059	0.982199182437103	NotSig	0.766	0.533	0.231	0.598	2.186	0.794	0.019	0.02	1.939	0.031	0.627	0.05
ASV_164	0.048	7.963	0.966850210282892	0.985092667080682	NotSig	0.027	0.015	0.002	0.004	0.009	0.123	0	0.014	0.051	0.002	0.002	0.004
ASV_95	0.021	10.78	0.976650756726008	0.990406401186938	NotSig	0.209	0.167	0.084	0.194	0.209	0.307	0.252	0.52	0.117	0.009	0.181	0.009
ASV_128	0.009	9.352	0.989319230874694	0.998151266395504	NotSig	0.077	0.037	0.007	0.159	0.077	0.081	0.063	0.034	0.055	0.011	0.066	0.018
ASV_83	-0.004	10.94	0.994786394395301	0.998151266395504	NotSig	0.234	0.181	0.082	0.215	0.225	0.39	0.257	0.55	0.12	0.011	0.207	0.018
ASV_12	-0.002	13.726	0.998151266395504	0.998151266395504	NotSig	1.678	1.152	0.055	2.3	1.796	1.822	2.42	0.528	4.208	0.083	0.911	0.03
