ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HD1	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	HD10	HD11	HD12	HD13	HD14	HD15	MD1	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	MD10	MD11	MD12	MD13	MD14	MD15
ASV_1	-1.978	16.885	0.0179896856685407	0.197476219450367	Depleted	0.965	3.801	0.073	0.087	2.553	0.605	0.096	0.075	1.376	4.007	0.088	0.089	0.684	0.974	2.031	0.413	1.32	0.253	12.107	7.558	2.349	0.034	0.076	4.242	0.108	7.94	8.673	2.076	7.587	0.101	3.88	0.035
ASV_2	0.851	17.182	0.134703396409266	0.388600117761508	NotSig	4.36	2.418	2.241	2.943	0.427	1.729	0.128	5.783	14.872	2.291	11.392	8.423	4.237	1.543	3.661	3.838	1.893	0.838	0.231	0.048	0.696	9.048	2.808	2.005	4.06	5.369	3.602	3.049	1.969	0.072	2.461	0.014
ASV_4	1.468	12.452	0.0202504487716077	0.197476219450367	Enriched	0.197	0.071	0.041	0.083	0.063	0.106	0.034	0.206	0.162	0.06	0.073	0.079	0.353	0.171	0.558	0.401	0.56	0.077	0.044	0.055	0.03	0.207	0.056	0.058	0.056	0.036	0.024	0.07	0.074	0.095	0.069	0.117
ASV_15	0.228	17.396	0.791411452687776	0.869548537335149	NotSig	2.384	2.035	2.817	0.061	0.727	3.787	0.055	3.854	0.046	3.184	0.166	0.122	9.33	4.743	4.202	1.43	1.242	3.45	0.496	0.731	0.476	0.03	0.655	3.027	17.252	1.205	0.735	1.994	0.245	0.115	0.062	0.055
ASV_3	0.35	17.321	0.813708951156007	0.875867273813757	NotSig	1.544	1.211	1.587	2.03	13.359	1.292	3.64	0.204	0.053	0.076	0.112	0.103	0.233	0.191	0.101	0.123	0.053	16.368	0.152	0.112	0.118	0.063	0.204	0.166	0.189	0.1	0.082	0.114	0.12	0.234	0.064	0.081
ASV_6	-0.291	15.373	0.519291007885774	0.718661662699062	NotSig	1.192	1.458	1.226	0.988	3.433	2.312	1.61	2.505	1.485	0.632	0.949	1.696	0.255	0.304	0.155	0.121	0.208	1.196	2.125	1.425	1.887	1.417	3.527	2.327	0.782	1.509	4.244	0.672	0.316	0.022	0.397	0.028
ASV_9	-1.98	16.045	0.0190877675662442	0.197476219450367	Depleted	0.523	2.064	0.057	0.043	1.399	0.3	0.043	0.027	0.789	2.265	0.041	0.055	0.368	0.481	1.007	0.286	0.689	0.139	6.761	4.188	1.186	0.017	0.064	2.403	0.068	4.248	4.701	1.214	4.054	0.056	1.858	0.007
ASV_8	2.475	17.856	0.195397722523508	0.432449655940677	NotSig	3.314	0.596	0.122	19.131	0.105	0.352	23.731	0.027	0.072	0.057	0.071	1.204	0	0.019	0.002	4.605	0.217	0.101	0.083	0.121	0.109	8.296	0.066	0.004	0.005	0.005	0.004	0.05	0.01	0.013	0.009	0.067
ASV_12	0.702	15.61	0.112454519447913	0.361878188483338	NotSig	2.182	1.341	1.349	1.204	0.063	0.998	0.537	2.902	2.127	0.042	2.123	1.541	3.782	3.299	4.589	3.166	5.002	0.055	2.3	1.796	1.822	2.42	0.068	2.555	1.609	1.396	0.339	0.528	4.208	0.083	0.911	0.03
ASV_7	-7.087	18.219	0.158739548705066	0.427719062803303	NotSig	0.025	3.444	0.005	0.079	0.042	0.013	0.004	0	0.025	0.028	0.041	0.013	0.017	0.014	0	0.071	0.028	0.002	0.018	0.011	0.012	0.034	0.018	0.012	0.014	0.009	0.002	0.313	0.655	18.771	1.28	30.508
