ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HD1	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	HD10	HD11	HD12	HD13	HD14	HD15	MD1	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	MD10	MD11	MD12	MD13	MD14	MD15
ASV_5	3.554	17.656	0.0641247432253281	0.248483379998146	NotSig	3.028	0.258	20.648	0.825	0.09	0.169	8.424	1.817	1.025	0.683	3.852	0.286	0.229	0.83	2.842	1.891	1.802	0.094	0.065	0.126	0.111	0.177	0.056	0.131	2.252	0.512	0.076	0.094	0.079	0.031	0.06	0.002
ASV_13	-0.472	15.848	0.297259927344039	0.529601019980759	NotSig	1.072	1.487	0.247	0.419	1.872	2.024	0.329	1.906	1.195	0.524	1.103	2.195	0.945	0.768	0.299	1.275	0.977	0.582	1.39	1.173	1.818	1.147	5.897	2.313	0.482	0.758	1.814	1.46	0.904	0.608	1.617	0.342
ASV_26	1.048	15.238	0.0466092702007726	0.235791041509287	NotSig	1.545	0.747	0.552	3.864	0.223	0.702	2.255	0.523	0.606	2.217	1.48	2.619	1.065	0.596	1.524	3.133	1.815	0.123	1.801	1.202	3.134	2.703	0.09	0.223	0.07	0.146	0.357	0.315	0.307	0.052	0.596	0.089
ASV_11	-0.213	15.261	0.700194783119471	0.822198419572106	NotSig	0.814	0.944	0.634	1.125	3.927	2.081	1.374	1.237	0.722	0.285	0.188	0.349	0.049	0.076	0.068	0.056	0.042	1.836	0.947	2.27	1.551	1.327	2.169	0.553	0.557	0.906	1.01	0.399	0.165	0.07	0.199	0.202
ASV_14	2.039	16.293	0.0146182593203091	0.197476219450367	Enriched	2.198	0.535	3.798	4.642	8.028	2.405	4.192	2.806	1.468	0.244	0.466	3.087	0.486	0.592	0.11	0.346	0.304	1.607	0.36	0.793	2.052	1.367	0.523	0.175	0.142	0.08	0.715	0.074	0.015	0.074	0.038	0.009
ASV_16	0.509	14.797	0.0689714731494373	0.256106945444233	NotSig	1.615	1.135	1.414	2.026	0.422	1.525	2.846	0.541	1.304	2.723	2.441	1.246	1.588	1.555	1.973	1.252	1.366	1.064	1.617	1.836	1.363	2.131	0.633	0.85	1.711	1.189	0.802	0.949	2.289	0.027	0.543	0.014
ASV_10	0.284	15.574	0.667745553693174	0.79615816017263	NotSig	1.034	0.849	0.226	0.397	1.616	0.856	0.292	4.879	0.302	0.048	0.17	0.55	0.731	3.073	0.255	1.624	0.49	2.822	0.166	0.757	1.209	0.17	1.522	3.025	0.509	0.175	0.742	1.28	0.209	0.005	0.128	0.023
ASV_22	-0.559	13.87	0.385225863684072	0.603131402737689	NotSig	0.206	0.304	0.301	0.809	0.221	0.387	0.56	0.122	0.084	0.027	0.071	0.055	0.109	0.179	0.085	0.054	0.026	0.183	0.215	0.255	0.341	1.497	0.2	0.398	0.198	0.082	0.646	0.158	0.11	0.067	0.069	0.136
ASV_27	0.456	15.099	0.313537015498084	0.531414266402126	NotSig	1.45	1.057	0.684	0.589	0.08	0.653	0.283	1.964	1.401	0.055	1.189	1.008	2.477	2.703	3.461	1.695	3.509	0.053	2.002	1.662	1.188	1.257	0.068	1.995	1.165	1.353	0.39	0.59	3.296	0.058	0.753	0.027
ASV_97	0.324	14.621	0.302206332165261	0.531414266402126	NotSig	1.115	0.89	1.711	1.508	0.914	1.7	0.778	1.824	1.508	0.657	1.157	0.618	0.611	0.929	0.478	1.286	1.039	2.52	0.9	1.737	1.658	1.158	1.444	0.565	0.573	0.308	0.484	0.692	0.43	0.063	0.744	0.076
ASV_21	0.409	16.16	0.590251229511647	0.748116881903159	NotSig	1.314	0.989	1.451	0.031	0.466	2.223	0.023	2.228	0.039	1.822	0.056	0.042	4.86	2.674	2.229	0.793	0.767	1.767	0.249	0.392	0.288	0.024	0.353	1.748	7.321	0.744	0.428	1.212	0.165	0.041	0.066	0.037
ASV_24	0.058	10.053	0.796618660010265	0.869548537335149	NotSig	0.056	0.054	0.063	0.054	0.067	0.078	0.081	0.069	0.042	0.064	0.063	0.059	0.047	0.053	0.029	0.036	0.033	0.064	0.039	0.079	0.063	0.05	0.074	0.104	0.034	0.034	0.062	0.028	0.034	0.022	0.013	0.106
ASV_19	-1.459	16.7	0.2134369253335	0.435710139979233	NotSig	0.587	1.614	0.496	0.114	4.704	0.462	0.053	0.563	0.12	0.09	0.058	1.157	0.075	0.415	0.013	0.309	0.179	10.646	0.845	0.454	4.74	0.009	2.982	0.076	1.661	0.458	0.12	2.088	0.034	0.013	0.007	0.071
ASV_17	-2.002	14.094	0.274255889076234	0.512164612130316	NotSig	0.044	0.176	0.194	0.096	0.105	0.05	0.08	0.038	0.025	0.005	0.002	0.009	0.01	0.021	0.009	0.008	0.006	0.374	0	0.005	0.012	0.021	0.048	0.025	0.014	0.002	0.007	0.04	0.122	1.749	0.135	0.08
ASV_23	-0.46	14.483	0.28370090892711	0.514762552229659	NotSig	0.524	0.72	0.443	0.442	0.523	1.002	0.847	0.74	0.694	0.345	0.755	1.119	0.245	0.216	0.119	0.165	0.199	0.292	0.646	0.804	0.524	1.691	1.024	1.175	0.696	0.512	2.291	0.429	0.226	0.079	0.304	0.11
ASV_20	-1.411	14.556	0.0517219058794565	0.235791041509287	NotSig	0.214	0.569	0.041	0.11	0.836	0.661	0.05	0.501	0.186	0.113	0.08	0.113	0.09	0.179	0.036	0.123	0.087	1.117	0.249	0.52	0.432	0.17	0.587	0.587	0.074	0.15	0.939	2.409	0.328	0.014	0.894	0.058
ASV_28	0.889	15.045	0.0255500998839239	0.197725392191594	Enriched	1.44	0.777	0.009	1.378	2.034	0.184	0.604	0.949	2.401	3.38	1.414	1.479	0.799	1.699	1.531	1.509	2.23	1.786	0.84	1.446	1.117	0.541	0.048	1.299	0.51	1.578	0.071	1.27	0.053	0.022	1.072	0.009
ASV_31	0.009	9.831	0.985863724530825	0.989299417501275	NotSig	0.022	0.022	0.02	0.005	0.013	0.015	0.012	0.091	0.049	0.005	0.013	0.013	0.03	0.018	0.02	0.017	0.013	0.028	0.021	0.013	0.005	0.076	0.024	0.021	0.02	0.005	0.004	0.01	0.021	0.016	0.007	0.06
ASV_29	0.687	15.051	0.146835916681489	0.406420840814835	NotSig	1.254	0.779	0.652	0.677	0.031	0.545	0.299	1.725	1.257	0.034	1.103	0.864	1.838	1.929	2.828	1.636	3.395	0.027	1.122	1.083	1.07	1.327	0.024	1.311	0.778	1.036	0.18	0.104	2.697	0.045	0.867	0.016
ASV_41	2.312	14.056	0.032750427296865	0.197725392191594	Enriched	0.431	0.087	0.073	0.042	0.158	0.043	0.014	0.035	0.512	1.703	0.034	0.022	0.179	0.92	1.024	1.279	0.422	0.016	0.266	0.68	0.046	0.032	0.032	0.025	0.029	0.03	0.031	0.024	0.012	0.009	0.024	0.046
ASV_25	1.164	14.793	0.0884395835562618	0.311548532982286	NotSig	0.961	0.429	0.03	0.455	0.006	0.385	0.035	0.978	0.533	0.246	1.208	2.062	1.299	2.656	0.563	2.839	1.117	0.014	0.019	0.031	0.344	0.024	2.714	0.882	0.061	0.152	0.281	1.127	0.237	0.113	0.404	0.027
ASV_201	0.807	14.648	0.0752729709905358	0.271332802407745	NotSig	1.051	0.601	0.667	0.516	0.076	0.544	0.221	1.303	0.786	0.092	1.032	0.685	1.687	1.717	2.567	1.48	2.388	0.066	0.741	0.707	0.719	1.128	0.07	0.892	1.6	0.631	0.212	0.227	1.48	0.081	0.435	0.021
ASV_51	2.265	16.348	0.178607860274125	0.429867611752026	NotSig	1.338	0.278	0.079	7.49	0.08	0.222	8.339	0.018	0.053	0.051	0.061	0.644	0.007	0.033	0.079	2.778	0.14	0.062	0.065	0.064	0.09	3.77	0.01	0.005	0.002	0.016	0.002	0.024	0.017	0.018	0.018	0.012
ASV_44	0.234	14.281	0.569449449633543	0.741719871371421	NotSig	0.813	0.691	1.199	0.648	0.338	1.152	0.45	0.743	0.856	1.99	0.863	0.672	0.568	0.183	1.907	0.29	0.343	0.641	1.111	0.94	1.978	0.401	0.693	0.419	1.846	1.15	0.243	0.499	0.178	0.013	0.247	0.014
ASV_46	0.56	15.038	0.344637782859973	0.546769057344485	NotSig	0.73	0.495	0.464	0.042	0.223	0.477	0.018	0.907	0.749	1.317	0.419	0.5	0.681	0.622	0.511	0.649	3.365	0.406	0.288	0.35	1.825	0.026	0.218	0.039	0.469	0.424	0.33	1.053	1.058	0.067	0.839	0.032
ASV_32	0.278	13.645	0.59366694499412	0.748116881903159	NotSig	0.378	0.312	0.136	0.415	1.277	1.052	0.338	0.732	0.213	0.087	0.145	0.135	0.288	0.429	0.068	0.217	0.138	1.281	0.27	0.434	0.267	0.388	0.056	0.246	0.065	0.064	0.189	0.578	0.177	0.257	0.165	0.243
ASV_30	-0.365	14.888	0.559373549751589	0.741050429158088	NotSig	0.667	0.859	0.244	0.163	0.292	0.21	0.315	2.553	2.062	0.558	0.36	3.033	0.064	0.066	0.011	0.021	0.059	0.648	0.561	1.748	2.405	1.424	1.234	1.585	0.316	0.364	1.763	0.225	0.123	0.101	0.214	0.177
ASV_35	-0.082	15.003	0.89023718320161	0.926085660377513	NotSig	0.773	0.818	0.208	0.025	1.866	0.363	0.025	0.016	1.974	0.984	0.034	0.031	1.661	1.393	1.851	0.079	1.086	0.231	0.598	2.186	0.794	0.019	0.657	0.435	0.022	1.384	3.283	0.02	1.939	0.031	0.627	0.05
ASV_52	0.465	14.661	0.412921990532365	0.633692163688283	NotSig	0.915	0.663	1.419	0.173	0.431	1.044	0.025	0.011	2.459	2.066	2.59	0.705	0.377	0.164	0.889	0.968	0.396	0.02	1.741	0.07	0.083	0.119	0.068	1.02	0.289	1.897	1.143	2.363	0.9	0.027	0.183	0.018
ASV_50	-0.253	13.075	0.617165517150617	0.76688794190251	NotSig	0.179	0.214	0.039	0.06	0.29	0.149	0.067	0.133	0.046	0.529	0.045	0.07	0.167	0.218	0.39	0.242	0.245	0.185	0.258	0.191	0.028	0.091	0.863	0.413	0.401	0.332	0.045	0.096	0.077	0.045	0.117	0.066
ASV_36	-0.101	14.68	0.865970654798305	0.913098309481206	NotSig	0.649	0.697	0.701	0.56	1.132	0.592	0.25	2.126	0.882	0.561	0.261	2.527	0.061	0.023	0.005	0.029	0.031	0.557	0.381	1.081	1.425	0.77	1.342	1.345	0.239	0.531	2.624	0.012	0.009	0.013	0.093	0.027
ASV_33	-0.235	13.941	0.589815875280511	0.748116881903159	NotSig	0.472	0.555	0.443	0.397	1.242	0.864	0.622	1.11	0.578	0.25	0.41	0.703	0.106	0.144	0.07	0.054	0.085	0.577	0.81	0.486	0.789	0.481	1.312	0.85	0.297	0.54	1.572	0.323	0.137	0.005	0.146	0.005
ASV_417	-1.5	14.359	0.0331668399805255	0.197725392191594	Depleted	0.258	0.728	0.038	0.029	0.433	0.141	0.028	0.026	0.287	1.275	0.024	0.05	0.208	0.265	0.559	0.146	0.354	0.087	2.101	1.391	0.471	0.011	0.03	0.989	0.045	1.398	1.694	0.459	1.488	0.032	0.717	0.014
ASV_43	-6.374	16.199	0.00962422749727374	0.197476219450367	Depleted	0.019	1.582	0.014	0.02	0.013	0.028	0.019	0.011	0.011	0.048	0.043	0.046	0.01	0.006	0.005	0.004	0.007	2.021	1.901	0.013	0.016	2.034	7.521	2.343	2.628	0.048	3.535	0.993	0.6	0.049	0.007	0.016
ASV_38	0.305	14.916	0.638465455704087	0.773141762766668	NotSig	0.824	0.667	0.776	0.007	0.862	1.223	0.009	0.288	1.401	2.072	1.459	0.356	1.659	0.029	2.204	0.01	0.011	0.596	0.153	0.889	0.771	0.007	0.028	0.027	0.014	3.092	0.034	2.255	0.007	0.025	2.096	0.012
ASV_56	0.253	10.588	0.4530366531589	0.675198858073361	NotSig	0.076	0.064	0.115	0.092	0.029	0.048	0.064	0.047	0.079	0.051	0.013	0.055	0.137	0.154	0.148	0.052	0.061	0.023	0.025	0.031	0.114	0.073	0.078	0.014	0.011	0.023	0.132	0.094	0.033	0.083	0.079	0.149
ASV_34	0.108	9.847	0.745402904197628	0.855832964078758	NotSig	0.034	0.032	0.039	0.038	0.057	0.069	0.066	0.029	0.028	0.016	0.024	0.03	0.035	0.037	0.023	0.012	0.015	0.068	0.021	0.044	0.03	0.011	0.044	0.042	0.025	0.012	0.036	0.008	0.019	0.014	0.013	0.092
ASV_1253	0.641	14.531	0.169281395363812	0.429867611752026	NotSig	0.796	0.51	0.432	0.367	0.084	0.335	0.014	0.975	2.368	0.604	1.534	1.159	1.122	0.477	1.068	0.785	0.61	0.146	0.076	0.044	0.109	1.167	0.491	0.371	1.463	1.389	0.745	0.624	0.412	0.031	0.58	0.004
ASV_53	-8.695	17.092	0.18858708128476	0.429867611752026	NotSig	0.003	1.381	0	0.009	0	0.002	0	0.004	0	0.009	0.002	0	0.002	0.012	0	0.006	0.006	0	0.007	0	0	0.019	0.002	0.002	0.011	0.002	0.004	0.026	0.147	6.489	0.038	13.968
ASV_42	-4.546	15.548	0.123740547865342	0.374071099489351	NotSig	0.031	0.723	0.032	0.029	0.008	0.011	0.018	0.016	0.004	0.057	0.006	0.018	0.09	0.064	0.025	0.035	0.052	0.018	0.069	0.026	0.012	0.026	0.008	0.035	0.045	0.909	0.007	0.13	4.79	0.101	4.641	0.03
ASV_45	-2.449	11.712	0.101192723683568	0.333720684488362	NotSig	0.012	0.066	0.034	0.011	0.015	0.013	0.011	0.026	0.023	0.014	0.002	0.002	0.01	0.014	0.002	0.004	0.002	0.007	0.201	0.33	0.336	0.024	0.012	0	0.005	0.011	0.018	0.012	0.007	0.005	0.011	0.012
ASV_37	-0.456	14.758	0.435764520115806	0.655762141921844	NotSig	0.555	0.761	0.443	1.033	0.372	0.523	0.801	0.687	0.151	0.152	0.207	0.423	0.455	2.173	0.036	0.72	0.153	0.315	0.582	0.495	0.406	0.235	2.77	2.622	0.685	0.303	0.399	1.314	1.019	0.022	0.251	0.005
ASV_39	-1.29	15.119	0.196954034060646	0.432449655940677	NotSig	0.29	0.71	0.147	0.161	0.017	0.326	0.064	0.308	0.626	0.042	0.617	0.148	0.806	0.588	0.16	0.202	0.142	0.027	0.053	0.15	0.084	0.11	0.435	1.244	0.047	0.021	0.174	3.557	0.701	0.171	3.438	0.434
ASV_59	0.525	13.973	0.188160680378485	0.429867611752026	NotSig	0.746	0.518	0.22	0.011	0.317	0.694	0.023	0.674	0.703	1.608	0.965	0.192	1.344	0.713	1.034	1.476	1.211	0.52	0.706	0.473	0.905	0.026	0.663	0.286	1.409	0.808	0.281	0.885	0.497	0.032	0.272	0.011
ASV_109	1.44	12.708	0.125494820473847	0.374071099489351	NotSig	0.138	0.051	0.073	0.052	0.614	0.058	0.021	0.066	0.06	0.669	0.065	0.044	0.059	0.072	0.043	0.083	0.088	0.018	0.028	0.051	0.053	0.11	0.036	0.019	0.038	0.071	0.027	0.108	0.048	0.034	0.069	0.051
ASV_58	-4.036	16.07	0.345699145933933	0.546769057344485	NotSig	0.029	0.476	0.004	0	0.004	0.007	0.007	0.015	0.005	0.002	0.011	0.015	0.016	0.275	0.009	0.036	0.029	0.012	0.004	0.007	0.002	0.011	0.004	0.012	0.007	0.004	0	0.022	6.878	0.049	0.117	0.005
ASV_40	4.65	14.778	0.271679367812497	0.512164612130316	NotSig	0.221	0.009	0.202	2.81	0.021	0.026	0.2	0.004	0.007	0.005	0.007	0.015	0.003	0.008	0.004	0.004	0.004	0.016	0.014	0.015	0.016	0.015	0.02	0.007	0.005	0.005	0	0.01	0	0.002	0.004	0.004
ASV_48	-0.478	15.038	0.550469799456564	0.735541542377305	NotSig	0.485	0.675	0.396	0.018	0.607	0.801	0.009	0.169	0.77	1.227	0.915	0.209	0.926	0.021	1.173	0.013	0.018	0.829	0.079	0.57	0.441	0.002	0.016	0.014	0.007	1.797	0.015	3.364	0.009	0.022	2.959	0.004
ASV_64	0.45	13.774	0.135383266833042	0.388600117761508	NotSig	0.54	0.396	0.385	1.401	0.185	0.393	0.675	0.261	0.55	0.464	0.503	0.325	0.49	0.592	0.579	0.438	0.864	0.649	0.529	0.81	0.502	0.664	0.425	0.371	0.268	0.419	0.339	0.283	0.158	0.043	0.415	0.058
ASV_55	0.087	13.668	0.765685730317309	0.864684323217936	NotSig	0.571	0.537	0.28	0.238	0.244	0.216	0.561	0.594	0.294	1.301	0.559	0.65	0.486	0.865	0.836	0.87	0.566	0.23	0.85	0.449	0.617	0.794	0.465	0.67	0.329	0.601	0.613	0.734	0.501	0.034	1.161	0.011
ASV_74	-1.377	14.038	0.026797949407617	0.197725392191594	Depleted	0.211	0.549	0.048	0.042	0.21	0.356	0.028	0.215	0.1	0.485	0.421	0.511	0.125	0.177	0.257	0.056	0.14	0.208	0.951	1.682	0.631	0.121	0.03	0.474	0.097	1.341	0.582	0.383	0.693	0.014	1.02	0.014
ASV_89	-1.693	13.836	0.461402853667463	0.681118498271016	NotSig	0.033	0.108	0.002	0.007	0.017	0.011	0.012	0.029	0.016	0.009	0.006	0.006	0.043	0.298	0.011	0.023	0.011	0.004	0.002	0.002	0.005	0.024	0.002	0.007	0.002	0.007	0.002	0.014	1.463	0.025	0.046	0.016
ASV_73	0.044	9.865	0.885040696133857	0.926085660377513	NotSig	0.039	0.038	0.054	0.022	0.029	0.065	0.028	0.049	0.035	0.023	0.017	0.02	0.08	0.049	0.04	0.04	0.033	0.055	0.06	0.02	0.012	0.054	0.014	0.049	0.016	0.009	0.009	0.028	0.067	0.052	0.093	0.027
ASV_1365	0.193	14.193	0.637244450308924	0.773141762766668	NotSig	0.554	0.485	0.425	0.146	0.212	0.572	0.021	0.556	0.766	0.528	0.712	0.576	1.228	0.366	0.854	0.524	0.831	0.418	0.062	0.165	0.17	0.384	0.669	0.463	1.873	0.884	0.241	0.756	0.367	0.058	0.744	0.021
ASV_57	1.791	14.144	0.0507203042672688	0.235791041509287	NotSig	0.402	0.116	0.292	0.5	1.811	1.028	0.641	0.747	0.482	0.159	0.084	0.135	0.038	0.033	0.04	0.012	0.028	0.587	0.086	0.198	0.134	0.177	0.359	0.025	0.04	0.021	0.027	0.01	0.019	0.016	0.018	0.025
ASV_82	0.618	11.892	0.0300086677796941	0.197725392191594	Enriched	0.217	0.142	0.104	0.139	0.17	0.296	0.066	0.326	0.364	0.156	0.171	0.306	0.132	0.38	0.212	0.171	0.264	0.167	0.069	0.3	0.135	0.116	0.058	0.163	0.101	0.292	0.08	0.142	0.05	0.049	0.227	0.175
ASV_47	-5.086	16.375	0.160599765303755	0.427719062803303	NotSig	0.03	1.011	0.023	0.023	0.021	0.017	0.019	0.042	0.012	0.018	0.02	0.024	0.016	0.144	0.004	0.038	0.024	0.037	0.005	0.027	0.014	0.035	0.296	0.051	0.016	0.005	0.036	0.066	0.113	5.912	0.042	8.501
ASV_54	-0.489	12.289	0.165568669472246	0.427719062803303	NotSig	0.187	0.262	0.095	0.218	0.355	0.272	0.182	0.149	0.285	0.127	0.386	0.33	0.069	0.107	0.032	0.121	0.076	0.354	0.365	0.401	0.302	0.431	0.333	0.491	0.077	0.098	0.501	0.311	0.084	0.013	0.13	0.046
ASV_75	0.222	13.205	0.515475315727117	0.718661662699062	NotSig	0.379	0.325	0.099	0.148	0.664	0.676	0.124	0.63	0.369	0.151	0.391	0.77	0.379	0.314	0.135	0.459	0.383	0.105	0.288	0.202	0.313	0.233	0.945	0.588	0.106	0.21	0.424	0.381	0.281	0.182	0.516	0.108
ASV_49	0.096	13.906	0.855714585078479	0.908464114295645	NotSig	0.401	0.375	0.075	0.242	0.343	0.547	0.108	0.516	0.322	0.14	0.22	1.204	0.427	1.066	0.103	0.401	0.297	0.226	0.36	0.381	0.464	0.457	0.288	1.535	0.04	0.139	1.184	0.197	0.202	0.005	0.143	0.002
ASV_76	2.53	14.334	0.0180548541566661	0.197476219450367	Enriched	0.543	0.094	0.469	0.009	0.269	0.071	0.004	0.375	0.019	0.347	0.136	0.57	1.584	2.066	0.077	1.394	0.754	0.03	0.078	0.172	0.049	0.004	0.467	0.004	0.036	0.292	0.221	0.014	0.009	0.014	0.016	0.004
ASV_507	-0.445	12.541	0.285610190269359	0.514762552229659	NotSig	0.131	0.179	0.05	0.215	0.179	0.259	0.085	0.137	0.186	0.17	0.102	0.247	0.068	0.062	0.045	0.094	0.07	0.596	0.245	0.262	0.234	0.356	0.14	0.127	0.167	0.127	0.16	0.098	0.026	0.002	0.135	0.009
ASV_61	0.247	10.284	0.430173064277021	0.653694362381747	NotSig	0.056	0.048	0.084	0.038	0.053	0.065	0.034	0.08	0.044	0.012	0.007	0.013	0.089	0.125	0.081	0.06	0.061	0.046	0.044	0.042	0.04	0.088	0.016	0.019	0.022	0.012	0.02	0.088	0.039	0.083	0.079	0.074
ASV_465	-1.719	13.988	0.00429152737451749	0.197476219450367	Depleted	0.18	0.592	0.401	0.341	0.065	0.488	0.221	0.064	0.355	0.152	0.101	0.249	0.03	0.142	0.032	0.035	0.022	0.388	0.848	0.429	0.738	0.656	0.659	1.376	0.865	0.512	1.625	0.158	0.269	0.011	0.338	0.009
ASV_63	0.361	9.021	0.318848559841276	0.531414266402126	NotSig	0.021	0.016	0.052	0.016	0.023	0.015	0.028	0.016	0.018	0.004	0	0.013	0.043	0.033	0.014	0.015	0.017	0.02	0.012	0.024	0.018	0.015	0.014	0.011	0.002	0.004	0.013	0.032	0.003	0.02	0.013	0.041
ASV_1412	1.056	13.581	0.0191189271522407	0.197476219450367	Enriched	0.436	0.21	0.045	0.305	0.296	0.095	0.14	0.27	0.554	1.225	0.291	0.327	0.335	0.55	0.743	0.666	0.695	0.438	0.22	0.337	0.251	0.136	0.024	0.233	0.449	0.408	0.047	0.261	0.024	0.022	0.243	0.048
ASV_67	-2.832	14.849	0.0172291817428061	0.197476219450367	Depleted	0.104	0.74	0.296	0.215	0.439	0.428	0.106	0.016	0.023	0.007	0.004	0.009	0.002	0.008	0.002	0.002	0.004	0.011	1.91	2.952	0.963	1.391	0.012	1.44	0.009	0.005	1.224	0.158	0.081	0.004	0.94	0.009
ASV_62	1.575	14.283	0.143217236636543	0.403612212339348	NotSig	0.375	0.126	0.435	0.478	1.513	1.994	0.129	0.299	0.457	0.037	0.082	0.046	0.031	0.082	0.009	0.021	0.017	0.03	0.732	0.026	0.021	0.009	0.026	0.412	0.058	0.052	0.43	0.008	0.015	0.04	0.013	0.019
ASV_81	-0.213	13.402	0.593531913529132	0.748116881903159	NotSig	0.351	0.406	0.247	0.509	0.805	0.823	0.673	0.601	0.406	0.156	0.343	0.41	0.05	0.09	0.022	0.079	0.046	0.553	0.275	0.407	0.358	0.6	1.082	0.463	0.367	0.241	0.744	0.596	0.166	0.004	0.232	0.007
ASV_91	0.2	14.728	0.783326239297024	0.867254050650277	NotSig	0.453	0.394	0.736	0.005	0.183	0.101	0.004	0.947	0.531	1.059	0.164	0.041	0.405	0.44	0.622	0.447	1.102	0.69	0.127	0.101	0.058	0.006	1.208	0.175	2.714	0.49	0.103	0.09	0.027	0.023	0.091	0.004
ASV_80	-4.212	15.751	0.315899736238162	0.531414266402126	NotSig	0.022	0.402	0.005	0.022	0.029	0.032	0.032	0.047	0.009	0.014	0.02	0.018	0.017	0.037	0.02	0.015	0.007	5.514	0.016	0.026	0.014	0.302	0.03	0.041	0.018	0.012	0.005	0.01	0.014	0.009	0.005	0.014
ASV_60	-1.418	12.176	0.202181720223104	0.435252314369182	NotSig	0.026	0.07	0.009	0.007	0.002	0.004	0.011	0.011	0.019	0	0.048	0.096	0.064	0.072	0.016	0.025	0.009	0.011	0.005	0.004	0.002	0.006	0.01	0.065	0.007	0.018	0.089	0.152	0.199	0.002	0.463	0.021
ASV_94	0.403	10.611	0.114400201520539	0.361878188483338	NotSig	0.095	0.072	0.081	0.085	0.025	0.078	0.073	0.153	0.109	0.154	0.134	0.098	0.068	0.078	0.049	0.136	0.107	0.036	0.086	0.053	0.156	0.076	0.032	0.081	0.092	0.073	0.074	0.13	0.111	0.022	0.042	0.014
