ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	NC1	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9	NC10	NC11	NC12	NC13	NC14	NC15	MD1	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	MD10	MD11	MD12	MD13	MD14	MD15
ASV_97	-0.59	14.621	0.160002933683458	0.229633840008666	NotSig	0.592	0.89	0.504	0.473	0.176	0.853	0.898	0.558	1.281	0.335	0.831	1.435	0.496	0.188	0.342	0.075	0.428	2.52	0.9	1.737	1.658	1.158	1.444	0.565	0.573	0.308	0.484	0.692	0.43	0.063	0.744	0.076
ASV_21	-1.916	16.16	0.157037855508771	0.227629270434837	NotSig	0.262	0.989	0.015	0.024	0.021	0.038	0.024	1.271	0.035	0.561	0.391	0.095	0.09	1.127	0.102	0.099	0.039	1.767	0.249	0.392	0.288	0.024	0.353	1.748	7.321	0.744	0.428	1.212	0.165	0.041	0.066	0.037
ASV_24	5.422	16.68	0.0178591949049702	0.0407084589745645	Enriched	2.303	0.054	0.3	0.059	0.196	0.048	0.212	4.236	1.177	8.075	2.774	0.208	10.497	1.246	4.77	0.559	0.195	0.064	0.039	0.079	0.063	0.05	0.074	0.104	0.034	0.034	0.062	0.028	0.034	0.022	0.013	0.106
ASV_19	-2.712	16.7	0.0858584451707937	0.146242406609594	NotSig	0.246	1.614	1.344	0.398	0.143	0.229	0.287	0.301	0.085	0.003	0.033	0.01	0.111	0.17	0.168	0.011	0.399	10.646	0.845	0.454	4.74	0.009	2.982	0.076	1.661	0.458	0.12	2.088	0.034	0.013	0.007	0.071
ASV_17	3.567	16.192	0.00847766108578	0.0256204471630287	Enriched	2.081	0.176	3.485	7.436	1.032	1.014	3.189	0.408	2.265	7.484	1.015	0.713	1.066	0.522	1.059	0.105	0.421	0.374	0	0.005	0.012	0.021	0.048	0.025	0.014	0.002	0.007	0.04	0.122	1.749	0.135	0.08
ASV_23	0.533	15.02	0.24207975245872	0.323468634750876	NotSig	1.042	0.72	2.283	1.433	3.323	1.016	1.535	0.468	0.6	0.69	0.468	0.503	0.388	0.845	0.373	0.351	1.35	0.292	0.646	0.804	0.524	1.691	1.024	1.175	0.696	0.512	2.291	0.429	0.226	0.079	0.304	0.11
ASV_20	1.408	15.579	0.0421912492436227	0.0804295957468601	Enriched	1.509	0.569	0.736	0.253	0.462	0.652	0.55	0.214	0.88	0.764	0.823	0.098	4.896	3.178	2.743	2.148	4.238	1.117	0.249	0.52	0.432	0.17	0.587	0.587	0.074	0.15	0.939	2.409	0.328	0.014	0.894	0.058
ASV_28	-4.779	14.125	0.000446393913962716	0.00532238897417084	Depleted	0.028	0.777	0.016	0.002	0.011	0.002	0.016	0.054	0.024	0.007	0.036	0.012	0.046	0.059	0.056	0.021	0.064	1.786	0.84	1.446	1.117	0.541	0.048	1.299	0.51	1.578	0.071	1.27	0.053	0.022	1.072	0.009
ASV_31	6.527	15.985	0.00149830199877249	0.00965847920990356	Enriched	2.043	0.022	0.1	1.263	1.695	0.679	0.912	4.873	5.584	1.681	2.467	6.487	1.487	1.707	0.68	0.2	0.827	0.028	0.021	0.013	0.005	0.076	0.024	0.021	0.02	0.005	0.004	0.01	0.021	0.016	0.007	0.06
ASV_29	-3.772	14.719	0.0020742516282569	0.0113127439744526	Depleted	0.057	0.779	0.093	0.028	0.025	0.111	0.052	0.017	0.024	0.021	0.033	0.033	0.048	0.088	0.132	0.114	0.037	0.027	1.122	1.083	1.07	1.327	0.024	1.311	0.778	1.036	0.18	0.104	2.697	0.045	0.867	0.016
ASV_41	3.873	15.752	0.0195048205822993	0.0438151766703824	Enriched	1.271	0.087	4.101	3.136	1.691	2.176	5.519	0.073	0.114	0.132	0.036	0.08	0.046	0.598	1.085	0.226	0.048	0.016	0.266	0.68	0.046	0.032	0.032	0.025	0.029	0.03	0.031	0.024	0.012	0.009	0.024	0.046
ASV_25	-0.11	14.728	0.871926159651242	0.889135228591727	NotSig	0.397	0.429	0.191	0.192	0.264	0.215	0.167	0.66	0.455	0.92	0.487	0.141	0.364	0.359	0.549	0.325	0.667	0.014	0.019	0.031	0.344	0.024	2.714	0.882	0.061	0.152	0.281	1.127	0.237	0.113	0.404	0.027
ASV_201	-2.776	13.966	0.0016824447655961	0.00965847920990356	Depleted	0.088	0.601	0.056	0.042	0.033	0.143	0.075	0.053	0.043	0.037	0.031	0.06	0.096	0.117	0.321	0.107	0.101	0.066	0.741	0.707	0.719	1.128	0.07	0.892	1.6	0.631	0.212	0.227	1.48	0.081	0.435	0.021
ASV_51	-1.691	15.202	0.4686893315559	0.5381247880827	NotSig	0.086	0.278	0.004	0.021	0.002	0.002	0	0.029	0.009	0.044	0.02	0.03	0.036	0.026	0.009	1.058	0.006	0.062	0.065	0.064	0.09	3.77	0.01	0.005	0.002	0.016	0.002	0.024	0.017	0.018	0.018	0.012
ASV_44	-2.025	14.272	0.00538586001469541	0.0203611781043363	Depleted	0.17	0.691	0.097	0.142	0.056	0.265	0.099	0.087	0.325	0.035	0.258	0.407	0.239	0.055	0.052	0.316	0.116	0.641	1.111	0.94	1.978	0.401	0.693	0.419	1.846	1.15	0.243	0.499	0.178	0.013	0.247	0.014
ASV_46	-0.154	14.156	0.74660816897329	0.78192071750581	NotSig	0.445	0.495	0.144	0.085	0.132	0.405	0.308	0.391	0.479	0.235	0.94	1.179	0.538	0.218	0.705	0.701	0.211	0.406	0.288	0.35	1.825	0.026	0.218	0.039	0.469	0.424	0.33	1.053	1.058	0.067	0.839	0.032
ASV_32	1.626	14.777	0.00107859901599692	0.00965847920990356	Enriched	0.962	0.312	0.931	0.428	1.009	0.544	0.743	0.865	2.807	1.426	1.213	1.08	0.639	0.875	0.63	0.286	0.961	1.281	0.27	0.434	0.267	0.388	0.056	0.246	0.065	0.064	0.189	0.578	0.177	0.257	0.165	0.243
ASV_30	-2.767	14.554	0.00223277839582458	0.0113127439744526	Depleted	0.126	0.859	0.2	0.362	0.247	0.246	0.338	0.041	0.061	0.27	0.06	0.056	0.004	0.002	0.003	0.002	0.002	0.648	0.561	1.748	2.405	1.424	1.234	1.585	0.316	0.364	1.763	0.225	0.123	0.101	0.214	0.177
ASV_35	-4.242	15.003	0.00806849699576489	0.0256204471630287	Depleted	0.043	0.818	0.031	0.021	0.019	0.147	0.028	0.034	0.019	0.028	0.116	0.015	0.046	0.038	0.036	0.039	0.031	0.231	0.598	2.186	0.794	0.019	0.657	0.435	0.022	1.384	3.283	0.02	1.939	0.031	0.627	0.05
ASV_52	-3.668	14.528	0.0103850611529584	0.0271610693516802	Depleted	0.052	0.663	0.024	0.016	0.012	0.029	0.023	0.022	0.029	0.024	0.073	0.02	0.155	0.128	0.03	0.039	0.158	0.02	1.741	0.07	0.083	0.119	0.068	1.02	0.289	1.897	1.143	2.363	0.9	0.027	0.183	0.018
ASV_50	2.428	15.421	0.0261611998210094	0.0579283710322352	Enriched	1.151	0.214	0.384	0.185	0.865	3.479	0.063	2.434	2.719	0.078	1.877	4.389	0.054	0.044	0.257	0.166	0.266	0.185	0.258	0.191	0.028	0.091	0.863	0.413	0.401	0.332	0.045	0.096	0.077	0.045	0.117	0.066
ASV_36	-1.451	14.68	0.0435876518886209	0.0804295957468601	Depleted	0.255	0.697	0.249	0.745	0.305	0.22	0.689	0.099	0.301	0.568	0.175	0.262	0.054	0.046	0.05	0.011	0.046	0.557	0.381	1.081	1.425	0.77	1.342	1.345	0.239	0.531	2.624	0.012	0.009	0.013	0.093	0.027
ASV_33	-0.011	14.193	0.983837271530444	0.990225825241681	NotSig	0.551	0.555	1.704	1.628	1.873	0.524	0.735	0.087	0.503	0.342	0.53	0.229	0.019	0.026	0.017	0.017	0.033	0.577	0.81	0.486	0.789	0.481	1.312	0.85	0.297	0.54	1.572	0.323	0.137	0.005	0.146	0.005
ASV_417	-0.333	14.359	0.536663684412032	0.607174241488066	NotSig	0.578	0.728	0.717	0.152	0.74	1.053	0.67	0.024	0.264	0.014	0.015	1.779	0.915	0.684	0.023	0.019	1.604	0.087	2.101	1.391	0.471	0.011	0.03	0.989	0.045	1.398	1.694	0.459	1.488	0.032	0.717	0.014
ASV_43	-6.739	16.199	0.00946897481895659	0.0265150683361648	Depleted	0.015	1.582	0.009	0.023	0.016	0.014	0.007	0.017	0.014	0.024	0.018	0.035	0.006	0.005	0.01	0.009	0.015	2.021	1.901	0.013	0.016	2.034	7.521	2.343	2.628	0.048	3.535	0.993	0.6	0.049	0.007	0.016
ASV_38	-3.29	14.916	0.0370633933748681	0.0755898154355862	Depleted	0.068	0.667	0.015	0.005	0.055	0.026	0.03	0.053	0.01	0.01	0.018	0.007	0.26	0.071	0.241	0.194	0.028	0.596	0.153	0.889	0.771	0.007	0.028	0.027	0.014	3.092	0.034	2.255	0.007	0.025	2.096	0.012
ASV_56	4.378	16.968	0.155531241954444	0.227629270434837	NotSig	1.332	0.064	0.173	0.083	0.026	0.034	0.054	0.507	0.183	0.084	0.235	0.213	1.029	0.725	12.815	3.082	0.729	0.023	0.025	0.031	0.114	0.073	0.078	0.014	0.011	0.023	0.132	0.094	0.033	0.083	0.079	0.149
ASV_34	5.4	15.782	0.0153149009803663	0.0376795182850282	Enriched	1.352	0.032	0.503	0.107	0.305	0.142	0.063	0.814	0.598	5.636	0.993	0.244	5.356	0.844	3.215	0.29	1.168	0.068	0.021	0.044	0.03	0.011	0.044	0.042	0.025	0.012	0.036	0.008	0.019	0.014	0.013	0.092
ASV_1253	-2.065	13.837	0.00960281163508064	0.0265150683361648	Depleted	0.122	0.51	0.044	0.038	0.033	0.195	0.064	0.082	0.086	0.061	0.192	0.125	0.157	0.044	0.062	0.587	0.059	0.146	0.076	0.044	0.109	1.167	0.491	0.371	1.463	1.389	0.745	0.624	0.412	0.031	0.58	0.004
ASV_53	-8.808	17.092	0.188512043386918	0.258578466592675	NotSig	0.003	1.381	0	0.002	0.002	0.005	0	0	0.002	0.002	0.007	0.005	0.015	0.004	0.002	0	0.002	0	0.007	0	0	0.019	0.002	0.002	0.011	0.002	0.004	0.026	0.147	6.489	0.038	13.968
ASV_42	-0.211	15.548	0.834953454190375	0.857071426486809	NotSig	0.625	0.723	2.056	0.78	0.532	2.449	1.217	0.031	0.159	0.009	0.219	0.176	0.073	0.21	0.259	1.125	0.075	0.018	0.069	0.026	0.012	0.026	0.008	0.035	0.045	0.909	0.007	0.13	4.79	0.101	4.641	0.03
ASV_45	4.218	15.314	0.0039596242627506	0.0169541521116397	Enriched	1.231	0.066	0.903	4.075	1.704	2.291	2.799	3.093	0.508	1.747	0.217	0.492	0.038	0.249	0.007	0.23	0.108	0.007	0.201	0.33	0.336	0.024	0.012	0	0.005	0.011	0.018	0.012	0.007	0.005	0.011	0.012
ASV_37	-3.461	14.758	0.00746893133122541	0.0248759023599115	Depleted	0.069	0.761	0.036	0.054	0.085	0.022	0.061	0.06	0.104	0.03	0.05	0.196	0.138	0.091	0.038	0.013	0.061	0.315	0.582	0.495	0.406	0.235	2.77	2.622	0.685	0.303	0.399	1.314	1.019	0.022	0.251	0.005
ASV_39	-1.021	15.119	0.262900076666796	0.342432872969356	NotSig	0.35	0.71	0.222	0.629	0.329	0.164	0.385	0.063	0.313	0.553	0.048	0.095	0.517	0.362	0.825	0.267	0.474	0.027	0.053	0.15	0.084	0.11	0.435	1.244	0.047	0.021	0.174	3.557	0.701	0.171	3.438	0.434
ASV_59	-3.609	13.783	0.000316668558118365	0.00490836265083466	Depleted	0.042	0.518	0.022	0.042	0.026	0.024	0.031	0.026	0.318	0.005	0.026	0.015	0.029	0.024	0.012	0.013	0.024	0.52	0.706	0.473	0.905	0.026	0.663	0.286	1.409	0.808	0.281	0.885	0.497	0.032	0.272	0.011
ASV_109	4.326	15.042	0.00829559646695875	0.0256204471630287	Enriched	1.02	0.051	0.056	0.036	0.345	3.374	0.059	0.123	1.732	0.038	2.309	3.301	0.077	0.858	0.837	2.069	0.079	0.018	0.028	0.051	0.053	0.11	0.036	0.019	0.038	0.071	0.027	0.108	0.048	0.034	0.069	0.051
ASV_58	0.552	16.07	0.683101362528631	0.740424553789775	NotSig	0.697	0.476	0.015	0.014	0.604	0.36	0.04	0.267	0.259	0.024	0.518	1.384	0.042	3.998	0.344	2.153	0.437	0.012	0.004	0.007	0.002	0.011	0.004	0.012	0.007	0.004	0	0.022	6.878	0.049	0.117	0.005
ASV_40	6.754	16.388	0.123093110728094	0.202972682583559	NotSig	0.951	0.009	2.014	8.575	0.465	0.155	2.11	0.007	0.014	0.76	0.007	0.013	0.027	0.062	0.024	0.03	0.007	0.016	0.014	0.015	0.016	0.015	0.02	0.007	0.005	0.005	0	0.01	0	0.002	0.004	0.004
ASV_48	-3.275	15.038	0.0564113200968307	0.100502926609296	NotSig	0.07	0.675	0.009	0.002	0.058	0.017	0.01	0.027	0.003	0.014	0.012	0.002	0.274	0.038	0.356	0.207	0.017	0.829	0.079	0.57	0.441	0.002	0.016	0.014	0.007	1.797	0.015	3.364	0.009	0.022	2.959	0.004
ASV_64	-0.786	12.983	0.0170710734549951	0.039492781873496	Depleted	0.229	0.396	0.266	0.229	0.106	0.401	0.372	0.274	0.315	0.199	0.386	0.36	0.142	0.095	0.174	0.043	0.081	0.649	0.529	0.81	0.502	0.664	0.425	0.371	0.268	0.419	0.339	0.283	0.158	0.043	0.415	0.058
ASV_55	-3.134	13.503	2.95464028047844e-05	0.00152656414491386	Depleted	0.061	0.537	0.124	0.052	0.107	0.032	0.07	0.026	0.028	0.016	0.04	0.025	0.117	0.104	0.056	0.062	0.061	0.23	0.85	0.449	0.617	0.794	0.465	0.67	0.329	0.601	0.613	0.734	0.501	0.034	1.161	0.011
ASV_74	-0.487	14.038	0.319870369754971	0.389318127623387	NotSig	0.392	0.549	0.595	0.56	0.187	0.234	0.031	0.179	0.427	0.077	0.263	0.56	0.85	0.154	0.444	1.136	0.186	0.208	0.951	1.682	0.631	0.121	0.03	0.474	0.097	1.341	0.582	0.383	0.693	0.014	1.02	0.014
ASV_89	3.205	15.725	0.0430058504827163	0.0804295957468601	Enriched	0.996	0.108	0.015	0.023	0.692	0.565	0.035	0.49	0.42	0.051	0.674	2.017	0.075	5.416	0.474	3.377	0.621	0.004	0.002	0.002	0.005	0.024	0.002	0.007	0.002	0.007	0.002	0.014	1.463	0.025	0.046	0.016
ASV_73	4.78	14.162	1.35785836077344e-07	2.10468045919883e-05	Enriched	1.037	0.038	0.931	0.835	0.795	1.144	0.994	1.751	0.939	1.105	0.851	0.777	0.335	1.55	0.989	0.721	1.833	0.055	0.06	0.02	0.012	0.054	0.014	0.049	0.016	0.009	0.009	0.028	0.067	0.052	0.093	0.027
ASV_1365	-2.327	14.193	0.00683978664727629	0.0235592651183961	Depleted	0.097	0.485	0.036	0.054	0.035	0.258	0.047	0.124	0.09	0.045	0.126	0.166	0.09	0.037	0.061	0.25	0.031	0.418	0.062	0.165	0.17	0.384	0.669	0.463	1.873	0.884	0.241	0.756	0.367	0.058	0.744	0.021
ASV_57	2.322	13.422	9.50574147034003e-05	0.00192081333625746	Enriched	0.581	0.116	0.903	0.641	1.098	0.679	0.625	0.842	1.041	0.832	0.546	0.543	0.088	0.157	0.045	0.329	0.342	0.587	0.086	0.198	0.134	0.177	0.359	0.025	0.04	0.021	0.027	0.01	0.019	0.016	0.018	0.025
ASV_82	2.291	16.198	0.278637273790411	0.35693204493813	NotSig	0.692	0.142	0.401	0.243	0.169	0.196	0.477	0.146	0.259	0.063	7.517	0.083	0.13	0.161	0.338	0.103	0.101	0.167	0.069	0.3	0.135	0.116	0.058	0.163	0.101	0.292	0.08	0.142	0.05	0.049	0.227	0.175
ASV_47	-6.198	16.375	0.154337878238913	0.227629270434837	NotSig	0.014	1.011	0.002	0.003	0.002	0.009	0	0.02	0.002	0.037	0.008	0.01	0.042	0.02	0.028	0.002	0.022	0.037	0.005	0.027	0.014	0.035	0.296	0.051	0.016	0.005	0.036	0.066	0.113	5.912	0.042	8.501
ASV_54	1.051	14.565	0.104887636707879	0.176712866192622	NotSig	0.544	0.262	0.351	0.65	0.435	0.227	1.147	0.545	0.98	2.423	0.457	0.384	0.101	0.141	0.128	0.041	0.145	0.354	0.365	0.401	0.302	0.431	0.333	0.491	0.077	0.098	0.501	0.311	0.084	0.013	0.13	0.046
ASV_75	-0.208	13.205	0.580625909783014	0.652152289973675	NotSig	0.282	0.325	0.39	0.618	0.784	0.208	0.437	0.083	0.256	0.122	0.108	0.09	0.165	0.218	0.167	0.243	0.338	0.105	0.288	0.202	0.313	0.233	0.945	0.588	0.106	0.21	0.424	0.381	0.281	0.182	0.516	0.108
ASV_49	-0.86	13.906	0.155866012301184	0.227629270434837	NotSig	0.207	0.375	0.222	0.12	0.22	0.295	0.205	0.238	0.092	0.251	0.204	0.154	0.207	0.24	0.219	0.138	0.294	0.226	0.36	0.381	0.464	0.457	0.288	1.535	0.04	0.139	1.184	0.197	0.202	0.005	0.143	0.002
ASV_76	1.86	14.262	0.168577003399163	0.237540322971548	NotSig	0.341	0.094	0.044	0.005	0.011	0.027	0.019	0.017	0.014	0.063	0.013	0.015	1.965	1.53	1.179	0.052	0.165	0.03	0.078	0.172	0.049	0.004	0.467	0.004	0.036	0.292	0.221	0.014	0.009	0.014	0.016	0.004
ASV_507	1.752	13.996	0.005724298791985	0.0211253883989923	Enriched	0.602	0.179	0.814	1.057	0.499	1.249	1.034	0.446	1.634	0.12	0.803	0.766	0.117	0.088	0.16	0.022	0.228	0.596	0.245	0.262	0.234	0.356	0.14	0.127	0.167	0.127	0.16	0.098	0.026	0.002	0.135	0.009
ASV_61	4.084	14.015	0.000149067858303328	0.00256727978189065	Enriched	0.806	0.048	0.091	0.111	0.078	0.068	0.084	1.259	1.656	1.379	0.954	1.09	0.754	1.436	0.864	1.155	1.11	0.046	0.044	0.042	0.04	0.088	0.016	0.019	0.022	0.012	0.02	0.088	0.039	0.083	0.079	0.074
ASV_465	-1.995	13.988	0.00235518196359507	0.0113127439744526	Depleted	0.149	0.592	0.04	0.371	0.055	0.326	0.254	0.1	0.258	0.038	0.086	0.239	0.054	0.059	0.045	0.045	0.259	0.388	0.848	0.429	0.738	0.656	0.659	1.376	0.865	0.512	1.625	0.158	0.269	0.011	0.338	0.009
ASV_63	5.727	14.585	0.00061297679366629	0.00593821268864219	Enriched	0.846	0.016	1.581	1.741	2.458	0.522	1.036	0.058	0.114	0.115	0.066	0.045	1.213	1.257	1.083	0.51	0.889	0.02	0.012	0.024	0.018	0.015	0.014	0.011	0.002	0.004	0.013	0.032	0.003	0.02	0.013	0.041
ASV_1412	0.158	12.501	0.714462591087227	0.758504805606302	NotSig	0.234	0.21	0.41	0.327	0.15	0.486	0.58	0.051	0.081	0.059	0.563	0.088	0.054	0.097	0.387	0.123	0.05	0.438	0.22	0.337	0.251	0.136	0.024	0.233	0.449	0.408	0.047	0.261	0.024	0.022	0.243	0.048
ASV_67	-4.402	14.849	0.00927020611951672	0.0265150683361648	Depleted	0.035	0.74	0.031	0.068	0.012	0.043	0.01	0.06	0.114	0.148	0.02	0.005	0.006	0.002	0.003	0.004	0	0.011	1.91	2.952	0.963	1.391	0.012	1.44	0.009	0.005	1.224	0.158	0.081	0.004	0.94	0.009
ASV_62	1.544	14.141	0.1405815001216	0.220052017210649	NotSig	0.368	0.126	1.806	1.057	1.297	0.469	0.43	0.041	0.031	0.031	0.21	0.047	0.023	0.031	0.017	0.007	0.015	0.03	0.732	0.026	0.021	0.009	0.026	0.412	0.058	0.052	0.43	0.008	0.015	0.04	0.013	0.019
ASV_81	-1.855	13.402	0.00130650413557173	0.00965847920990356	Depleted	0.112	0.406	0.12	0.085	0.204	0.082	0.122	0.049	0.055	0.113	0.038	0.043	0.174	0.177	0.109	0.097	0.215	0.553	0.275	0.407	0.358	0.6	1.082	0.463	0.367	0.241	0.744	0.596	0.166	0.004	0.232	0.007
ASV_91	-5.589	14.728	0.0576432426921629	0.10153071156006	NotSig	0.008	0.394	0.002	0.002	0.005	0.012	0.003	0.003	0.005	0.009	0.002	0.022	0.01	0.007	0.023	0.004	0.015	0.69	0.127	0.101	0.058	0.006	1.208	0.175	2.714	0.49	0.103	0.09	0.027	0.023	0.091	0.004
ASV_80	-0.008	15.751	0.995876926305852	0.995876926305852	NotSig	0.4	0.402	0.071	0.019	0.072	0.014	0.035	0.041	0.026	3.237	0.917	0.027	0.017	0.518	0.915	0.039	0.05	5.514	0.016	0.026	0.014	0.302	0.03	0.041	0.018	0.012	0.005	0.01	0.014	0.009	0.005	0.014
ASV_60	3.41	14.98	0.0156466746123779	0.0378942900768527	Enriched	0.746	0.07	0.013	0.042	0.032	0.014	0.019	0.306	0.202	0.335	0.573	0.209	1.211	1.511	1.652	1.834	3.231	0.011	0.005	0.004	0.002	0.006	0.01	0.065	0.007	0.018	0.089	0.152	0.199	0.002	0.463	0.021
ASV_94	3.177	13.815	2.62878104279474e-05	0.00152656414491386	Enriched	0.651	0.072	0.213	0.355	0.139	0.507	0.506	0.81	0.916	0.211	0.917	0.925	0.983	0.525	1.441	0.409	0.904	0.036	0.086	0.053	0.156	0.076	0.032	0.081	0.092	0.073	0.074	0.13	0.111	0.022	0.042	0.014
ASV_71	-2.7	15.553	0.177228182929067	0.245271146017905	NotSig	0.089	0.578	0.137	0.05	0.044	0.089	0.073	0.044	0.033	0.058	0.06	0.043	0.272	0.126	0.078	0.028	0.2	0.03	0.076	0.059	0.047	0.06	0.162	0.124	0.041	0.014	0.076	0.335	0.178	4.808	0.11	2.552
ASV_392	3.285	14.506	0.00133320126148186	0.00965847920990356	Enriched	0.701	0.072	0.839	0.418	0.194	0.691	1.21	0.734	0.373	0.546	0.664	0.36	0.021	1.572	0.505	0.054	2.327	0.02	0.004	0.007	0.009	0.013	0.014	0.025	0.047	0.005	0.098	0.279	0.245	0.009	0.3	0.004
ASV_88	0.676	12.467	0.00164997523107768	0.00965847920990356	Enriched	0.353	0.221	0.566	0.523	0.543	0.444	0.468	0.213	0.213	0.282	0.265	0.223	0.298	0.384	0.276	0.209	0.393	0.286	0.208	0.282	0.202	0.213	0.238	0.281	0.214	0.168	0.18	0.189	0.142	0.262	0.154	0.299
ASV_68	-1.177	12.712	0.00251656239196522	0.0114725638457238	Depleted	0.159	0.358	0.219	0.144	0.233	0.113	0.275	0.163	0.088	0.227	0.113	0.135	0.168	0.104	0.118	0.129	0.151	0.447	0.566	0.44	0.671	0.349	0.549	0.474	0.146	0.091	0.548	0.401	0.273	0.009	0.404	0.011
ASV_98	4.063	14.936	0.0282776240822758	0.0617328413063768	Enriched	0.583	0.035	0.118	0.286	0.023	1.398	0.331	0.294	0.107	0.044	0.038	3.134	0.23	0.06	1.305	1.338	0.039	0.085	0.025	0.031	0.032	0.017	0.032	0.019	0.131	0.078	0.013	0.024	0.002	0.011	0.011	0.012
ASV_72	0.19	12.88	0.639469608733089	0.698012601081893	NotSig	0.306	0.268	0.59	0.315	0.754	0.466	0.564	0.117	0.137	0.692	0.235	0.163	0.13	0.177	0.092	0.026	0.127	0.452	0.136	0.176	0.249	0.173	0.457	0.733	0.428	0.086	0.45	0.193	0.111	0.205	0.132	0.037
ASV_83	-0.303	12.816	0.395348559935308	0.457306170074424	NotSig	0.233	0.287	0.208	0.223	0.377	0.135	0.171	0.065	0.201	0.181	0.086	0.135	0.32	0.371	0.3	0.295	0.428	0.082	0.215	0.225	0.39	0.257	0.721	0.59	0.131	0.323	0.472	0.55	0.12	0.011	0.207	0.018
ASV_300	-1.364	12.479	0.00404712018148819	0.0169541521116397	Depleted	0.091	0.235	0.326	0.059	0.076	0.212	0.064	0.071	0.043	0.01	0.074	0.032	0.099	0.062	0.087	0.073	0.081	0.173	0.243	0.328	0.571	0.403	0.252	0.309	0.16	0.105	0.082	0.359	0.331	0.016	0.183	0.012
ASV_157	0.187	13.479	0.780345719322441	0.806357243299855	NotSig	0.243	0.214	0.024	0.073	0.021	0.142	0.244	0.17	0.244	0.016	0.012	0.198	0.314	0.302	0.543	1.142	0.206	0.295	0.012	0.005	0.065	0.006	0.074	0.29	1.023	0.137	0.158	0.05	0.552	0.022	0.505	0.012
ASV_102	-3.991	13.556	0.00754301555429576	0.0248759023599115	Depleted	0.019	0.308	0.011	0.007	0.004	0.002	0.15	0.015	0.003	0.016	0.012	0.005	0.017	0.02	0.005	0.011	0.013	0.011	0.259	0.225	0.432	0.679	1.204	0.014	0.011	0.093	0.036	0.56	0.304	0.016	0.763	0.012
ASV_125	3.385	14.76	0.00975070254942834	0.0265150683361648	Enriched	0.6	0.057	0.067	0.166	0.789	0.111	0.247	0.642	1.018	0.9	0.293	0.375	1.148	0.199	2.776	0.123	0.143	0.1	0.044	0.037	0.1	0.034	0.05	0.051	0.065	0.061	0.082	0.048	0.034	0.054	0.068	0.035
ASV_87	-1.092	12.789	0.232244472752962	0.313025158927906	NotSig	0.065	0.138	0.015	0.014	0.016	0.01	0.16	0.041	0.012	0.007	0.002	0.339	0.082	0.027	0.026	0.026	0.193	0.043	0.018	0.392	0.42	0.019	0.032	0.014	0.005	0.708	0.018	0.118	0.005	0.007	0.214	0.055
