ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	NC1	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9	NC10	NC11	NC12	NC13	NC14	NC15	MD1	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	MD10	MD11	MD12	MD13	MD14	MD15
ASV_96	-3.734	12.884	0.00518952067049328	0.0201093925981614	Depleted	0.017	0.224	0.009	0.014	0.007	0.01	0.01	0.003	0.009	0.005	0.013	0.017	0.01	0.037	0.021	0.069	0.018	0.089	0.42	0.456	0.478	0.421	0.046	0.044	0.02	0.057	0.053	0.756	0.074	0.009	0.433	0.002
ASV_90	-2.361	11.57	7.33377729858031e-05	0.00192081333625746	Depleted	0.031	0.159	0.055	0.021	0.039	0.015	0.038	0.031	0.022	0.005	0.02	0.015	0.029	0.04	0.026	0.071	0.039	0.27	0.217	0.246	0.304	0.093	0.252	0.08	0.171	0.146	0.187	0.156	0.156	0.009	0.102	0.004
ASV_84	-0.706	12.806	0.143331901662254	0.220052017210649	NotSig	0.114	0.186	0.078	0.049	0.044	0.121	0.04	0.174	0.052	0.202	0.157	0.09	0.117	0.176	0.141	0.11	0.16	0.16	0.139	0.099	0.239	0.063	0.206	0.293	0.034	0.02	0.176	0.716	0.29	0.084	0.241	0.028
ASV_103	-1.849	12.68	0.00240851968488345	0.0113127439744526	Depleted	0.074	0.267	0.047	0.118	0.171	0.048	0.153	0.092	0.081	0.042	0.124	0.066	0.044	0.044	0.017	0.015	0.05	0.196	0.39	0.405	0.545	0.656	0.459	0.392	0.068	0.177	0.301	0.221	0.111	0.007	0.053	0.027
ASV_107	-0.886	12.3	0.315971592746363	0.388695213299098	NotSig	0.05	0.092	0.036	0.104	0.1	0.044	0.016	0.01	0.067	0.002	0.156	0.048	0.021	0.022	0.068	0.007	0.044	0.012	0.302	0.038	0.504	0.302	0.016	0.018	0.005	0.089	0.06	0.008	0.012	0.002	0.009	0.002
ASV_111	-0.95	12.905	0.0483907582931604	0.0872159015748821	Depleted	0.131	0.254	0.049	0.085	0.048	0.072	0.064	0.145	0.092	0.056	0.166	0.269	0.166	0.157	0.33	0.032	0.241	0.539	0.307	0.315	0.2	0.084	0.767	0.155	0.489	0.23	0.156	0.146	0.25	0.018	0.126	0.025
ASV_99	-0.893	13.808	0.141145134525223	0.220052017210649	NotSig	0.161	0.3	0.166	0.308	0.189	0.067	0.211	0.053	0.232	0.089	0.225	0.11	0.136	0.198	0.134	0.194	0.112	0.164	0.45	0.304	0.467	0.259	0.242	0.216	0.158	0.043	0.178	1.434	0.262	0.072	0.207	0.041
ASV_104	1.182	13.427	0.0322566002881625	0.0684900417077423	Enriched	0.316	0.139	0.699	0.452	1.101	0.292	0.439	0.134	0.213	0.209	0.142	0.149	0.115	0.188	0.109	0.101	0.389	0.073	0.127	0.191	0.086	0.311	0.306	0.216	0.133	0.109	0.317	0.078	0.048	0.02	0.046	0.027
ASV_135	-4.139	13.759	0.00231569690299334	0.0113127439744526	Depleted	0.025	0.447	0.002	0.002	0.009	0.009	0.005	0	0.005	0.009	0.273	0.008	0.01	0.011	0.005	0.017	0.017	0.027	1.386	0.854	0.455	0.043	0.01	0.668	0.007	0.569	0.637	0.247	0.782	0.009	0.991	0.019
ASV_128	3.58	13.599	0.000393023234746	0.00532238897417084	Enriched	0.479	0.04	0.319	0.196	0.398	0.585	0.325	1.001	0.719	0.091	0.367	1.241	0.245	0.199	0.356	0.067	1.076	0.007	0.159	0.077	0.081	0.063	0.004	0.009	0.005	0.007	0.005	0.034	0.055	0.011	0.066	0.018
