ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	NC1	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9	NC10	NC11	NC12	NC13	NC14	NC15	HD1	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	HD10	HD11	HD12	HD13	HD14	HD15
ASV_101	-1.715	13.085	0.00482854901951672	0.0129102081605304	Depleted	0.093	0.305	0.058	0.109	0.19	0.041	0.245	0.126	0.086	0.052	0.175	0.096	0.038	0.066	0.026	0.047	0.037	0.247	0.202	0.181	0.769	0.37	0.869	0.541	0.136	0.19	0.266	0.268	0.074	0.092	0.311	0.061
ASV_333	1.797	13.714	0.0190051735418937	0.0363679246789324	Enriched	0.318	0.091	0.189	0.244	0.226	0.667	1.344	0.225	0.448	0.063	0.217	0.131	0.224	0.095	0.496	0.103	0.097	0.059	0.067	0.132	0.091	0.039	0.087	0.13	0.104	0.043	0.078	0.08	0.136	0.085	0.131	0.111
ASV_100	-3.632	12.816	1.15517629371654e-05	0.000531999154570537	Depleted	0.025	0.307	0.029	0.009	0.032	0.055	0.037	0.026	0.033	0.007	0.018	0.025	0.034	0.013	0.014	0.013	0.028	0.306	0.448	0.116	0.46	0.129	0.129	0.367	0.345	0.721	0.366	0.29	0.156	0.383	0.148	0.232
ASV_96	-4.585	13.351	5.87285151962934e-05	0.000910291985542548	Depleted	0.017	0.404	0.009	0.014	0.007	0.01	0.01	0.003	0.009	0.005	0.013	0.017	0.01	0.037	0.021	0.069	0.018	0.168	0.276	0.132	0.37	0.283	0.087	0.332	0.126	0.447	1.045	0.794	0.59	0.369	0.597	0.44
ASV_90	-3.849	13.432	0.000345869999019464	0.00268049249240085	Depleted	0.031	0.447	0.055	0.021	0.039	0.015	0.038	0.031	0.022	0.005	0.02	0.015	0.029	0.04	0.026	0.071	0.039	0.07	0.2	0.057	0.235	0.198	0.12	0.262	0.947	1.105	0.788	0.342	0.491	0.836	0.338	0.719
ASV_84	-1.577	13.687	0.0621709299809604	0.0922160318222348	NotSig	0.114	0.34	0.078	0.049	0.044	0.121	0.04	0.174	0.052	0.202	0.157	0.09	0.117	0.176	0.141	0.11	0.16	0.039	0.067	0.135	0.231	0.014	0.29	0.081	0.119	0.069	0.054	1.098	1.319	0.212	1.002	0.372
ASV_103	-1.973	13.03	0.00483091660200492	0.0129102081605304	Depleted	0.074	0.291	0.047	0.118	0.171	0.048	0.153	0.092	0.081	0.042	0.124	0.066	0.044	0.044	0.017	0.015	0.05	0.211	0.191	0.212	0.801	0.376	0.836	0.543	0.103	0.162	0.246	0.215	0.055	0.059	0.299	0.057
ASV_107	-3.297	14.145	0.00559731558165462	0.0141207020775148	Depleted	0.05	0.489	0.036	0.104	0.1	0.044	0.016	0.01	0.067	0.002	0.156	0.048	0.021	0.022	0.068	0.007	0.044	1.811	0.034	0.437	1.07	0.209	0.022	0.255	0.774	1.066	0.833	0.115	0.078	0.113	0.1	0.42
ASV_111	-0.871	12.397	0.0198089174655287	0.0374436854531335	Depleted	0.131	0.24	0.049	0.085	0.048	0.072	0.064	0.145	0.092	0.056	0.166	0.269	0.166	0.157	0.33	0.032	0.241	0.539	0.143	0.088	0.287	0.027	0.395	0.113	0.482	0.192	0.181	0.177	0.265	0.295	0.228	0.194
ASV_99	-0.042	12.692	0.929050231682256	0.935083025394479	NotSig	0.161	0.166	0.166	0.308	0.189	0.067	0.211	0.053	0.232	0.089	0.225	0.11	0.136	0.198	0.134	0.194	0.112	0.022	0.043	0.088	0.138	0.058	0.481	0.274	0.046	0.662	0.38	0.054	0.08	0.034	0.073	0.061
ASV_104	0.975	13.427	0.0550957586121131	0.0876679816873204	NotSig	0.316	0.161	0.699	0.452	1.101	0.292	0.439	0.134	0.213	0.209	0.142	0.149	0.115	0.188	0.109	0.101	0.389	0.125	0.121	0.13	0.277	0.213	0.233	0.195	0.119	0.285	0.373	0.078	0.066	0.032	0.084	0.076
ASV_135	-2.493	12.263	0.0144376873818502	0.0298378872558238	Depleted	0.025	0.143	0.002	0.002	0.009	0.009	0.005	0	0.005	0.009	0.273	0.008	0.01	0.011	0.005	0.017	0.017	0.007	0.031	0.023	0.056	0.016	0.009	0.065	0.014	0.274	0.295	0.195	0.218	0.079	0.491	0.369
ASV_128	2.846	13.599	0.000683332059954428	0.00383021525191649	Enriched	0.479	0.067	0.319	0.196	0.398	0.585	0.325	1.001	0.719	0.091	0.367	1.241	0.245	0.199	0.356	0.067	1.076	0.013	0.023	0.011	0.048	0.005	0.013	0.014	0.055	0.02	0.015	0.125	0.17	0.083	0.06	0.345
ASV_119	-0.137	13.784	0.808268492282458	0.840816216803899	NotSig	0.256	0.282	0.397	0.258	0.373	0.21	0.186	0.417	0.619	0.279	0.387	0.281	0.027	0.077	0.036	0.221	0.077	0.197	0.329	1.41	0.562	0.399	0.554	0.352	0.138	0.078	0.105	0.021	0.027	0.022	0.015	0.02
ASV_106	-1.96	13.199	0.0032256720382268	0.0104162326234407	Depleted	0.079	0.306	0.064	0.092	0.153	0.017	0.155	0.104	0.09	0.061	0.122	0.09	0.048	0.049	0.033	0.058	0.044	0.186	0.231	0.275	0.767	0.372	0.94	0.45	0.113	0.201	0.255	0.254	0.097	0.092	0.284	0.074
ASV_136	5.89	14.877	0.0854801693197054	0.11936420040139	NotSig	0.391	0.007	0.018	0.036	3.009	0.012	0.01	0.892	0.097	0.017	0.013	0.038	0.04	1.078	0.012	0.007	0.588	0.009	0.004	0.004	0.004	0.009	0.009	0.005	0	0.006	0.004	0.014	0.012	0.004	0.013	0.004
ASV_112	-6.195	15.984	0.205085811006712	0.26055984185279	NotSig	0.008	0.594	0.029	0.002	0.002	0.005	0.007	0.007	0.012	0.005	0.01	0.005	0.002	0.011	0.016	0.004	0.006	0.002	0.002	0.006	0.013	0.004	0.002	0.169	0	0.007	0.015	0.002	0.207	0	1.998	6.48
ASV_86	-2.777	11.964	0.00064726899435122	0.00383021525191649	Depleted	0.02	0.137	0.022	0.016	0.016	0.022	0.014	0.012	0.021	0.047	0.02	0.032	0.008	0.031	0.003	0.004	0.033	0.283	0.19	0.078	0.156	0.053	0.122	0.076	0.007	0.106	0.162	0.186	0.399	0.02	0.165	0.05
ASV_116	-1.268	6.848	0.229207473558001	0.284217267211922	NotSig	0.001	0.002	0	0	0	0.005	0	0	0	0	0	0.007	0.002	0	0	0	0	0	0.004	0.002	0	0	0	0.002	0.002	0	0.002	0.009	0	0	0.012	0.002
ASV_114	-2.888	12.942	0.0015819241460778	0.00700566407548741	Depleted	0.033	0.241	0.035	0.021	0.039	0.015	0.016	0.026	0.043	0.019	0.025	0.022	0.048	0.066	0.017	0.047	0.051	0.151	0.164	0.252	0.668	0.257	0.787	0.163	0.133	0.17	0.135	0.111	0.195	0.05	0.259	0.123
ASV_129	0.564	12.4	0.162979280899972	0.210514904495798	NotSig	0.229	0.155	0.268	0.346	0.534	0.089	0.406	0.17	0.313	0.141	0.159	0.153	0.147	0.134	0.118	0.269	0.186	0.048	0.047	0.103	0.188	0.066	0.481	0.151	0.071	0.54	0.244	0.113	0.047	0.05	0.111	0.061
ASV_155	3.176	14.011	0.00464321180531346	0.0129102081605304	Enriched	0.447	0.049	0.422	0.076	0.513	1.651	0.144	0.8	0.444	0.153	1.238	0.354	0.218	0.15	0.03	0.342	0.169	0.02	0.043	0.038	0.026	0.011	0.075	0.032	0.066	0.05	0.118	0.03	0.099	0.036	0.069	0.029
ASV_113	-4.472	12.871	0.000232187116627005	0.0021387564862135	Depleted	0.012	0.26	0.013	0.005	0.056	0.017	0.016	0	0.005	0.005	0.005	0.003	0.01	0.009	0.007	0.011	0.013	0.104	0.316	0.073	0.071	0.749	0.078	0.095	0.241	0.05	0.327	0.514	0.322	0.392	0.24	0.323
ASV_115	0.186	7.598	0.589485256886316	0.639093080201344	NotSig	0.009	0.008	0.007	0.01	0.019	0.014	0.007	0.015	0.005	0.014	0.01	0.015	0.004	0.005	0	0.006	0.002	0.007	0.007	0.006	0.004	0.018	0	0.004	0.002	0.009	0.006	0.012	0.016	0.005	0.015	0.007
ASV_377	0.131	11.951	0.698832881656306	0.747028252805017	NotSig	0.184	0.168	0.22	0.296	0.153	0.396	0.388	0.254	0.294	0.051	0.318	0.159	0.023	0.066	0.043	0.028	0.068	0.321	0.367	0.172	0.173	0.184	0.157	0.116	0.216	0.114	0.054	0.096	0.152	0.156	0.121	0.122
ASV_153	0.788	13.551	0.249830728493419	0.302529397785	NotSig	0.277	0.161	0.663	0.21	0.102	0.119	0.063	0.41	0.297	0.094	1.2	0.649	0.046	0.201	0.016	0.08	0.009	0.03	0.025	0.019	0.225	0.007	0.016	0.028	0.034	0.127	0.028	0.278	0.602	0.371	0.488	0.131
ASV_124	-2.43	13.704	0.0654039667799221	0.0949433197631864	NotSig	0.045	0.242	0.002	0.017	0.005	0.003	0.019	0.085	0.005	0.082	0.03	0.013	0.015	0.015	0.005	0.376	0.002	1.335	0.005	0.076	0.575	0.028	0.009	0.445	0.018	0.658	0.234	0.01	0.025	0.013	0.196	0.009
ASV_110	-1.658	12.645	0.0566868052600689	0.0876679816873204	NotSig	0.05	0.159	0.093	0.118	0.099	0.108	0.129	0.014	0.026	0.131	0.003	0.023	0.002	0	0.002	0.009	0.002	0.09	0.078	0.101	0.076	0.074	0.517	0.431	0.099	0.108	0.641	0.021	0.023	0.002	0.052	0.077
ASV_121	2.726	14.104	0.0255617603919807	0.047167534056631	Enriched	0.389	0.059	0.111	0.114	0.129	0.044	0.071	0.073	0.112	0.119	0.096	0.088	0.612	1.059	0.437	1.761	1.007	0.091	0.24	0.073	0.093	0.193	0.022	0.026	0.011	0.017	0.017	0.009	0.039	0.022	0.019	0.011
ASV_154	1.064	14.392	0.343653460228036	0.401957766156845	NotSig	0.258	0.123	0.129	0.05	0.046	0.237	0.158	0.15	0.052	0.044	0.126	0.131	0.077	0.274	2.151	0.121	0.123	0.075	0.098	0.034	0.086	0.119	0.018	0.105	0.161	0.116	0.192	0.116	0.088	0.295	0.182	0.166
ASV_138	-1.544	12.078	0.000180361301620974	0.00186373345008339	Depleted	0.07	0.204	0.1	0.062	0.032	0.101	0.181	0.06	0.218	0.012	0.103	0.095	0.027	0.013	0.031	0.007	0.007	0.127	0.379	0.275	0.24	0.112	0.148	0.432	0.195	0.212	0.181	0.092	0.133	0.115	0.244	0.173
ASV_159	1.261	12.402	0.00966429387493791	0.0217364778276692	Enriched	0.232	0.097	0.066	0.22	0.097	0.082	0.493	0.441	0.541	0.044	0.306	0.299	0.32	0.221	0.085	0.101	0.158	0.041	0.029	0.034	0.041	0.03	0.029	0.125	0.324	0.063	0.229	0.073	0.074	0.135	0.106	0.116
ASV_108	0.248	11.201	0.561704402595437	0.626361024476927	NotSig	0.078	0.065	0.12	0.05	0.049	0.079	0.037	0.036	0.066	0.051	0.071	0.043	0.235	0.095	0.05	0.032	0.152	0.052	0.213	0.053	0.065	0.064	0.064	0.007	0.041	0.019	0.033	0.021	0.177	0.036	0.115	0.022
ASV_105	3.654	13.82	0.00967623851683339	0.0217364778276692	Enriched	0.358	0.028	0.291	1.447	0.446	0.068	1.015	0.027	0.41	0.882	0.055	0.1	0.144	0.11	0.207	0.015	0.16	0.061	0.04	0.113	0.034	0.039	0.015	0.005	0.004	0.009	0.013	0.033	0.027	0.007	0.012	0.017
ASV_272	-3.953	13.694	0.00449448622491826	0.0129008400900432	Depleted	0.024	0.376	0.027	0.023	0.042	0.022	0.009	0.003	0.052	0.003	0.074	0.043	0.004	0.015	0.024	0.006	0.017	0.668	0.033	0.176	0.78	0.198	0.02	0.411	0.402	1.325	1.028	0.057	0.039	0.07	0.111	0.323
ASV_134	-4.271	13.687	0.00839483157348447	0.0197151347559105	Depleted	0.014	0.276	0.011	0.021	0.011	0.027	0.047	0.002	0.003	0.002	0.008	0.008	0.025	0.013	0.01	0.015	0.011	1.319	0.321	0.097	0.631	0.407	0.31	0.1	0.243	0.097	0.055	0.092	0.043	0.165	0.165	0.088
ASV_1046	-3.643	13.084	0.000900890489754872	0.00465460086373351	Depleted	0.025	0.316	0.015	0.029	0.005	0.02	0.019	0.029	0.017	0.061	0.013	0.017	0.011	0.029	0.038	0.054	0.02	0.149	0.103	0.023	0.121	0.016	0.481	0.868	0.009	0.76	0.377	0.365	0.207	0.585	0.39	0.286
ASV_127	-1.277	11.885	0.00556107364860116	0.0141207020775148	Depleted	0.07	0.17	0.189	0.066	0.152	0.077	0.103	0.051	0.061	0.065	0.045	0.061	0.042	0.06	0.021	0.002	0.057	0.063	0.114	0.21	0.361	0.143	0.284	0.123	0.055	0.378	0.312	0.076	0.14	0.018	0.148	0.12
ASV_120	3.95	14.204	0.0272150606092863	0.0496274634639927	Enriched	0.401	0.026	0.035	0.026	0.033	0.015	0.009	0.034	0.102	0.078	0.068	0.045	0.861	1.191	0.51	1.888	1.126	0.043	0.108	0.025	0.054	0.076	0.007	0.012	0.002	0.011	0.007	0.009	0.025	0.002	0.004	0.004
ASV_167	-2.944	13.406	0.00128024040857078	0.00601325040389307	Depleted	0.04	0.309	0.025	0.017	0.018	0.024	0.009	0.029	0.052	0.003	0.065	0.106	0.067	0.042	0.023	0.095	0.028	0.335	0.126	0.536	1.085	0.099	0.086	0.304	0.498	0.158	0.404	0.076	0.322	0.183	0.25	0.173
ASV_183	2.578	14.093	0.0609589338794459	0.0917343179739234	NotSig	0.37	0.062	0.106	1.583	0.301	0.061	0.846	0.077	0.038	0.214	0.033	0.023	0.038	0.454	1.748	0.019	0.015	0.038	0.013	0.052	0.019	0.018	0.007	0.005	0.613	0.017	0.02	0.012	0.039	0.04	0.017	0.022
ASV_123	3.077	13.036	0.000234573292036319	0.0021387564862135	Enriched	0.349	0.041	0.053	0.175	0.396	0.497	0.614	0.322	0.057	0.101	0.29	0.317	0.84	0.084	0.734	0.342	0.408	0.041	0.031	0.048	0.045	0.007	0.02	0.054	0.023	0.065	0.057	0.066	0.041	0.061	0.035	0.026
ASV_149	-5.978	13.202	0.00361233580395988	0.0105643782945996	Depleted	0.004	0.25	0.004	0.007	0.007	0	0.005	0.003	0.005	0.003	0.008	0.002	0.004	0.002	0.003	0	0.006	0.942	0.558	0.095	0.281	0.544	0.202	0.445	0.149	0.304	0.21	0	0.002	0.009	0.008	0
ASV_139	0.673	12.354	0.118675509531465	0.157219692114334	NotSig	0.196	0.123	0.146	0.137	0.164	0.051	0.096	0.068	0.09	0.071	0.081	0.085	0.4	0.432	0.288	0.305	0.524	0.217	0.134	0.248	0.262	0.218	0.129	0.028	0.016	0.097	0.126	0.082	0.099	0.022	0.108	0.057
ASV_150	-0.215	11.682	0.583218678062255	0.639093080201344	NotSig	0.125	0.145	0.087	0.097	0.092	0.075	0.066	0.243	0.216	0.303	0.243	0.198	0.054	0.046	0.054	0.05	0.044	0.072	0.081	0.114	0.141	0.129	0.279	0.169	0.299	0.311	0.329	0.042	0.058	0.029	0.071	0.044
