var	estimate	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Unassigned	0.598361665395098	0.898828276941692	0.300466611546594	3.97651605799026	0.00095863188445764	17.1743413157427	0.281134919791875	0.915588410998322	Welch Two Sample t-test	two.sided
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella	0.953712831698471	1.53751548770582	0.583802656007351	2.20882550773154	0.0402297884642778	18.21399946354	0.047353236098313	1.86007242729863	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus	1.90519132564118	2.08076433026462	0.175573004623447	3.0288069413519	0.00847766108578003	14.9683367501905	0.564212002918725	3.24617064836363	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae_2|Alkaliphilus	2.77088959926728	2.83532438276776	0.0644347835004792	3.06074747433776	0.00846575789990225	14.0025542225566	0.829251004535035	4.71252819399953	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Acetatifactor	-0.740340186066266	0.483858332207113	1.22419851827338	-2.63997698015968	0.0178715876942016	15.9388466106627	-1.33501984761435	-0.145660524518178	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerotaenia	1.98404411040338	2.06124141583877	0.0771973054353934	3.85813564349442	0.0017363659331027	14.0144456142863	0.881195397400145	3.08689282340661	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnospiracea_incertae_sedis	-1.71930794381349	1.79127207287699	3.51058001669049	-2.25544941077745	0.0338486679765177	23.1677932155142	-3.29559452862001	-0.143021359006976	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia	-1.1138063882836	0.131307633489812	1.24511402177341	-5.82301043167691	3.30392060490434e-05	15.0591107273847	-1.52136374736873	-0.706249029198472	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Romboutsia	-0.996139026118629	0.176686352004657	1.17282537812329	-4.07285671213184	0.000982629151510546	15.1378582388982	-1.51703562749534	-0.475242424741918	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Flintibacter	-1.53067760163602	1.04300442919113	2.57368203082715	-4.21567968293364	0.000598970910316113	16.7502646502615	-2.29760473843916	-0.763750464832881	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Oscillibacter	-0.343427079565359	0.284291444995246	0.627718524560605	-3.55402917855694	0.00190423185575518	20.7459810363846	-0.544530817637123	-0.142323341493595	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Unassigned	1.34640043243573	1.87104133921684	0.524640906781106	2.25544069989236	0.0398934441539583	14.6214015373261	0.0711417993352772	2.62165906553619	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Unassigned|Unassigned	0.737694333277833	1.251725531475	0.514031198197167	4.40061813570035	0.000144949160127443	27.7296757760574	0.394160259479239	1.08122840707643	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Turicibacter	-0.441792725924033	0.254743980643504	0.696536706567538	-2.18215297895572	0.043587651888621	16.8115330002406	-0.869305285960643	-0.0142801658874241	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Desulfovibrio	3.4443025124178	4.74586280448416	1.30156029206637	2.14941676801402	0.0490973931680985	14.3644070465425	0.0155812255922702	6.87302379924332	Welch Two Sample t-test	two.sided
Bacteria|Unassigned|Unassigned|Unassigned|Unassigned|Unassigned	1.31972909775638	1.35174113544601	0.0320120376896296	2.76073598546092	0.0153149009803663	14.0044956991522	0.294476349512381	2.34498184600037	Welch Two Sample t-test	two.sided
