Genus	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
Bacteria|Acidobacteria|Acidobacteria_Gp15|Unassigned|Unassigned|Gp15	0.00179169727482844	0	0	0	0	0	0.00184297825285662	0	0.00190817845284891	0	0.00177122816961281	0	0	0	0	0	0	0	0	0.00359485935112789	0.00182862158504919	0	0	0	0	0.00186431514383191	0	0	0.00179742967556394	0.00178316690442225	0.0637337023818195	0.039866447401206	0.0363545912021889	0.0219579139981702	0.029508765839264	0.0728931087976375	0.0495986185866231	0.00346482338062817	0.0123324113387713	0.0751019850820148	0.00174052285306506	0.0306356905795251	0.0276582136251275	0.33296724369367	0.0480060918075121
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium	0.0609177073441671	0.0129220431596242	0.0330044469149528	0.0272808761058498	0.00719515046858417	0.0115185256287195	0.0165868042757095	0.0397240980824094	0.112582528718086	0.0335095688435475	0.0389670197314818	0.0145761970701844	0.00527361260041837	0.00354126458558351	0.0093179276928811	0.245547232255654	0.35729183669768	0.0398819494296881	0.130328909009843	0.0772894760492496	0.0640017554767216	0.0035421426420842	0.0194020636740453	0.0238186848421554	0.00702728342790886	0.0167788362944872	0.379430853719421	0.0353388108490149	0.0503280309157904	0.0374465049928673	0.291354068031175	0.0996661185030149	0.143504965271798	0.109789569990851	0.206561360874848	0.0149524325738744	0.159817771001341	1.44656376141226	0.445728581244164	0.0682745318927407	1.01472482333693	0.0272317249595779	0.409687289322201	0.882101703188466	0.0546276217119966
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Cutibacterium	0	0	0.100750416898277	0.124712576483885	0.0719515046858417	0	0	0	0	0	0	0	0	0	0.00186358553857622	0	0	0	0	0	0	0	0	0.00183220652631965	0	0	0	0	0	0	0	0	0.107150374069609	0.153705397987191	0.133657351154313	0.145786217595275	0.119404081782611	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella	0.102126744665221	0.00923003082830297	0.00173707615341857	0	0.00359757523429209	0.00383950854290651	0	0.142645624932288	0.265236804945999	0.0651574949735647	0.0478231605795459	0.00728809853509219	0.0105472252008367	0.0106237937567505	0.00372717107715244	0.0284692443194961	0.010881984874041	0.00398819494296881	0	0.00359485935112789	0.00548586475514757	0.00885535660521049	0.00352764794073551	0.00366441305263929	0.00527046257093164	0.00559294543149574	0.00998502246630055	0.00883470271225373	0.00898714837781972	0.00178316690442225	0.34962488163741	0.255809704157738	0.0344411916652316	0.0969807868252516	0.112827634091304	0.0261667570042801	0.110219152414718	1.2178854182908	0.401684255034266	0.0477921723249185	0.835450969471229	0.21615181686665	0.252381199329288	1.08780921499922	0.160572100183747
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Adlercreutzia	0.123627111963163	0.0941463144486903	0.01215953307393	0.0331267781285319	0.00539636285143813	0.0249568055288923	0.0258016955399926	0.158896392329638	0.0763271381139564	0.158239630650086	0.0425094760707074	0.0892792070548794	0.0474625134037654	0.0159356906351258	0.0391352963101006	0.104980338428142	0.0598509168072256	0.0398819494296881	0.0171485406591899	0.00898714837781972	0.0365724317009838	0	0.0687891348443425	0.1026035654739	0.165141160555858	0.128637744924402	0.0619071392910634	0.0494743351886209	0.00898714837781972	0.00713266761768902	0.296816956806759	0.0681051809770602	0.0210473949065304	0.0219579139981702	0.0208297170630099	0.0168214866456087	0.0293917739772581	0.545709682448937	0.093373971564983	0.167272603137215	0.58133463292373	0.335290613564803	0.11236149285208	0.432334431602252	0.109255243423993
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Enteroscipio	0.0268754591224267	0	0	0	0	0	0	0.0216676898631324	0.00381635690569782	0.0093082135676521	0.0159410535265153	0.0109321478026383	0.014062966934449	0	0	0.00355865553993701	0.0018136641456735	0.00398819494296881	0.0137188325273519	0.00179742967556394	0.00914310792524595	0.00708428528416839	0.00529147191110327	0.00732882610527859	0.0140545668558177	0.0261004120136468	0	0.00176694054245075	0	0	0.0837642945589628	0.0348831414760552	0.0248741939804451	0.0237877401646844	0.0329803853497657	0.00560716221520289	0.0330657457244154	0.294509987353395	0.0880886524197953	0.114359840920341	0.224527448045393	0.0578674155391031	0.0691455340628187	0.174328399839618	0.0695260639970865
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Unassigned	0.0107501836489707	0.0147680493252847	0	0	0	0	0.00184297825285662	0.0018056408219277	0.0133572491699424	0	0.00531368450883843	0.00546607390131915	0.0070314834672245	0.00177063229279176	0.00559075661572866	0.00355865553993701	0.00362732829134701	0.00797638988593762	0.00171485406591899	0.00179742967556394	0.0182862158504919	0	0.0176382397036776	0.0164898587368768	0.0193250294267494	0.00559294543149574	0.017973040439341	0.00353388108490149	0.00179742967556394	0.00356633380884451	0.0710175540825989	0.013288815800402	0.00382679907391462	0	0.00173580975525082	0.00373810814346859	0.0055109576207359	0.294509987353395	0.0510914184034813	0.141669653677437	0.428168621854005	0.013615862479789	0.0155577451641342	0.0104597039903771	0.0165538247612111
Bacteria|Actinobacteria|Unassigned|Unassigned|Unassigned|Unassigned	0.00537509182448534	0.00923003082830297	0.00694830461367426	0.13835301453681	0.00359757523429209	0.0307160683432521	0.00737191301142646	0.0126394857534939	0.124031599435179	0.00372328542706084	0.00708491267845124	0.00182202463377305	0	0.00177063229279176	0.00186358553857622	0.0409245387092756	0.0489689319331846	0.00398819494296881	0.00685941626367596	0.00359485935112789	0.00182862158504919	0	0.00352764794073551	0.00183220652631965	0	0.0242360968698149	0.131802296555167	0.144889124480961	0.0503280309157904	0.00356633380884451	0.00728385170077937	0.0348831414760552	0.0631421847195913	0.0384263494967978	0.00520742926575247	0.0859764872997776	0.113893124161875	0.0121268818321986	0.00880886524197953	0.0341372659463704	0.0104431371183904	0.0306356905795251	0.0155577451641342	0.0313791119711312	0.0480060918075121
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides	1.28643864332682	1.46203688320319	1.26980266814897	5.79328890447796	0.548630223229543	2.97561912075254	0.744563214154073	2.84388429453613	0.849139411517765	1.53213195323554	2.23174749371214	1.39567086947016	0.620528415982562	0.479841351346566	0.944837868058144	0.727745057917119	2.35957705352123	4.22748663954694	2.46424529272559	44.0603936370989	0.991112899096661	38.1719001824203	1.25584266690184	1.29353780758167	0.883680891059539	1.55297451481198	5.33000499251123	4.7247990105133	1.24921362451694	0.764978601997147	0.58270813606235	0.539858141891331	1.10211813328741	0.808783165599268	0.394028814441937	0.385025138777265	0.887264176938479	0.424440864126951	0.523246595373584	0.471094270059911	0.480384307445957	0.440813547783167	0.385486352400214	0.331223959695274	0.35921799731828
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Phocaeicola	0.130793901062476	0.182754610400399	0.215397443023902	0.477415331852372	0.0233842390228986	0.211172969859858	0.0552893475856985	0.0343071756166263	0.118307064076632	0.0874972075359297	0.0673066704452868	0.160338167772028	0.0369152882029286	0.0442658073197939	0.0372717107715244	0.224195299016032	0.0507825960788581	0.207386137034378	0.106320952086977	0.0269614451334592	0.0219434590205903	0.00885535660521049	0.104065614251698	0.0732882610527859	0.0878410428488607	0.065251030034117	0.283574638042936	0.341019524692994	0.030556304484587	0.0356633380884451	0.0127467404763639	0.00996661185030149	0.00191339953695731	0.0219579139981702	0.00347161951050165	0.0130833785021401	0.0404136892187299	0.0121268818321986	0.0105706382903754	0.0136549063785481	0.00522156855919518	0.00340396561994724	0.00691455340628187	0.00697313599358471	0.0115876773328478
