Phylum	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
Bacteria|Acidobacteria	0.00179169727482844	0	0	0	0	0	0.00184297825285662	0	0.00190817845284891	0	0.00177122816961281	0	0	0	0	0	0	0	0	0.00359485935112789	0.00182862158504919	0	0	0	0	0.00186431514383191	0	0	0.00179742967556394	0.00178316690442225	0.0637337023818195	0.039866447401206	0.0363545912021889	0.0219579139981702	0.029508765839264	0.0728931087976375	0.0495986185866231	0.00346482338062817	0.0123324113387713	0.0751019850820148	0.00174052285306506	0.0306356905795251	0.0276582136251275	0.33296724369367	0.0480060918075121
Bacteria|Actinobacteria	0.329672298568434	0.140296468590205	0.154599777654252	0.323473245255076	0.0917381684744482	0.0710309080437704	0.0516033910799853	0.37737893178289	0.59535167728886	0.269938193461911	0.15763930709554	0.129363748997886	0.084377801606694	0.0336420135630434	0.0614983227730153	0.427038664792441	0.482434662749152	0.0997048735742203	0.16977055252598	0.097061202480453	0.13531799729364	0.0194817845314631	0.11817620601464	0.15756976126349	0.210818502837266	0.206938980965342	0.601098352471293	0.243837794858203	0.120427788262784	0.0534950071326676	1.09986160681769	0.506636102390326	0.397987103687121	0.444647758462946	0.513799687554244	0.299048651477487	0.571302606682955	3.81130571869099	1.08877574390867	0.573506067899022	3.09464963274968	0.680793123989448	0.874691005894657	2.61841256559106	0.458540945885547
Bacteria|Bacteroidetes	10.6086395642592	21.2493769729191	12.2602834908282	22.4560583031295	4.67325022934542	16.8803993088885	8.22521194249908	15.459896717345	31.5154753272526	29.3208727381041	17.8504374933579	33.5635157787333	16.2462425510222	6.96035554296439	14.46328736489	18.8608743616662	30.413334058799	26.6650713886895	10.9424837946291	55.4722746472544	12.1639907837472	53.8547367302481	16.8304083252491	18.7819491013027	20.7094042620474	22.4426257014486	40.2056914628058	31.7960950614012	9.23878853239867	10.7917261055635	29.738145531357	12.4566037109018	24.0858733712186	30.0420860018298	18.6946710640514	28.8712782460797	32.6946745779525	24.9432635171422	36.7893447966033	15.1962039360268	21.2970376301041	14.19453663518	23.3677332365296	23.4001011104719	17.6695525501167
Bacteria|Candidatus_Saccharibacteria	0.00358339454965689	0.00369201233132119	0.01215953307393	0.0370240461436533	0.00359757523429209	0.0307160683432521	0.00368595650571323	0.0018056408219277	0.0286226767927337	0.0372328542706084	0.00531368450883843	0.00728809853509219	0	0.00354126458558351	0.0186358553857622	0.00355865553993701	0.0272049621851026	0.00199409747148441	0.00171485406591899	0.00179742967556394	0.00182862158504919	0.0194817845314631	0.190492988799718	0.0219864783158358	0.0439205214244303	0.0149145211506553	0.00199700449326011	0.00530082162735224	0.00359485935112789	0	0.340520067011436	0.189365625155728	0.14924516388267	0.135407136322049	0.229126887693109	0.0953217576584491	0.352701287727097	0.576893092874591	0.357639928824369	0.186048099407718	0.898109792181571	0.241681559016254	0.212622517243168	0.106340323902167	0.162227482659869
Bacteria|Deferribacteres	20.647519395123	0.286130955677392	0.229294052251251	0.830118087220858	2.84208443509075	1.89095795738146	1.80243273129377	0.82517785562096	0.0896843872838988	0.169409486931268	8.42396117467852	1.81655855987173	1.02483871534797	0.683464065017618	3.85203130823705	0.0943043718083308	0.0761738941182872	0.0937225811597671	0.0788832870322735	0.030556304484587	0.0603445123066233	0.0017710713210421	0.065261486903607	0.126422250316056	0.110679713989564	0.177109938664032	0.0559161258112831	0.130753600141355	2.25217938348162	0.511768901569187	0.145677034015587	0.194348931080879	0.0478349884239328	0.0274473924977127	0.0451310536365214	0.0542025680802946	0.0238808163565222	0.107409524799473	0.227268723243072	0.945602266714459	0.0591777770042121	0.0782912092587865	0.364742692181369	0.0174328399839618	0.225132016752471
Bacteria|Firmicutes	62.9100747137764	74.9275442579978	83.3553362979433	72.2670408043961	88.2808986742935	77.5215972355539	86.3214154072982	77.221841031382	52.1161699042094	65.1407401891429	65.2272485741613	61.9615917207201	79.5014678221738	88.0659383465836	77.1263510995155	61.2800483977153	65.9847289478934	68.9339554917444	82.9869328120177	15.7023456457266	82.9682185568519	8.55073233799125	79.1921686215716	77.0479488447938	75.3131533177562	72.814556572643	55.9380928607089	64.6152486968814	84.9932596387166	85.308487874465	58.7970718916163	72.4805235793425	64.3763274209288	62.5489478499543	71.9198055893074	65.1496177784423	56.6067196943255	61.417459245015	51.6816123746939	74.845955587417	67.229435722491	60.9752361501149	55.6310394302408	51.5227585725991	65.1078481683193
Bacteria|Proteobacteria	1.6752369519646	1.44911484004357	2.10012506948305	1.99540122374216	2.66220567337614	1.86984066039547	2.11205307777368	2.31122025206746	0.685036064572759	1.80207014669745	2.96680718410146	0.838131331535602	1.6066939722608	2.8790481080794	2.67983600447261	1.28289532214729	0.932223370876181	1.57932519741565	3.59947868436396	20.490698301429	2.18703141571883	31.7287427164692	1.89081929623424	2.0703933747412	1.58465241299345	2.51309681388542	0.826759860209686	1.19975262832406	1.85314999550643	1.37125534950071	0.8121494646369	10.0098005016528	0.857202992556876	1.09606587374199	1.02239194584274	1.2971235257836	3.05674449363484	0.696429499506263	0.942548580891809	0.890982641200266	0.370731367702858	18.8188239298783	15.4073536275476	10.1982113906176	9.65584598321442
Bacteria|Thermotogae	0.0430007345958827	0	0.0277932184546971	0.0175377060680463	0.0125915133200223	0	0	0.018056408219277	0	0	0.0442807042403202	0.0218642956052766	0.0158208378012551	0.0123944260495423	0	0.0266899165495276	0.018136641456735	0.0219350721863285	0.0188633947251089	0.0143794374045115	0.00731448634019676	0.0159396418893789	0.0246935355851486	0.0238186848421554	0.0122977459988405	0.022371781725983	0.0339490763854219	0.0159024648820567	0.00359485935112789	0.00713266761768902	0.00182096292519484	0.0249165296257537	0.0210473949065304	0	0	0.0299048651477487	0.0220438304829436	0.0329158221159676	0.019379503532355	0.0273098127570963	0.0174052285306506	0	0	0.0383522479647159	0.0248307371418166
Bacteria|Unassigned	0.0394173400462258	0.0295360986505695	0.0347415230683713	0.0370240461436533	0.0233842390228986	0.0115185256287195	0.0147438260228529	0.0379184572604817	0.0572453535854673	0.0688807804006255	0.0655354422756739	0.0291523941403688	0.028125933868898	0.0159356906351258	0.0242266120014909	0.0676144552588032	0.0362732829134701	0.00797638988593762	0.0188633947251089	0.0143794374045115	0.0128003510953443	0.0920957086941891	0.0211658876444131	0.0439729566316715	0.0298659545686126	0.0111858908629915	0.0439340988517224	0.0424065730188179	0.0251640154578952	0.0124821683309558	0.502585767353777	0.244181990332386	5.35560530394352	0.843549862763037	3.21471966672453	0.289703381118816	1.16832301559601	0.107409524799473	0.304786737372492	0.141669653677437	0.0626588227103422	0.81354778316739	0.598108869643382	5.63603716681485	0.993229485672665
Bacteria|Verrucomicrobia	1.587443785498	0.103376345276993	0.232768204558088	0.190966132740949	0.100732106560178	0.122864273373008	0.0534463693328419	2.02954028384674	13.3591573483952	1.29198004319011	3.63987388855432	0.204066758982581	0.0527361260041837	0.0761371885900455	0.111815132314573	16.3680361559403	0.0816148865553077	0.113663555874611	0.120039784614329	0.233665857823313	0.0640017554767216	0.0814692807679365	0.151688861451627	0.111764598105498	0.117706997417473	0.0633867148902851	0.203694458312531	0.16609241099037	0.188730115934214	0.0998573466476462	4.6252458299949	1.07141077390741	0.340585117578402	1.03019213174748	0.288144419371637	0.160738650169149	1.06912577842276	3.74547407445905	4.95586758513768	2.72244695922304	2.29574964319281	0.651859416219896	0.376843160642362	1.83916461830797	2.12220033438726
