var	estimate	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides	-1.12416451426338	0.541046240080092	1.66521075434347	-3.11425321718918	0.00723977281052702	14.7215359743266	-1.89483193937786	-0.353497089148905	Welch Two Sample t-test	two.sided
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Duncaniella	3.25592769045129	7.3410467497981	4.08511905934681	2.53556138163733	0.0198760086750343	19.5807394616233	0.573649513710706	5.93820586719188	Welch Two Sample t-test	two.sided
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides	-0.0810277283066616	0.0352974823516322	0.116325210658294	-2.52195184243368	0.0233182731016891	15.1706516855742	-0.149441985312749	-0.0126134713005745	Welch Two Sample t-test	two.sided
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas	-0.563817653057733	0.397066667935979	0.960884320993712	-2.30176854975887	0.0354315019508812	15.6697659319187	-1.08397876884699	-0.0436565372684734	Welch Two Sample t-test	two.sided
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella	1.30481734405557	1.53751548770582	0.232698143650247	3.20432058599906	0.0060216546464582	14.7407704270055	0.435547819528779	2.17408686858237	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus	2.0369337136865	2.08076433026462	0.0438306165781196	3.29299900766111	0.00532981473102341	14.0141564990995	0.710369596114085	3.36349783125892	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae_2|Alkaliphilus	2.76711106719328	2.83532438276776	0.0682133155744857	3.05663880085405	0.00853578391352658	14.0013610010435	0.825498320128344	4.70872381425821	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Acetatifactor	-1.54441341410823	0.483858332207113	2.02827174631535	-4.46711016118279	0.000434936591140379	15.2495303436042	-2.28027035190162	-0.808556476314842	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerotaenia	1.9319171208817	2.06124141583877	0.129324294957071	3.75082567367843	0.0021247756075967	14.1033163004066	0.827972399692895	3.03586184207051	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Enterocloster	-2.25735743863607	3.91717914171979	6.17453658035586	-2.17216942012768	0.0384871231279746	27.9324382938511	-4.38633088740354	-0.128383989868589	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Kineothrix	-5.00998346889676	7.43271091825421	12.442694387151	-2.71500480674403	0.0128477259084537	21.3657707689713	-8.84348719982052	-1.176479737973	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia	-1.27047677427276	0.131307633489812	1.40178440776257	-7.05208338320817	3.64598332518603e-06	15.199194497908	-1.65403284555361	-0.886920702991905	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Flintibacter	-2.26456960938258	1.04300442919113	3.30757403857372	-8.14572125755123	1.31482185840556e-07	18.930875004434	-2.84658932017091	-1.68254989859426	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Lawsonibacter	-0.366121183679293	0.62528399859715	0.991405182276443	-2.86002608602179	0.00813978319520763	26.6039753425458	-0.628965712389306	-0.10327665496928	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Oscillibacter	-0.651610402987244	0.284291444995246	0.93590184798249	-4.8164033087404	0.000155834595399406	17.21496639146	-0.93677572836665	-0.366445077607837	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Clostridia|Clostridiales|Unassigned|Unassigned	0.94250229370572	1.251725531475	0.30922323776928	8.20026038567745	5.75941171539607e-07	15.206933240391	0.697812775999793	1.18719181141165	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Faecalibaculum	-1.96586526103311	0.246817637846279	2.21268289887939	-3.33154410940423	0.00477409887512102	14.4116658985208	-3.22806989390904	-0.703660628157183	Welch Two Sample t-test	two.sided
