Family	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
Bacteria|Acidobacteria|Acidobacteria_Gp15|Unassigned|Unassigned	0.00179169727482844	0	0	0	0	0	0.00184297825285662	0	0.00190817845284891	0	0.00177122816961281	0	0	0	0	0	0	0	0	0.00359485935112789	0.00182862158504919	0	0	0	0	0.00186431514383191	0	0	0.00179742967556394	0.00178316690442225	0.0637337023818195	0.039866447401206	0.0363545912021889	0.0219579139981702	0.029508765839264	0.0728931087976375	0.0495986185866231	0.00346482338062817	0.0123324113387713	0.0751019850820148	0.00174052285306506	0.0306356905795251	0.0276582136251275	0.33296724369367	0.0480060918075121
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae	0.0609177073441671	0.0129220431596242	0.0330044469149528	0.0272808761058498	0.00719515046858417	0.0115185256287195	0.0165868042757095	0.0397240980824094	0.112582528718086	0.0335095688435475	0.0389670197314818	0.0145761970701844	0.00527361260041837	0.00354126458558351	0.0093179276928811	0.245547232255654	0.35729183669768	0.0398819494296881	0.130328909009843	0.0772894760492496	0.0640017554767216	0.0035421426420842	0.0194020636740453	0.0238186848421554	0.00702728342790886	0.0167788362944872	0.379430853719421	0.0353388108490149	0.0503280309157904	0.0374465049928673	0.291354068031175	0.0996661185030149	0.143504965271798	0.109789569990851	0.206561360874848	0.0149524325738744	0.159817771001341	1.44656376141226	0.445728581244164	0.0682745318927407	1.01472482333693	0.0272317249595779	0.409687289322201	0.882101703188466	0.0546276217119966
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae	0	0	0.100750416898277	0.124712576483885	0.0719515046858417	0	0	0	0	0	0	0	0	0	0.00186358553857622	0	0	0	0	0	0	0	0	0.00183220652631965	0	0	0	0	0	0	0	0	0.107150374069609	0.153705397987191	0.133657351154313	0.145786217595275	0.119404081782611	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae	0.102126744665221	0.00923003082830297	0.00173707615341857	0	0.00359757523429209	0.00383950854290651	0	0.142645624932288	0.265236804945999	0.0651574949735647	0.0478231605795459	0.00728809853509219	0.0105472252008367	0.0106237937567505	0.00372717107715244	0.0284692443194961	0.010881984874041	0.00398819494296881	0	0.00359485935112789	0.00548586475514757	0.00885535660521049	0.00352764794073551	0.00366441305263929	0.00527046257093164	0.00559294543149574	0.00998502246630055	0.00883470271225373	0.00898714837781972	0.00178316690442225	0.34962488163741	0.255809704157738	0.0344411916652316	0.0969807868252516	0.112827634091304	0.0261667570042801	0.110219152414718	1.2178854182908	0.401684255034266	0.0477921723249185	0.835450969471229	0.21615181686665	0.252381199329288	1.08780921499922	0.160572100183747
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae	0.16125275473456	0.108914363773975	0.01215953307393	0.0331267781285319	0.00539636285143813	0.0249568055288923	0.0276446737928492	0.182369723014698	0.0935007441895966	0.167547844217738	0.0637642141060611	0.105677428758837	0.0685569638054389	0.0177063229279176	0.0447260529258293	0.112097649508016	0.0652919092442461	0.0518465342585946	0.0325822272524608	0.0125820077289476	0.0640017554767216	0.00708428528416839	0.0917188464591234	0.126422250316056	0.198520756838425	0.160331102369545	0.0798801797304044	0.0547751568159731	0.0107845780533837	0.0106990014265335	0.451598805448321	0.116277138253517	0.0497483879608901	0.0457456541628545	0.0555459121680264	0.0261667570042801	0.0679684773224094	1.13472965715573	0.23255404238826	0.423302097734992	1.23403070282313	0.406773891583695	0.197064772079033	0.617122535432247	0.195335132182291
Bacteria|Actinobacteria|Unassigned|Unassigned|Unassigned	0.00537509182448534	0.00923003082830297	0.00694830461367426	0.13835301453681	0.00359757523429209	0.0307160683432521	0.00737191301142646	0.0126394857534939	0.124031599435179	0.00372328542706084	0.00708491267845124	0.00182202463377305	0	0.00177063229279176	0.00186358553857622	0.0409245387092756	0.0489689319331846	0.00398819494296881	0.00685941626367596	0.00359485935112789	0.00182862158504919	0	0.00352764794073551	0.00183220652631965	0	0.0242360968698149	0.131802296555167	0.144889124480961	0.0503280309157904	0.00356633380884451	0.00728385170077937	0.0348831414760552	0.0631421847195913	0.0384263494967978	0.00520742926575247	0.0859764872997776	0.113893124161875	0.0121268818321986	0.00880886524197953	0.0341372659463704	0.0104431371183904	0.0306356905795251	0.0155577451641342	0.0313791119711312	0.0480060918075121
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae	1.4172325443893	1.64848350593491	1.48693718732629	6.31552281850423	0.572014462252442	3.1867920906124	0.803538518245485	2.87999711097468	0.969354654047247	1.62521408891206	2.30082539232704	1.55783106187596	0.657443704185491	0.52410715866636	0.982109578829668	0.955499012473088	2.41035964960009	4.45880194623913	2.57228109887849	44.7506066325155	1.0148849797023	38.4889219488869	1.36167210512391	1.3704904816871	0.973278754765377	1.6182255448461	5.64353469795307	5.06581853520629	1.28336478835266	0.800641940085592	0.595454876538714	0.551485855716682	1.10403153282437	0.830741079597438	0.397500433952439	0.398108517279405	0.927677866157209	0.43656774595915	0.533817233663959	0.484749176438459	0.485605876005152	0.444217513403115	0.392400905806496	0.338197095688859	0.370805674651128
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Barnesiellaceae	0.00179169727482844	0	0.00173707615341857	0.0058459020226821	0.00359757523429209	0	0	0.0144451265754216	0.00954089226424455	0.00558492814059126	0.00708491267845124	0.00182202463377305	0	0.00354126458558351	0	0.00355865553993701	0	0.00199409747148441	0.00171485406591899	0.00539228902669183	0.00182862158504919	0.0053132139631263	0	0.00183220652631965	0.00527046257093164	0.0167788362944872	0	0.00176694054245075	0	0	0.0309563697283123	0.00996661185030149	0.0631421847195913	0.0713632204940531	0.0416594341260198	0.031773919219483	0.0514356044602017	0.0173241169031409	0.0229030496291468	0.0136549063785481	0.0139241828245205	0.0085099140498681	0.0242009369219866	0.0139462719871694	0.00827691238060554
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Dysgonomonadaceae	0.0107501836489707	0.00369201233132119	0.00868538076709283	0.0097431700378035	0.00719515046858417	0.00767901708581302	0.00552893475856985	0.0126394857534939	0.00954089226424455	0.0111698562811825	0.00354245633922562	0.0127541724364113	0.00527361260041837	0.00708252917116702	0.00372717107715244	0.014234622159748	0.0018136641456735	0.00997048735742203	0.00857427032959495	0.0107845780533837	0.0109717295102951	0.00885535660521049	0.00881911985183879	0.00732882610527859	0.0158113877127949	0.00932157571915957	0.0119820269595607	0.00353388108490149	0.0161768670800755	0.014265335235378	0.0163886663267536	0.00498330592515074	0.0210473949065304	0.00914913083257091	0.0104148585315049	0.00747621628693718	0.0128589011150504	0.020788940283769	0.0264265957259386	0.0221892228651407	0.0313294113551711	0.0153178452897626	0.0051859150547114	0.0104597039903771	0.00827691238060554
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae	8.4657696235644	14.7034391094866	6.3524874930517	6.65068786780467	2.66400446099329	6.84392397773085	4.5539992628087	10.8934310786898	27.0675113536618	24.2106634894631	14.6232597683234	24.1709787916333	13.8291701091638	5.37918090550135	11.1069698099143	12.9232575932813	23.880515806083	15.1790699529393	6.37754227115273	2.18028219645906	8.49029001938339	2.229778793192	14.1088279389717	15.1853276901372	16.6107412027196	19.3198978355301	27.8402396405392	19.4239773831611	6.90033252448998	9.07988587731812	25.5426469517081	10.5097921961429	14.1821173679276	20.1262580054895	11.612567262628	23.3071042745267	21.130848503775	22.4867037402768	31.3983192685118	12.1682284465837	18.6305566192084	10.9573653306102	20.0712199000847	19.2353956383034	13.3936996142959
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Odoribacteraceae	0.00716678909931378	0.059072197301139	0.0364785992217899	0.0370240461436533	0.0161890885543144	0.0403148397005183	0.0313306302985625	0.0036112816438554	0.0267144983398847	0.0335095688435475	0.00354245633922562	0.0291523941403688	0.0193365795348674	0.0283301166846681	0.0540439806187104	0.0587178164089607	0.0399006112048171	0.0797638988593763	0.0137188325273519	0.00359485935112789	0.0329151885308854	0	0.0229297116147808	0.0219864783158358	0.0368932379965215	0.0111858908629915	0.0998502246630055	0.104249492004594	0.00179742967556394	0.0160485021398003	0	0.00830550987525124	0	0	0	0	0	0	0	0	0	0.00340396561994724	0.00691455340628187	0.00871641999198089	0.00331076495224222
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae	0.225753856628384	2.51241439146407	1.48867426347971	3.242526988581	0.613386577446801	3.1579957765406	1.29192775525249	0.689754793976382	0.187001488379193	0.729763943703924	0.343618264904885	1.31732381021791	0.768189568794276	0.426722382562813	1.57100260901975	0.174374121456914	0.665614741462176	1.73087660524846	0.596769214939809	8.37422485845241	0.603445123066233	12.9181942156811	0.197548284681189	0.278495392000586	0.472584810526871	0.4381140588005	3.57264103844234	1.26512942839473	0.248045295227824	0.285306704707561	0.910481462597421	0.302320559459145	0.574019861087194	0.591033851784081	0.713417809408089	0.435489598714091	1.12239836875654	0.670443324151551	1.38651538908758	0.529127622168741	0.614404567131966	0.842481490936942	0.689726702276617	1.1871764029078	0.650565313115595
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae	0.283088169422894	0.68302228129442	0.83553362979433	3.26785923067929	0.298598744446243	1.75657515837973	0.589753040914117	0.543497887400238	2.49589741632637	1.54144016680319	0.356016862092175	5.40594708840464	0.497477455306133	0.184145758450343	0.262765560939247	3.97145958256971	1.6975896403504	3.69107441971764	0.550468155159996	0.0287588748090231	1.02951395238269	0.116890707188778	0.433900696710468	1.28804118800271	1.64789796384463	0.3504912470404	2.12680978532202	3.63813057690609	0.598544081962793	0.328102710413695	2.08864447519848	0.378731250311457	6.10757132196774	6.0384263494968	3.48724179829891	2.36809150888735	5.04803718059408	0.947629194601805	2.88049893412731	1.30745728574598	1.00080064051241	0.798229937877628	1.60417639025739	1.460871990656	2.11061265705441
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae	0.157669360184903	1.63740746894095	1.99590050027793	2.82746794497058	0.478477506160848	1.79305048953734	0.908588278658312	0.386407135892528	0.686944243025608	1.0406582768635	0.154096850756314	1.02215581954668	0.457046425369592	0.343502664801601	0.475214312336936	0.66724791373819	1.65950269329126	1.46765573901252	0.800836848784168	0.104250921182709	0.954540467395677	0.0637585675575155	0.617338389628715	0.577145055790689	0.903005920486288	0.618952627752195	0.834747878182726	2.19984097535118	0.17794553788083	0.224679029957204	0.52625828538131	0.6677629939702	1.99567571704648	2.33851784080512	2.40930394028814	2.30267461637665	4.36284144974925	0.337820279611247	0.51619950318	0.650314916278355	0.492567967417412	1.1096927921028	0.563536102611973	1.13662116695431	1.11076164147726
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Unassigned	0.0286671563972551	0.00184600616566059	0.039952751528627	0.0857398963326708	0.00899393808573022	0.0844691879439432	0.0350165868042757	0.0198620490412047	0.0496126397740717	0.111698562811825	0.0442807042403202	0.038262517309234	0.00527361260041837	0.0513483364909609	0.00186358553857622	0.0782904218786143	0.0507825960788581	0.0438701443726569	0.0120039784614329	0.00539228902669183	0.0164575942654427	0.0053132139631263	0.0617338389628715	0.0329797174737536	0.0298659545686126	0.0354219877328064	0.0619071392910634	0.0795123244102836	0.00359485935112789	0.0320970042796006	0.00910481462597421	0.0116277138253517	0.0153071962956585	0.0164684354986276	0.00867904877625412	0.00934527035867148	0.020206844609365	0.00346482338062817	0.00704709219358362	0.00341372659463704	0.00522156855919518	0.00340396561994724	0.0051859150547114	0.00174328399839618	0.00165538247612111
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Unassigned	0.0107501836489707	0	0.0138966092273485	0.0136404380529249	0.0107927257028763	0.00959877135726627	0.00552893475856985	0.0162507673973493	0.0133572491699424	0.0111698562811825	0.0141698253569025	0.00728809853509219	0.0070314834672245	0.0123944260495423	0.00559075661572866	0.014234622159748	0.00725465658269402	0.00199409747148441	0.00857427032959495	0.00898714837781972	0.00914310792524595	0.017710713210421	0.0176382397036776	0.0183220652631965	0.0140545668558177	0.0242360968698149	0.0139790314528208	0.014135524339606	0.00898714837781972	0.0106990014265335	0.0182096292519484	0.0116277138253517	0.0229607944434877	0.020128087831656	0.0138864780420066	0.0112143244304058	0.0183698587357863	0.0225213519740831	0.0176177304839591	0.0170686329731852	0.0226267970898458	0.0119138796698153	0.0051859150547114	0.00697313599358471	0.0115876773328478
Bacteria|Candidatus_Saccharibacteria|Unassigned|Unassigned|Unassigned	0.00358339454965689	0.00369201233132119	0.01215953307393	0.0370240461436533	0.00359757523429209	0.0307160683432521	0.00368595650571323	0.0018056408219277	0.0286226767927337	0.0372328542706084	0.00531368450883843	0.00728809853509219	0	0.00354126458558351	0.0186358553857622	0.00355865553993701	0.0272049621851026	0.00199409747148441	0.00171485406591899	0.00179742967556394	0.00182862158504919	0.0194817845314631	0.190492988799718	0.0219864783158358	0.0439205214244303	0.0149145211506553	0.00199700449326011	0.00530082162735224	0.00359485935112789	0	0.340520067011436	0.189365625155728	0.14924516388267	0.135407136322049	0.229126887693109	0.0953217576584491	0.352701287727097	0.576893092874591	0.357639928824369	0.186048099407718	0.898109792181571	0.241681559016254	0.212622517243168	0.106340323902167	0.162227482659869
Bacteria|Deferribacteres|Deferribacteres|Deferribacterales|Deferribacteraceae	20.647519395123	0.286130955677392	0.229294052251251	0.830118087220858	2.84208443509075	1.89095795738146	1.80243273129377	0.82517785562096	0.0896843872838988	0.169409486931268	8.42396117467852	1.81655855987173	1.02483871534797	0.683464065017618	3.85203130823705	0.0943043718083308	0.0761738941182872	0.0937225811597671	0.0788832870322735	0.030556304484587	0.0603445123066233	0.0017710713210421	0.065261486903607	0.126422250316056	0.110679713989564	0.177109938664032	0.0559161258112831	0.130753600141355	2.25217938348162	0.511768901569187	0.145677034015587	0.194348931080879	0.0478349884239328	0.0274473924977127	0.0451310536365214	0.0542025680802946	0.0238808163565222	0.107409524799473	0.227268723243072	0.945602266714459	0.0591777770042121	0.0782912092587865	0.364742692181369	0.0174328399839618	0.225132016752471
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae_2	0.0268754591224267	0.0129220431596242	0.0243190661478599	0.0136404380529249	0.0107927257028763	0.0172777884430793	0.00921489126428308	0.018056408219277	0.0114490707170935	0.0148931417082434	0.0141698253569025	0.0163982217039574	0.00878935433403062	0.014165058342334	0.0130450987700335	0.00533798330990552	0.00906832072836752	0.00598229241445322	0.0102891243955139	0.0143794374045115	0.0128003510953443	0.017710713210421	0.00881911985183879	0.00549661957895894	0.0105409251418633	0.00559294543149574	0.0119820269595607	0.0159024648820567	0.00539228902669183	0.00713266761768902	0.0309563697283123	0.0166110197505025	0.0210473949065304	0.0164684354986276	0.0190939073077591	0.00747621628693718	0.020206844609365	0.020788940283769	0.0281883687743345	0.0136549063785481	0.0313294113551711	0.0119138796698153	0.0138291068125637	0.0174328399839618	0.0182092072373322
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae	0.560801247021303	0.228904764541914	0.991870483602001	0.859347597334269	0.273415717806199	0.547129967364177	0.186140803538518	0.303347658083854	0.129756134793726	0.4896120336585	0.193063870487796	0.522921069892865	0.776978923128307	0.0637427625405032	0.831159150204994	0.507108414441024	0.433465730815968	5.00518465342586	1.48677847515176	2.17668733710794	4.50755220714625	0.630501390290987	0.0687891348443425	0.203374924421481	0.137032026844223	0.268461380711795	0.72491263105342	1.96130400212033	0.248045295227824	0.0534950071326676	4.10627139631437	0.882045148751682	1.87704494575512	1.06495882891125	2.16629057455303	0.472870680148777	1.06545180667561	8.41952081492646	1.56093092087877	1.31599160223258	3.8657012566575	0.539528550761637	2.833238258224	8.34335721632411	1.16373388071314
Bacteria|Firmicutes|Clostridia|Clostridiales|Caldicoprobacteraceae	0.0179169727482844	0.0110760369939636	0.0052112284602557	0.0097431700378035	0.00359757523429209	0.0134382799001728	0.00368595650571323	0.0216676898631324	0.0228981414341869	0.0093082135676521	0	0.00546607390131915	0.00878935433403062	0.014165058342334	0.00745434215430488	0.0124552943897795	0.00544099243702051	0.00398819494296881	0.00857427032959495	0.00898714837781972	0.0109717295102951	0.0141685705683368	0.00705529588147103	0.0146576522105572	0.00702728342790886	0.0130502060068234	0.00199700449326011	0.00530082162735224	0.0125820077289476	0.00356633380884451	0.0109257775511691	0.00664440790020099	0.0133937967587012	0.0182982616651418	0.0138864780420066	0.00373810814346859	0.00918492936789316	0.00692964676125635	0.019379503532355	0.0153617696758667	0.0174052285306506	0.013615862479789	0.0121004684609933	0.00697313599358471	0.0115876773328478
Bacteria|Firmicutes|Clostridia|Clostridiales|Christensenellaceae	0.00179169727482844	0.00369201233132119	0.00173707615341857	0.0019486340075607	0	0	0	0.0018056408219277	0	0.00186164271353042	0	0.00182202463377305	0	0	0	0	0	0	0	0.00179742967556394	0	0	0	0	0.00175682085697721	0.00186431514383191	0	0.00176694054245075	0	0	0.0855852574841576	0.0315609375259547	0.172205958326158	0.0695333943275389	0.0538101024127756	0.0616787843672317	0.235134191818065	0.0589019974706789	0.0475678723066895	0.0256029494597778	0.0539562084450169	0.049357501489235	0.134833791422497	0.0749612119310357	0.0480060918075121
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae_1	0.00716678909931378	0.138450462424544	0.0295302946081156	0.0038972680151214	0.00179878761714604	0.00383950854290651	0.0184297825285662	0.0018056408219277	0.0171736060756402	0.00372328542706084	0.00885614084806405	0.0218642956052766	0.042188900803347	0.00354126458558351	0.00745434215430488	0.0409245387092756	0.17592542213033	0.00199409747148441	0.0222931028569469	0.456547137593242	0	0.00708428528416839	0.00176382397036776	0.00732882610527859	0.00351364171395443	0.00186431514383191	0.0259610584123814	0.0600759784433254	0.0161768670800755	0.112339514978602	0.0619127394566247	0.0315609375259547	0.0822761800891644	0.0146386093321134	0.0329803853497657	0.031773919219483	0.0881753219317743	0.0814233494447621	0.0299501418227304	0.0153617696758667	0.0191457513837157	0.0323376733894988	0.0535877888986845	0.120286595889336	0.0248307371418166
